Date,Quarter,Close,PE
2005-01-03,2005-Q1,38.945696,38.945696
2005-01-04,2005-Q1,38.570255,38.570255
2005-01-05,2005-Q1,37.19364,37.19364
2005-01-06,2005-Q1,36.693053,36.693053
2005-01-07,2005-Q1,36.918317,36.918317
2005-01-10,2005-Q1,37.31878699999999,37.318787
2005-01-11,2005-Q1,36.49281799999999,36.492818
2005-01-12,2005-Q1,35.24134999999999,35.24135
2005-01-13,2005-Q1,36.79317,36.79317
2005-01-14,2005-Q1,36.367671,36.367671
2005-01-17,2005-Q1,35.867084,35.867084
2005-01-18,2005-Q1,36.06731899999999,36.067319
2005-01-19,2005-Q1,35.917142,35.917142
2005-01-20,2005-Q1,35.666849,35.666849
2005-01-21,2005-Q1,35.666849,35.666849
2005-01-24,2005-Q1,35.842054,35.842054
2005-01-25,2005-Q1,35.842054,35.842054
2005-01-26,2005-Q1,35.842054,35.842054
2005-01-27,2005-Q1,36.868258,36.868258
2005-01-28,2005-Q1,37.56908099999999,37.569081
2005-01-31,2005-Q1,37.694227999999995,37.694228
2005-02-01,2005-Q1,37.31878699999999,37.318787
2005-02-02,2005-Q1,37.869432999999994,37.869433
2005-02-03,2005-Q1,38.420078999999994,38.420079
2005-02-04,2005-Q1,38.169785999999995,38.169786
2005-02-07,2005-Q1,37.59411,37.59411
2005-02-08,2005-Q1,39.746635999999995,39.746636
2005-02-09,2005-Q1,40.222194,40.222194
2005-02-10,2005-Q1,39.49634199999999,39.496342
2005-02-11,2005-Q1,38.87060799999999,38.870608
2005-02-14,2005-Q1,39.045812999999995,39.045813
2005-02-15,2005-Q1,38.019609,38.019609
2005-02-16,2005-Q1,38.319962,38.319962
2005-02-17,2005-Q1,37.99457999999999,37.99458
2005-02-18,2005-Q1,37.744286,37.744286
2005-02-21,2005-Q1,37.71925699999999,37.719257
2005-02-22,2005-Q1,37.71925699999999,37.719257
2005-02-23,2005-Q1,37.493992999999996,37.493993
2005-02-24,2005-Q1,37.669197999999994,37.669198
2005-02-25,2005-Q1,37.59410999999999,37.59411
2005-02-28,2005-Q1,38.294931999999996,38.294932
2005-03-01,2005-Q1,37.644168999999984,16.156295708154506
2005-03-02,2005-Q1,37.719256999999985,16.188522317596565
2005-03-03,2005-Q1,37.96955099999999,16.295944635193134
2005-03-04,2005-Q1,37.744285999999995,16.199264377682404
2005-03-07,2005-Q1,37.69422799999999,16.17778025751073
2005-03-08,2005-Q1,37.49399299999999,16.091842489270388
2005-03-09,2005-Q1,37.11855199999999,15.930709012875536
2005-03-10,2005-Q1,36.893287999999984,15.834029184549356
2005-03-11,2005-Q1,36.668022999999984,15.737348927038624
2005-03-14,2005-Q1,38.01960899999998,16.31742875536481
2005-03-15,2005-Q1,37.34381599999998,16.027388841201716
2005-03-16,2005-Q1,36.86825799999998,15.823286695278968
2005-03-17,2005-Q1,37.34381599999998,16.027388841201716
2005-03-18,2005-Q1,35.441583999999985,15.210980257510728
2005-03-21,2005-Q1,35.867083999999984,15.3935982832618
