Date,Quarter,Close,PE
2005-01-03,2005-Q1,46.85,11.399026763990268
2005-01-04,2005-Q1,47.8,11.6301703163017
2005-01-05,2005-Q1,45.4,11.046228710462286
2005-01-06,2005-Q1,43.85,10.669099756690995
2005-01-07,2005-Q1,44.599999999999994,10.851581508515814
2005-01-10,2005-Q1,45.99999999999999,11.19221411192214
2005-01-11,2005-Q1,44.74999999999999,10.888077858880775
2005-01-12,2005-Q1,41.39999999999999,10.072992700729928
2005-01-13,2005-Q1,43.449999999999996,10.571776155717762
2005-01-14,2005-Q1,42.79999999999999,10.413625304136252
2005-01-17,2005-Q1,41.849999999999994,10.182481751824817
2005-01-18,2005-Q1,43.19999999999999,10.510948905109489
2005-01-19,2005-Q1,43.79999999999998,10.656934306569342
2005-01-20,2005-Q1,42.94999999999999,10.450121654501215
2005-01-21,2005-Q1,42.94999999999999,10.450121654501215
2005-01-24,2005-Q1,42.79999999999999,10.413625304136252
2005-01-25,2005-Q1,43.04999999999999,10.474452554744524
2005-01-26,2005-Q1,43.04999999999999,10.474452554744524
2005-01-27,2005-Q1,42.349999999999994,10.304136253041362
2005-01-28,2005-Q1,42.89999999999999,10.43795620437956
2005-01-31,2005-Q1,42.749999999999986,10.4014598540146
2005-02-01,2005-Q1,42.89999999999999,10.43795620437956
2005-02-02,2005-Q1,42.399999999999984,10.316301703163017
2005-02-03,2005-Q1,41.949999999999996,10.206812652068129
2005-02-04,2005-Q1,41.74999999999999,10.158150851581508
2005-02-07,2005-Q1,41.64999999999999,10.133819951338198
2005-02-08,2005-Q1,41.69999999999999,10.145985401459852
2005-02-09,2005-Q1,41.79999999999998,10.170316301703162
2005-02-10,2005-Q1,41.69999999999999,10.145985401459852
2005-02-11,2005-Q1,49.14999999999998,11.958637469586373
2005-02-14,2005-Q1,49.14999999999998,11.958637469586373
2005-02-15,2005-Q1,47.799999999999976,11.6301703163017
2005-02-16,2005-Q1,47.299999999999976,11.508515815085156
2005-02-17,2005-Q1,46.84999999999998,11.399026763990268
2005-02-18,2005-Q1,45.59999999999998,11.094890510948904
2005-02-21,2005-Q1,44.19999999999998,10.75425790754258
2005-02-22,2005-Q1,44.59999999999998,10.851581508515814
2005-02-23,2005-Q1,43.749999999999986,10.644768856447689
2005-02-24,2005-Q1,43.649999999999984,10.62043795620438
2005-02-25,2005-Q1,42.34999999999999,10.304136253041362
2005-02-28,2005-Q1,42.84999999999999,10.425790754257909
2005-03-01,2005-Q1,42.199999999999996,10.267639902676398
2005-03-02,2005-Q1,44.349999999999994,10.790754257907542
2005-03-03,2005-Q1,44.54999999999999,10.83941605839416
2005-03-04,2005-Q1,44.29999999999999,10.778588807785887
2005-03-07,2005-Q1,45.149999999999984,10.985401459854014
2005-03-08,2005-Q1,44.999999999999986,10.94890510948905
2005-03-09,2005-Q1,43.399999999999984,10.559610705596103
2005-03-10,2005-Q1,43.34999999999999,10.547445255474452
2005-03-11,2005-Q1,43.149999999999984,10.498783454987834
2005-03-14,2005-Q1,42.79999999999998,10.413625304136252
2005-03-15,2005-Q1,42.79999999999998,10.413625304136252
2005-03-16,2005-Q1,44.04999999999999,10.717761557177614
2005-03-17,2005-Q1,46.399999999999984,11.289537712895376
2005-03-18,2005-Q1,45.899999999999984,11.16788321167883
2005-03-21,2005-Q1,46.94999999999999,11.423357664233576
2005-03-22,2005-Q1,46.649999999999984,11.35036496350365
2005-03-23,2005-Q1,46.54999999999998,11.32603406326034
