Date,Quarter,Close,PE
2005-01-03,2005-Q1,1143.35,63.874301675977655
2005-01-04,2005-Q1,1130.7,63.16759776536313
2005-01-05,2005-Q1,1089.1,60.84357541899441
2005-01-06,2005-Q1,1072.75,59.93016759776537
2005-01-07,2005-Q1,1096.7,61.268156424581015
2005-01-10,2005-Q1,1095.3,61.18994413407822
2005-01-11,2005-Q1,1101.8000000000002,61.55307262569833
2005-01-12,2005-Q1,1080.6500000000003,60.37150837988828
2005-01-13,2005-Q1,1106.6000000000001,61.82122905027933
2005-01-14,2005-Q1,1072.3000000000002,59.9050279329609
2005-01-17,2005-Q1,1059.7000000000003,59.20111731843576
2005-01-18,2005-Q1,1090.4500000000003,60.91899441340783
2005-01-19,2005-Q1,1021.9500000000003,57.09217877094973
2005-01-20,2005-Q1,1032.1000000000004,57.659217877094974
2005-01-21,2005-Q1,1032.1000000000004,57.659217877094974
2005-01-24,2005-Q1,1015.6000000000004,56.73743016759777
2005-01-25,2005-Q1,1007.2500000000003,56.2709497206704
2005-01-26,2005-Q1,1007.2500000000003,56.2709497206704
2005-01-27,2005-Q1,1004.4500000000004,56.11452513966481
2005-01-28,2005-Q1,1041.4500000000003,58.18156424581007
2005-01-31,2005-Q1,1039.2000000000003,58.05586592178771
2005-02-01,2005-Q1,1046.9000000000003,58.48603351955308
2005-02-02,2005-Q1,1036.0000000000002,57.87709497206704
2005-02-03,2005-Q1,1060.3500000000001,59.237430167597765
2005-02-04,2005-Q1,1077.1000000000001,60.1731843575419
2005-02-07,2005-Q1,1065.8500000000001,59.54469273743017
2005-02-08,2005-Q1,1069.75,59.76256983240224
2005-02-09,2005-Q1,1073.0,59.94413407821229
2005-02-10,2005-Q1,1070.8,59.821229050279335
2005-02-11,2005-Q1,1086.7000000000003,60.70949720670392
2005-02-14,2005-Q1,1078.9,60.27374301675979
2005-02-15,2005-Q1,1068.3,59.68156424581006
2005-02-16,2005-Q1,1045.9,58.430167597765376
2005-02-17,2005-Q1,1038.0,57.98882681564246
2005-02-18,2005-Q1,1037.0,57.93296089385476
2005-02-21,2005-Q1,1027.7499999999998,57.41620111731844
2005-02-22,2005-Q1,1051.2,58.72625698324023
2005-02-23,2005-Q1,1040.1,58.10614525139665
2005-02-24,2005-Q1,1013.0499999999998,56.59497206703911
2005-02-25,2005-Q1,1019.6,56.96089385474861
2005-02-28,2005-Q1,1033.4,57.731843575419006
2005-03-01,2005-Q1,1044.15,43.8718487394958
2005-03-02,2005-Q1,1044.45,43.884453781512605
2005-03-03,2005-Q1,1089.4500000000003,45.77521008403362
2005-03-04,2005-Q1,1102.2,46.3109243697479
2005-03-07,2005-Q1,1109.85,46.632352941176464
2005-03-08,2005-Q1,1088.9000000000003,45.75210084033613
2005-03-09,2005-Q1,1095.8500000000004,46.04411764705882
2005-03-10,2005-Q1,1100.0500000000004,46.22058823529412
2005-03-11,2005-Q1,1122.2500000000005,47.15336134453781
2005-03-14,2005-Q1,1109.4000000000005,46.61344537815126
2005-03-15,2005-Q1,1089.0000000000005,45.7563025210084
2005-03-16,2005-Q1,1092.8500000000004,45.91806722689075
2005-03-17,2005-Q1,1084.9000000000005,45.58403361344538
2005-03-18,2005-Q1,1077.6000000000004,45.27731092436974
2005-03-21,2005-Q1,1060.6000000000004,44.56302521008403
2005-03-22,2005-Q1,1059.9000000000005,44.53361344537815
2005-03-23,2005-Q1,1038.1500000000005,43.61974789915967
2005-03-24,2005-Q1,1020.5000000000003,42.87815126050421
2005-03-25,2005-Q1,1020.5000000000003,42.87815126050421
2005-03-28,2005-Q1,1021.5000000000003,42.92016806722689
2005-03-29,2005-Q1,1018.6000000000004,42.79831932773109
2005-03-30,2005-Q1,1030.9500000000003,43.3172268907563
2005-03-31,2005-Q1,1082.1000000000004,45.46638655462184
2005-04-01,2005-Q2,1089.3500000000001,45.77100840336134
2005-04-04,2005-Q2,1064.6000000000001,44.731092436974784
2005-04-05,2005-Q2,1085.5000000000002,45.60924369747899
2005-04-06,2005-Q2,1068.1500000000003,44.88025210084034
2005-04-07,2005-Q2,1037.6500000000003,43.59873949579832
2005-04-08,2005-Q2,1055.7000000000003,44.35714285714286
2005-04-11,2005-Q2,1072.3,45.05462184873949
2005-04-12,2005-Q2,1079.8500000000001,45.3718487394958
2005-04-13,2005-Q2,1085.5000000000002,45.60924369747899
2005-04-14,2005-Q2,1085.5000000000002,45.60924369747899
2005-04-15,2005-Q2,1072.3000000000002,45.05462184873949
2005-04-18,2005-Q2,1070.4000000000003,44.97478991596639
2005-04-19,2005-Q2,1060.8000000000002,44.57142857142857
2005-04-20,2005-Q2,1080.0,45.3781512605042
2005-04-21,2005-Q2,1081.4500000000003,45.4390756302521
2005-04-22,2005-Q2,1080.1500000000003,45.384453781512605
2005-04-25,2005-Q2,1072.3500000000001,45.05672268907563
2005-04-26,2005-Q2,1081.7,45.44957983193277
2005-04-27,2005-Q2,1090.7000000000003,45.82773109243698
2005-04-28,2005-Q2,1096.4,46.0672268907563
2005-04-29,2005-Q2,1082.7000000000003,45.491596638655466
2005-05-02,2005-Q2,1104.4000000000003,46.40336134453782
2005-05-03,2005-Q2,1091.4500000000003,45.859243697479
2005-05-04,2005-Q2,1089.6500000000003,45.78361344537815
2005-05-05,2005-Q2,1110.1500000000003,46.64495798319328
2005-05-06,2005-Q2,1114.8500000000001,46.84243697478991
2005-05-09,2005-Q2,1122.8000000000002,47.17647058823529
2005-05-10,2005-Q2,1121.1000000000001,47.10504201680672
2005-05-11,2005-Q2,1125.1000000000001,47.27310924369748
2005-05-12,2005-Q2,1140.2000000000003,47.90756302521009
2005-05-13,2005-Q2,1140.3000000000002,47.91176470588235
2005-05-16,2005-Q2,1190.2500000000002,50.01050420168067
2005-05-17,2005-Q2,1176.4500000000003,49.43067226890757
2005-05-18,2005-Q2,1183.2000000000005,49.71428571428572
2005-05-19,2005-Q2,1223.7000000000003,51.41596638655462
2005-05-20,2005-Q2,1216.15,51.09873949579832
2005-05-23,2005-Q2,1215.2,51.05882352941177
2005-05-24,2005-Q2,1207.7,50.7436974789916
2005-05-25,2005-Q2,1213.55,50.989495798319325
2005-05-26,2005-Q2,1232.3499999999997,51.77941176470588
2005-05-27,2005-Q2,1233.45,51.82563025210085
2005-05-30,2005-Q2,1229.3,51.65126050420168
2005-05-31,2005-Q2,1230.5500000000002,51.70378151260504
2005-06-01,2005-Q2,1254.7000000000003,60.90776699029126
2005-06-02,2005-Q2,1262.5,61.28640776699029
2005-06-03,2005-Q2,1275.8999999999999,61.93689320388349
2005-06-04,2005-Q2,1273.9499999999996,61.842233009708735
2005-06-06,2005-Q2,1282.4499999999998,62.25485436893204
2005-06-07,2005-Q2,1289.1499999999996,62.58009708737864
2005-06-08,2005-Q2,1261.4499999999996,61.23543689320388
2005-06-09,2005-Q2,1270.1999999999994,61.66019417475728
2005-06-10,2005-Q2,1239.6499999999994,60.17718446601942
2005-06-13,2005-Q2,1221.1499999999994,59.27912621359224
2005-06-14,2005-Q2,1235.9999999999993,59.99999999999999
2005-06-15,2005-Q2,1227.8999999999992,59.60679611650485
2005-06-16,2005-Q2,1251.499999999999,60.752427184466015
2005-06-17,2005-Q2,1254.049999999999,60.876213592233
2005-06-20,2005-Q2,1255.049999999999,60.92475728155339
2005-06-21,2005-Q2,1248.0999999999992,60.58737864077669
2005-06-22,2005-Q2,1270.3999999999994,61.66990291262136
2005-06-23,2005-Q2,1312.8499999999992,63.73058252427184
2005-06-24,2005-Q2,1319.1999999999996,64.03883495145631
2005-06-27,2005-Q2,1324.3999999999996,64.29126213592232
2005-06-28,2005-Q2,1330.7499999999993,64.5995145631068
2005-06-29,2005-Q2,1352.9499999999994,65.67718446601941
2005-06-30,2005-Q2,1383.5999999999995,67.16504854368931
2005-07-01,2005-Q3,1387.3499999999995,67.34708737864077
2005-07-04,2005-Q3,1379.9499999999996,66.9878640776699
2005-07-05,2005-Q3,1374.2499999999998,66.71116504854369
2005-07-06,2005-Q3,1362.3499999999995,66.13349514563106
2005-07-07,2005-Q3,1345.7999999999995,65.33009708737863
2005-07-08,2005-Q3,1341.5999999999995,65.126213592233
2005-07-11,2005-Q3,1398.0499999999995,67.86650485436893
2005-07-12,2005-Q3,1392.5999999999995,67.60194174757281
2005-07-13,2005-Q3,1380.5999999999995,67.01941747572815
2005-07-14,2005-Q3,1370.5999999999995,66.53398058252426
2005-07-15,2005-Q3,1389.5999999999997,67.45631067961165
2005-07-18,2005-Q3,1424.7999999999995,69.16504854368931
2005-07-19,2005-Q3,1404.1499999999996,68.1626213592233
2005-07-20,2005-Q3,1398.8999999999996,67.90776699029126
2005-07-21,2005-Q3,1379.9999999999995,66.99029126213591
2005-07-22,2005-Q3,1375.5999999999995,66.7766990291262
2005-07-25,2005-Q3,1395.6499999999996,67.75
2005-07-26,2005-Q3,1417.1499999999996,68.79368932038835
2005-07-27,2005-Q3,1416.1499999999996,68.74514563106796
2005-07-28,2005-Q3,1416.1499999999996,68.74514563106796
2005-07-29,2005-Q3,1449.0999999999995,70.34466019417475
2005-08-01,2005-Q3,1446.2499999999998,70.20631067961165
2005-08-02,2005-Q3,1467.1,71.21844660194174
2005-08-03,2005-Q3,1514.7,73.52912621359224
2005-08-04,2005-Q3,1527.15,74.13349514563107
2005-08-05,2005-Q3,1478.5500000000002,71.77427184466019
2005-08-08,2005-Q3,1434.9,69.65533980582524
2005-08-09,2005-Q3,1435.0000000000002,69.66019417475728
2005-08-10,2005-Q3,1412.3000000000002,68.55825242718446
2005-08-11,2005-Q3,1427.3500000000004,69.2888349514563
2005-08-12,2005-Q3,1393.3000000000002,67.63592233009707
2005-08-15,2005-Q3,1393.3000000000002,67.63592233009707
2005-08-16,2005-Q3,1408.5000000000002,68.37378640776699
2005-08-17,2005-Q3,1453.0000000000002,70.53398058252426
2005-08-18,2005-Q3,1421.7500000000005,69.01699029126213
2005-08-19,2005-Q3,1421.8500000000001,69.02184466019416
2005-08-22,2005-Q3,1406.9000000000003,68.29611650485437
2005-08-23,2005-Q3,1344.4000000000003,65.2621359223301
2005-08-24,2005-Q3,1345.85,65.33252427184465
2005-08-25,2005-Q3,1406.3500000000001,68.26941747572815
2005-08-26,2005-Q3,1412.5500000000002,68.57038834951456
2005-08-29,2005-Q3,1375.8000000000004,66.78640776699028
2005-08-30,2005-Q3,1379.3500000000004,66.95873786407766
2005-08-31,2005-Q3,1412.4000000000005,68.5631067961165
2005-09-01,2005-Q3,1457.5500000000006,50.96328671328671
2005-09-02,2005-Q3,1503.000000000001,52.552447552447546
2005-09-05,2005-Q3,1489.950000000001,52.09615384615385
2005-09-06,2005-Q3,1468.950000000001,51.36188811188811
2005-09-07,2005-Q3,1468.950000000001,51.36188811188811
2005-09-08,2005-Q3,1537.1000000000008,53.74475524475524
2005-09-09,2005-Q3,1551.400000000001,54.24475524475525
2005-09-12,2005-Q3,1588.5500000000009,55.543706293706286
2005-09-13,2005-Q3,1634.800000000001,57.16083916083916
2005-09-14,2005-Q3,1649.4000000000015,57.67132867132867
2005-09-15,2005-Q3,1635.2500000000014,57.17657342657343
2005-09-16,2005-Q3,1645.550000000001,57.53671328671328
2005-09-19,2005-Q3,1678.4000000000015,58.68531468531469
2005-09-20,2005-Q3,1660.6000000000013,58.06293706293706
2005-09-21,2005-Q3,1669.9500000000014,58.38986013986014
2005-09-22,2005-Q3,1624.6500000000017,56.80594405594405
2005-09-23,2005-Q3,1612.9000000000017,56.39510489510489
2005-09-26,2005-Q3,1628.8500000000015,56.9527972027972
2005-09-27,2005-Q3,1656.8000000000018,57.930069930069926
2005-09-28,2005-Q3,1649.1000000000017,57.66083916083915
2005-09-29,2005-Q3,1662.8000000000015,58.13986013986013
2005-09-30,2005-Q3,1694.3000000000018,59.24125874125874
2005-10-03,2005-Q4,1768.1000000000017,61.82167832167831
2005-10-04,2005-Q4,1805.600000000002,63.132867132867126
2005-10-05,2005-Q4,1779.900000000002,62.23426573426573
2005-10-06,2005-Q4,1725.6000000000015,60.335664335664326
2005-10-07,2005-Q4,1733.0000000000016,60.59440559440559
2005-10-10,2005-Q4,1735.9500000000016,60.69755244755245
2005-10-11,2005-Q4,1754.4000000000017,61.34265734265734
2005-10-12,2005-Q4,1754.4000000000017,61.34265734265734
2005-10-13,2005-Q4,1744.8000000000015,61.006993006993
2005-10-14,2005-Q4,1694.0000000000014,59.230769230769226
2005-10-17,2005-Q4,1787.2000000000014,62.48951048951049
2005-10-18,2005-Q4,1771.8500000000013,61.9527972027972
2005-10-19,2005-Q4,1735.9000000000015,60.69580419580419
2005-10-20,2005-Q4,1721.2000000000014,60.18181818181818
2005-10-21,2005-Q4,1737.1000000000015,60.73776223776223
2005-10-24,2005-Q4,1797.5000000000016,62.84965034965035
2005-10-25,2005-Q4,1793.150000000002,62.69755244755245
2005-10-26,2005-Q4,1765.5500000000015,61.73251748251748
2005-10-27,2005-Q4,1714.2500000000016,59.93881118881119
2005-10-28,2005-Q4,1660.4500000000016,58.05769230769231
2005-10-31,2005-Q4,1707.2000000000014,59.69230769230769
2005-11-01,2005-Q4,1720.1000000000013,60.14335664335664
2005-11-02,2005-Q4,1753.0500000000015,61.29545454545454
2005-11-03,2005-Q4,1753.0500000000015,61.29545454545454
2005-11-04,2005-Q4,1753.0500000000015,61.29545454545454
2005-11-07,2005-Q4,1767.0500000000015,61.78496503496503
2005-11-08,2005-Q4,1819.400000000002,63.61538461538461
2005-11-09,2005-Q4,1841.8500000000017,64.40034965034964
2005-11-10,2005-Q4,1801.5500000000015,62.99125874125874
2005-11-11,2005-Q4,1869.8000000000015,65.37762237762237
2005-11-14,2005-Q4,1882.3000000000018,65.8146853146853
2005-11-15,2005-Q4,1882.3000000000018,65.8146853146853
2005-11-16,2005-Q4,1897.550000000002,66.3479020979021
