Date,Quarter,Close,PE
2005-01-03,2005-Q1,86.61,151.94736842105263
2005-01-04,2005-Q1,84.63,148.47368421052633
2005-01-05,2005-Q1,82.195,144.2017543859649
2005-01-06,2005-Q1,79.91,140.19298245614036
2005-01-07,2005-Q1,81.085,142.25438596491227
2005-01-10,2005-Q1,79.33000000000001,139.17543859649123
2005-01-11,2005-Q1,76.43,134.08771929824564
2005-01-12,2005-Q1,73.155,128.34210526315792
2005-01-13,2005-Q1,74.935,131.46491228070178
2005-01-14,2005-Q1,74.335,130.41228070175438
2005-01-17,2005-Q1,72.845,127.7982456140351
2005-01-18,2005-Q1,71.235,124.97368421052632
2005-01-19,2005-Q1,70.94,124.4561403508772
2005-01-20,2005-Q1,71.99,126.2982456140351
2005-01-21,2005-Q1,71.99,126.2982456140351
2005-01-24,2005-Q1,72.92,127.92982456140352
2005-01-25,2005-Q1,72.91499999999999,127.92105263157896
2005-01-26,2005-Q1,72.91499999999999,127.92105263157896
2005-01-27,2005-Q1,73.115,128.2719298245614
2005-01-28,2005-Q1,74.3,130.35087719298247
2005-01-31,2005-Q1,73.645,129.2017543859649
2005-02-01,2005-Q1,71.045,124.640350877193
2005-02-02,2005-Q1,70.94,124.4561403508772
2005-02-03,2005-Q1,71.11,124.75438596491227
2005-02-04,2005-Q1,73.23000000000002,128.47368421052633
2005-02-07,2005-Q1,72.70500000000001,127.55263157894736
2005-02-08,2005-Q1,73.38000000000001,128.73684210526315
2005-02-09,2005-Q1,73.86000000000001,129.57894736842107
2005-02-10,2005-Q1,74.17000000000002,130.12280701754386
2005-02-11,2005-Q1,74.45000000000002,130.61403508771932
2005-02-14,2005-Q1,74.60500000000002,130.8859649122807
2005-02-15,2005-Q1,75.27500000000002,132.06140350877197
2005-02-16,2005-Q1,74.57500000000002,130.83333333333334
2005-02-17,2005-Q1,74.10500000000002,130.00877192982458
2005-02-18,2005-Q1,72.00000000000001,126.31578947368422
2005-02-21,2005-Q1,72.16000000000001,126.59649122807018
2005-02-22,2005-Q1,72.35000000000001,126.9298245614035
2005-02-23,2005-Q1,72.86000000000001,127.82456140350878
2005-02-24,2005-Q1,71.98000000000002,126.280701754386
2005-02-25,2005-Q1,71.06500000000001,124.67543859649123
2005-02-28,2005-Q1,72.03000000000002,126.3684210526316
2005-03-01,2005-Q1,72.45500000000001,
2005-03-02,2005-Q1,72.44000000000003,
2005-03-03,2005-Q1,72.19000000000003,
2005-03-04,2005-Q1,72.49000000000002,
2005-03-07,2005-Q1,72.41500000000003,
2005-03-08,2005-Q1,74.50000000000003,
2005-03-09,2005-Q1,75.15000000000005,
2005-03-10,2005-Q1,75.81500000000004,
2005-03-11,2005-Q1,74.38500000000005,
2005-03-14,2005-Q1,74.15500000000003,
2005-03-15,2005-Q1,75.36500000000004,
2005-03-16,2005-Q1,75.67500000000003,
2005-03-17,2005-Q1,74.77000000000002,
2005-03-18,2005-Q1,71.87500000000003,
2005-03-21,2005-Q1,72.33500000000002,
2005-03-22,2005-Q1,73.08500000000002,
2005-03-23,2005-Q1,75.39500000000004,
2005-03-24,2005-Q1,75.12500000000004,
2005-03-25,2005-Q1,75.12500000000004,
2005-03-28,2005-Q1,77.25500000000004,
2005-03-29,2005-Q1,74.20000000000005,
2005-03-30,2005-Q1,74.56000000000004,
2005-03-31,2005-Q1,73.91500000000005,
2005-04-01,2005-Q2,74.35000000000004,
2005-04-04,2005-Q2,74.45000000000003,
2005-04-05,2005-Q2,74.65500000000004,
2005-04-06,2005-Q2,74.77500000000005,
2005-04-07,2005-Q2,74.93000000000005,
2005-04-08,2005-Q2,74.61000000000003,
2005-04-11,2005-Q2,74.80000000000004,
2005-04-12,2005-Q2,74.67500000000004,
2005-04-13,2005-Q2,73.73000000000003,
2005-04-14,2005-Q2,73.73000000000003,
2005-04-15,2005-Q2,71.19500000000002,
2005-04-18,2005-Q2,68.77000000000002,
2005-04-19,2005-Q2,68.92500000000003,
2005-04-20,2005-Q2,69.22500000000002,
2005-04-21,2005-Q2,69.14000000000003,
2005-04-22,2005-Q2,68.18000000000004,
2005-04-25,2005-Q2,66.02500000000003,
2005-04-26,2005-Q2,66.63500000000003,
2005-04-27,2005-Q2,65.60000000000002,
2005-04-28,2005-Q2,64.50500000000002,
2005-04-29,2005-Q2,63.72500000000003,
2005-05-02,2005-Q2,63.37500000000003,
2005-05-03,2005-Q2,63.70500000000003,
2005-05-04,2005-Q2,65.17500000000003,
2005-05-05,2005-Q2,67.19500000000002,
2005-05-06,2005-Q2,66.78000000000003,
2005-05-09,2005-Q2,67.70500000000003,
2005-05-10,2005-Q2,66.35500000000003,
2005-05-11,2005-Q2,65.50500000000002,
2005-05-12,2005-Q2,65.81000000000003,
2005-05-13,2005-Q2,66.92500000000003,
2005-05-16,2005-Q2,67.56500000000003,
2005-05-17,2005-Q2,68.09000000000005,
2005-05-18,2005-Q2,68.10500000000003,
2005-05-19,2005-Q2,68.21500000000005,
2005-05-20,2005-Q2,68.93000000000005,
2005-05-23,2005-Q2,69.49500000000003,
2005-05-24,2005-Q2,69.11500000000002,
2005-05-25,2005-Q2,70.44500000000002,
2005-05-26,2005-Q2,72.45000000000003,
2005-05-27,2005-Q2,71.48500000000003,
2005-05-30,2005-Q2,72.40000000000002,
2005-05-31,2005-Q2,72.48000000000002,
2005-06-01,2005-Q2,73.17500000000001,8.837560386473431
2005-06-02,2005-Q2,73.44500000000001,8.870169082125603
2005-06-03,2005-Q2,73.11500000000001,8.830314009661835
