Date,Quarter,Close,PE
2005-01-03,2005-Q1,25.375,3.5048342541436464
2005-01-04,2005-Q1,26.630000000000003,3.6781767955801103
2005-01-05,2005-Q1,25.7,3.549723756906077
2005-01-06,2005-Q1,25.155,3.4744475138121547
2005-01-07,2005-Q1,25.400000000000002,3.508287292817679
2005-01-10,2005-Q1,25.47,3.5179558011049723
2005-01-11,2005-Q1,25.959999999999997,3.585635359116022
2005-01-12,2005-Q1,24.999999999999996,3.453038674033149
2005-01-13,2005-Q1,25.029999999999998,3.457182320441989
2005-01-14,2005-Q1,25.185,3.478591160220994
2005-01-17,2005-Q1,25.210000000000004,3.482044198895028
2005-01-18,2005-Q1,25.000000000000004,3.453038674033149
2005-01-19,2005-Q1,25.200000000000003,3.480662983425414
2005-01-20,2005-Q1,25.000000000000004,3.453038674033149
2005-01-21,2005-Q1,25.000000000000004,3.453038674033149
2005-01-24,2005-Q1,25.380000000000003,3.505524861878453
2005-01-25,2005-Q1,25.440000000000005,3.5138121546961325
2005-01-26,2005-Q1,25.440000000000005,3.5138121546961325
2005-01-27,2005-Q1,25.515000000000004,3.524171270718232
2005-01-28,2005-Q1,26.69000000000001,3.68646408839779
2005-01-31,2005-Q1,26.665000000000006,3.6830110497237567
2005-02-01,2005-Q1,27.030000000000012,3.733425414364641
2005-02-02,2005-Q1,27.240000000000006,3.762430939226519
2005-02-03,2005-Q1,27.88500000000001,3.851519337016575
2005-02-04,2005-Q1,27.140000000000004,3.748618784530387
2005-02-07,2005-Q1,27.365000000000002,3.7796961325966847
2005-02-08,2005-Q1,27.685000000000006,3.823895027624309
2005-02-09,2005-Q1,27.500000000000007,3.798342541436464
2005-02-10,2005-Q1,27.785000000000007,3.837707182320442
2005-02-11,2005-Q1,27.615000000000002,3.814226519337016
2005-02-14,2005-Q1,27.855000000000004,3.847375690607735
2005-02-15,2005-Q1,27.670000000000005,3.8218232044198897
2005-02-16,2005-Q1,27.545,3.804558011049724
2005-02-17,2005-Q1,27.680000000000003,3.823204419889503
2005-02-18,2005-Q1,27.44,3.790055248618784
2005-02-21,2005-Q1,31.68,4.375690607734806
2005-02-22,2005-Q1,34.27,4.733425414364641
2005-02-23,2005-Q1,33.815,4.670580110497237
2005-02-24,2005-Q1,32.475,4.485497237569061
2005-02-25,2005-Q1,33.379999999999995,4.610497237569061
2005-02-28,2005-Q1,33.455,4.62085635359116
2005-03-01,2005-Q1,32.1,3.992537313432837
2005-03-02,2005-Q1,32.19,4.003731343283582
2005-03-03,2005-Q1,31.955,3.974502487562189
2005-03-04,2005-Q1,33.005,4.105099502487563
2005-03-07,2005-Q1,33.03,4.108208955223881
2005-03-08,2005-Q1,33.125,4.120024875621891
2005-03-09,2005-Q1,32.245000000000005,4.010572139303482
2005-03-10,2005-Q1,32.00000000000001,3.9800995024875614
2005-03-11,2005-Q1,32.02000000000001,3.982587064676618
2005-03-14,2005-Q1,32.03,3.983830845771145
