Date,Quarter,Close,PE
2005-01-03,2005-Q1,689.85,
2005-01-04,2005-Q1,699.1,
2005-01-05,2005-Q1,693.1500000000001,
2005-01-06,2005-Q1,671.0000000000001,
2005-01-07,2005-Q1,676.5000000000001,
2005-01-10,2005-Q1,668.0000000000001,
2005-01-11,2005-Q1,660.15,
2005-01-12,2005-Q1,639.05,
2005-01-13,2005-Q1,641.35,
2005-01-14,2005-Q1,640.5,
2005-01-17,2005-Q1,629.85,
2005-01-18,2005-Q1,628.95,
2005-01-19,2005-Q1,626.2,
2005-01-20,2005-Q1,630.9000000000001,
2005-01-21,2005-Q1,630.9000000000001,
2005-01-24,2005-Q1,630.5000000000001,
2005-01-25,2005-Q1,628.5500000000001,
2005-01-26,2005-Q1,628.5500000000001,
2005-01-27,2005-Q1,628.1,
2005-01-28,2005-Q1,672.4000000000001,
2005-01-31,2005-Q1,679.1500000000001,
2005-02-01,2005-Q1,676.9000000000001,
2005-02-02,2005-Q1,681.6000000000001,
2005-02-03,2005-Q1,674.8500000000001,
2005-02-04,2005-Q1,662.8500000000001,
2005-02-07,2005-Q1,663.3000000000001,
2005-02-08,2005-Q1,661.9000000000001,
2005-02-09,2005-Q1,654.2000000000002,
2005-02-10,2005-Q1,646.1,
2005-02-11,2005-Q1,654.15,
2005-02-14,2005-Q1,653.65,
2005-02-15,2005-Q1,653.25,
2005-02-16,2005-Q1,651.05,
2005-02-17,2005-Q1,646.75,
2005-02-18,2005-Q1,642.15,
2005-02-21,2005-Q1,633.4,
2005-02-22,2005-Q1,633.95,
2005-02-23,2005-Q1,627.1,
2005-02-24,2005-Q1,639.8999999999999,
2005-02-25,2005-Q1,636.65,
2005-02-28,2005-Q1,633.75,
2005-03-01,2005-Q1,636.1,122.7992277992278
2005-03-02,2005-Q1,640.1,123.57142857142858
2005-03-03,2005-Q1,637.5,123.06949806949808
2005-03-04,2005-Q1,630.65,121.74710424710425
2005-03-07,2005-Q1,625.95,120.83976833976836
2005-03-08,2005-Q1,626.65,120.97490347490348
2005-03-09,2005-Q1,622.6,120.1930501930502
2005-03-10,2005-Q1,625.6,120.7722007722008
2005-03-11,2005-Q1,624.0,120.46332046332049
2005-03-14,2005-Q1,623.15,120.2992277992278
2005-03-15,2005-Q1,650.1999999999999,125.52123552123554
2005-03-16,2005-Q1,685.15,132.26833976833976
2005-03-17,2005-Q1,685.0000000000001,132.23938223938225
2005-03-18,2005-Q1,689.15,133.04054054054055
2005-03-21,2005-Q1,688.5,132.91505791505793
2005-03-22,2005-Q1,682.8,131.8146718146718
2005-03-23,2005-Q1,681.4000000000001,131.54440154440155
2005-03-24,2005-Q1,680.2000000000002,131.31274131274134
2005-03-25,2005-Q1,680.2000000000002,131.31274131274134
2005-03-28,2005-Q1,682.1500000000002,131.6891891891892
2005-03-29,2005-Q1,680.5000000000002,131.37065637065638
2005-03-30,2005-Q1,674.8500000000003,130.2799227799228
2005-03-31,2005-Q1,678.1500000000002,130.91698841698843
2005-04-01,2005-Q2,679.0500000000001,131.09073359073358
2005-04-04,2005-Q2,675.0000000000001,130.3088803088803
2005-04-05,2005-Q2,682.6000000000001,131.7760617760618
2005-04-06,2005-Q2,673.2500000000001,129.97104247104247
2005-04-07,2005-Q2,679.6000000000001,131.1969111969112
2005-04-08,2005-Q2,679.0000000000001,131.0810810810811
2005-04-11,2005-Q2,674.0000000000001,130.11583011583014
2005-04-12,2005-Q2,672.7500000000001,129.87451737451738
2005-04-13,2005-Q2,666.2500000000001,128.61969111969114
2005-04-14,2005-Q2,666.2500000000001,128.61969111969114
2005-04-15,2005-Q2,661.7500000000001,127.75096525096524
2005-04-18,2005-Q2,668.9500000000002,129.14092664092666
2005-04-19,2005-Q2,654.7500000000001,126.39961389961393
2005-04-20,2005-Q2,651.6000000000001,125.7915057915058
2005-04-21,2005-Q2,673.7500000000001,130.06756756756758
2005-04-22,2005-Q2,677.3000000000002,130.75289575289574
2005-04-25,2005-Q2,661.8500000000001,127.77027027027027
2005-04-26,2005-Q2,656.4500000000002,126.72779922779924
2005-04-27,2005-Q2,667.5000000000001,128.8610038610039
2005-04-28,2005-Q2,664.3000000000002,128.24324324324323
2005-04-29,2005-Q2,673.9500000000003,130.10617760617762
2005-05-02,2005-Q2,665.0000000000002,128.3783783783784
2005-05-03,2005-Q2,664.7500000000002,128.33011583011583
2005-05-04,2005-Q2,658.2500000000002,127.0752895752896
2005-05-05,2005-Q2,651.1000000000003,125.6949806949807
2005-05-06,2005-Q2,669.7500000000002,129.2953667953668
2005-05-09,2005-Q2,656.9500000000004,126.82432432432434
2005-05-10,2005-Q2,657.7500000000002,126.97876447876448
2005-05-11,2005-Q2,656.7500000000002,126.78571428571428
2005-05-12,2005-Q2,658.1500000000003,127.05598455598457
2005-05-13,2005-Q2,655.0000000000003,126.44787644787644
2005-05-16,2005-Q2,668.4000000000003,129.03474903474904
2005-05-17,2005-Q2,667.1000000000005,128.7837837837838
2005-05-18,2005-Q2,661.1000000000005,127.62548262548265
2005-05-19,2005-Q2,669.0000000000005,129.15057915057915
2005-05-20,2005-Q2,678.3500000000006,130.95559845559848
2005-05-23,2005-Q2,671.0000000000006,129.53667953667954
2005-05-24,2005-Q2,666.6000000000006,128.6872586872587
2005-05-25,2005-Q2,671.8500000000006,129.7007722007722
2005-05-26,2005-Q2,673.4000000000004,130.0
2005-05-27,2005-Q2,669.6000000000005,129.26640926640928
2005-05-30,2005-Q2,671.6500000000004,129.66216216216216
2005-05-31,2005-Q2,672.0000000000006,129.72972972972974
2005-06-01,2005-Q2,666.1000000000006,123.58070500927644
2005-06-02,2005-Q2,667.0000000000006,123.74768089053804
2005-06-03,2005-Q2,674.2500000000007,125.09276437847868
2005-06-04,2005-Q2,666.0000000000007,123.56215213358072
2005-06-06,2005-Q2,679.2000000000007,126.01113172541746
2005-06-07,2005-Q2,675.8500000000006,125.3896103896104
2005-06-08,2005-Q2,678.7000000000007,125.9183673469388
2005-06-09,2005-Q2,702.6500000000007,130.3617810760668
2005-06-10,2005-Q2,772.9500000000008,143.404452690167
2005-06-13,2005-Q2,777.6000000000009,144.26716141001856
2005-06-14,2005-Q2,760.700000000001,141.13172541743972
2005-06-15,2005-Q2,739.7500000000009,137.24489795918367
2005-06-16,2005-Q2,719.8500000000009,133.55287569573284
