Date,Quarter,Close,PE
2005-01-03,2005-Q1,64.35,15.394736842105264
2005-01-04,2005-Q1,68.7,16.435406698564595
2005-01-05,2005-Q1,66.49999999999999,15.90909090909091
2005-01-06,2005-Q1,65.44999999999999,15.657894736842106
2005-01-07,2005-Q1,68.34999999999998,16.351674641148325
2005-01-10,2005-Q1,71.39999999999999,17.081339712918663
2005-01-11,2005-Q1,70.59999999999998,16.88995215311005
2005-01-12,2005-Q1,64.79999999999998,15.502392344497608
2005-01-13,2005-Q1,67.35,16.11244019138756
2005-01-14,2005-Q1,64.15,15.346889952153113
2005-01-17,2005-Q1,63.7,15.239234449760769
2005-01-18,2005-Q1,64.25,15.370813397129188
2005-01-19,2005-Q1,64.15,15.346889952153113
2005-01-20,2005-Q1,62.75,15.01196172248804
2005-01-21,2005-Q1,62.75,15.01196172248804
2005-01-24,2005-Q1,62.95000000000001,15.059808612440191
2005-01-25,2005-Q1,64.3,15.382775119617223
2005-01-26,2005-Q1,64.3,15.382775119617223
2005-01-27,2005-Q1,64.60000000000001,15.454545454545457
2005-01-28,2005-Q1,67.40000000000002,16.1244019138756
2005-01-31,2005-Q1,68.80000000000001,16.45933014354067
2005-02-01,2005-Q1,65.50000000000001,15.669856459330145
2005-02-02,2005-Q1,67.75000000000001,16.20813397129187
2005-02-03,2005-Q1,73.20000000000002,17.51196172248804
2005-02-04,2005-Q1,72.15000000000002,17.26076555023924
2005-02-07,2005-Q1,76.25000000000001,18.241626794258373
2005-02-08,2005-Q1,77.55,18.55263157894737
2005-02-09,2005-Q1,78.25,18.720095693779907
2005-02-10,2005-Q1,75.60000000000001,18.086124401913874
2005-02-11,2005-Q1,76.70000000000002,18.34928229665072
2005-02-14,2005-Q1,74.85000000000001,17.906698564593302
2005-02-15,2005-Q1,71.80000000000001,17.177033492822968
2005-02-16,2005-Q1,70.25000000000001,16.80622009569378
2005-02-17,2005-Q1,69.10000000000001,16.5311004784689
2005-02-18,2005-Q1,70.2,16.794258373205743
2005-02-21,2005-Q1,70.3,16.81818181818182
2005-02-22,2005-Q1,69.7,16.67464114832536
2005-02-23,2005-Q1,67.55000000000001,16.160287081339714
2005-02-24,2005-Q1,68.70000000000002,16.435406698564595
2005-02-25,2005-Q1,68.05000000000001,16.279904306220097
2005-02-28,2005-Q1,75.25,18.002392344497608
2005-03-01,2005-Q1,74.8,57.53846153846153
2005-03-02,2005-Q1,73.8,56.76923076923077
2005-03-03,2005-Q1,74.25,57.11538461538461
2005-03-04,2005-Q1,73.35,56.42307692307692
2005-03-07,2005-Q1,73.04999999999998,56.192307692307686
2005-03-08,2005-Q1,71.39999999999999,54.92307692307693
2005-03-09,2005-Q1,70.04999999999998,53.88461538461538
2005-03-10,2005-Q1,71.94999999999999,55.34615384615385
2005-03-11,2005-Q1,71.09999999999998,54.692307692307686
2005-03-14,2005-Q1,69.94999999999999,53.80769230769231
2005-03-15,2005-Q1,69.65,53.57692307692308
2005-03-16,2005-Q1,69.5,53.46153846153846
2005-03-17,2005-Q1,69.4,53.38461538461539
