Date,Quarter,Close,PE
2005-01-03,2005-Q1,11.25,
2005-01-04,2005-Q1,10.95,
2005-01-05,2005-Q1,10.05,
2005-01-06,2005-Q1,9.55,
2005-01-07,2005-Q1,9.9,
2005-01-10,2005-Q1,10.2,
2005-01-11,2005-Q1,9.6,
2005-01-12,2005-Q1,8.7,
2005-01-13,2005-Q1,9.05,
2005-01-14,2005-Q1,9.35,
2005-01-17,2005-Q1,8.9,
2005-01-18,2005-Q1,8.9,
2005-01-19,2005-Q1,8.6,
2005-01-20,2005-Q1,8.35,
2005-01-21,2005-Q1,8.35,
2005-01-24,2005-Q1,8.1,
2005-01-25,2005-Q1,8.35,
2005-01-26,2005-Q1,8.35,
2005-01-27,2005-Q1,8.65,
2005-01-28,2005-Q1,9.55,
2005-01-31,2005-Q1,9.75,
2005-02-01,2005-Q1,9.55,
2005-02-02,2005-Q1,9.35,
2005-02-03,2005-Q1,9.35,
2005-02-04,2005-Q1,9.3,
2005-02-07,2005-Q1,10.250000000000002,
2005-02-08,2005-Q1,11.300000000000002,
2005-02-09,2005-Q1,11.750000000000004,
2005-02-10,2005-Q1,11.250000000000002,
2005-02-11,2005-Q1,11.000000000000002,
2005-02-14,2005-Q1,10.750000000000002,
2005-02-15,2005-Q1,10.350000000000001,
2005-02-16,2005-Q1,10.250000000000002,
2005-02-17,2005-Q1,10.100000000000003,
2005-02-18,2005-Q1,10.100000000000003,
2005-02-21,2005-Q1,10.000000000000002,
2005-02-22,2005-Q1,9.900000000000002,
2005-02-23,2005-Q1,9.7,
2005-02-24,2005-Q1,9.800000000000002,
2005-02-25,2005-Q1,9.55,
2005-02-28,2005-Q1,9.500000000000002,
2005-03-01,2005-Q1,9.750000000000002,
2005-03-02,2005-Q1,10.250000000000002,
2005-03-03,2005-Q1,10.800000000000002,
2005-03-04,2005-Q1,11.350000000000003,
2005-03-07,2005-Q1,11.950000000000003,
2005-03-08,2005-Q1,11.700000000000003,
2005-03-09,2005-Q1,11.150000000000004,
2005-03-10,2005-Q1,11.750000000000004,
2005-03-11,2005-Q1,11.750000000000004,
2005-03-14,2005-Q1,11.250000000000002,
2005-03-15,2005-Q1,11.000000000000002,
2005-03-16,2005-Q1,11.500000000000002,
2005-03-17,2005-Q1,12.000000000000002,
2005-03-18,2005-Q1,11.450000000000001,
2005-03-21,2005-Q1,12.050000000000002,
2005-03-22,2005-Q1,11.550000000000002,
2005-03-23,2005-Q1,11.050000000000002,
2005-03-24,2005-Q1,10.500000000000002,
2005-03-25,2005-Q1,10.500000000000002,
2005-03-28,2005-Q1,10.0,
2005-03-29,2005-Q1,9.5,
2005-03-30,2005-Q1,9.05,
2005-03-31,2005-Q1,9.500000000000002,
2005-04-01,2005-Q2,10.0,
2005-04-04,2005-Q2,10.4,
2005-04-05,2005-Q2,10.2,
2005-04-06,2005-Q2,9.9,
2005-04-07,2005-Q2,9.55,
2005-04-08,2005-Q2,9.899999999999999,
2005-04-11,2005-Q2,10.249999999999996,
2005-04-12,2005-Q2,10.249999999999996,
2005-04-13,2005-Q2,9.699999999999998,
2005-04-14,2005-Q2,9.699999999999998,
2005-04-15,2005-Q2,9.549999999999999,
2005-04-18,2005-Q2,9.099999999999998,
2005-04-19,2005-Q2,9.099999999999998,
2005-04-20,2005-Q2,9.099999999999998,
2005-04-21,2005-Q2,9.349999999999998,
2005-04-22,2005-Q2,9.349999999999998,
2005-04-25,2005-Q2,9.349999999999998,
2005-04-26,2005-Q2,8.999999999999998,
2005-04-27,2005-Q2,9.549999999999997,
2005-04-28,2005-Q2,10.549999999999997,
2005-04-29,2005-Q2,10.649999999999995,
2005-05-02,2005-Q2,10.249999999999995,
2005-05-03,2005-Q2,9.999999999999995,
2005-05-04,2005-Q2,10.999999999999995,
2005-05-05,2005-Q2,11.049999999999995,
2005-05-06,2005-Q2,10.899999999999993,
2005-05-09,2005-Q2,11.999999999999995,
2005-05-10,2005-Q2,11.999999999999995,
2005-05-11,2005-Q2,12.049999999999995,
2005-05-12,2005-Q2,12.649999999999997,
2005-05-13,2005-Q2,13.299999999999995,
2005-05-16,2005-Q2,13.999999999999995,
2005-05-17,2005-Q2,13.649999999999995,
2005-05-18,2005-Q2,14.349999999999994,
2005-05-19,2005-Q2,15.099999999999994,
2005-05-20,2005-Q2,15.649999999999995,
2005-05-23,2005-Q2,16.449999999999996,
2005-05-24,2005-Q2,17.299999999999997,
2005-05-25,2005-Q2,18.199999999999992,
2005-05-26,2005-Q2,17.849999999999994,
2005-05-27,2005-Q2,16.999999999999993,
2005-05-30,2005-Q2,16.14999999999999,
2005-05-31,2005-Q2,16.999999999999993,
2005-06-01,2005-Q2,16.699999999999992,
2005-06-02,2005-Q2,16.249999999999996,
2005-06-03,2005-Q2,17.099999999999994,
2005-06-04,2005-Q2,17.849999999999994,
2005-06-06,2005-Q2,17.29999999999999,
2005-06-07,2005-Q2,16.999999999999993,
2005-06-08,2005-Q2,16.949999999999992,
2005-06-09,2005-Q2,16.89999999999999,
2005-06-10,2005-Q2,17.699999999999992,
2005-06-13,2005-Q2,18.199999999999992,
2005-06-14,2005-Q2,18.249999999999993,
2005-06-15,2005-Q2,18.299999999999997,
2005-06-16,2005-Q2,17.599999999999994,
2005-06-17,2005-Q2,16.999999999999993,
2005-06-20,2005-Q2,16.599999999999998,
2005-06-21,2005-Q2,15.849999999999994,
2005-06-22,2005-Q2,15.099999999999994,
2005-06-23,2005-Q2,15.099999999999994,
2005-06-24,2005-Q2,15.649999999999995,
2005-06-27,2005-Q2,15.999999999999996,
2005-06-28,2005-Q2,15.199999999999996,
2005-06-29,2005-Q2,14.849999999999996,
2005-06-30,2005-Q2,14.649999999999997,
2005-07-01,2005-Q3,14.599999999999996,
2005-07-04,2005-Q3,14.799999999999997,
2005-07-05,2005-Q3,14.499999999999998,
2005-07-06,2005-Q3,15.0,
2005-07-07,2005-Q3,15.15,
2005-07-08,2005-Q3,15.950000000000001,
2005-07-11,2005-Q3,15.350000000000001,
2005-07-12,2005-Q3,15.050000000000002,
2005-07-13,2005-Q3,14.950000000000001,
2005-07-14,2005-Q3,15.100000000000001,
2005-07-15,2005-Q3,15.900000000000002,
2005-07-18,2005-Q3,16.300000000000004,
2005-07-19,2005-Q3,16.400000000000002,
2005-07-20,2005-Q3,16.250000000000004,
2005-07-21,2005-Q3,16.200000000000003,
2005-07-22,2005-Q3,16.050000000000004,
2005-07-25,2005-Q3,15.250000000000005,
2005-07-26,2005-Q3,14.950000000000005,
2005-07-27,2005-Q3,15.450000000000005,
2005-07-28,2005-Q3,15.450000000000005,
2005-07-29,2005-Q3,15.800000000000006,
2005-08-01,2005-Q3,15.200000000000005,
2005-08-02,2005-Q3,15.150000000000006,
2005-08-03,2005-Q3,14.750000000000005,
2005-08-04,2005-Q3,15.250000000000004,
2005-08-05,2005-Q3,15.250000000000004,
2005-08-08,2005-Q3,14.950000000000001,
2005-08-09,2005-Q3,14.750000000000002,
2005-08-10,2005-Q3,15.050000000000004,
2005-08-11,2005-Q3,15.000000000000004,
2005-08-12,2005-Q3,14.950000000000005,
2005-08-15,2005-Q3,14.950000000000005,
2005-08-16,2005-Q3,14.950000000000005,
2005-08-17,2005-Q3,15.450000000000005,
2005-08-18,2005-Q3,16.000000000000007,
2005-08-19,2005-Q3,17.550000000000008,
2005-08-22,2005-Q3,19.35000000000001,
2005-08-23,2005-Q3,18.400000000000006,
2005-08-24,2005-Q3,17.700000000000006,
2005-08-25,2005-Q3,18.60000000000001,
2005-08-26,2005-Q3,19.450000000000006,
2005-08-29,2005-Q3,19.550000000000008,
2005-08-30,2005-Q3,19.050000000000008,
2005-08-31,2005-Q3,18.650000000000006,
2005-09-01,2005-Q3,18.300000000000008,
2005-09-02,2005-Q3,18.150000000000006,
2005-09-05,2005-Q3,19.10000000000001,
2005-09-06,2005-Q3,20.10000000000001,
2005-09-07,2005-Q3,20.10000000000001,
2005-09-08,2005-Q3,21.150000000000002,
2005-09-09,2005-Q3,20.800000000000008,
2005-09-12,2005-Q3,20.400000000000006,
2005-09-13,2005-Q3,21.450000000000006,
2005-09-14,2005-Q3,22.10000000000001,
2005-09-15,2005-Q3,22.250000000000007,
2005-09-16,2005-Q3,22.15000000000001,
2005-09-19,2005-Q3,21.600000000000012,
2005-09-20,2005-Q3,20.850000000000012,
2005-09-21,2005-Q3,19.850000000000012,
2005-09-22,2005-Q3,18.900000000000006,
2005-09-23,2005-Q3,17.95000000000001,
2005-09-26,2005-Q3,18.05000000000001,
2005-09-27,2005-Q3,18.100000000000012,
2005-09-28,2005-Q3,17.65000000000001,
2005-09-29,2005-Q3,16.80000000000001,
2005-09-30,2005-Q3,16.00000000000001,
2005-10-03,2005-Q4,15.20000000000001,
2005-10-04,2005-Q4,16.00000000000001,
2005-10-05,2005-Q4,16.80000000000001,
2005-10-06,2005-Q4,17.350000000000012,
2005-10-07,2005-Q4,16.90000000000001,
2005-10-10,2005-Q4,16.05000000000001,
2005-10-11,2005-Q4,15.55000000000001,
2005-10-12,2005-Q4,15.55000000000001,
2005-10-13,2005-Q4,15.55000000000001,
2005-10-14,2005-Q4,14.80000000000001,
2005-10-17,2005-Q4,15.55000000000001,
2005-10-18,2005-Q4,15.50000000000001,
2005-10-19,2005-Q4,14.75000000000001,
2005-10-20,2005-Q4,14.050000000000011,
2005-10-21,2005-Q4,13.850000000000009,
2005-10-24,2005-Q4,14.550000000000011,
2005-10-25,2005-Q4,15.150000000000013,
2005-10-26,2005-Q4,15.800000000000011,
2005-10-27,2005-Q4,15.800000000000011,
2005-10-28,2005-Q4,15.050000000000011,
2005-10-31,2005-Q4,15.650000000000013,
2005-11-01,2005-Q4,16.050000000000015,
2005-11-02,2005-Q4,16.700000000000014,
2005-11-03,2005-Q4,16.700000000000014,
2005-11-04,2005-Q4,16.700000000000014,
2005-11-07,2005-Q4,17.10000000000002,
2005-11-08,2005-Q4,16.950000000000014,
2005-11-09,2005-Q4,17.050000000000015,
2005-11-10,2005-Q4,16.800000000000015,
2005-11-11,2005-Q4,16.950000000000014,
2005-11-14,2005-Q4,16.550000000000015,
2005-11-15,2005-Q4,16.550000000000015,
2005-11-16,2005-Q4,16.050000000000015,
2005-11-17,2005-Q4,15.800000000000017,
2005-11-18,2005-Q4,16.000000000000014,
2005-11-21,2005-Q4,15.750000000000016,
2005-11-22,2005-Q4,15.700000000000014,
2005-11-23,2005-Q4,15.850000000000014,
2005-11-24,2005-Q4,15.300000000000017,
2005-11-25,2005-Q4,15.750000000000014,
2005-11-26,2005-Q4,15.950000000000014,
2005-11-28,2005-Q4,15.500000000000012,
2005-11-29,2005-Q4,15.500000000000012,
2005-11-30,2005-Q4,15.300000000000013,
2005-12-01,2005-Q4,15.400000000000015,
2005-12-02,2005-Q4,15.200000000000014,
2005-12-05,2005-Q4,15.600000000000016,
2005-12-06,2005-Q4,15.500000000000014,
2005-12-07,2005-Q4,15.500000000000014,
2005-12-08,2005-Q4,15.300000000000017,
2005-12-09,2005-Q4,15.050000000000015,
2005-12-12,2005-Q4,15.000000000000014,
2005-12-13,2005-Q4,14.750000000000012,
2005-12-14,2005-Q4,14.100000000000014,
2005-12-15,2005-Q4,13.900000000000015,
2005-12-16,2005-Q4,13.700000000000014,
2005-12-19,2005-Q4,13.400000000000015,
2005-12-20,2005-Q4,13.500000000000012,
2005-12-21,2005-Q4,14.200000000000012,
2005-12-22,2005-Q4,14.950000000000014,
2005-12-23,2005-Q4,15.000000000000014,
2005-12-26,2005-Q4,14.250000000000012,
2005-12-27,2005-Q4,14.300000000000011,
2005-12-28,2005-Q4,14.00000000000001,
2005-12-29,2005-Q4,13.850000000000009,
2005-12-30,2005-Q4,14.10000000000001,
2006-01-02,2006-Q1,14.85000000000001,
2006-01-03,2006-Q1,15.000000000000012,
2006-01-04,2006-Q1,14.650000000000013,
2006-01-05,2006-Q1,14.80000000000001,
2006-01-06,2006-Q1,14.75000000000001,
2006-01-09,2006-Q1,14.80000000000001,
2006-01-10,2006-Q1,14.850000000000009,
2006-01-11,2006-Q1,14.850000000000009,
2006-01-12,2006-Q1,14.80000000000001,
2006-01-13,2006-Q1,14.65000000000001,
2006-01-16,2006-Q1,14.200000000000006,
2006-01-17,2006-Q1,14.000000000000007,
2006-01-18,2006-Q1,13.950000000000008,
2006-01-19,2006-Q1,14.00000000000001,
2006-01-20,2006-Q1,13.800000000000011,
2006-01-23,2006-Q1,13.850000000000012,
2006-01-24,2006-Q1,13.70000000000001,
2006-01-25,2006-Q1,13.500000000000012,
2006-01-26,2006-Q1,13.500000000000012,
2006-01-27,2006-Q1,13.100000000000012,
2006-01-30,2006-Q1,12.800000000000013,
2006-01-31,2006-Q1,12.800000000000013,
2006-02-01,2006-Q1,12.200000000000012,
2006-02-02,2006-Q1,11.600000000000012,
2006-02-03,2006-Q1,11.050000000000013,
2006-02-06,2006-Q1,11.35000000000001,
2006-02-07,2006-Q1,11.100000000000012,
2006-02-08,2006-Q1,11.200000000000012,
2006-02-09,2006-Q1,11.200000000000012,
2006-02-10,2006-Q1,11.800000000000011,
2006-02-13,2006-Q1,12.40000000000001,
2006-02-14,2006-Q1,13.050000000000011,
2006-02-15,2006-Q1,13.70000000000001,
2006-02-16,2006-Q1,14.400000000000013,
2006-02-17,2006-Q1,15.150000000000013,
2006-02-20,2006-Q1,14.400000000000011,
2006-02-21,2006-Q1,13.700000000000008,
2006-02-22,2006-Q1,13.200000000000008,
2006-02-23,2006-Q1,13.05000000000001,
2006-02-24,2006-Q1,13.700000000000008,
2006-02-27,2006-Q1,14.400000000000011,
2006-02-28,2006-Q1,14.250000000000009,
2006-03-01,2006-Q1,13.700000000000008,
2006-03-02,2006-Q1,13.40000000000001,
2006-03-03,2006-Q1,13.55000000000001,
2006-03-06,2006-Q1,13.500000000000009,
2006-03-07,2006-Q1,12.900000000000011,
2006-03-08,2006-Q1,12.35000000000001,
2006-03-09,2006-Q1,12.950000000000012,
2006-03-10,2006-Q1,12.85000000000001,
2006-03-13,2006-Q1,12.40000000000001,
2006-03-14,2006-Q1,12.35000000000001,
2006-03-15,2006-Q1,12.35000000000001,
2006-03-16,2006-Q1,11.950000000000006,
2006-03-17,2006-Q1,12.550000000000008,
2006-03-20,2006-Q1,11.950000000000006,
2006-03-21,2006-Q1,11.40000000000001,
2006-03-22,2006-Q1,10.850000000000007,
2006-03-23,2006-Q1,10.450000000000006,
2006-03-24,2006-Q1,10.350000000000007,
2006-03-27,2006-Q1,10.600000000000009,
2006-03-28,2006-Q1,10.100000000000007,
2006-03-29,2006-Q1,9.90000000000001,
2006-03-30,2006-Q1,9.65000000000001,
2006-03-31,2006-Q1,9.750000000000009,
2006-04-03,2006-Q2,10.25000000000001,
2006-04-04,2006-Q2,10.800000000000011,
2006-04-05,2006-Q2,11.35000000000001,
2006-04-06,2006-Q2,11.35000000000001,
2006-04-07,2006-Q2,11.60000000000001,
2006-04-10,2006-Q2,12.200000000000012,
2006-04-11,2006-Q2,12.200000000000012,
2006-04-12,2006-Q2,11.950000000000012,
2006-04-13,2006-Q2,11.650000000000013,
2006-04-14,2006-Q2,11.650000000000013,
2006-04-17,2006-Q2,11.70000000000001,
2006-04-18,2006-Q2,11.60000000000001,
2006-04-19,2006-Q2,11.800000000000011,
2006-04-20,2006-Q2,11.950000000000012,
2006-04-21,2006-Q2,11.950000000000012,
2006-04-24,2006-Q2,11.600000000000012,
2006-04-25,2006-Q2,11.550000000000015,
2006-04-26,2006-Q2,11.350000000000014,
2006-04-27,2006-Q2,11.350000000000014,
2006-04-28,2006-Q2,11.400000000000013,
2006-04-29,2006-Q2,12.000000000000012,
2006-05-01,2006-Q2,12.000000000000012,
2006-05-02,2006-Q2,12.600000000000014,
2006-05-03,2006-Q2,13.250000000000016,
2006-05-04,2006-Q2,13.950000000000015,
2006-05-05,2006-Q2,14.650000000000016,
2006-05-08,2006-Q2,15.40000000000002,
2006-05-09,2006-Q2,16.20000000000002,
2006-05-10,2006-Q2,17.05000000000002,
2006-05-11,2006-Q2,17.550000000000022,
2006-05-12,2006-Q2,17.00000000000002,
2006-05-15,2006-Q2,16.150000000000016,
2006-05-16,2006-Q2,15.350000000000016,
2006-05-17,2006-Q2,14.600000000000014,
2006-05-18,2006-Q2,13.900000000000015,
2006-05-19,2006-Q2,13.400000000000015,
2006-05-22,2006-Q2,12.750000000000014,
2006-05-23,2006-Q2,12.150000000000016,
2006-05-24,2006-Q2,11.700000000000015,
2006-05-25,2006-Q2,12.300000000000017,
2006-05-26,2006-Q2,12.950000000000015,
2006-05-29,2006-Q2,13.600000000000017,
2006-05-30,2006-Q2,13.800000000000022,
2006-05-31,2006-Q2,13.550000000000022,
2006-06-01,2006-Q2,12.90000000000002,
2006-06-02,2006-Q2,12.25000000000002,
2006-06-05,2006-Q2,11.800000000000018,
2006-06-06,2006-Q2,11.250000000000018,
2006-06-07,2006-Q2,10.750000000000016,
2006-06-08,2006-Q2,10.250000000000016,
2006-06-09,2006-Q2,9.800000000000015,
2006-06-12,2006-Q2,9.550000000000015,
2006-06-13,2006-Q2,9.100000000000014,
2006-06-14,2006-Q2,8.900000000000013,
2006-06-15,2006-Q2,9.350000000000014,
2006-06-16,2006-Q2,9.850000000000014,
2006-06-19,2006-Q2,10.350000000000014,
2006-06-20,2006-Q2,10.900000000000015,
2006-06-21,2006-Q2,11.450000000000014,
2006-06-22,2006-Q2,12.050000000000015,
2006-06-23,2006-Q2,11.450000000000012,
2006-06-25,2006-Q2,11.650000000000013,
2006-06-26,2006-Q2,11.100000000000012,
2006-06-27,2006-Q2,10.800000000000011,
2006-06-28,2006-Q2,11.050000000000013,
2006-06-29,2006-Q2,10.550000000000013,
2006-06-30,2006-Q2,11.100000000000014,
2006-07-03,2006-Q3,10.950000000000014,
2006-07-04,2006-Q3,10.750000000000014,
2006-07-05,2006-Q3,10.700000000000014,
2006-07-06,2006-Q3,10.350000000000012,
2006-07-07,2006-Q3,10.100000000000012,
2006-07-10,2006-Q3,10.000000000000012,
2006-07-11,2006-Q3,10.050000000000013,
2006-07-12,2006-Q3,10.000000000000012,
2006-07-13,2006-Q3,10.25000000000001,
2006-07-14,2006-Q3,10.300000000000011,
2006-07-17,2006-Q3,10.20000000000001,
2006-07-18,2006-Q3,10.20000000000001,
2006-07-19,2006-Q3,9.900000000000011,
2006-07-20,2006-Q3,10.400000000000013,
2006-07-21,2006-Q3,10.200000000000012,
2006-07-24,2006-Q3,10.100000000000012,
2006-07-25,2006-Q3,10.200000000000014,
2006-07-26,2006-Q3,10.150000000000015,
2006-07-27,2006-Q3,10.100000000000012,
2006-07-28,2006-Q3,10.050000000000013,
2006-07-31,2006-Q3,10.050000000000013,
2006-08-01,2006-Q3,10.000000000000012,
2006-08-02,2006-Q3,10.000000000000012,
2006-08-03,2006-Q3,9.95000000000001,
2006-08-04,2006-Q3,9.900000000000011,
2006-08-07,2006-Q3,9.900000000000011,
2006-08-08,2006-Q3,9.95000000000001,
2006-08-09,2006-Q3,9.900000000000011,
2006-08-10,2006-Q3,10.000000000000012,
2006-08-11,2006-Q3,9.95000000000001,
2006-08-14,2006-Q3,10.450000000000012,
2006-08-15,2006-Q3,10.450000000000012,
2006-08-16,2006-Q3,10.500000000000012,
2006-08-17,2006-Q3,10.450000000000012,
2006-08-18,2006-Q3,10.350000000000012,
2006-08-21,2006-Q3,10.400000000000013,
2006-08-22,2006-Q3,10.400000000000013,
2006-08-23,2006-Q3,10.35000000000001,
2006-08-24,2006-Q3,10.150000000000011,
2006-08-25,2006-Q3,10.400000000000013,
2006-08-28,2006-Q3,10.700000000000012,
2006-08-29,2006-Q3,10.400000000000013,
2006-08-30,2006-Q3,10.35000000000001,
2006-08-31,2006-Q3,10.300000000000011,
2006-09-01,2006-Q3,10.25000000000001,
2006-09-04,2006-Q3,10.50000000000001,
2006-09-05,2006-Q3,10.550000000000011,
2006-09-06,2006-Q3,10.05000000000001,
2006-09-07,2006-Q3,9.55000000000001,
2006-09-08,2006-Q3,10.050000000000008,
2006-09-11,2006-Q3,9.550000000000008,
2006-09-12,2006-Q3,9.650000000000007,
2006-09-13,2006-Q3,9.650000000000007,
2006-09-14,2006-Q3,9.650000000000007,
2006-09-15,2006-Q3,9.650000000000007,
2006-09-18,2006-Q3,9.650000000000007,
2006-09-19,2006-Q3,9.650000000000007,
2006-09-20,2006-Q3,9.650000000000007,
2006-09-21,2006-Q3,9.650000000000007,
2006-09-22,2006-Q3,9.650000000000007,
