Date,Quarter,Close,PE
2005-01-03,2005-Q1,50.0,
2005-01-04,2005-Q1,49.0,
2005-01-05,2005-Q1,46.5,
2005-01-06,2005-Q1,43.2,
2005-01-07,2005-Q1,45.0,
2005-01-10,2005-Q1,45.050000000000004,
2005-01-11,2005-Q1,43.9,
2005-01-12,2005-Q1,40.35,
2005-01-13,2005-Q1,41.75000000000001,
2005-01-14,2005-Q1,41.150000000000006,
2005-01-17,2005-Q1,40.00000000000001,
2005-01-18,2005-Q1,39.95000000000001,
2005-01-19,2005-Q1,39.70000000000001,
2005-01-20,2005-Q1,38.3,
2005-01-21,2005-Q1,38.3,
2005-01-24,2005-Q1,37.2,
2005-01-25,2005-Q1,36.9,
2005-01-26,2005-Q1,36.9,
2005-01-27,2005-Q1,43.6,
2005-01-28,2005-Q1,41.65,
2005-01-31,2005-Q1,41.65,
2005-02-01,2005-Q1,40.95,
2005-02-02,2005-Q1,39.5,
2005-02-03,2005-Q1,39.7,
2005-02-04,2005-Q1,43.55,
2005-02-07,2005-Q1,44.55,
2005-02-08,2005-Q1,44.0,
2005-02-09,2005-Q1,43.05,
2005-02-10,2005-Q1,43.1,
2005-02-11,2005-Q1,43.75,
2005-02-14,2005-Q1,48.15,
2005-02-15,2005-Q1,46.25,
2005-02-16,2005-Q1,44.75,
2005-02-17,2005-Q1,44.0,
2005-02-18,2005-Q1,43.35,
2005-02-21,2005-Q1,43.05,
2005-02-22,2005-Q1,42.89999999999999,
2005-02-23,2005-Q1,43.699999999999996,
2005-02-24,2005-Q1,44.099999999999994,
2005-02-25,2005-Q1,45.99999999999999,
2005-02-28,2005-Q1,43.499999999999986,
2005-03-01,2005-Q1,43.34999999999999,33.34615384615385
2005-03-02,2005-Q1,42.89999999999999,33.0
2005-03-03,2005-Q1,44.249999999999986,34.03846153846154
2005-03-04,2005-Q1,43.249999999999986,33.26923076923077
2005-03-07,2005-Q1,42.84999999999999,32.96153846153846
2005-03-08,2005-Q1,41.69999999999999,32.07692307692308
2005-03-09,2005-Q1,40.29999999999998,31.0
2005-03-10,2005-Q1,40.04999999999998,30.807692307692303
2005-03-11,2005-Q1,40.34999999999998,31.03846153846154
2005-03-14,2005-Q1,38.89999999999998,29.92307692307692
2005-03-15,2005-Q1,38.549999999999976,29.65384615384615
2005-03-16,2005-Q1,38.59999999999999,29.692307692307693
2005-03-17,2005-Q1,37.899999999999984,29.15384615384616
2005-03-18,2005-Q1,37.59999999999999,28.923076923076923
2005-03-21,2005-Q1,36.499999999999986,28.07692307692308
2005-03-22,2005-Q1,35.399999999999984,27.23076923076923
2005-03-23,2005-Q1,33.99999999999999,26.15384615384616
2005-03-24,2005-Q1,33.44999999999999,25.73076923076924
2005-03-25,2005-Q1,33.44999999999999,25.73076923076924
2005-03-28,2005-Q1,33.599999999999994,25.846153846153847
2005-03-29,2005-Q1,31.84999999999999,24.5
2005-03-30,2005-Q1,31.94999999999999,24.57692307692308
2005-03-31,2005-Q1,33.599999999999994,25.846153846153847
2005-04-01,2005-Q2,35.649999999999984,27.42307692307692
2005-04-04,2005-Q2,35.599999999999994,27.384615384615383
2005-04-05,2005-Q2,34.599999999999994,26.615384615384617
2005-04-06,2005-Q2,34.89999999999999,26.846153846153843
2005-04-07,2005-Q2,36.55,28.115384615384613
2005-04-08,2005-Q2,35.75,27.5
2005-04-11,2005-Q2,34.7,26.692307692307693
2005-04-12,2005-Q2,34.35,26.423076923076923
2005-04-13,2005-Q2,33.5,25.76923076923077
2005-04-14,2005-Q2,33.5,25.76923076923077
2005-04-15,2005-Q2,33.300000000000004,25.615384615384613
2005-04-18,2005-Q2,33.85000000000001,26.03846153846154
2005-04-19,2005-Q2,33.10000000000001,25.461538461538463
2005-04-20,2005-Q2,33.300000000000004,25.615384615384613
2005-04-21,2005-Q2,34.00000000000001,26.15384615384616
