Date,Quarter,Close,PE
2005-01-03,2005-Q1,281.638615,50.837295126353794
2005-01-04,2005-Q1,292.525337,52.80240740072202
2005-01-05,2005-Q1,282.21393,50.94114259927798
2005-01-06,2005-Q1,276.505039,49.91065685920578
2005-01-07,2005-Q1,278.850552,50.33403465703971
2005-01-10,2005-Q1,286.108367,51.644109566787
2005-01-11,2005-Q1,275.221645,49.67899729241878
2005-01-12,2005-Q1,251.633747,45.421253971119135
2005-01-13,2005-Q1,273.584211,49.38343158844765
2005-01-14,2005-Q1,277.036099,50.006516064981945
2005-01-17,2005-Q1,276.239509,49.86272725631769
2005-01-18,2005-Q1,275.885469,49.79882111913357
2005-01-19,2005-Q1,268.76042,48.51271119133574
2005-01-20,2005-Q1,265.308532,47.889626714801445
2005-01-21,2005-Q1,265.308532,47.889626714801445
2005-01-24,2005-Q1,259.334111,46.81121137184115
2005-01-25,2005-Q1,265.264277,47.88163844765343
2005-01-26,2005-Q1,265.264277,47.88163844765343
2005-01-27,2005-Q1,278.62927700000006,50.29409332129964
2005-01-28,2005-Q1,281.46159500000005,50.80534205776173
2005-01-31,2005-Q1,305.4035330000001,55.12699151624548
2005-02-01,2005-Q1,298.63252300000005,53.904787545126354
2005-02-02,2005-Q1,306.59841700000004,55.34267454873646
2005-02-03,2005-Q1,303.14653000000004,54.719590252707576
2005-02-04,2005-Q1,311.9090130000001,56.301265884476535
2005-02-07,2005-Q1,310.138815,55.98173555956679
2005-02-08,2005-Q1,298.322738,53.848869675090256
2005-02-09,2005-Q1,312.5285830000001,56.41310162454874
2005-02-10,2005-Q1,307.30649700000004,55.470486823104686
2005-02-11,2005-Q1,303.72184400000003,54.823437545126346
2005-02-14,2005-Q1,292.12704300000007,52.73051317689531
2005-02-15,2005-Q1,289.60450900000006,52.2751821299639
2005-02-16,2005-Q1,272.65485700000005,49.21567815884477
2005-02-17,2005-Q1,275.88546900000006,49.79882111913357
2005-02-18,2005-Q1,275.48717500000004,49.72692689530685
2005-02-21,2005-Q1,270.7961480000001,48.88017111913358
2005-02-22,2005-Q1,272.9646420000001,49.27159602888087
2005-02-23,2005-Q1,280.44373100000007,50.621612093862815
2005-02-24,2005-Q1,279.42586700000004,50.437882129963896
2005-02-25,2005-Q1,283.2760490000001,51.13286083032491
