Date,Quarter,Close,PE
2005-01-03,2005-Q1,53.55,
2005-01-04,2005-Q1,52.9,
2005-01-05,2005-Q1,48.85,
2005-01-06,2005-Q1,47.05,
2005-01-07,2005-Q1,48.05,
2005-01-10,2005-Q1,48.7,
2005-01-11,2005-Q1,46.25,
2005-01-12,2005-Q1,42.75,
2005-01-13,2005-Q1,44.9,
2005-01-14,2005-Q1,44.1,
2005-01-17,2005-Q1,43.04999999999999,
2005-01-18,2005-Q1,43.14999999999999,
2005-01-19,2005-Q1,42.8,
2005-01-20,2005-Q1,41.75,
2005-01-21,2005-Q1,41.75,
2005-01-24,2005-Q1,41.64999999999999,
2005-01-25,2005-Q1,43.1,
2005-01-26,2005-Q1,43.1,
2005-01-27,2005-Q1,43.8,
2005-01-28,2005-Q1,44.45,
2005-01-31,2005-Q1,43.4,
2005-02-01,2005-Q1,43.54999999999999,
2005-02-02,2005-Q1,44.55,
2005-02-03,2005-Q1,45.3,
2005-02-04,2005-Q1,44.55,
2005-02-07,2005-Q1,44.0,
2005-02-08,2005-Q1,46.2,
2005-02-09,2005-Q1,47.0,
2005-02-10,2005-Q1,47.349999999999994,
2005-02-11,2005-Q1,49.89999999999999,
2005-02-14,2005-Q1,47.849999999999994,
2005-02-15,2005-Q1,46.399999999999984,
2005-02-16,2005-Q1,45.74999999999999,
2005-02-17,2005-Q1,45.54999999999998,
2005-02-18,2005-Q1,45.949999999999996,
2005-02-21,2005-Q1,44.49999999999999,
2005-02-22,2005-Q1,44.04999999999999,
2005-02-23,2005-Q1,43.99999999999999,
2005-02-24,2005-Q1,43.74999999999999,
2005-02-25,2005-Q1,47.199999999999996,
2005-02-28,2005-Q1,45.599999999999994,
2005-03-01,2005-Q1,44.74999999999999,
2005-03-02,2005-Q1,44.39999999999999,
2005-03-03,2005-Q1,45.39999999999999,
2005-03-04,2005-Q1,45.89999999999999,
2005-03-07,2005-Q1,45.249999999999986,
2005-03-08,2005-Q1,44.84999999999999,
2005-03-09,2005-Q1,43.649999999999984,
2005-03-10,2005-Q1,44.149999999999984,
2005-03-11,2005-Q1,43.09999999999999,
2005-03-14,2005-Q1,42.499999999999986,
2005-03-15,2005-Q1,42.09999999999999,
2005-03-16,2005-Q1,43.34999999999999,
2005-03-17,2005-Q1,42.24999999999999,
2005-03-18,2005-Q1,41.199999999999996,
2005-03-21,2005-Q1,40.599999999999994,
2005-03-22,2005-Q1,38.99999999999999,
2005-03-23,2005-Q1,38.1,
2005-03-24,2005-Q1,37.45,
2005-03-25,2005-Q1,37.45,
2005-03-28,2005-Q1,37.35,
2005-03-29,2005-Q1,36.25,
2005-03-30,2005-Q1,36.35000000000001,
2005-03-31,2005-Q1,37.95,
2005-04-01,2005-Q2,39.25000000000001,
2005-04-04,2005-Q2,40.00000000000001,
2005-04-05,2005-Q2,39.35000000000001,
2005-04-06,2005-Q2,39.150000000000006,
2005-04-07,2005-Q2,42.80000000000001,
2005-04-08,2005-Q2,42.35000000000002,
2005-04-11,2005-Q2,40.75000000000002,
2005-04-12,2005-Q2,41.30000000000002,
2005-04-13,2005-Q2,41.40000000000002,
2005-04-14,2005-Q2,41.40000000000002,
2005-04-15,2005-Q2,39.40000000000002,
2005-04-18,2005-Q2,38.950000000000024,
2005-04-19,2005-Q2,38.60000000000003,
2005-04-20,2005-Q2,38.80000000000002,
2005-04-21,2005-Q2,38.950000000000024,
2005-04-22,2005-Q2,39.75000000000002,
2005-04-25,2005-Q2,40.00000000000002,
2005-04-26,2005-Q2,39.90000000000002,
2005-04-27,2005-Q2,39.05000000000002,
2005-04-28,2005-Q2,38.75000000000002,
2005-04-29,2005-Q2,37.950000000000024,
2005-05-02,2005-Q2,36.65000000000002,
2005-05-03,2005-Q2,36.40000000000002,
