Date,Quarter,Close,PE
2005-01-03,2005-Q1,145.75,
2005-01-04,2005-Q1,142.9,
2005-01-05,2005-Q1,137.4,
2005-01-06,2005-Q1,134.7,
2005-01-07,2005-Q1,138.9,
2005-01-10,2005-Q1,141.45,
2005-01-11,2005-Q1,139.8,
2005-01-12,2005-Q1,141.95,
2005-01-13,2005-Q1,148.75000000000003,
2005-01-14,2005-Q1,150.60000000000002,
2005-01-17,2005-Q1,149.80000000000004,
2005-01-18,2005-Q1,151.35000000000002,
2005-01-19,2005-Q1,148.15000000000003,
2005-01-20,2005-Q1,143.50000000000003,
2005-01-21,2005-Q1,143.50000000000003,
2005-01-24,2005-Q1,139.60000000000002,
2005-01-25,2005-Q1,139.60000000000002,
2005-01-26,2005-Q1,139.60000000000002,
2005-01-27,2005-Q1,145.25000000000003,
2005-01-28,2005-Q1,149.95,
2005-01-31,2005-Q1,143.75,
2005-02-01,2005-Q1,140.45,
2005-02-02,2005-Q1,140.6,
2005-02-03,2005-Q1,141.55,
2005-02-04,2005-Q1,138.9,
2005-02-07,2005-Q1,139.3,
2005-02-08,2005-Q1,138.4,
2005-02-09,2005-Q1,138.99999999999997,
2005-02-10,2005-Q1,138.2,
2005-02-11,2005-Q1,138.35,
2005-02-14,2005-Q1,136.9,
2005-02-15,2005-Q1,134.80000000000004,
2005-02-16,2005-Q1,134.90000000000003,
2005-02-17,2005-Q1,133.30000000000004,
2005-02-18,2005-Q1,132.75000000000003,
2005-02-21,2005-Q1,134.20000000000005,
2005-02-22,2005-Q1,132.80000000000007,
2005-02-23,2005-Q1,133.40000000000006,
2005-02-24,2005-Q1,132.10000000000005,
2005-02-25,2005-Q1,129.55000000000007,
2005-02-28,2005-Q1,129.85000000000005,
2005-03-01,2005-Q1,129.80000000000007,94.05797101449276
2005-03-02,2005-Q1,129.45000000000005,93.80434782608695
2005-03-03,2005-Q1,131.40000000000006,95.21739130434784
2005-03-04,2005-Q1,129.40000000000006,93.768115942029
2005-03-07,2005-Q1,127.30000000000005,92.2463768115942
2005-03-08,2005-Q1,127.70000000000007,92.53623188405798
2005-03-09,2005-Q1,127.35000000000007,92.28260869565216
2005-03-10,2005-Q1,125.40000000000009,90.86956521739133
2005-03-11,2005-Q1,125.30000000000008,90.79710144927536
2005-03-14,2005-Q1,123.50000000000009,89.4927536231884
2005-03-15,2005-Q1,121.30000000000008,87.89855072463769
2005-03-16,2005-Q1,119.15000000000009,86.34057971014494
2005-03-17,2005-Q1,115.10000000000008,83.40579710144928
2005-03-18,2005-Q1,112.40000000000009,81.44927536231886
2005-03-21,2005-Q1,111.10000000000007,80.5072463768116
2005-03-22,2005-Q1,105.60000000000005,76.52173913043478
2005-03-23,2005-Q1,102.45000000000006,74.23913043478262
2005-03-24,2005-Q1,97.65000000000005,70.7608695652174
2005-03-25,2005-Q1,97.65000000000005,70.7608695652174
2005-03-28,2005-Q1,102.55000000000004,74.31159420289856
2005-03-29,2005-Q1,107.70000000000006,78.04347826086958
2005-03-30,2005-Q1,113.10000000000007,81.95652173913044
2005-03-31,2005-Q1,118.80000000000007,86.08695652173914
2005-04-01,2005-Q2,124.75000000000009,90.39855072463769
2005-04-04,2005-Q2,131.00000000000009,94.92753623188406
2005-04-05,2005-Q2,135.5500000000001,98.22463768115944
2005-04-06,2005-Q2,138.70000000000005,100.5072463768116
2005-04-07,2005-Q2,141.85000000000008,102.78985507246377
2005-04-08,2005-Q2,138.95000000000007,100.68840579710144
2005-04-11,2005-Q2,137.95000000000007,99.96376811594205
2005-04-12,2005-Q2,134.5500000000001,97.5
2005-04-13,2005-Q2,138.00000000000009,100.0
2005-04-14,2005-Q2,138.00000000000009,100.0
2005-04-15,2005-Q2,134.00000000000006,97.10144927536231
2005-04-18,2005-Q2,134.75000000000009,97.64492753623188
2005-04-19,2005-Q2,134.85000000000008,97.71739130434784
2005-04-20,2005-Q2,133.00000000000009,96.3768115942029
2005-04-21,2005-Q2,132.4000000000001,95.94202898550726
