Date,Quarter,Close,PE
2005-01-03,2005-Q1,204.95,
2005-01-04,2005-Q1,201.75,
2005-01-05,2005-Q1,191.99999999999997,
2005-01-06,2005-Q1,190.64999999999998,
2005-01-07,2005-Q1,193.84999999999997,
2005-01-10,2005-Q1,192.79999999999998,
2005-01-11,2005-Q1,181.39999999999998,
2005-01-12,2005-Q1,165.19999999999996,
2005-01-13,2005-Q1,175.84999999999997,
2005-01-14,2005-Q1,174.19999999999993,
2005-01-17,2005-Q1,173.09999999999997,
2005-01-18,2005-Q1,180.19999999999996,
2005-01-19,2005-Q1,188.79999999999998,
2005-01-20,2005-Q1,187.89999999999998,
2005-01-21,2005-Q1,187.89999999999998,
2005-01-24,2005-Q1,184.24999999999997,
2005-01-25,2005-Q1,183.99999999999997,
2005-01-26,2005-Q1,183.99999999999997,
2005-01-27,2005-Q1,185.24999999999997,
2005-01-28,2005-Q1,189.99999999999994,
2005-01-31,2005-Q1,184.14999999999995,
2005-02-01,2005-Q1,178.84999999999994,
2005-02-02,2005-Q1,178.69999999999993,
2005-02-03,2005-Q1,191.54999999999995,
2005-02-04,2005-Q1,200.54999999999993,
2005-02-07,2005-Q1,199.79999999999995,
2005-02-08,2005-Q1,199.99999999999991,
2005-02-09,2005-Q1,198.04999999999993,
2005-02-10,2005-Q1,202.04999999999993,
2005-02-11,2005-Q1,197.7499999999999,
2005-02-14,2005-Q1,199.5999999999999,
2005-02-15,2005-Q1,200.1999999999999,
2005-02-16,2005-Q1,195.9499999999999,
2005-02-17,2005-Q1,195.74999999999991,
2005-02-18,2005-Q1,198.84999999999994,
2005-02-21,2005-Q1,195.79999999999993,
2005-02-22,2005-Q1,206.1999999999999,
2005-02-23,2005-Q1,228.4499999999999,
2005-02-24,2005-Q1,232.44999999999996,
2005-02-25,2005-Q1,230.09999999999994,
2005-02-28,2005-Q1,230.74999999999994,
2005-03-01,2005-Q1,224.94999999999993,43.25961538461538
2005-03-02,2005-Q1,233.64999999999992,44.93269230769231
2005-03-03,2005-Q1,237.84999999999988,45.74038461538461
2005-03-04,2005-Q1,243.8499999999999,46.89423076923077
2005-03-07,2005-Q1,240.44999999999987,46.24038461538461
2005-03-08,2005-Q1,238.39999999999986,45.84615384615385
2005-03-09,2005-Q1,236.04999999999987,45.39423076923077
2005-03-10,2005-Q1,246.49999999999983,47.40384615384615
2005-03-11,2005-Q1,246.29999999999984,47.36538461538461
2005-03-14,2005-Q1,243.14999999999984,46.75961538461539
2005-03-15,2005-Q1,235.84999999999982,45.355769230769226
2005-03-16,2005-Q1,232.79999999999984,44.76923076923077
2005-03-17,2005-Q1,225.54999999999984,43.375
2005-03-18,2005-Q1,226.84999999999982,43.625
2005-03-21,2005-Q1,227.29999999999984,43.71153846153846
2005-03-22,2005-Q1,224.14999999999984,43.10576923076923
2005-03-23,2005-Q1,223.9499999999998,43.067307692307686
2005-03-24,2005-Q1,222.4999999999998,42.78846153846154
2005-03-25,2005-Q1,222.4999999999998,42.78846153846154
2005-03-28,2005-Q1,224.84999999999982,43.24038461538461
2005-03-29,2005-Q1,224.9999999999998,43.26923076923077
2005-03-30,2005-Q1,231.79999999999987,44.57692307692308
2005-03-31,2005-Q1,231.99999999999986,44.61538461538461
2005-04-01,2005-Q2,227.49999999999986,43.75
2005-04-04,2005-Q2,226.9999999999999,43.65384615384615
2005-04-05,2005-Q2,224.8499999999999,43.24038461538461
2005-04-06,2005-Q2,226.9499999999999,43.64423076923077
2005-04-07,2005-Q2,222.9999999999999,42.88461538461538
2005-04-08,2005-Q2,222.2999999999999,42.75
2005-04-11,2005-Q2,221.64999999999992,42.625
2005-04-12,2005-Q2,223.9499999999999,43.067307692307686
2005-04-13,2005-Q2,221.0499999999999,42.50961538461539
2005-04-14,2005-Q2,221.0499999999999,42.50961538461539
2005-04-15,2005-Q2,216.3999999999999,41.61538461538461
2005-04-18,2005-Q2,212.99999999999991,40.96153846153846
2005-04-19,2005-Q2,211.99999999999991,40.76923076923077
2005-04-20,2005-Q2,208.24999999999991,40.04807692307692
2005-04-21,2005-Q2,209.3999999999999,40.26923076923077
2005-04-22,2005-Q2,214.54999999999987,41.25961538461539
2005-04-25,2005-Q2,216.89999999999986,41.71153846153846
2005-04-26,2005-Q2,215.99999999999986,41.53846153846154
2005-04-27,2005-Q2,208.99999999999986,40.19230769230769
2005-04-28,2005-Q2,205.6499999999999,39.54807692307692
2005-04-29,2005-Q2,202.0499999999999,38.85576923076923
2005-05-02,2005-Q2,195.69999999999987,37.63461538461538
2005-05-03,2005-Q2,195.34999999999988,37.56730769230769
2005-05-04,2005-Q2,234.41999999999985,45.08653846153846
2005-05-05,2005-Q2,238.41948816378743,45.855769230769226
2005-05-06,2005-Q2,240.8691746641073,46.32692307692307
2005-05-09,2005-Q2,262.1664491362762,50.42307692307692
2005-05-10,2005-Q2,265.1660652591169,50.99999999999999
2005-05-11,2005-Q2,212.13285220729355,33.20192307692308
2005-05-12,2005-Q2,254.55942264875225,39.84615384615384
2005-05-13,2005-Q2,291.72362407309953,45.66346153846153
2005-05-16,2005-Q2,275.62937486123343,43.14423076923077
2005-05-17,2005-Q2,263.8351158968125,41.29807692307692
2005-05-18,2005-Q2,273.9708071943617,42.88461538461538
2005-05-19,2005-Q2,270.8993855890438,42.40384615384615
2005-05-20,2005-Q2,271.08367088536284,42.43269230769231
2005-05-23,2005-Q2,269.85510224323565,42.24038461538461
2005-05-24,2005-Q2,273.0493807127663,42.74038461538461
2005-05-25,2005-Q2,268.5651051690021,42.03846153846153
2005-05-26,2005-Q2,264.265114921557,41.36538461538461
2005-05-27,2005-Q2,266.96796593423676,41.78846153846154
2005-05-30,2005-Q2,258.1837001430274,40.41346153846154
2005-05-31,2005-Q2,256.6479893403684,40.17307692307692
2005-06-01,2005-Q2,258.797984464091,
2005-06-02,2005-Q2,252.5322843892423,
2005-06-03,2005-Q2,257.75370111828283,
2005-06-04,2005-Q2,265.3708266994714,
2005-06-06,2005-Q2,268.2579630084703,
2005-06-07,2005-Q2,265.125112971046,
2005-06-08,2005-Q2,271.5750983422137,
2005-06-09,2005-Q2,274.6465199475316,
2005-06-10,2005-Q2,267.5822502553003,
2005-06-13,2005-Q2,257.262273661432,
2005-06-14,2005-Q2,257.9994148467083,
2005-06-15,2005-Q2,256.7094177724747,
2005-06-16,2005-Q2,252.96228341398682,
2005-06-17,2005-Q2,250.259432401307,
2005-06-20,2005-Q2,245.0380156722665,
2005-06-21,2005-Q2,247.55658138862725,
2005-06-22,2005-Q2,245.71372842543647,
2005-06-23,2005-Q2,244.85373037594746,
2005-06-24,2005-Q2,244.6694450796284,
2005-06-27,2005-Q2,243.13373427696945,
2005-06-28,2005-Q2,240.67659699271508,
2005-06-29,2005-Q2,242.64230682011853,
2005-06-30,2005-Q2,239.69374207901333,
2005-07-01,2005-Q3,247.3722960923082,
2005-07-04,2005-Q3,244.17801762277756,
2005-07-05,2005-Q3,250.68943142605164,
2005-07-06,2005-Q3,251.79514320396606,
2005-07-07,2005-Q3,249.0922921912863,
2005-07-08,2005-Q3,248.41657943811632,
2005-07-11,2005-Q3,245.71372842543656,
2005-07-12,2005-Q3,247.7408666849464,
2005-07-13,2005-Q3,248.72372159864815,
2005-07-14,2005-Q3,242.02802249905506,
2005-07-15,2005-Q3,251.79514320396612,
2005-07-18,2005-Q3,258.1222717109211,
2005-07-19,2005-Q3,258.4294138714529,
2005-07-20,2005-Q3,258.73655603198466,
2005-07-21,2005-Q3,245.4680146970111,
2005-07-22,2005-Q3,243.74801859803304,
2005-07-25,2005-Q3,242.1508793632677,
2005-07-26,2005-Q3,239.632313646907,
2005-07-27,2005-Q3,238.34231657267344,
2005-07-28,2005-Q3,238.34231657267344,
2005-07-29,2005-Q3,229.55805078146412,
2005-08-01,2005-Q3,239.5094567826943,
2005-08-02,2005-Q3,229.86519294199593,
2005-08-03,2005-Q3,225.0737752376999,
2005-08-04,2005-Q3,248.60086473443545,
2005-08-05,2005-Q3,251.24228731500895,
2005-08-08,2005-Q3,248.96943532707365,
2005-08-09,2005-Q3,235.70089399210005,
2005-08-10,2005-Q3,241.90516563484235,
2005-08-11,2005-Q3,251.91800006817886,
2005-08-12,2005-Q3,259.473697217261,
2005-08-15,2005-Q3,259.473697217261,
2005-08-16,2005-Q3,263.03654627942984,
2005-08-17,2005-Q3,264.3265433536634,
2005-08-18,2005-Q3,266.1693963168541,
2005-08-19,2005-Q3,260.8865511557072,
2005-08-22,2005-Q3,269.1793894900657,
2005-08-23,2005-Q3,260.6408374272818,
2005-08-24,2005-Q3,256.7708462045811,
2005-08-25,2005-Q3,272.6193816880218,
2005-08-26,2005-Q3,281.77221807186936,
2005-08-29,2005-Q3,276.48937291072247,
2005-08-30,2005-Q3,270.46938656429927,
2005-08-31,2005-Q3,270.7151002927247,
2005-09-01,2005-Q3,276.4279444786161,68.18181818181819
2005-09-02,2005-Q3,271.45224147800104,66.95454545454545
2005-09-05,2005-Q3,270.2851012679802,66.66666666666667
2005-09-06,2005-Q3,272.0050973669583,67.0909090909091
2005-09-07,2005-Q3,272.0050973669583,67.0909090909091
2005-09-08,2005-Q3,275.01509054016987,67.83333333333333
2005-09-09,2005-Q3,278.6393680344451,68.72727272727273
2005-09-12,2005-Q3,282.5093592571457,69.68181818181819
2005-09-13,2005-Q3,294.9793309747367,72.75757575757576
2005-09-14,2005-Q3,297.3136113947783,73.33333333333334
2005-09-15,2005-Q3,300.9993173211599,74.24242424242425
2005-09-16,2005-Q3,295.04075940684305,72.77272727272728
2005-09-19,2005-Q3,300.9993173211599,74.24242424242425
2005-09-20,2005-Q3,294.85647411052395,72.72727272727273
2005-09-21,2005-Q3,288.40648873935623,71.13636363636364
2005-09-22,2005-Q3,270.2236728358739,66.65151515151516
2005-09-23,2005-Q3,276.42794447861615,68.18181818181819
2005-09-26,2005-Q3,275.69080329333985,68.0
2005-09-27,2005-Q3,276.42794447861615,68.18181818181819
2005-09-28,2005-Q3,278.8850817628705,68.7878787878788
2005-09-29,2005-Q3,263.8965443289189,65.0909090909091
