Date,Quarter,Close,PE
2005-01-03,2005-Q1,140.9,73.38541666666667
2005-01-04,2005-Q1,139.95,72.890625
2005-01-05,2005-Q1,136.50000000000003,71.09375
2005-01-06,2005-Q1,134.8,70.20833333333334
2005-01-07,2005-Q1,139.55,72.68229166666667
2005-01-10,2005-Q1,135.7,70.67708333333333
2005-01-11,2005-Q1,135.95,70.80729166666666
2005-01-12,2005-Q1,135.25,70.44270833333334
2005-01-13,2005-Q1,137.45,71.58854166666666
2005-01-14,2005-Q1,136.25,70.96354166666667
2005-01-17,2005-Q1,134.5,70.05208333333334
2005-01-18,2005-Q1,134.85,70.234375
2005-01-19,2005-Q1,134.14999999999998,69.86979166666667
2005-01-20,2005-Q1,137.1,71.40625
2005-01-21,2005-Q1,137.1,71.40625
2005-01-24,2005-Q1,134.75,70.18229166666667
2005-01-25,2005-Q1,134.95,70.28645833333333
2005-01-26,2005-Q1,134.95,70.28645833333333
2005-01-27,2005-Q1,139.75000000000003,72.78645833333334
2005-01-28,2005-Q1,144.15,75.078125
2005-01-31,2005-Q1,144.4,75.20833333333334
2005-02-01,2005-Q1,144.0,75.0
2005-02-02,2005-Q1,144.24999999999997,75.13020833333334
2005-02-03,2005-Q1,144.84999999999997,75.44270833333333
2005-02-04,2005-Q1,145.99999999999997,76.04166666666667
2005-02-07,2005-Q1,145.55,75.80729166666667
2005-02-08,2005-Q1,145.0,75.52083333333334
2005-02-09,2005-Q1,143.40000000000003,74.6875
2005-02-10,2005-Q1,145.35,75.703125
2005-02-11,2005-Q1,153.15,79.765625
2005-02-14,2005-Q1,160.6,83.64583333333333
2005-02-15,2005-Q1,154.7,80.57291666666666
2005-02-16,2005-Q1,160.95,83.828125
2005-02-17,2005-Q1,163.75,85.28645833333334
2005-02-18,2005-Q1,169.65,88.359375
2005-02-21,2005-Q1,165.70000000000002,86.30208333333333
2005-02-22,2005-Q1,164.25000000000003,85.546875
2005-02-23,2005-Q1,168.75000000000003,87.890625
2005-02-24,2005-Q1,174.1,90.67708333333331
2005-02-25,2005-Q1,174.25000000000003,90.75520833333334
2005-02-28,2005-Q1,173.65000000000003,90.44270833333334
2005-03-01,2005-Q1,165.70000000000002,59.81949458483754
2005-03-02,2005-Q1,166.35000000000002,60.05415162454874
2005-03-03,2005-Q1,171.30000000000004,61.841155234657045
2005-03-04,2005-Q1,174.1,62.85198555956679
2005-03-07,2005-Q1,181.90000000000003,65.66787003610108
2005-03-08,2005-Q1,178.40000000000003,64.4043321299639
2005-03-09,2005-Q1,174.60000000000002,63.03249097472924
2005-03-10,2005-Q1,173.95000000000002,62.79783393501805
2005-03-11,2005-Q1,176.35000000000002,63.66425992779783
2005-03-14,2005-Q1,172.00000000000003,62.09386281588448
2005-03-15,2005-Q1,177.55000000000004,64.09747292418773
2005-03-16,2005-Q1,173.25000000000006,62.54512635379061
2005-03-17,2005-Q1,159.95000000000002,57.74368231046931
2005-03-18,2005-Q1,160.55000000000004,57.96028880866427
2005-03-21,2005-Q1,156.70000000000002,56.57039711191335
2005-03-22,2005-Q1,153.05000000000004,55.25270758122744
2005-03-23,2005-Q1,174.15000000000003,62.87003610108303
2005-03-24,2005-Q1,175.2,63.24909747292418
2005-03-25,2005-Q1,175.2,63.24909747292418
2005-03-28,2005-Q1,186.59999999999997,67.36462093862815
2005-03-29,2005-Q1,178.64999999999998,64.49458483754513
2005-03-30,2005-Q1,175.39999999999998,63.32129963898917
2005-03-31,2005-Q1,178.49999999999994,64.4404332129964
2005-04-01,2005-Q2,195.49999999999994,70.57761732851985
2005-04-04,2005-Q2,187.79999999999995,67.79783393501805
2005-04-05,2005-Q2,189.04999999999995,68.24909747292419
2005-04-06,2005-Q2,194.19999999999996,70.10830324909747
2005-04-07,2005-Q2,199.84999999999997,72.14801444043322
2005-04-08,2005-Q2,190.74999999999997,68.86281588447653
2005-04-11,2005-Q2,183.79999999999998,66.35379061371842
2005-04-12,2005-Q2,184.59999999999997,66.64259927797833
2005-04-13,2005-Q2,185.99999999999997,67.14801444043322
2005-04-14,2005-Q2,185.99999999999997,67.14801444043322
2005-04-15,2005-Q2,181.64999999999998,65.57761732851986
2005-04-18,2005-Q2,185.19999999999996,66.85920577617328
2005-04-19,2005-Q2,183.6,66.28158844765343
2005-04-20,2005-Q2,187.19999999999996,67.5812274368231
2005-04-21,2005-Q2,194.34999999999994,70.16245487364621
2005-04-22,2005-Q2,193.69999999999993,69.92779783393502
2005-04-25,2005-Q2,192.04999999999995,69.33212996389892
2005-04-26,2005-Q2,178.64999999999998,64.49458483754513
2005-04-27,2005-Q2,177.04999999999995,63.91696750902528
2005-04-28,2005-Q2,167.09999999999994,60.324909747292416
2005-04-29,2005-Q2,167.99999999999991,60.64981949458484
2005-05-02,2005-Q2,168.89999999999992,60.974729241877256
2005-05-03,2005-Q2,170.14999999999995,61.42599277978339
2005-05-04,2005-Q2,170.8499999999999,61.678700361010826
2005-05-05,2005-Q2,170.8999999999999,61.69675090252708
2005-05-06,2005-Q2,171.3999999999999,61.87725631768953
2005-05-09,2005-Q2,170.5499999999999,61.57039711191336
2005-05-10,2005-Q2,168.0499999999999,60.667870036101085
2005-05-11,2005-Q2,167.4999999999999,60.46931407942238
2005-05-12,2005-Q2,170.5499999999999,61.57039711191336
2005-05-13,2005-Q2,169.59999999999988,61.22743682310469
2005-05-16,2005-Q2,171.14999999999986,61.78700361010831
2005-05-17,2005-Q2,172.89999999999986,62.418772563176894
2005-05-18,2005-Q2,172.39999999999986,62.23826714801445
2005-05-19,2005-Q2,174.49999999999986,62.99638989169675
2005-05-20,2005-Q2,170.8999999999999,61.69675090252708
2005-05-23,2005-Q2,174.2999999999999,62.924187725631775
2005-05-24,2005-Q2,189.99999999999986,68.59205776173285
2005-05-25,2005-Q2,187.99999999999986,67.87003610108303
2005-05-26,2005-Q2,188.7999999999999,68.15884476534296
2005-05-27,2005-Q2,189.24999999999991,68.32129963898917
2005-05-30,2005-Q2,183.99999999999991,66.4259927797834
2005-05-31,2005-Q2,196.1499999999999,70.81227436823104
2005-06-01,2005-Q2,196.9999999999999,84.54935622317596
2005-06-02,2005-Q2,198.79999999999987,85.32188841201717
2005-06-03,2005-Q2,209.19999999999985,89.78540772532187
2005-06-04,2005-Q2,211.34999999999985,90.70815450643777
2005-06-06,2005-Q2,214.94999999999982,92.25321888412016
2005-06-07,2005-Q2,223.34999999999982,95.85836909871244
2005-06-08,2005-Q2,224.09999999999982,96.1802575107296
2005-06-09,2005-Q2,224.44999999999985,96.33047210300428
2005-06-10,2005-Q2,223.04999999999987,95.72961373390558
2005-06-13,2005-Q2,229.84999999999982,98.64806866952787
2005-06-14,2005-Q2,236.9499999999998,101.69527896995707
2005-06-15,2005-Q2,240.89999999999984,103.39055793991416
2005-06-16,2005-Q2,240.84999999999982,103.36909871244634
2005-06-17,2005-Q2,235.74999999999983,101.1802575107296
2005-06-20,2005-Q2,282.8999999999998,126.39484978540771
2005-06-21,2005-Q2,278.0969439728351,124.2489270386266
2005-06-22,2005-Q2,281.65120543293693,125.83690987124464
2005-06-23,2005-Q2,296.3485568760609,132.40343347639484
2005-06-24,2005-Q2,328.0967572156195,146.58798283261802
2005-06-27,2005-Q2,351.05536502546664,156.84549356223175
2005-06-28,2005-Q2,337.70286926994885,150.87982832618025
2005-06-29,2005-Q2,357.49146010186735,159.72103004291844
2005-06-30,2005-Q2,359.9410186757213,160.8154506437768
2005-07-01,2005-Q3,361.5260271646857,161.5236051502146
2005-07-04,2005-Q3,363.87952461799637,162.57510729613733
2005-07-05,2005-Q3,364.45589134125606,162.83261802575106
2005-07-06,2005-Q3,392.4096774193546,175.32188841201716
2005-07-07,2005-Q3,378.76899830220685,169.2274678111588
2005-07-08,2005-Q3,388.23101867572126,173.45493562231758
2005-07-11,2005-Q3,386.35782682512706,172.61802575107296
2005-07-12,2005-Q3,390.39239388794545,174.42060085836908
2005-07-13,2005-Q3,394.523022071307,176.26609442060084
2005-07-14,2005-Q3,383.7641765704582,171.45922746781116
2005-07-15,2005-Q3,383.57205432937155,171.37339055793993
2005-07-18,2005-Q3,388.51920203735114,173.58369098712444
2005-07-19,2005-Q3,394.23483870967715,176.13733905579397
2005-07-20,2005-Q3,392.69786078098446,175.45064377682402
2005-07-21,2005-Q3,381.65083191850573,170.51502145922746
2005-07-22,2005-Q3,387.7507130730048,173.24034334763948
2005-07-25,2005-Q3,382.9956876061118,171.11587982832617
2005-07-26,2005-Q3,379.15324278438004,169.39914163090128
2005-07-27,2005-Q3,380.9303735144309,170.1931330472103
2005-07-28,2005-Q3,380.9303735144309,170.1931330472103
2005-07-29,2005-Q3,401.7756366723256,179.50643776824035
2005-08-01,2005-Q3,433.76398981324235,193.79828326180257
2005-08-02,2005-Q3,440.7764516129028,196.931330472103
2005-08-03,2005-Q3,423.0051443123935,188.9914163090129
2005-08-04,2005-Q3,449.9983191850589,
2005-08-05,2005-Q3,456.530475382003,
2005-08-08,2005-Q3,451.58332767402334,
2005-08-09,2005-Q3,432.0348896434631,193.02575107296136
2005-08-10,2005-Q3,443.0819185059418,197.96137339055792
2005-08-11,2005-Q3,459.50837011884505,
2005-08-12,2005-Q3,449.51801358234246,
2005-08-15,2005-Q3,449.51801358234246,
2005-08-16,2005-Q3,452.68803056027116,
2005-08-17,2005-Q3,455.18561969439685,
2005-08-18,2005-Q3,450.28650254668884,
2005-08-19,2005-Q3,449.46998302207083,
2005-08-22,2005-Q3,454.60925297113715,
2005-08-23,2005-Q3,438.038709677419,195.7081545064377
2005-08-24,2005-Q3,434.4364176570454,194.09871244635195
2005-08-25,2005-Q3,435.25293718166347,194.46351931330472
2005-08-26,2005-Q3,438.5670458404071,195.94420600858368
2005-08-29,2005-Q3,428.04835314091645,191.24463519313304
2005-08-30,2005-Q3,449.80619694397245,
2005-08-31,2005-Q3,456.81865874363285,
2005-09-01,2005-Q3,454.41713073005053,54.31113662456946
2005-09-02,2005-Q3,455.0895585738536,54.39150401836969
2005-09-05,2005-Q3,450.3825636672322,53.82893226176808
2005-09-06,2005-Q3,447.2125466893035,53.450057405281285
2005-09-07,2005-Q3,447.2125466893035,53.450057405281285
2005-09-08,2005-Q3,448.8936162988111,53.650975889781854
2005-09-09,2005-Q3,450.8628692699486,53.88633754305396
2005-09-12,2005-Q3,451.1510526315785,53.92078071182548
2005-09-13,2005-Q3,450.71877758913365,53.86911595866819
2005-09-14,2005-Q3,449.6140747028858,53.73708381171068
2005-09-15,2005-Q3,458.9320033955853,54.85074626865672
2005-09-16,2005-Q3,455.52183361629835,54.44316877152697
2005-09-19,2005-Q3,449.32589134125595,53.70264064293914
2005-09-20,2005-Q3,441.16069609507593,52.72675086107921
2005-09-21,2005-Q3,419.7390662139215,50.16647531572904
2005-09-22,2005-Q3,357.2993378607806,42.70378874856486
2005-09-23,2005-Q3,380.5941595925293,45.48794489092996
2005-09-26,2005-Q3,400.4307809847195,47.85878300803674
2005-09-27,2005-Q3,394.8592359932085,47.19288174512055
2005-09-28,2005-Q3,391.2089134125633,46.75660160734788
2005-09-29,2005-Q3,391.64118845500815,46.80826636050516
2005-09-30,2005-Q3,371.9006281833613,44.44890929965556
2005-10-03,2005-Q4,381.1224957555175,45.551090700344425
2005-10-04,2005-Q4,390.53648556876027,46.676234213547644
2005-10-05,2005-Q4,384.3405432937179,45.93570608495981
2005-10-06,2005-Q4,371.46835314091646,44.39724454649827
2005-10-07,2005-Q4,360.6134465195243,43.09988518943742
2005-10-10,2005-Q4,354.32144312393865,42.34787600459242
2005-10-11,2005-Q4,354.56159592529684,42.37657864523536
2005-10-12,2005-Q4,354.56159592529684,42.37657864523536
2005-10-13,2005-Q4,352.30415959252946,42.10677382319173
2005-10-14,2005-Q4,347.2609507640065,41.50401836969001
2005-10-17,2005-Q4,361.5740577249572,43.21469575200918
2005-10-18,2005-Q4,350.4789983022068,41.8886337543054
2005-10-19,2005-Q4,350.3349066213918,41.87141216991963
2005-10-20,2005-Q4,349.85460101867534,41.81400688863375
2005-10-21,2005-Q4,367.577877758913,43.932261768082654
2005-10-24,2005-Q4,350.9593039049233,41.94603903559128
2005-10-25,2005-Q4,351.535670628183,42.014925373134325
2005-10-26,2005-Q4,351.15142614600984,41.969001148105626
2005-10-27,2005-Q4,331.21874363327646,39.58668197474167
2005-10-28,2005-Q4,316.8576061120541,37.87026406429391
2005-10-31,2005-Q4,345.72397283531376,41.32032146957519
2005-11-01,2005-Q4,346.01215619694364,41.35476463834672
2005-11-02,2005-Q4,345.6279117147705,41.30884041331802
2005-11-03,2005-Q4,345.6279117147705,41.30884041331802
2005-11-04,2005-Q4,345.6279117147705,41.30884041331802
2005-11-07,2005-Q4,353.50492359932053,42.250287026406426
2005-11-08,2005-Q4,352.3041595925293,42.10677382319173
2005-11-09,2005-Q4,350.4309677419351,41.882893226176805
2005-11-10,2005-Q4,363.83149405772457,43.48450057405281
2005-11-11,2005-Q4,375.8391341256363,44.91963260619977
2005-11-14,2005-Q4,382.61144312393844,45.72904707233065
2005-11-15,2005-Q4,382.61144312393844,45.72904707233065
