Date,Quarter,Close,PE
2005-01-03,2005-Q1,82.25,
2005-01-04,2005-Q1,83.05,
2005-01-05,2005-Q1,79.5,
2005-01-06,2005-Q1,80.95000000000002,
2005-01-07,2005-Q1,95.10000000000001,
2005-01-10,2005-Q1,89.70000000000002,
2005-01-11,2005-Q1,87.65000000000002,
2005-01-12,2005-Q1,77.85000000000001,
2005-01-13,2005-Q1,88.00000000000001,
2005-01-14,2005-Q1,86.25000000000001,
2005-01-17,2005-Q1,87.00000000000001,
2005-01-18,2005-Q1,85.50000000000001,
2005-01-19,2005-Q1,83.25000000000003,
2005-01-20,2005-Q1,82.15000000000003,
2005-01-21,2005-Q1,82.15000000000003,
2005-01-24,2005-Q1,81.80000000000004,
2005-01-25,2005-Q1,81.85000000000004,
2005-01-26,2005-Q1,81.85000000000004,
2005-01-27,2005-Q1,88.65000000000005,
2005-01-28,2005-Q1,87.25000000000004,
2005-01-31,2005-Q1,82.10000000000004,
2005-02-01,2005-Q1,82.10000000000004,
2005-02-02,2005-Q1,83.60000000000004,
2005-02-03,2005-Q1,85.40000000000005,
2005-02-04,2005-Q1,85.50000000000003,
2005-02-07,2005-Q1,84.45000000000005,
2005-02-08,2005-Q1,84.85000000000004,
2005-02-09,2005-Q1,84.75000000000003,
2005-02-10,2005-Q1,81.15000000000005,
2005-02-11,2005-Q1,90.30000000000004,
2005-02-14,2005-Q1,88.60000000000002,
2005-02-15,2005-Q1,86.60000000000002,
2005-02-16,2005-Q1,87.30000000000003,
2005-02-17,2005-Q1,86.35000000000002,
2005-02-18,2005-Q1,85.85000000000002,
2005-02-21,2005-Q1,86.95000000000003,
2005-02-22,2005-Q1,87.65000000000006,
2005-02-23,2005-Q1,89.80000000000004,
2005-02-24,2005-Q1,89.90000000000006,
2005-02-25,2005-Q1,85.50000000000006,
2005-02-28,2005-Q1,85.75000000000006,
2005-03-01,2005-Q1,84.90000000000008,
2005-03-02,2005-Q1,86.20000000000007,
2005-03-03,2005-Q1,88.90000000000008,
2005-03-04,2005-Q1,86.15000000000008,
2005-03-07,2005-Q1,86.85000000000005,
2005-03-08,2005-Q1,86.30000000000005,
2005-03-09,2005-Q1,83.55000000000005,
2005-03-10,2005-Q1,86.35000000000004,
2005-03-11,2005-Q1,84.20000000000006,
2005-03-14,2005-Q1,82.25000000000006,
2005-03-15,2005-Q1,81.95000000000006,
2005-03-16,2005-Q1,81.25000000000004,
2005-03-17,2005-Q1,79.30000000000004,
2005-03-18,2005-Q1,77.90000000000005,
2005-03-21,2005-Q1,76.95000000000006,
2005-03-22,2005-Q1,73.10000000000004,
2005-03-23,2005-Q1,76.80000000000004,
2005-03-24,2005-Q1,77.20000000000006,
2005-03-25,2005-Q1,77.20000000000006,
2005-03-28,2005-Q1,76.00000000000004,
2005-03-29,2005-Q1,69.15000000000005,
2005-03-30,2005-Q1,70.55000000000004,
2005-03-31,2005-Q1,72.10000000000004,
2005-04-01,2005-Q2,76.90000000000005,
2005-04-04,2005-Q2,79.45000000000005,
2005-04-05,2005-Q2,77.50000000000004,
2005-04-06,2005-Q2,78.40000000000005,
2005-04-07,2005-Q2,83.10000000000004,
2005-04-08,2005-Q2,80.25000000000004,
2005-04-11,2005-Q2,80.85000000000004,
2005-04-12,2005-Q2,82.65000000000005,
2005-04-13,2005-Q2,81.00000000000004,
2005-04-14,2005-Q2,81.00000000000004,
2005-04-15,2005-Q2,77.35000000000002,
2005-04-18,2005-Q2,75.65000000000005,
2005-04-19,2005-Q2,75.90000000000005,
2005-04-20,2005-Q2,76.30000000000003,
2005-04-21,2005-Q2,76.25000000000003,
2005-04-22,2005-Q2,76.15000000000003,
2005-04-25,2005-Q2,74.90000000000003,
2005-04-26,2005-Q2,73.20000000000003,
2005-04-27,2005-Q2,75.45000000000005,
2005-04-28,2005-Q2,80.45000000000005,
2005-04-29,2005-Q2,80.75000000000006,
2005-05-02,2005-Q2,83.30000000000005,
2005-05-03,2005-Q2,85.30000000000007,
2005-05-04,2005-Q2,84.10000000000007,
2005-05-05,2005-Q2,83.90000000000008,
2005-05-06,2005-Q2,81.50000000000007,
2005-05-09,2005-Q2,83.45000000000009,
2005-05-10,2005-Q2,84.95000000000009,
2005-05-11,2005-Q2,86.40000000000009,
2005-05-12,2005-Q2,85.1500000000001,
2005-05-13,2005-Q2,84.90000000000009,
2005-05-16,2005-Q2,86.30000000000007,
2005-05-17,2005-Q2,86.75000000000007,
2005-05-18,2005-Q2,84.25000000000007,
2005-05-19,2005-Q2,85.35000000000007,
2005-05-20,2005-Q2,83.25000000000007,
2005-05-23,2005-Q2,83.85000000000007,
2005-05-24,2005-Q2,83.65000000000008,
2005-05-25,2005-Q2,84.90000000000008,
2005-05-26,2005-Q2,85.25000000000009,
2005-05-27,2005-Q2,83.20000000000007,
2005-05-30,2005-Q2,82.00000000000007,
2005-05-31,2005-Q2,93.00000000000007,
2005-06-01,2005-Q2,88.20000000000007,
2005-06-02,2005-Q2,85.70000000000007,
2005-06-03,2005-Q2,86.85000000000007,
2005-06-04,2005-Q2,89.95000000000009,
2005-06-06,2005-Q2,89.70000000000007,
2005-06-07,2005-Q2,87.95000000000009,
2005-06-08,2005-Q2,87.45000000000009,
2005-06-09,2005-Q2,95.95000000000009,
2005-06-10,2005-Q2,93.25000000000009,
2005-06-13,2005-Q2,95.75000000000009,
2005-06-14,2005-Q2,96.55000000000008,
2005-06-15,2005-Q2,99.1500000000001,
2005-06-16,2005-Q2,87.10000000000008,
2005-06-17,2005-Q2,83.15000000000009,
2005-06-20,2005-Q2,82.0500000000001,
2005-06-21,2005-Q2,83.50000000000011,
2005-06-22,2005-Q2,84.2000000000001,
2005-06-23,2005-Q2,84.35000000000011,
2005-06-24,2005-Q2,86.00000000000013,
2005-06-27,2005-Q2,85.40000000000012,
2005-06-28,2005-Q2,85.05000000000011,
2005-06-29,2005-Q2,84.9000000000001,
2005-06-30,2005-Q2,85.8000000000001,
2005-07-01,2005-Q3,85.9500000000001,
2005-07-04,2005-Q3,86.8500000000001,
2005-07-05,2005-Q3,85.3000000000001,
2005-07-06,2005-Q3,85.1000000000001,
2005-07-07,2005-Q3,83.8000000000001,
2005-07-08,2005-Q3,83.50000000000009,
2005-07-11,2005-Q3,84.35000000000008,
2005-07-12,2005-Q3,83.05000000000008,
2005-07-13,2005-Q3,82.80000000000007,
2005-07-14,2005-Q3,82.55000000000007,
2005-07-15,2005-Q3,83.25000000000007,
2005-07-18,2005-Q3,83.55000000000005,
2005-07-19,2005-Q3,83.00000000000006,
2005-07-20,2005-Q3,87.50000000000006,
2005-07-21,2005-Q3,84.60000000000005,
2005-07-22,2005-Q3,86.30000000000005,
2005-07-25,2005-Q3,85.65000000000006,
2005-07-26,2005-Q3,84.80000000000005,
2005-07-27,2005-Q3,84.15000000000005,
2005-07-28,2005-Q3,84.15000000000005,
2005-07-29,2005-Q3,87.90000000000006,
2005-08-01,2005-Q3,84.75000000000006,
2005-08-02,2005-Q3,84.45000000000006,
2005-08-03,2005-Q3,83.55000000000005,
2005-08-04,2005-Q3,84.10000000000005,
2005-08-05,2005-Q3,84.00000000000004,
2005-08-08,2005-Q3,82.90000000000005,
2005-08-09,2005-Q3,86.50000000000006,
2005-08-10,2005-Q3,88.85000000000005,
2005-08-11,2005-Q3,89.65000000000008,
2005-08-12,2005-Q3,88.20000000000007,
2005-08-15,2005-Q3,88.20000000000007,
2005-08-16,2005-Q3,89.90000000000008,
2005-08-17,2005-Q3,92.50000000000009,
2005-08-18,2005-Q3,88.65000000000009,
2005-08-19,2005-Q3,98.05000000000008,
2005-08-22,2005-Q3,98.95000000000012,
2005-08-23,2005-Q3,95.00000000000011,
2005-08-24,2005-Q3,90.45000000000012,
2005-08-25,2005-Q3,95.10000000000012,
2005-08-26,2005-Q3,105.20000000000012,
2005-08-29,2005-Q3,115.75000000000011,
2005-08-30,2005-Q3,115.10000000000012,
2005-08-31,2005-Q3,126.60000000000012,
2005-09-01,2005-Q3,125.35000000000012,
2005-09-02,2005-Q3,117.30000000000013,
2005-09-05,2005-Q3,118.90000000000013,
2005-09-06,2005-Q3,118.30000000000014,
2005-09-07,2005-Q3,118.30000000000014,
2005-09-08,2005-Q3,121.50000000000016,
2005-09-09,2005-Q3,117.70000000000016,
2005-09-12,2005-Q3,119.15000000000018,
2005-09-13,2005-Q3,119.40000000000016,
2005-09-14,2005-Q3,112.70000000000014,
2005-09-15,2005-Q3,116.10000000000012,
2005-09-16,2005-Q3,116.25000000000016,
2005-09-19,2005-Q3,115.90000000000016,
2005-09-20,2005-Q3,112.55000000000014,
2005-09-21,2005-Q3,106.70000000000014,
2005-09-22,2005-Q3,94.45000000000013,
2005-09-23,2005-Q3,95.80000000000014,
2005-09-26,2005-Q3,103.10000000000015,
2005-09-27,2005-Q3,104.35000000000015,
2005-09-28,2005-Q3,103.95000000000016,
2005-09-29,2005-Q3,102.05000000000014,
2005-09-30,2005-Q3,99.05000000000014,
2005-10-03,2005-Q4,103.95000000000016,
2005-10-04,2005-Q4,103.15000000000016,
2005-10-05,2005-Q4,100.75000000000014,
2005-10-06,2005-Q4,98.40000000000015,
2005-10-07,2005-Q4,99.00000000000016,
2005-10-10,2005-Q4,96.30000000000013,
2005-10-11,2005-Q4,96.15000000000015,
2005-10-12,2005-Q4,96.15000000000015,
2005-10-13,2005-Q4,94.55000000000014,
2005-10-14,2005-Q4,92.05000000000013,
2005-10-17,2005-Q4,92.40000000000013,
2005-10-18,2005-Q4,91.15000000000013,
2005-10-19,2005-Q4,90.70000000000014,
2005-10-20,2005-Q4,91.40000000000015,
2005-10-21,2005-Q4,94.50000000000014,
2005-10-24,2005-Q4,92.40000000000013,
2005-10-25,2005-Q4,91.95000000000012,
2005-10-26,2005-Q4,91.70000000000013,
2005-10-27,2005-Q4,90.90000000000013,
2005-10-28,2005-Q4,91.80000000000014,
2005-10-31,2005-Q4,94.65000000000013,
2005-11-01,2005-Q4,94.45000000000013,
2005-11-02,2005-Q4,92.60000000000012,
2005-11-03,2005-Q4,92.60000000000012,
2005-11-04,2005-Q4,92.60000000000012,
2005-11-07,2005-Q4,92.35000000000011,
2005-11-08,2005-Q4,100.25000000000013,
2005-11-09,2005-Q4,99.70000000000013,
2005-11-10,2005-Q4,106.85000000000014,
2005-11-11,2005-Q4,107.05000000000014,
2005-11-14,2005-Q4,106.80000000000013,
2005-11-15,2005-Q4,106.80000000000013,
2005-11-16,2005-Q4,104.45000000000013,
2005-11-17,2005-Q4,103.40000000000015,
2005-11-18,2005-Q4,103.75000000000014,
2005-11-21,2005-Q4,100.70000000000014,
2005-11-22,2005-Q4,100.10000000000012,
