Date,Quarter,Close,PE
2005-01-03,2005-Q1,32.3925,4.0490625
2005-01-04,2005-Q1,33.2775,4.1596875
2005-01-05,2005-Q1,30.845,3.855625
2005-01-06,2005-Q1,29.775000000000002,3.721875
2005-01-07,2005-Q1,30.757500000000004,3.8446875
2005-01-10,2005-Q1,29.822500000000005,3.7278125
2005-01-11,2005-Q1,28.992500000000003,3.6240625
2005-01-12,2005-Q1,28.0625,3.5078125
2005-01-13,2005-Q1,29.165000000000003,3.645625
2005-01-14,2005-Q1,29.107500000000005,3.6384375
2005-01-17,2005-Q1,28.212500000000002,3.5265625
2005-01-18,2005-Q1,28.250000000000007,3.53125
2005-01-19,2005-Q1,27.92000000000001,3.49
2005-01-20,2005-Q1,27.585000000000008,3.448125
2005-01-21,2005-Q1,27.585000000000008,3.448125
2005-01-24,2005-Q1,28.407500000000006,3.5509375
2005-01-25,2005-Q1,30.46750000000001,3.8084375
2005-01-26,2005-Q1,30.46750000000001,3.8084375
2005-01-27,2005-Q1,30.270000000000003,3.78375
2005-01-28,2005-Q1,31.275000000000002,3.909375
2005-01-31,2005-Q1,32.32500000000001,4.040625
2005-02-01,2005-Q1,32.385000000000005,4.048125
2005-02-02,2005-Q1,32.65500000000001,4.081875
2005-02-03,2005-Q1,33.955000000000005,4.244375
2005-02-04,2005-Q1,34.27500000000001,4.284375
2005-02-07,2005-Q1,33.790000000000006,4.22375
2005-02-08,2005-Q1,33.49500000000001,4.186875
2005-02-09,2005-Q1,33.56250000000001,4.1953125
2005-02-10,2005-Q1,33.842500000000015,4.2303125
2005-02-11,2005-Q1,33.77000000000002,4.22125
2005-02-14,2005-Q1,33.305000000000014,4.163125
2005-02-15,2005-Q1,35.27000000000002,4.40875
2005-02-16,2005-Q1,35.062500000000014,4.3828125
2005-02-17,2005-Q1,34.90500000000001,4.363125
2005-02-18,2005-Q1,35.350000000000016,4.41875
2005-02-21,2005-Q1,34.562500000000014,4.3203125
2005-02-22,2005-Q1,35.79750000000001,4.4746875
2005-02-23,2005-Q1,36.32000000000001,4.54
2005-02-24,2005-Q1,35.27500000000001,4.409375
2005-02-25,2005-Q1,34.51750000000001,4.3146875
2005-02-28,2005-Q1,35.507500000000014,4.4384375
2005-03-01,2005-Q1,36.23500000000002,15.754347826086958
2005-03-02,2005-Q1,38.03500000000002,16.536956521739132
2005-03-03,2005-Q1,38.707500000000024,16.82934782608696
2005-03-04,2005-Q1,38.98000000000002,16.94782608695652
2005-03-07,2005-Q1,38.46250000000003,16.722826086956523
2005-03-08,2005-Q1,38.245000000000026,16.628260869565217
2005-03-09,2005-Q1,38.755000000000024,16.85
2005-03-10,2005-Q1,37.697500000000026,16.390217391304347
2005-03-11,2005-Q1,37.40500000000002,16.263043478260872
2005-03-14,2005-Q1,37.01750000000002,16.094565217391306
2005-03-15,2005-Q1,37.520000000000024,16.313043478260873
2005-03-16,2005-Q1,37.92000000000002,16.48695652173913
2005-03-17,2005-Q1,37.11250000000002,16.13586956521739
2005-03-18,2005-Q1,37.32000000000002,16.22608695652174
2005-03-21,2005-Q1,36.81250000000002,16.005434782608695
2005-03-22,2005-Q1,36.39250000000002,15.822826086956525
2005-03-23,2005-Q1,35.215000000000025,15.310869565217391
2005-03-24,2005-Q1,35.35000000000002,15.369565217391306
2005-03-25,2005-Q1,35.35000000000002,15.369565217391306
2005-03-28,2005-Q1,35.47000000000002,15.421739130434784
2005-03-29,2005-Q1,35.17750000000002,15.294565217391307
2005-03-30,2005-Q1,34.98500000000003,15.210869565217392
2005-03-31,2005-Q1,35.682500000000026,15.51413043478261
2005-04-01,2005-Q2,36.01250000000004,15.657608695652176
2005-04-04,2005-Q2,35.55750000000003,15.459782608695653
2005-04-05,2005-Q2,35.80250000000004,15.566304347826089
2005-04-06,2005-Q2,35.43750000000004,15.407608695652176
2005-04-07,2005-Q2,35.205000000000034,15.306521739130435
2005-04-08,2005-Q2,34.95750000000004,15.198913043478264
2005-04-11,2005-Q2,34.45000000000004,14.97826086956522
2005-04-12,2005-Q2,34.47500000000004,14.989130434782613
2005-04-13,2005-Q2,34.42000000000004,14.96521739130435
2005-04-14,2005-Q2,34.42000000000004,14.96521739130435
2005-04-15,2005-Q2,32.27000000000004,14.030434782608696
2005-04-18,2005-Q2,31.030000000000033,13.49130434782609
2005-04-19,2005-Q2,30.202500000000033,13.131521739130436
2005-04-20,2005-Q2,30.815000000000037,13.397826086956524
2005-04-21,2005-Q2,31.095000000000034,13.519565217391303
2005-04-22,2005-Q2,31.480000000000036,13.686956521739132
2005-04-25,2005-Q2,31.735000000000035,13.797826086956524
2005-04-26,2005-Q2,31.207500000000035,13.568478260869568
2005-04-27,2005-Q2,31.250000000000032,13.58695652173913
2005-04-28,2005-Q2,30.352500000000028,13.196739130434784
2005-04-29,2005-Q2,29.317500000000027,12.746739130434785
2005-05-02,2005-Q2,29.765000000000025,12.941304347826089
2005-05-03,2005-Q2,29.427500000000023,12.794565217391304
2005-05-04,2005-Q2,30.16750000000003,13.116304347826087
2005-05-05,2005-Q2,29.797500000000024,12.955434782608696
2005-05-06,2005-Q2,30.045000000000027,13.063043478260871
2005-05-09,2005-Q2,30.46500000000003,13.245652173913044
2005-05-10,2005-Q2,30.367500000000028,13.203260869565218
2005-05-11,2005-Q2,29.907500000000024,13.003260869565215
2005-05-12,2005-Q2,29.96000000000003,13.02608695652174
2005-05-13,2005-Q2,29.72250000000003,12.922826086956524
2005-05-16,2005-Q2,29.63250000000003,12.883695652173914
2005-05-17,2005-Q2,29.31500000000003,12.745652173913046
2005-05-18,2005-Q2,28.767500000000027,12.507608695652172
2005-05-19,2005-Q2,28.810000000000024,12.52608695652174
2005-05-20,2005-Q2,28.96500000000002,12.593478260869569
2005-05-23,2005-Q2,28.90250000000002,12.566304347826089
2005-05-24,2005-Q2,29.370000000000022,12.769565217391303
2005-05-25,2005-Q2,29.32000000000002,12.747826086956524
2005-05-26,2005-Q2,29.275000000000023,12.72826086956522
2005-05-27,2005-Q2,29.775000000000027,12.945652173913045
2005-05-30,2005-Q2,30.005000000000027,13.045652173913044
2005-05-31,2005-Q2,30.200000000000028,13.130434782608695
2005-06-01,2005-Q2,30.565000000000026,43.04929577464789
2005-06-02,2005-Q2,29.747500000000024,41.897887323943664
2005-06-03,2005-Q2,29.920000000000023,42.14084507042254
2005-06-04,2005-Q2,30.04750000000002,42.32042253521127
2005-06-06,2005-Q2,30.147500000000022,42.46126760563381
2005-06-07,2005-Q2,30.18500000000002,42.514084507042256
2005-06-08,2005-Q2,31.217500000000022,43.968309859154935
2005-06-09,2005-Q2,30.92250000000002,43.552816901408455
2005-06-10,2005-Q2,31.80500000000002,44.79577464788733
2005-06-13,2005-Q2,31.370000000000022,44.183098591549296
2005-06-14,2005-Q2,31.387500000000017,44.20774647887324
2005-06-15,2005-Q2,31.360000000000014,44.16901408450704
2005-06-16,2005-Q2,31.112500000000015,43.82042253521127
2005-06-17,2005-Q2,31.547500000000014,44.433098591549296
2005-06-20,2005-Q2,31.70500000000001,44.65492957746479
2005-06-21,2005-Q2,31.655000000000012,44.58450704225353
2005-06-22,2005-Q2,31.50750000000001,44.37676056338029
