Date,Quarter,Close,PE
2005-01-03,2005-Q1,218.8,
2005-01-04,2005-Q1,214.75,
2005-01-05,2005-Q1,201.45,193.70192307692307
2005-01-06,2005-Q1,195.55,188.02884615384616
2005-01-07,2005-Q1,203.6,195.7692307692308
2005-01-10,2005-Q1,202.6,194.8076923076923
2005-01-11,2005-Q1,195.6,188.07692307692307
2005-01-12,2005-Q1,186.39999999999998,179.23076923076923
2005-01-13,2005-Q1,189.64999999999998,182.35576923076923
2005-01-14,2005-Q1,190.14999999999998,182.83653846153845
2005-01-17,2005-Q1,188.24999999999997,181.0096153846154
2005-01-18,2005-Q1,190.64999999999998,183.31730769230768
2005-01-19,2005-Q1,190.2,182.88461538461536
2005-01-20,2005-Q1,187.94999999999996,180.72115384615384
2005-01-21,2005-Q1,187.94999999999996,180.72115384615384
2005-01-24,2005-Q1,187.19999999999996,179.99999999999997
2005-01-25,2005-Q1,187.85,180.625
2005-01-26,2005-Q1,187.85,180.625
2005-01-27,2005-Q1,191.89999999999998,184.5192307692308
2005-01-28,2005-Q1,197.39999999999998,189.80769230769232
2005-01-31,2005-Q1,200.7,192.98076923076923
2005-02-01,2005-Q1,213.3,
2005-02-02,2005-Q1,218.25000000000003,
2005-02-03,2005-Q1,215.90000000000003,
2005-02-04,2005-Q1,211.8,
2005-02-07,2005-Q1,216.8,
2005-02-08,2005-Q1,217.05,
2005-02-09,2005-Q1,217.95,
2005-02-10,2005-Q1,227.4,
2005-02-11,2005-Q1,229.79999999999998,
2005-02-14,2005-Q1,221.25,
2005-02-15,2005-Q1,216.75,
2005-02-16,2005-Q1,212.85,
2005-02-17,2005-Q1,214.35,
2005-02-18,2005-Q1,213.94999999999996,
2005-02-21,2005-Q1,205.3,197.40384615384616
2005-02-22,2005-Q1,210.19999999999996,
2005-02-23,2005-Q1,210.99999999999997,
2005-02-24,2005-Q1,208.79999999999998,
2005-02-25,2005-Q1,204.04999999999998,196.2019230769231
2005-02-28,2005-Q1,205.29999999999998,197.40384615384616
