Date,Quarter,Close,PE
2005-01-03,2005-Q1,35.9125,14.422690763052207
2005-01-04,2005-Q1,35.815625,14.383785140562246
2005-01-05,2005-Q1,35.09375,14.09387550200803
2005-01-06,2005-Q1,34.221875,13.74372489959839
2005-01-07,2005-Q1,34.971875,14.0449297188755
2005-01-10,2005-Q1,35.521875,14.265813253012048
2005-01-11,2005-Q1,35.00312499999999,14.057479919678713
2005-01-12,2005-Q1,33.62812499999999,13.505271084337346
2005-01-13,2005-Q1,34.43124999999999,13.827811244979918
2005-01-14,2005-Q1,34.39374999999999,13.812751004016064
2005-01-17,2005-Q1,33.631249999999994,13.50652610441767
2005-01-18,2005-Q1,34.209374999999994,13.738704819277109
2005-01-19,2005-Q1,33.803124999999994,13.57555220883534
2005-01-20,2005-Q1,33.71249999999999,13.539156626506022
2005-01-21,2005-Q1,33.71249999999999,13.539156626506022
2005-01-24,2005-Q1,29.79999999999999,11.967871485943776
2005-01-25,2005-Q1,29.312499999999993,11.772088353413654
2005-01-26,2005-Q1,29.312499999999993,11.772088353413654
2005-01-27,2005-Q1,31.224999999999994,12.54016064257028
2005-01-28,2005-Q1,30.94687499999999,12.428463855421684
2005-01-31,2005-Q1,31.081249999999994,12.4824297188755
2005-02-01,2005-Q1,31.243749999999995,12.547690763052207
2005-02-02,2005-Q1,31.349999999999998,12.590361445783133
2005-02-03,2005-Q1,31.565624999999997,12.6769578313253
2005-02-04,2005-Q1,30.859374999999996,12.39332329317269
2005-02-07,2005-Q1,30.699999999999996,12.329317269076304
2005-02-08,2005-Q1,30.465624999999996,12.235190763052207
2005-02-09,2005-Q1,30.04375,12.065763052208831
2005-02-10,2005-Q1,31.253124999999997,12.551455823293171
2005-02-11,2005-Q1,30.349999999999994,12.18875502008032
2005-02-14,2005-Q1,30.643749999999994,12.30672690763052
2005-02-15,2005-Q1,30.603124999999995,12.290411646586344
2005-02-16,2005-Q1,30.271874999999998,12.157379518072288
2005-02-17,2005-Q1,29.759374999999995,11.951556224899598
2005-02-18,2005-Q1,29.256249999999998,11.749497991967871
2005-02-21,2005-Q1,29.187499999999996,11.721887550200805
2005-02-22,2005-Q1,29.874999999999993,11.997991967871483
2005-02-23,2005-Q1,29.612499999999994,11.892570281124495
2005-02-24,2005-Q1,30.00624999999999,12.05070281124498
2005-02-25,2005-Q1,29.41249999999999,11.812248995983936
2005-02-28,2005-Q1,28.731249999999992,11.538654618473894
2005-03-01,2005-Q1,28.68124999999999,18.385416666666664
2005-03-02,2005-Q1,28.974999999999994,18.57371794871795
2005-03-03,2005-Q1,28.906249999999993,18.529647435897434
2005-03-04,2005-Q1,28.71249999999999,18.405448717948715
2005-03-07,2005-Q1,28.60312499999999,18.335336538461537
2005-03-08,2005-Q1,27.812499999999996,17.82852564102564
2005-03-09,2005-Q1,27.734374999999996,17.77844551282051
2005-03-10,2005-Q1,27.674999999999997,17.740384615384617
2005-03-11,2005-Q1,27.36874999999999,17.54407051282051
2005-03-14,2005-Q1,27.221874999999994,17.449919871794872
2005-03-15,2005-Q1,26.94687499999999,17.273637820512818
2005-03-16,2005-Q1,27.781249999999993,17.808493589743588
2005-03-17,2005-Q1,27.456249999999994,17.600160256410255
2005-03-18,2005-Q1,27.537499999999994,17.65224358974359
2005-03-21,2005-Q1,27.393749999999994,17.560096153846153
2005-03-22,2005-Q1,26.928124999999994,17.26161858974359
2005-03-23,2005-Q1,26.984374999999996,17.29767628205128
2005-03-24,2005-Q1,26.668749999999992,17.095352564102562
2005-03-25,2005-Q1,26.668749999999992,17.095352564102562
2005-03-28,2005-Q1,26.903124999999996,17.24559294871795
2005-03-29,2005-Q1,27.628124999999994,17.710336538461537
2005-03-30,2005-Q1,27.562499999999993,17.66826923076923
2005-03-31,2005-Q1,27.66562499999999,17.734375
2005-04-01,2005-Q2,27.66562499999999,17.734375
2005-04-04,2005-Q2,28.203124999999993,18.07892628205128
2005-04-05,2005-Q2,28.121874999999996,18.02684294871795
2005-04-06,2005-Q2,28.378124999999997,18.19110576923077
2005-04-07,2005-Q2,28.046874999999996,17.978766025641026
2005-04-08,2005-Q2,28.26875,18.12099358974359
2005-04-11,2005-Q2,28.718749999999993,18.409455128205128
2005-04-12,2005-Q2,29.40937499999999,18.85216346153846
2005-04-13,2005-Q2,29.37187499999999,18.828125
2005-04-14,2005-Q2,29.37187499999999,18.828125
2005-04-15,2005-Q2,29.618749999999988,18.986378205128204
2005-04-18,2005-Q2,29.290624999999988,18.776041666666664
2005-04-19,2005-Q2,28.587499999999988,18.32532051282051
2005-04-20,2005-Q2,28.90312499999999,18.52764423076923
2005-04-21,2005-Q2,28.774999999999988,18.445512820512818
2005-04-22,2005-Q2,28.88437499999999,18.515625
2005-04-25,2005-Q2,28.659374999999994,18.37139423076923
2005-04-26,2005-Q2,29.13437499999999,18.67588141025641
2005-04-27,2005-Q2,28.69687499999999,18.39543269230769
2005-04-28,2005-Q2,28.58124999999999,18.321314102564106
2005-04-29,2005-Q2,27.284374999999994,17.489983974358974
2005-05-02,2005-Q2,27.51874999999999,17.640224358974358
2005-05-03,2005-Q2,27.424999999999986,17.580128205128204
2005-05-04,2005-Q2,28.00312499999999,17.950721153846153
2005-05-05,2005-Q2,27.99062499999999,17.942708333333332
2005-05-06,2005-Q2,28.28437499999999,18.131009615384617
2005-05-09,2005-Q2,29.00937499999999,18.595753205128204
2005-05-10,2005-Q2,28.96874999999999,18.569711538461537
2005-05-11,2005-Q2,29.274999999999995,18.76602564102564
2005-05-12,2005-Q2,29.403124999999992,18.84815705128205
2005-05-13,2005-Q2,29.474999999999987,18.89423076923077
2005-05-16,2005-Q2,29.093749999999986,18.649839743589745
2005-05-17,2005-Q2,28.50624999999999,18.27323717948718
2005-05-18,2005-Q2,28.406249999999986,18.209134615384613
2005-05-19,2005-Q2,28.640624999999982,18.359375
2005-05-20,2005-Q2,28.32499999999998,18.15705128205128
2005-05-23,2005-Q2,29.218749999999982,18.72996794871795
2005-05-24,2005-Q2,28.831249999999983,18.48157051282051
2005-05-25,2005-Q2,29.384374999999984,18.836137820512818
2005-05-26,2005-Q2,29.468749999999982,18.89022435897436
2005-05-27,2005-Q2,29.384374999999984,18.836137820512818
2005-05-30,2005-Q2,29.006249999999987,18.59375
2005-05-31,2005-Q2,29.506249999999984,18.91426282051282
2005-06-01,2005-Q2,29.98124999999998,1.901157260621433
2005-06-02,2005-Q2,29.943749999999987,1.8987793278376663
2005-06-03,2005-Q2,29.631249999999987,1.878963221306278
2005-06-04,2005-Q2,29.831249999999983,1.8916455294863663
2005-06-06,2005-Q2,29.499999999999982,1.8706404565630943
2005-06-07,2005-Q2,29.687499999999986,1.882530120481928
2005-06-08,2005-Q2,29.737499999999983,1.88570069752695
2005-06-09,2005-Q2,30.143749999999983,1.911461636017756
2005-06-10,2005-Q2,29.778124999999978,1.8882767913760303
2005-06-13,2005-Q2,29.318749999999984,1.8591471147748893
2005-06-14,2005-Q2,29.249999999999982,1.854787571337984
2005-06-15,2005-Q2,30.184374999999978,1.914037729866836
2005-06-16,2005-Q2,29.584374999999977,1.8759908053265693
2005-06-17,2005-Q2,29.259374999999974,1.8553820545339248
2005-06-20,2005-Q2,28.968749999999975,1.8369530754597336
2005-06-21,2005-Q2,28.918749999999974,1.8337824984147115
2005-06-22,2005-Q2,28.54062499999997,1.809805009511731
2005-06-23,2005-Q2,29.468749999999975,1.868658845909956
2005-06-24,2005-Q2,29.715624999999974,1.8843135700697529
