Date,Quarter,Close,PE
2005-01-03,2005-Q1,338.15,
2005-01-04,2005-Q1,343.09999999999997,
2005-01-05,2005-Q1,333.49999999999994,
2005-01-06,2005-Q1,338.2499999999999,
2005-01-07,2005-Q1,333.6499999999999,
2005-01-10,2005-Q1,339.69999999999993,
2005-01-11,2005-Q1,324.6499999999999,
2005-01-12,2005-Q1,320.09999999999997,
2005-01-13,2005-Q1,318.69999999999993,
2005-01-14,2005-Q1,328.1499999999999,
2005-01-17,2005-Q1,324.7499999999999,
2005-01-18,2005-Q1,323.5499999999999,
2005-01-19,2005-Q1,323.4999999999999,
2005-01-20,2005-Q1,333.4499999999999,
2005-01-21,2005-Q1,333.4499999999999,
2005-01-24,2005-Q1,328.4999999999999,
2005-01-25,2005-Q1,321.4499999999999,
2005-01-26,2005-Q1,321.4499999999999,
2005-01-27,2005-Q1,325.0499999999999,
2005-01-28,2005-Q1,351.49999999999983,
2005-01-31,2005-Q1,343.74999999999983,
2005-02-01,2005-Q1,361.24999999999983,
2005-02-02,2005-Q1,351.9499999999998,
2005-02-03,2005-Q1,379.34999999999985,
2005-02-04,2005-Q1,382.74999999999983,
2005-02-07,2005-Q1,372.54999999999984,
2005-02-08,2005-Q1,371.6999999999998,
2005-02-09,2005-Q1,370.6999999999998,
2005-02-10,2005-Q1,374.09999999999985,
2005-02-11,2005-Q1,372.9499999999998,
2005-02-14,2005-Q1,374.8499999999998,
2005-02-15,2005-Q1,377.39999999999975,
2005-02-16,2005-Q1,371.74999999999983,
2005-02-17,2005-Q1,368.0499999999998,
2005-02-18,2005-Q1,367.3999999999998,
2005-02-21,2005-Q1,359.54999999999984,
2005-02-22,2005-Q1,359.8999999999998,
2005-02-23,2005-Q1,362.8499999999999,
2005-02-24,2005-Q1,361.4999999999999,
2005-02-25,2005-Q1,364.5499999999999,
2005-02-28,2005-Q1,373.5999999999999,
2005-03-01,2005-Q1,364.5999999999999,
2005-03-02,2005-Q1,365.44999999999993,
2005-03-03,2005-Q1,363.6499999999999,
2005-03-04,2005-Q1,364.4499999999999,
2005-03-07,2005-Q1,364.1999999999998,
2005-03-08,2005-Q1,360.14999999999986,
2005-03-09,2005-Q1,374.1999999999999,
2005-03-10,2005-Q1,379.8999999999999,
2005-03-11,2005-Q1,387.6499999999999,
2005-03-14,2005-Q1,374.54999999999995,
2005-03-15,2005-Q1,370.49999999999994,
2005-03-16,2005-Q1,367.8,
2005-03-17,2005-Q1,368.1,
2005-03-18,2005-Q1,372.7,
2005-03-21,2005-Q1,361.35,
2005-03-22,2005-Q1,364.8,
2005-03-23,2005-Q1,361.04999999999995,
2005-03-24,2005-Q1,351.6499999999999,
2005-03-25,2005-Q1,351.6499999999999,
2005-03-28,2005-Q1,346.09999999999997,
2005-03-29,2005-Q1,340.54999999999995,
2005-03-30,2005-Q1,348.45,
2005-03-31,2005-Q1,354.75,
2005-04-01,2005-Q2,353.75000000000006,
2005-04-04,2005-Q2,356.1,
2005-04-05,2005-Q2,344.95,
2005-04-06,2005-Q2,353.2,
2005-04-07,2005-Q2,357.75,
2005-04-08,2005-Q2,353.20000000000005,
2005-04-11,2005-Q2,353.25000000000006,
2005-04-12,2005-Q2,360.20000000000005,
2005-04-13,2005-Q2,366.45000000000005,
2005-04-14,2005-Q2,366.45000000000005,
2005-04-15,2005-Q2,370.20000000000005,
2005-04-18,2005-Q2,372.75000000000006,
2005-04-19,2005-Q2,360.6500000000001,
2005-04-20,2005-Q2,360.7500000000001,
2005-04-21,2005-Q2,364.70000000000005,
2005-04-22,2005-Q2,360.55000000000007,
2005-04-25,2005-Q2,354.90000000000003,
2005-04-26,2005-Q2,346.6000000000001,
2005-04-27,2005-Q2,341.05,
2005-04-28,2005-Q2,337.65,
2005-04-29,2005-Q2,334.15,
2005-05-02,2005-Q2,333.3500000000001,
2005-05-03,2005-Q2,330.05000000000007,
2005-05-04,2005-Q2,353.6,
2005-05-05,2005-Q2,358.25,
2005-05-06,2005-Q2,364.7,
2005-05-09,2005-Q2,358.90000000000003,
2005-05-10,2005-Q2,356.6,
2005-05-11,2005-Q2,348.45,
2005-05-12,2005-Q2,357.1499999999999,
2005-05-13,2005-Q2,351.1,
2005-05-16,2005-Q2,343.35,
2005-05-17,2005-Q2,336.1,
2005-05-18,2005-Q2,327.35,
2005-05-19,2005-Q2,327.9,
2005-05-20,2005-Q2,325.55,
2005-05-23,2005-Q2,318.2,
2005-05-24,2005-Q2,319.45,
2005-05-25,2005-Q2,324.69999999999993,
2005-05-26,2005-Q2,326.29999999999995,
2005-05-27,2005-Q2,328.99999999999994,
2005-05-30,2005-Q2,320.09999999999997,
2005-05-31,2005-Q2,325.55,
2005-06-01,2005-Q2,323.69999999999993,67.15767634854771
2005-06-02,2005-Q2,316.8,65.72614107883817
2005-06-03,2005-Q2,319.6,66.30705394190872
2005-06-04,2005-Q2,319.84999999999997,66.35892116182573
2005-06-06,2005-Q2,315.0,65.35269709543569
2005-06-07,2005-Q2,316.1,65.58091286307054
2005-06-08,2005-Q2,317.95,65.96473029045643
2005-06-09,2005-Q2,329.55,68.37136929460581
2005-06-10,2005-Q2,321.0,66.59751037344398
2005-06-13,2005-Q2,318.55,66.08921161825727
2005-06-14,2005-Q2,322.45,66.89834024896265
2005-06-15,2005-Q2,328.65,68.18464730290455
2005-06-16,2005-Q2,323.65,67.14730290456431
2005-06-17,2005-Q2,319.95,66.37966804979253
2005-06-20,2005-Q2,324.95,67.41701244813278
2005-06-21,2005-Q2,330.75000000000006,68.62033195020746
2005-06-22,2005-Q2,331.6000000000001,68.79668049792531
2005-06-23,2005-Q2,339.65000000000003,70.4668049792531
2005-06-24,2005-Q2,340.55000000000007,70.65352697095436
2005-06-27,2005-Q2,339.30000000000007,70.39419087136929
2005-06-28,2005-Q2,338.1,70.14522821576763
2005-06-29,2005-Q2,343.7,71.3070539419087
2005-06-30,2005-Q2,353.7,73.38174273858921
2005-07-01,2005-Q3,356.0,73.85892116182572
2005-07-04,2005-Q3,355.15,73.68257261410787
2005-07-05,2005-Q3,351.4,72.90456431535269
2005-07-06,2005-Q3,357.95,74.26348547717842
2005-07-07,2005-Q3,359.45,74.57468879668049
2005-07-08,2005-Q3,365.25,75.77800829875518
2005-07-11,2005-Q3,369.99999999999994,76.76348547717842
2005-07-12,2005-Q3,379.3,78.69294605809128
2005-07-13,2005-Q3,386.1,80.10373443983403
2005-07-14,2005-Q3,379.15,78.66182572614107
2005-07-15,2005-Q3,375.85,77.97717842323651
2005-07-18,2005-Q3,371.34999999999997,77.04356846473028
2005-07-19,2005-Q3,370.1499999999999,76.79460580912863
2005-07-20,2005-Q3,367.3999999999999,76.22406639004149
2005-07-21,2005-Q3,361.3999999999999,74.97925311203319
2005-07-22,2005-Q3,362.49999999999994,75.20746887966804
2005-07-25,2005-Q3,388.84999999999997,80.67427385892117
2005-07-26,2005-Q3,381.99999999999994,79.25311203319501
2005-07-27,2005-Q3,390.8999999999999,81.09958506224065
2005-07-28,2005-Q3,390.8999999999999,81.09958506224065
2005-07-29,2005-Q3,381.59999999999997,79.1701244813278
2005-08-01,2005-Q3,379.3999999999999,78.71369294605809
2005-08-02,2005-Q3,390.75,81.06846473029046
2005-08-03,2005-Q3,393.3,81.59751037344398
2005-08-04,2005-Q3,396.7,82.30290456431534
2005-08-05,2005-Q3,388.3,80.56016597510373
2005-08-08,2005-Q3,382.54999999999995,79.36721991701245
2005-08-09,2005-Q3,384.4,79.75103734439833
2005-08-10,2005-Q3,393.85,81.7116182572614
2005-08-11,2005-Q3,401.74999999999994,83.350622406639
2005-08-12,2005-Q3,418.14999999999986,86.75311203319501
2005-08-15,2005-Q3,418.14999999999986,86.75311203319501
2005-08-16,2005-Q3,416.1499999999999,86.33817427385891
2005-08-17,2005-Q3,415.9499999999999,86.29668049792531
2005-08-18,2005-Q3,416.05,86.31742738589212
2005-08-19,2005-Q3,417.84999999999997,86.69087136929461
2005-08-22,2005-Q3,414.25,85.94398340248962
2005-08-23,2005-Q3,405.7,84.17012448132779
2005-08-24,2005-Q3,391.8500000000001,81.29668049792531
2005-08-25,2005-Q3,408.35,84.71991701244814
2005-08-26,2005-Q3,424.45,88.06016597510373
2005-08-29,2005-Q3,425.25,88.22614107883817
2005-08-30,2005-Q3,431.55000000000007,89.53319502074689
2005-08-31,2005-Q3,438.0,90.8713692946058
2005-09-01,2005-Q3,438.30000000000007,
2005-09-02,2005-Q3,437.6,
2005-09-05,2005-Q3,433.95,
2005-09-06,2005-Q3,428.25,
2005-09-07,2005-Q3,428.25,
2005-09-08,2005-Q3,437.70000000000005,
2005-09-09,2005-Q3,432.3500000000001,
2005-09-12,2005-Q3,433.95000000000005,
2005-09-13,2005-Q3,433.05000000000007,
2005-09-14,2005-Q3,437.8500000000001,
2005-09-15,2005-Q3,447.1,
2005-09-16,2005-Q3,458.75,
2005-09-19,2005-Q3,463.90000000000003,
2005-09-20,2005-Q3,482.0,
2005-09-21,2005-Q3,483.59999999999997,
2005-09-22,2005-Q3,445.3,
2005-09-23,2005-Q3,461.05,
2005-09-26,2005-Q3,458.75,
2005-09-27,2005-Q3,468.55,
2005-09-28,2005-Q3,473.65,
2005-09-29,2005-Q3,469.90000000000003,
2005-09-30,2005-Q3,466.00000000000006,
2005-10-03,2005-Q4,465.75,
2005-10-04,2005-Q4,464.9,
2005-10-05,2005-Q4,460.3,
2005-10-06,2005-Q4,458.00000000000006,
2005-10-07,2005-Q4,454.7,
2005-10-10,2005-Q4,445.05000000000007,
