Date,Quarter,Close,PE
2005-01-03,2005-Q1,75.4,
2005-01-04,2005-Q1,75.0,
2005-01-05,2005-Q1,72.55,
2005-01-06,2005-Q1,72.49999999999999,
2005-01-07,2005-Q1,73.89999999999999,
2005-01-10,2005-Q1,74.19999999999999,
2005-01-11,2005-Q1,74.04999999999998,
2005-01-12,2005-Q1,67.49999999999999,
2005-01-13,2005-Q1,70.19999999999999,
2005-01-14,2005-Q1,68.9,
2005-01-17,2005-Q1,67.0,
2005-01-18,2005-Q1,68.6,
2005-01-19,2005-Q1,70.0,
2005-01-20,2005-Q1,69.65,
2005-01-21,2005-Q1,69.65,
2005-01-24,2005-Q1,71.35,
2005-01-25,2005-Q1,71.55,
2005-01-26,2005-Q1,71.55,
2005-01-27,2005-Q1,75.1,
2005-01-28,2005-Q1,75.0,
2005-01-31,2005-Q1,74.95000000000002,
2005-02-01,2005-Q1,73.40000000000002,
2005-02-02,2005-Q1,75.80000000000001,
2005-02-03,2005-Q1,74.10000000000001,
2005-02-04,2005-Q1,74.35000000000001,
2005-02-07,2005-Q1,73.00000000000001,
2005-02-08,2005-Q1,72.20000000000002,
2005-02-09,2005-Q1,74.65000000000002,
2005-02-10,2005-Q1,74.45000000000002,
2005-02-11,2005-Q1,74.55000000000001,
2005-02-14,2005-Q1,72.65000000000002,
2005-02-15,2005-Q1,72.15,
2005-02-16,2005-Q1,71.5,
2005-02-17,2005-Q1,72.70000000000002,
2005-02-18,2005-Q1,71.00000000000001,
2005-02-21,2005-Q1,69.85,
2005-02-22,2005-Q1,69.9,
2005-02-23,2005-Q1,69.75000000000001,
2005-02-24,2005-Q1,68.85000000000001,
2005-02-25,2005-Q1,68.4,
2005-02-28,2005-Q1,67.2,
2005-03-01,2005-Q1,67.45000000000002,77.52873563218391
2005-03-02,2005-Q1,67.70000000000002,77.816091954023
2005-03-03,2005-Q1,69.00000000000001,79.3103448275862
2005-03-04,2005-Q1,72.30000000000001,83.10344827586206
2005-03-07,2005-Q1,83.30000000000001,95.7471264367816
2005-03-08,2005-Q1,87.00000000000001,100.0
2005-03-09,2005-Q1,80.05000000000001,92.01149425287356
2005-03-10,2005-Q1,82.50000000000001,94.82758620689656
2005-03-11,2005-Q1,81.75000000000001,93.96551724137932
2005-03-14,2005-Q1,81.0,93.10344827586206
2005-03-15,2005-Q1,78.0,89.65517241379311
2005-03-16,2005-Q1,79.6,91.4942528735632
2005-03-17,2005-Q1,75.59999999999998,86.89655172413792
2005-03-18,2005-Q1,74.04999999999998,85.11494252873563
2005-03-21,2005-Q1,73.99999999999999,85.05747126436782
2005-03-22,2005-Q1,70.99999999999999,81.60919540229885
2005-03-23,2005-Q1,69.24999999999999,79.59770114942529
2005-03-24,2005-Q1,68.29999999999998,78.50574712643677
2005-03-25,2005-Q1,68.29999999999998,78.50574712643677
2005-03-28,2005-Q1,66.99999999999999,77.01149425287356
2005-03-29,2005-Q1,65.04999999999998,74.77011494252874
2005-03-30,2005-Q1,64.99999999999999,74.71264367816092
2005-03-31,2005-Q1,69.04999999999998,79.36781609195403
2005-04-01,2005-Q2,72.44999999999997,83.27586206896552
2005-04-04,2005-Q2,72.69999999999997,83.56321839080461
2005-04-05,2005-Q2,69.74999999999997,80.17241379310344
2005-04-06,2005-Q2,78.94999999999997,90.7471264367816
2005-04-07,2005-Q2,77.29999999999997,88.85057471264368
2005-04-08,2005-Q2,77.49999999999996,89.08045977011494
2005-04-11,2005-Q2,74.44999999999996,85.57471264367817
2005-04-12,2005-Q2,74.99999999999996,86.20689655172414
2005-04-13,2005-Q2,73.74999999999996,84.77011494252874
2005-04-14,2005-Q2,73.74999999999996,84.77011494252874
2005-04-15,2005-Q2,74.49999999999996,85.63218390804597
2005-04-18,2005-Q2,73.99999999999996,85.05747126436782
2005-04-19,2005-Q2,71.89999999999998,82.64367816091955
2005-04-20,2005-Q2,69.74999999999997,80.17241379310344
2005-04-21,2005-Q2,70.29999999999997,80.80459770114942
2005-04-22,2005-Q2,71.79999999999997,82.52873563218391
2005-04-25,2005-Q2,72.44999999999997,83.27586206896552
2005-04-26,2005-Q2,71.99999999999997,82.75862068965517
2005-04-27,2005-Q2,70.89999999999996,81.49425287356323
2005-04-28,2005-Q2,71.94999999999996,82.70114942528735
2005-04-29,2005-Q2,70.04999999999995,80.51724137931035
2005-05-02,2005-Q2,69.99999999999996,80.45977011494253
2005-05-03,2005-Q2,71.89999999999995,82.64367816091955
2005-05-04,2005-Q2,71.24999999999994,81.89655172413794
2005-05-05,2005-Q2,75.39999999999995,86.66666666666667
2005-05-06,2005-Q2,80.44999999999993,92.47126436781608
2005-05-09,2005-Q2,80.19999999999993,92.18390804597702
2005-05-10,2005-Q2,82.64999999999993,95.0
2005-05-11,2005-Q2,82.79999999999991,95.17241379310344
2005-05-12,2005-Q2,89.34999999999991,102.70114942528735
2005-05-13,2005-Q2,92.74999999999991,106.60919540229884
2005-05-16,2005-Q2,94.7499999999999,108.9080459770115
2005-05-17,2005-Q2,94.59999999999991,108.73563218390804
2005-05-18,2005-Q2,93.64999999999992,107.64367816091956
2005-05-19,2005-Q2,94.79999999999991,108.9655172413793
2005-05-20,2005-Q2,93.89999999999992,107.93103448275863
2005-05-23,2005-Q2,94.69999999999993,108.85057471264368
2005-05-24,2005-Q2,97.04999999999993,111.55172413793105
2005-05-25,2005-Q2,105.59999999999992,121.3793103448276
2005-05-26,2005-Q2,104.99999999999994,120.6896551724138
2005-05-27,2005-Q2,118.74999999999994,136.49425287356323
2005-05-30,2005-Q2,124.49999999999994,143.10344827586206
2005-05-31,2005-Q2,132.09999999999994,151.83908045977012
2005-06-01,2005-Q2,158.5199999999999,
2005-06-02,2005-Q2,174.4169914853357,
2005-06-03,2005-Q2,187.01460737937543,
2005-06-04,2005-Q2,171.7674929044464,
2005-06-06,2005-Q2,183.11534531693457,
2005-06-07,2005-Q2,175.06686849574254,
2005-06-08,2005-Q2,174.9668874172184,
2005-06-09,2005-Q2,170.11780510879836,
2005-06-10,2005-Q2,170.9676442762534,
2005-06-13,2005-Q2,171.66751182592225,
2005-06-14,2005-Q2,167.7682497634814,
2005-06-15,2005-Q2,165.16874172185413,
2005-06-16,2005-Q2,156.32041627246912,
2005-06-17,2005-Q2,148.5218921475874,
2005-06-20,2005-Q2,144.97256385998097,
2005-06-21,2005-Q2,151.3213623462629,
2005-06-22,2005-Q2,160.01971617786177,
2005-06-23,2005-Q2,157.5701797540207,
2005-06-24,2005-Q2,172.8672847682118,
2005-06-27,2005-Q2,166.3185241248816,
2005-06-28,2005-Q2,155.1206433301796,
2005-06-29,2005-Q2,154.9706717123934,
2005-06-30,2005-Q2,160.76957426679266,
2005-07-01,2005-Q3,157.42020813623446,
2005-07-04,2005-Q3,171.66751182592225,
2005-07-05,2005-Q3,164.1689309366129,
2005-07-06,2005-Q3,164.86879848628178,
2005-07-07,2005-Q3,161.1694985808891,
2005-07-08,2005-Q3,159.61979186376522,
2005-07-11,2005-Q3,163.0691390728475,
2005-07-12,2005-Q3,163.0691390728475,
2005-07-13,2005-Q3,161.2194891201512,
2005-07-14,2005-Q3,159.96972563859964,
2005-07-15,2005-Q3,161.96934720908212,
2005-07-18,2005-Q3,160.96953642384085,
2005-07-19,2005-Q3,160.46963103122022,
2005-07-20,2005-Q3,159.91973509933752,
2005-07-21,2005-Q3,159.9697256385996,
2005-07-22,2005-Q3,158.96991485335835,
2005-07-25,2005-Q3,156.02047303689668,
2005-07-26,2005-Q3,151.52132450331106,
2005-07-27,2005-Q3,149.02179754020793,
2005-07-28,2005-Q3,149.02179754020793,
2005-07-29,2005-Q3,149.07178807946997,
