Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,38.945696,38.945696,,,
2005-01-04,2005-Q1,38.570255,38.570255,,,
2005-01-05,2005-Q1,37.19364,37.19364,,,
2005-01-06,2005-Q1,36.693053,36.693053,,,
2005-01-07,2005-Q1,36.918317,36.918317,,,
2005-01-10,2005-Q1,37.318787,37.318787,,,
2005-01-11,2005-Q1,36.492818,36.492818,,,
2005-01-12,2005-Q1,35.24135,35.24135,,,
2005-01-13,2005-Q1,36.79317,36.79317,,,
2005-01-14,2005-Q1,36.367671,36.367671,,,
2005-01-17,2005-Q1,35.867084,35.867084,,,
2005-01-18,2005-Q1,36.067319,36.067319,,,
2005-01-19,2005-Q1,35.917142,35.917142,,,
2005-01-20,2005-Q1,35.666849,35.666849,,,
2005-01-21,2005-Q1,35.666849,35.666849,,,
2005-01-24,2005-Q1,35.842054,35.842054,,,
2005-01-25,2005-Q1,35.842054,35.842054,,,
2005-01-26,2005-Q1,35.842054,35.842054,,,
2005-01-27,2005-Q1,36.868258,36.868258,,,
2005-01-28,2005-Q1,37.569081,37.569081,,,
2005-01-31,2005-Q1,37.694228,37.694228,,,
2005-02-01,2005-Q1,37.318787,37.318787,,,
2005-02-02,2005-Q1,37.869433,37.869433,,,
2005-02-03,2005-Q1,38.420079,38.420079,,,
2005-02-04,2005-Q1,38.169786,38.169786,,,
2005-02-07,2005-Q1,37.59411,37.59411,,,
2005-02-08,2005-Q1,39.746636,39.746636,,,
2005-02-09,2005-Q1,40.222194,40.222194,,,
2005-02-10,2005-Q1,39.496342,39.496342,,,
2005-02-11,2005-Q1,38.870608,38.870608,,,
2005-02-14,2005-Q1,39.045813,39.045813,,,
2005-02-15,2005-Q1,38.019609,38.019609,,,
2005-02-16,2005-Q1,38.319962,38.319962,,,
2005-02-17,2005-Q1,37.99458,37.99458,,,
2005-02-18,2005-Q1,37.744286,37.744286,,,
2005-02-21,2005-Q1,37.719257,37.719257,,,
2005-02-22,2005-Q1,37.719257,37.719257,,,
2005-02-23,2005-Q1,37.493993,37.493993,,,
2005-02-24,2005-Q1,37.669198,37.669198,,,
2005-02-25,2005-Q1,37.59411,37.59411,,,
2005-02-28,2005-Q1,38.294932,38.294932,,,
2005-03-01,2005-Q1,37.644169,16.156295708154506,,,
2005-03-02,2005-Q1,37.719257,16.188522317596565,,,
2005-03-03,2005-Q1,37.969551,16.295944635193134,,,
2005-03-04,2005-Q1,37.744286,16.199264377682404,,,
2005-03-07,2005-Q1,37.694228,16.17778025751073,,,
2005-03-08,2005-Q1,37.493993,16.091842489270388,,,
2005-03-09,2005-Q1,37.118552,15.930709012875536,,,
2005-03-10,2005-Q1,36.893288,15.834029184549356,,,
2005-03-11,2005-Q1,36.668023,15.737348927038624,,,
2005-03-14,2005-Q1,38.019609,16.31742875536481,,,
2005-03-15,2005-Q1,37.343816,16.027388841201716,,,
2005-03-16,2005-Q1,36.868258,15.823286695278968,,,
2005-03-17,2005-Q1,37.343816,16.027388841201716,,,
