Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,53.75,11.31578947368421,,,
2005-01-04,2005-Q1,51.075,10.75263157894737,,,
2005-01-05,2005-Q1,48.575,10.226315789473684,,,
2005-01-06,2005-Q1,46.175,9.721052631578948,,,
2005-01-07,2005-Q1,48.5,10.210526315789474,,,
2005-01-10,2005-Q1,49.975,10.521052631578948,,,
2005-01-11,2005-Q1,48.725,10.257894736842106,,,
2005-01-12,2005-Q1,46.3,9.74736842105263,,,
2005-01-13,2005-Q1,48.3,10.168421052631578,,,
2005-01-14,2005-Q1,46.85,9.863157894736842,,,
2005-01-17,2005-Q1,45.85,9.65263157894737,,,
2005-01-18,2005-Q1,48.1,10.126315789473685,,,
2005-01-19,2005-Q1,47.325,9.963157894736844,,,
2005-01-20,2005-Q1,45.45,9.56842105263158,,,
2005-01-21,2005-Q1,45.45,9.56842105263158,,,
2005-01-24,2005-Q1,43.175,9.089473684210526,,,
2005-01-25,2005-Q1,41.025,8.636842105263158,,,
2005-01-26,2005-Q1,41.025,8.636842105263158,,,
2005-01-27,2005-Q1,40.7,8.56842105263158,,,
2005-01-28,2005-Q1,39.25,8.263157894736842,,,
2005-01-31,2005-Q1,45.2,9.515789473684212,,,
2005-02-01,2005-Q1,44.35,9.33684210526316,,,
2005-02-02,2005-Q1,44.925,9.457894736842103,,,
2005-02-03,2005-Q1,51.825,10.910526315789474,,,
2005-02-04,2005-Q1,51.15,10.76842105263158,,,
2005-02-07,2005-Q1,49.7,10.463157894736844,,,
2005-02-08,2005-Q1,49.75,10.473684210526317,,,
2005-02-09,2005-Q1,54.65,11.505263157894737,,,
2005-02-10,2005-Q1,54.05,11.378947368421052,,,
2005-02-11,2005-Q1,55.6,11.705263157894738,,,
2005-02-14,2005-Q1,53.825,11.331578947368422,,,
2005-02-15,2005-Q1,52.675,11.089473684210526,,,
2005-02-16,2005-Q1,50.8,10.694736842105264,,,
2005-02-17,2005-Q1,51.2,10.778947368421052,,,
2005-02-18,2005-Q1,51.3,10.8,,,
2005-02-21,2005-Q1,50.6,10.65263157894737,,,
