Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,12.3,27.333333333333336,,,
2005-01-04,2005-Q1,12.075,26.83333333333333,,,
2005-01-05,2005-Q1,11.6,25.77777777777777,,,
2005-01-06,2005-Q1,11.45,25.444444444444443,,,
2005-01-07,2005-Q1,11.6,25.77777777777777,,,
2005-01-10,2005-Q1,11.9,26.444444444444443,,,
2005-01-11,2005-Q1,11.675,25.944444444444446,,,
2005-01-12,2005-Q1,11.35,25.22222222222222,,,
2005-01-13,2005-Q1,11.45,25.444444444444443,,,
2005-01-14,2005-Q1,11.35,25.22222222222222,,,
2005-01-17,2005-Q1,11.05,24.55555555555556,,,
2005-01-18,2005-Q1,10.425,23.166666666666668,,,
2005-01-19,2005-Q1,10.5,23.33333333333333,,,
2005-01-20,2005-Q1,10.175,22.61111111111111,,,
2005-01-21,2005-Q1,10.175,22.61111111111111,,,
2005-01-24,2005-Q1,10.375,23.05555555555556,,,
2005-01-25,2005-Q1,11.2,24.88888888888889,,,
2005-01-26,2005-Q1,11.2,24.88888888888889,,,
2005-01-27,2005-Q1,11.025,24.5,,,
2005-01-28,2005-Q1,11.375,25.27777777777778,,,
2005-01-31,2005-Q1,12.075,26.83333333333333,,,
2005-02-01,2005-Q1,11.85,26.33333333333333,,,
2005-02-02,2005-Q1,11.975,26.61111111111111,,,
2005-02-03,2005-Q1,12.0,26.666666666666664,,,
2005-02-04,2005-Q1,12.4,27.55555555555556,,,
2005-02-07,2005-Q1,12.275,27.27777777777778,,,
2005-02-08,2005-Q1,11.875,26.38888888888889,,,
2005-02-09,2005-Q1,11.95,26.55555555555556,,,
2005-02-10,2005-Q1,12.025,26.72222222222222,,,
2005-02-11,2005-Q1,12.025,26.72222222222222,,,
2005-02-14,2005-Q1,12.3,27.333333333333336,,,
2005-02-15,2005-Q1,11.9,26.444444444444443,,,
2005-02-16,2005-Q1,12.025,26.72222222222222,,,
2005-02-17,2005-Q1,12.275,27.27777777777778,,,
2005-02-18,2005-Q1,12.425,27.61111111111111,,,
2005-02-21,2005-Q1,12.55,27.88888888888889,,,
2005-02-22,2005-Q1,12.475,27.72222222222222,,,
2005-02-23,2005-Q1,12.45,27.666666666666664,,,
2005-02-24,2005-Q1,12.3,27.333333333333336,,,
2005-02-25,2005-Q1,11.8,26.22222222222222,,,
2005-02-28,2005-Q1,11.875,26.38888888888889,,,
2005-03-01,2005-Q1,11.7,9.75,,,
2005-03-02,2005-Q1,11.825,9.854166666666666,,,
2005-03-03,2005-Q1,11.975,9.979166666666666,,,
2005-03-04,2005-Q1,11.825,9.854166666666666,,,
2005-03-07,2005-Q1,11.65,9.708333333333334,,,
2005-03-08,2005-Q1,12.275,10.229166666666668,,,
2005-03-09,2005-Q1,11.675,9.729166666666668,,,
2005-03-10,2005-Q1,11.8,9.833333333333334,,,
2005-03-11,2005-Q1,11.6,9.666666666666666,,,
2005-03-14,2005-Q1,11.575,9.645833333333334,,,
2005-03-15,2005-Q1,11.575,9.645833333333334,,,
2005-03-16,2005-Q1,11.45,9.541666666666666,,,
2005-03-17,2005-Q1,11.225,9.354166666666666,,,
2005-03-18,2005-Q1,11.15,9.291666666666668,,,
2005-03-21,2005-Q1,10.975,9.145833333333334,,,
2005-03-22,2005-Q1,10.625,8.854166666666668,,,
2005-03-23,2005-Q1,10.275,8.5625,,,
2005-03-24,2005-Q1,10.25,8.541666666666668,,,
2005-03-25,2005-Q1,10.25,8.541666666666668,,,
2005-03-28,2005-Q1,10.35,8.625,,,
2005-03-29,2005-Q1,9.775,8.145833333333334,,,
2005-03-30,2005-Q1,10.35,8.625,,,
2005-03-31,2005-Q1,10.525,8.770833333333334,,,
2005-04-01,2005-Q2,10.85,9.041666666666666,,,
2005-04-04,2005-Q2,10.75,8.958333333333334,,,
2005-04-05,2005-Q2,10.525,8.770833333333334,,,
2005-04-06,2005-Q2,10.925,9.104166666666668,,,
2005-04-07,2005-Q2,10.55,8.791666666666668,,,
2005-04-08,2005-Q2,10.725,8.9375,,,
2005-04-11,2005-Q2,10.65,8.875,,,
2005-04-12,2005-Q2,10.8,9.000000000000002,,,
2005-04-13,2005-Q2,10.9,9.083333333333334,,,
2005-04-14,2005-Q2,10.9,9.083333333333334,,,
2005-04-15,2005-Q2,10.575,8.8125,,,
2005-04-18,2005-Q2,10.525,8.770833333333334,,,
2005-04-19,2005-Q2,10.475,8.729166666666666,,,
2005-04-20,2005-Q2,10.55,8.791666666666668,,,
2005-04-21,2005-Q2,10.7,8.916666666666666,,,
2005-04-22,2005-Q2,10.95,9.125,,,
2005-04-25,2005-Q2,11.125,9.270833333333334,,,
2005-04-26,2005-Q2,11.1,9.25,,,
2005-04-27,2005-Q2,11.025,9.1875,,,
2005-04-28,2005-Q2,11.525,9.604166666666668,,,
2005-04-29,2005-Q2,11.55,9.625000000000002,,,
2005-05-02,2005-Q2,11.625,9.6875,,,
2005-05-03,2005-Q2,11.35,9.458333333333334,,,
2005-05-04,2005-Q2,11.4,9.5,,,
2005-05-05,2005-Q2,11.35,9.458333333333334,,,
2005-05-06,2005-Q2,11.3,9.416666666666668,9.84375,,
2005-05-09,2005-Q2,11.625,9.6875,9.791666666666668,,
2005-05-10,2005-Q2,11.65,9.708333333333334,9.739583333333334,,
2005-05-11,2005-Q2,11.975,9.979166666666666,9.739583333333334,,
2005-05-12,2005-Q2,12.0,10.0,9.739583333333334,,
2005-05-13,2005-Q2,12.05,10.041666666666668,9.739583333333334,,
2005-05-16,2005-Q2,12.0,10.0,9.739583333333334,,
2005-05-17,2005-Q2,11.8,9.833333333333334,9.739583333333334,,
2005-05-18,2005-Q2,11.725,9.770833333333334,9.739583333333334,,
2005-05-19,2005-Q2,11.75,9.791666666666668,9.739583333333334,,
2005-05-20,2005-Q2,11.85,9.875,9.739583333333334,,
2005-05-23,2005-Q2,11.925,9.937500000000002,9.739583333333334,,
2005-05-24,2005-Q2,11.95,9.958333333333334,9.739583333333334,,
2005-05-25,2005-Q2,11.9,9.916666666666668,9.739583333333334,,
2005-05-26,2005-Q2,11.875,9.895833333333334,9.739583333333334,,
2005-05-27,2005-Q2,12.025,10.020833333333334,9.739583333333334,,
2005-05-30,2005-Q2,11.9,9.916666666666668,9.739583333333334,,
2005-05-31,2005-Q2,12.05,10.041666666666668,9.739583333333334,,
2005-06-01,2005-Q2,12.125,22.453703703703702,9.739583333333334,,
2005-06-02,2005-Q2,12.025,22.26851851851852,9.739583333333334,,
2005-06-03,2005-Q2,12.1,22.407407407407405,9.739583333333334,,
2005-06-04,2005-Q2,12.0,22.22222222222222,9.739583333333334,,
2005-06-06,2005-Q2,12.2,22.592592592592588,9.739583333333334,,
2005-06-07,2005-Q2,12.25,22.685185185185183,9.739583333333334,,
2005-06-08,2005-Q2,13.1,24.259259259259256,9.739583333333334,,
2005-06-09,2005-Q2,12.975,24.02777777777777,9.739583333333334,,
2005-06-10,2005-Q2,12.6,23.33333333333333,9.739583333333334,,
2005-06-13,2005-Q2,12.575,23.287037037037035,9.739583333333334,,
2005-06-14,2005-Q2,12.5,23.148148148148145,9.739583333333334,,
2005-06-15,2005-Q2,12.375,22.916666666666664,9.739583333333334,,
2005-06-16,2005-Q2,12.225,22.63888888888889,9.739583333333334,,
2005-06-17,2005-Q2,12.05,22.314814814814813,9.739583333333334,,
2005-06-20,2005-Q2,11.95,22.129629629629623,9.739583333333334,,
2005-06-21,2005-Q2,11.975,22.175925925925924,9.739583333333334,,
2005-06-22,2005-Q2,12.075,22.361111111111107,9.739583333333334,,
2005-06-23,2005-Q2,11.925,22.08333333333333,9.739583333333334,,
2005-06-24,2005-Q2,11.975,22.175925925925924,9.739583333333334,,
2005-06-27,2005-Q2,12.075,22.361111111111107,9.739583333333334,,
2005-06-28,2005-Q2,11.875,21.99074074074074,9.739583333333334,,
2005-06-29,2005-Q2,11.85,21.944444444444443,9.739583333333334,,
2005-06-30,2005-Q2,11.775,21.80555555555556,9.739583333333334,,
2005-07-01,2005-Q3,12.275,22.73148148148148,9.739583333333334,,
2005-07-04,2005-Q3,12.675,23.47222222222222,9.75,,
2005-07-05,2005-Q3,12.775,23.657407407407405,9.75,,
2005-07-06,2005-Q3,12.925,23.935185185185183,9.75,,
