Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,31.91,6.113026819923372,,,
2005-01-04,2005-Q1,32.405,6.207854406130268,,,
2005-01-05,2005-Q1,32.185,6.1657088122605375,,,
2005-01-06,2005-Q1,30.945,5.92816091954023,,,
2005-01-07,2005-Q1,32.005,6.131226053639848,,,
2005-01-10,2005-Q1,32.18,6.164750957854406,,,
2005-01-11,2005-Q1,32.03,6.136015325670499,,,
2005-01-12,2005-Q1,31.69,6.070881226053641,,,
2005-01-13,2005-Q1,31.665,6.066091954022989,,,
2005-01-14,2005-Q1,31.94,6.118773946360154,,,
2005-01-17,2005-Q1,31.885,6.108237547892721,,,
2005-01-18,2005-Q1,31.815,6.094827586206897,,,
2005-01-19,2005-Q1,32.08,6.145593869731801,,,
2005-01-20,2005-Q1,32.35,6.197318007662836,,,
2005-01-21,2005-Q1,32.35,6.197318007662836,,,
2005-01-24,2005-Q1,32.945,6.311302681992338,,,
2005-01-25,2005-Q1,33.545,6.42624521072797,,,
2005-01-26,2005-Q1,33.545,6.42624521072797,,,
2005-01-27,2005-Q1,34.77,6.660919540229886,,,
2005-01-28,2005-Q1,34.81,6.668582375478928,,,
2005-01-31,2005-Q1,35.985,6.89367816091954,,,
2005-02-01,2005-Q1,35.53,6.806513409961687,,,
2005-02-02,2005-Q1,34.895,6.684865900383143,,,
2005-02-03,2005-Q1,34.685,6.644636015325672,,,
2005-02-04,2005-Q1,34.525,6.613984674329502,,,
2005-02-07,2005-Q1,34.74,6.655172413793104,,,
2005-02-08,2005-Q1,35.155,6.7346743295019165,,,
2005-02-09,2005-Q1,35.52,6.804597701149426,,,
2005-02-10,2005-Q1,35.54,6.8084291187739465,,,
2005-02-11,2005-Q1,35.875,6.8726053639846745,,,
2005-02-14,2005-Q1,36.005,6.897509578544062,,,
2005-02-15,2005-Q1,36.065,6.909003831417625,,,
2005-02-16,2005-Q1,36.0,6.896551724137932,,,
2005-02-17,2005-Q1,36.005,6.897509578544062,,,
2005-02-18,2005-Q1,36.085,6.912835249042146,,,
2005-02-21,2005-Q1,35.09,6.722222222222223,,,
2005-02-22,2005-Q1,36.025,6.901340996168583,,,
2005-02-23,2005-Q1,35.735,6.845785440613027,,,
2005-02-24,2005-Q1,35.685,6.836206896551725,,,
2005-02-25,2005-Q1,35.555,6.811302681992338,,,
2005-02-28,2005-Q1,35.545,6.809386973180077,,,
2005-03-01,2005-Q1,35.885,8.364801864801864,,,
2005-03-02,2005-Q1,36.215,8.441724941724942,,,
2005-03-03,2005-Q1,36.005,8.392773892773894,,,
2005-03-04,2005-Q1,35.345,8.238927738927739,,,
2005-03-07,2005-Q1,35.305,8.22960372960373,,,
2005-03-08,2005-Q1,36.325,8.467365967365968,,,
2005-03-09,2005-Q1,35.81,8.347319347319347,,,
2005-03-10,2005-Q1,35.905,8.36946386946387,,,
2005-03-11,2005-Q1,35.715,8.325174825174827,,,
2005-03-14,2005-Q1,36.265,8.453379953379953,,,
2005-03-15,2005-Q1,37.335,8.702797202797203,,,
2005-03-16,2005-Q1,37.6,8.764568764568764,,,
2005-03-17,2005-Q1,38.96,9.081585081585082,,,
2005-03-18,2005-Q1,39.175,9.131701631701633,,,
2005-03-21,2005-Q1,39.235,9.145687645687646,,,
2005-03-22,2005-Q1,39.15,9.125874125874123,,,
2005-03-23,2005-Q1,39.1,9.114219114219114,,,
2005-03-24,2005-Q1,39.115,9.117715617715618,,,
2005-03-25,2005-Q1,39.115,9.117715617715618,,,
2005-03-28,2005-Q1,39.135,9.122377622377622,,,
2005-03-29,2005-Q1,38.51,8.976689976689975,,,
2005-03-30,2005-Q1,39.13,9.12121212121212,,,
2005-03-31,2005-Q1,39.195,9.136363636363637,,,
2005-04-01,2005-Q2,39.345,9.171328671328672,,,
2005-04-04,2005-Q2,39.105,9.115384615384617,,,
2005-04-05,2005-Q2,39.1,9.114219114219114,,,
2005-04-06,2005-Q2,39.105,9.115384615384617,,,
2005-04-07,2005-Q2,39.1,9.114219114219114,,,
2005-04-08,2005-Q2,39.54,9.216783216783217,,,
2005-04-11,2005-Q2,39.115,9.117715617715618,,,
2005-04-12,2005-Q2,39.115,9.117715617715618,,,
2005-04-13,2005-Q2,39.14,9.123543123543124,,,
2005-04-14,2005-Q2,39.14,9.123543123543124,,,
2005-04-15,2005-Q2,38.995,9.08974358974359,,,
2005-04-18,2005-Q2,39.11,9.116550116550115,,,
2005-04-19,2005-Q2,39.25,9.14918414918415,,,
2005-04-20,2005-Q2,39.1,9.114219114219114,,,
2005-04-21,2005-Q2,39.1,9.114219114219114,,,
2005-04-22,2005-Q2,39.225,9.143356643356643,,,
2005-04-25,2005-Q2,38.985,9.087412587412588,,,
2005-04-26,2005-Q2,38.63,9.004662004662006,,,
2005-04-27,2005-Q2,37.87,8.827505827505826,,,
2005-04-28,2005-Q2,36.78,8.573426573426573,,,
2005-04-29,2005-Q2,37.205,8.672494172494172,,,
2005-05-02,2005-Q2,37.045,8.635198135198136,,,
2005-05-03,2005-Q2,37.95,8.846153846153847,,,
2005-05-04,2005-Q2,37.725,8.793706293706293,,,
2005-05-05,2005-Q2,37.455,8.73076923076923,,,
2005-05-06,2005-Q2,37.9,8.834498834498834,8.356060606060606,,
2005-05-09,2005-Q2,37.875,8.828671328671328,8.367132867132867,,
2005-05-10,2005-Q2,38.02,8.862470862470863,8.381118881118882,,
2005-05-11,2005-Q2,38.48,8.969696969696969,8.417249417249419,,
2005-05-12,2005-Q2,38.03,8.864801864801866,8.447552447552447,,
2005-05-13,2005-Q2,38.475,8.968531468531468,8.460372960372961,,
2005-05-16,2005-Q2,39.075,9.108391608391608,8.52039627039627,,
2005-05-17,2005-Q2,39.46,9.198135198135198,8.604312354312356,,
2005-05-18,2005-Q2,38.86,9.058275058275058,8.653846153846153,,
2005-05-19,2005-Q2,39.005,9.092074592074592,8.687645687645688,,
2005-05-20,2005-Q2,39.015,9.094405594405597,8.716783216783217,,
