Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,377.08,37.07767944936087,,,
2005-01-04,2005-Q1,378.03,37.17109144542773,,,
2005-01-05,2005-Q1,345.58,33.9803343166175,,,
2005-01-06,2005-Q1,322.62,31.722713864306787,,,
2005-01-07,2005-Q1,318.79,31.34611602753196,,,
2005-01-10,2005-Q1,319.75,31.440511307767945,,,
2005-01-11,2005-Q1,308.72,30.35594886922321,,,
2005-01-12,2005-Q1,287.63,28.28220255653884,,,
2005-01-13,2005-Q1,289.11,28.42772861356932,,,
2005-01-14,2005-Q1,281.44,27.67354965585054,,,
2005-01-17,2005-Q1,275.74,27.11307767944936,,,
2005-01-18,2005-Q1,286.99,28.219272369714847,,,
2005-01-19,2005-Q1,285.87,28.109144542772864,,,
2005-01-20,2005-Q1,283.32,27.858407079646017,,,
2005-01-21,2005-Q1,283.32,27.858407079646017,,,
2005-01-24,2005-Q1,282.09,27.73746312684365,,,
2005-01-25,2005-Q1,283.4,27.866273352999016,,,
2005-01-26,2005-Q1,283.4,27.866273352999016,,,
2005-01-27,2005-Q1,290.0,28.51524090462144,,,
2005-01-28,2005-Q1,308.7,30.353982300884955,,,
2005-01-31,2005-Q1,320.97,31.560471976401185,,,
2005-02-01,2005-Q1,319.95,31.46017699115044,,,
2005-02-02,2005-Q1,331.45,32.590953785644054,,,
2005-02-03,2005-Q1,334.66,32.90658800393314,,,
2005-02-04,2005-Q1,334.07,32.84857423795477,,,
2005-02-07,2005-Q1,330.84,32.530973451327434,,,
2005-02-08,2005-Q1,322.31,31.692232055063915,,,
2005-02-09,2005-Q1,326.11,32.06588003933137,,,
2005-02-10,2005-Q1,333.82,32.82399213372665,,,
2005-02-11,2005-Q1,326.53,32.107177974434606,,,
2005-02-14,2005-Q1,321.68,31.630285152409048,,,
2005-02-15,2005-Q1,318.38,31.30580137659784,,,
2005-02-16,2005-Q1,321.52,31.614552605703047,,,
2005-02-17,2005-Q1,322.83,31.74336283185841,,,
2005-02-18,2005-Q1,325.65,32.02064896755162,,,
2005-02-21,2005-Q1,322.22,31.6833824975418,,,
2005-02-22,2005-Q1,318.84,31.35103244837758,,,
2005-02-23,2005-Q1,324.66,31.923303834808262,,,
2005-02-24,2005-Q1,321.28,31.59095378564405,,,
2005-02-25,2005-Q1,318.1,31.278269419862344,,,
2005-02-28,2005-Q1,316.82,31.152409046214355,,,
2005-03-01,2005-Q1,315.21,27.29090909090909,,,
2005-03-02,2005-Q1,315.45,27.311688311688307,,,
2005-03-03,2005-Q1,319.25,27.64069264069264,,,
2005-03-04,2005-Q1,318.1,27.541125541125545,,,
2005-03-07,2005-Q1,319.9,27.69696969696969,,,
2005-03-08,2005-Q1,319.9,27.69696969696969,,,
2005-03-09,2005-Q1,318.23,27.55238095238096,,,
2005-03-10,2005-Q1,316.64,27.414718614718613,,,
2005-03-11,2005-Q1,317.6,27.4978354978355,,,
2005-03-14,2005-Q1,316.42,27.395670995671,,,
2005-03-15,2005-Q1,323.66,28.022510822510824,,,
2005-03-16,2005-Q1,319.53,27.66493506493506,,,
2005-03-17,2005-Q1,319.14,27.63116883116883,,,
2005-03-18,2005-Q1,302.28,26.171428571428567,,,
2005-03-21,2005-Q1,304.83,26.39220779220779,,,
2005-03-22,2005-Q1,300.93,26.05454545454545,,,
2005-03-23,2005-Q1,287.23,24.86839826839827,,,
2005-03-24,2005-Q1,288.41,24.97056277056277,,,
2005-03-25,2005-Q1,288.41,24.97056277056277,,,
2005-03-28,2005-Q1,288.02,24.93679653679653,,,
2005-03-29,2005-Q1,280.0,24.24242424242424,,,
2005-03-30,2005-Q1,288.35,24.965367965367967,,,
2005-03-31,2005-Q1,295.01,25.54199134199134,,,
2005-04-01,2005-Q2,300.2,25.99134199134199,,,
2005-04-04,2005-Q2,310.8,26.90909090909091,,,
2005-04-05,2005-Q2,308.57,26.716017316017314,,,
2005-04-06,2005-Q2,317.75,27.51082251082251,,,
2005-04-07,2005-Q2,334.6,28.96969696969697,,,
2005-04-08,2005-Q2,349.16,30.23030303030303,,,
2005-04-11,2005-Q2,362.52,31.387012987012984,,,
2005-04-12,2005-Q2,354.87,30.724675324675324,,,
2005-04-13,2005-Q2,358.25,31.017316017316016,,,
2005-04-14,2005-Q2,358.25,31.017316017316016,,,
2005-04-15,2005-Q2,342.11,29.61991341991342,,,
2005-04-18,2005-Q2,336.38,29.123809523809523,,,
