Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,38.04,8.744827586206897,,,
2005-01-04,2005-Q1,37.94,8.72183908045977,,,
2005-01-05,2005-Q1,36.85,8.471264367816094,,,
2005-01-06,2005-Q1,37.03,8.51264367816092,,,
2005-01-07,2005-Q1,38.02,8.740229885057472,,,
2005-01-10,2005-Q1,38.42,8.832183908045979,,,
2005-01-11,2005-Q1,37.59,8.64137931034483,,,
2005-01-12,2005-Q1,36.27,8.33793103448276,,,
2005-01-13,2005-Q1,35.13,8.075862068965519,,,
2005-01-14,2005-Q1,37.79,8.687356321839081,,,
2005-01-17,2005-Q1,39.35,9.045977011494251,,,
2005-01-18,2005-Q1,39.71,9.12873563218391,,,
2005-01-19,2005-Q1,39.13,8.995402298850577,,,
2005-01-20,2005-Q1,38.21,8.783908045977013,,,
2005-01-21,2005-Q1,38.21,8.783908045977013,,,
2005-01-24,2005-Q1,40.88,9.39770114942529,,,
2005-01-25,2005-Q1,39.74,9.135632183908047,,,
2005-01-26,2005-Q1,39.74,9.135632183908047,,,
2005-01-27,2005-Q1,41.3,9.494252873563218,,,
2005-01-28,2005-Q1,41.03,9.432183908045978,,,
2005-01-31,2005-Q1,41.21,9.473563218390806,,,
2005-02-01,2005-Q1,40.89,9.4,,,
2005-02-02,2005-Q1,43.05,9.89655172413793,,,
2005-02-03,2005-Q1,44.92,10.326436781609196,,,
2005-02-04,2005-Q1,45.0,10.344827586206897,,,
2005-02-07,2005-Q1,44.67,10.26896551724138,,,
2005-02-08,2005-Q1,45.92,10.55632183908046,,,
2005-02-09,2005-Q1,46.21,10.622988505747127,,,
2005-02-10,2005-Q1,45.04,10.354022988505749,,,
2005-02-11,2005-Q1,46.13,10.604597701149428,,,
2005-02-14,2005-Q1,46.27,10.636781609195404,,,
2005-02-15,2005-Q1,46.19,10.618390804597702,,,
2005-02-16,2005-Q1,46.38,10.662068965517244,,,
2005-02-17,2005-Q1,44.1,10.13793103448276,,,
2005-02-18,2005-Q1,44.01,10.117241379310345,,,
2005-02-21,2005-Q1,45.91,10.554022988505746,,,
2005-02-22,2005-Q1,46.28,10.639080459770115,,,
2005-02-23,2005-Q1,45.6,10.482758620689657,,,
2005-02-24,2005-Q1,45.73,10.51264367816092,,,
2005-02-25,2005-Q1,45.24,10.400000000000002,,,
2005-02-28,2005-Q1,48.42,11.131034482758622,,,
2005-03-01,2005-Q1,45.92,9.20240480961924,,,
2005-03-02,2005-Q1,45.69,9.1563126252505,,,
2005-03-03,2005-Q1,45.62,9.142284569138276,,,
2005-03-04,2005-Q1,46.31,9.280561122244489,,,
2005-03-07,2005-Q1,47.33,9.48496993987976,,,
2005-03-08,2005-Q1,49.18,9.85571142284569,,,
2005-03-09,2005-Q1,50.26,10.072144288577151,,,
2005-03-10,2005-Q1,51.48,10.316633266533064,,,
2005-03-11,2005-Q1,52.21,10.462925851703408,,,
2005-03-14,2005-Q1,52.07,10.434869739478955,,,
2005-03-15,2005-Q1,51.33,10.286573146292584,,,
2005-03-16,2005-Q1,48.96,9.811623246492983,,,
2005-03-17,2005-Q1,48.64,9.74749498997996,,,
2005-03-18,2005-Q1,48.34,9.687374749498998,,,
2005-03-21,2005-Q1,48.05,9.629258517034067,,,
2005-03-22,2005-Q1,46.88,9.394789579158315,,,
2005-03-23,2005-Q1,47.36,9.490981963927856,,,
2005-03-24,2005-Q1,46.59,9.336673346693386,,,
2005-03-25,2005-Q1,46.59,9.336673346693386,,,
2005-03-28,2005-Q1,46.36,9.29058116232465,,,
2005-03-29,2005-Q1,45.35,9.08817635270541,,,
2005-03-30,2005-Q1,46.03,9.224448897795591,,,
2005-03-31,2005-Q1,47.52,9.52304609218437,,,
2005-04-01,2005-Q2,47.63,9.545090180360722,,,
2005-04-04,2005-Q2,47.44,9.507014028056112,,,
2005-04-05,2005-Q2,47.22,9.462925851703408,,,
2005-04-06,2005-Q2,47.06,9.430861723446894,,,
2005-04-07,2005-Q2,46.86,9.390781563126252,,,
2005-04-08,2005-Q2,45.91,9.200400801603204,,,
2005-04-11,2005-Q2,45.6,9.138276553106213,,,
2005-04-12,2005-Q2,45.47,9.112224448897797,,,
2005-04-13,2005-Q2,45.3,9.07815631262525,,,
2005-04-14,2005-Q2,45.3,9.07815631262525,,,
2005-04-15,2005-Q2,45.28,9.074148296593188,,,
