Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,93.115,7.479116465863454,,,
2005-01-04,2005-Q1,93.065,7.475100401606426,,,
2005-01-05,2005-Q1,90.51,7.26987951807229,,,
2005-01-06,2005-Q1,90.115,7.238152610441767,,,
2005-01-07,2005-Q1,90.125,7.238955823293173,,,
2005-01-10,2005-Q1,90.215,7.246184738955824,,,
2005-01-11,2005-Q1,89.595,7.196385542168675,,,
2005-01-12,2005-Q1,89.095,7.156224899598394,,,
2005-01-13,2005-Q1,89.395,7.180321285140562,,,
2005-01-14,2005-Q1,87.62,7.037751004016065,,,
2005-01-17,2005-Q1,87.55,7.032128514056225,,,
2005-01-18,2005-Q1,89.68,7.203212851405623,,,
2005-01-19,2005-Q1,87.825,7.05421686746988,,,
2005-01-20,2005-Q1,85.18,6.841767068273093,,,
2005-01-21,2005-Q1,85.18,6.841767068273093,,,
2005-01-24,2005-Q1,88.42,7.102008032128515,,,
2005-01-25,2005-Q1,86.71,6.964658634538153,,,
2005-01-26,2005-Q1,86.71,6.964658634538153,,,
2005-01-27,2005-Q1,86.48,6.946184738955824,,,
2005-01-28,2005-Q1,87.0,6.987951807228916,,,
2005-01-31,2005-Q1,87.645,7.039759036144578,,,
2005-02-01,2005-Q1,90.03,7.23132530120482,,,
2005-02-02,2005-Q1,89.995,7.2285140562249,,,
2005-02-03,2005-Q1,90.005,7.229317269076305,,,
2005-02-04,2005-Q1,90.195,7.244578313253012,,,
2005-02-07,2005-Q1,90.0,7.228915662650603,,,
2005-02-08,2005-Q1,90.06,7.233734939759037,,,
2005-02-09,2005-Q1,89.095,7.156224899598394,,,
2005-02-10,2005-Q1,90.01,7.229718875502009,,,
2005-02-11,2005-Q1,90.055,7.233333333333334,,,
2005-02-14,2005-Q1,93.405,7.502409638554218,,,
2005-02-15,2005-Q1,92.565,7.434939759036145,,,
2005-02-16,2005-Q1,93.46,7.5068273092369475,,,
2005-02-17,2005-Q1,92.93,7.464257028112451,,,
2005-02-18,2005-Q1,92.605,7.438152610441768,,,
2005-02-21,2005-Q1,93.0,7.46987951807229,,,
2005-02-22,2005-Q1,92.15,7.401606425702812,,,
2005-02-23,2005-Q1,92.25,7.409638554216868,,,
2005-02-24,2005-Q1,92.555,7.43413654618474,,,
2005-02-25,2005-Q1,92.57,7.435341365461848,,,
2005-02-28,2005-Q1,93.005,7.470281124497992,,,
2005-03-01,2005-Q1,92.455,25.825418994413408,,,
2005-03-02,2005-Q1,92.89,25.94692737430168,,,
2005-03-03,2005-Q1,93.005,25.97905027932961,,,
2005-03-04,2005-Q1,93.025,25.984636871508386,,,
2005-03-07,2005-Q1,93.0,25.97765363128492,,,
2005-03-08,2005-Q1,93.0,25.97765363128492,,,
2005-03-09,2005-Q1,93.0,25.97765363128492,,,
2005-03-10,2005-Q1,92.665,25.884078212290504,,,
2005-03-11,2005-Q1,93.0,25.97765363128492,,,
2005-03-14,2005-Q1,93.0,25.97765363128492,,,
2005-03-15,2005-Q1,92.51,25.84078212290503,,,
2005-03-16,2005-Q1,93.005,25.97905027932961,,,
2005-03-17,2005-Q1,93.0,25.97765363128492,,,
2005-03-18,2005-Q1,93.06,25.99441340782123,,,
2005-03-21,2005-Q1,90.285,25.21927374301676,,,
2005-03-22,2005-Q1,87.545,24.45391061452514,,,
2005-03-23,2005-Q1,85.035,23.752793296089383,,,
