Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,127.62,30.4582338902148,,,
2005-01-04,2005-Q1,127.16,30.34844868735083,,,
2005-01-05,2005-Q1,120.3,28.71121718377088,,,
2005-01-06,2005-Q1,117.06,27.93794749403341,,,
2005-01-07,2005-Q1,116.7,27.852028639618137,,,
2005-01-10,2005-Q1,112.76,26.911694510739856,,,
2005-01-11,2005-Q1,107.26,25.59904534606205,,,
2005-01-12,2005-Q1,101.12,24.13365155131265,,,
2005-01-13,2005-Q1,105.76,25.241050119331742,,,
2005-01-14,2005-Q1,106.42,25.39856801909308,,,
2005-01-17,2005-Q1,105.02,25.06443914081145,,,
2005-01-18,2005-Q1,104.44,24.926014319809067,,,
2005-01-19,2005-Q1,106.56,25.43198090692124,,,
2005-01-20,2005-Q1,108.56,25.909307875894985,,,
2005-01-21,2005-Q1,108.56,25.909307875894985,,,
2005-01-24,2005-Q1,110.12,26.28162291169451,,,
2005-01-25,2005-Q1,109.3,26.085918854415272,,,
2005-01-26,2005-Q1,109.3,26.085918854415272,,,
2005-01-27,2005-Q1,107.14,25.570405727923625,,,
2005-01-28,2005-Q1,109.82,26.210023866348443,,,
2005-01-31,2005-Q1,114.62,27.35560859188544,,,
2005-02-01,2005-Q1,112.92,26.949880668257755,,,
2005-02-02,2005-Q1,113.9,27.18377088305489,,,
2005-02-03,2005-Q1,114.38,27.298329355608587,,,
2005-02-04,2005-Q1,113.94,27.193317422434365,,,
2005-02-07,2005-Q1,111.48,26.606205250596656,,,
2005-02-08,2005-Q1,109.4,26.10978520286396,,,
2005-02-09,2005-Q1,109.64,26.16706443914081,,,
2005-02-10,2005-Q1,110.38,26.343675417661093,,,
2005-02-11,2005-Q1,110.56,26.38663484486873,,,
2005-02-14,2005-Q1,110.68,26.41527446300716,,,
2005-02-15,2005-Q1,109.76,26.19570405727924,,,
2005-02-16,2005-Q1,109.82,26.210023866348443,,,
2005-02-17,2005-Q1,109.78,26.20047732696897,,,
2005-02-18,2005-Q1,108.76,25.95704057279236,,,
2005-02-21,2005-Q1,106.22,25.350835322195703,,,
2005-02-22,2005-Q1,107.16,25.575178997613364,,,
2005-02-23,2005-Q1,106.02,25.30310262529833,,,
2005-02-24,2005-Q1,103.28,24.649164677804293,,,
2005-02-25,2005-Q1,103.48,24.69689737470167,,,
2005-02-28,2005-Q1,104.24,24.87828162291169,,,
2005-03-01,2005-Q1,103.82,29.49431818181818,,,
2005-03-02,2005-Q1,103.24,29.329545454545453,,,
2005-03-03,2005-Q1,107.3,30.482954545454543,,,
2005-03-04,2005-Q1,108.08,30.704545454545453,,,
2005-03-07,2005-Q1,106.68,30.306818181818183,,,
2005-03-08,2005-Q1,108.98,30.96022727272728,,,
2005-03-09,2005-Q1,118.18,33.57386363636364,,,
2005-03-10,2005-Q1,113.92,32.36363636363637,,,
2005-03-11,2005-Q1,112.12,31.85227272727273,,,
2005-03-14,2005-Q1,110.08,31.27272727272728,,,
2005-03-15,2005-Q1,113.4,32.21590909090909,,,
2005-03-16,2005-Q1,113.32,32.19318181818181,,,
2005-03-17,2005-Q1,112.84,32.05681818181818,,,
2005-03-18,2005-Q1,110.62,31.426136363636363,,,
2005-03-21,2005-Q1,109.7,31.164772727272727,,,
2005-03-22,2005-Q1,105.56,29.988636363636363,,,
2005-03-23,2005-Q1,104.14,29.58522727272728,,,
2005-03-24,2005-Q1,101.34,28.789772727272727,,,
2005-03-25,2005-Q1,101.34,28.789772727272727,,,
2005-03-28,2005-Q1,102.86,29.22159090909091,,,
2005-03-29,2005-Q1,100.38,28.517045454545453,,,
2005-03-30,2005-Q1,100.46,28.539772727272727,,,
2005-03-31,2005-Q1,102.32,29.068181818181817,,,
2005-04-01,2005-Q2,103.62,29.4375,,,
2005-04-04,2005-Q2,104.36,29.64772727272728,,,
2005-04-05,2005-Q2,103.88,29.51136363636364,,,
2005-04-06,2005-Q2,103.52,29.409090909090907,,,
2005-04-07,2005-Q2,101.06,28.71022727272728,,,
2005-04-08,2005-Q2,100.64,28.59090909090909,,,
2005-04-11,2005-Q2,99.46,28.255681818181817,,,
2005-04-12,2005-Q2,99.94,28.392045454545453,,,
2005-04-13,2005-Q2,99.8,28.352272727272727,,,
2005-04-14,2005-Q2,99.8,28.352272727272727,,,
2005-04-15,2005-Q2,93.76,26.63636363636364,,,
2005-04-18,2005-Q2,92.84,26.375,,,
2005-04-19,2005-Q2,93.82,26.65340909090909,,,
2005-04-20,2005-Q2,95.64,27.170454545454547,,,
2005-04-21,2005-Q2,96.68,27.465909090909093,,,
2005-04-22,2005-Q2,97.8,27.784090909090907,,,
2005-04-25,2005-Q2,97.48,27.69318181818182,,,
2005-04-26,2005-Q2,97.62,27.732954545454547,,,
2005-04-27,2005-Q2,101.98,28.97159090909091,,,
2005-04-28,2005-Q2,103.08,29.28409090909091,,,
2005-04-29,2005-Q2,105.64,30.01136363636364,,,
2005-05-02,2005-Q2,106.28,30.19318181818182,,,
2005-05-03,2005-Q2,105.92,30.09090909090909,,,
2005-05-04,2005-Q2,106.64,30.295454545454547,,,
2005-05-05,2005-Q2,106.84,30.352272727272727,,,
2005-05-06,2005-Q2,108.52,30.829545454545453,27.89498806682577,,
2005-05-09,2005-Q2,109.76,31.181818181818183,27.89498806682577,,
2005-05-10,2005-Q2,109.86,31.21022727272728,27.89498806682577,,
2005-05-11,2005-Q2,110.54,31.403409090909093,27.89498806682577,,
2005-05-12,2005-Q2,111.08,31.55681818181818,28.053855228899977,,
2005-05-13,2005-Q2,113.06,32.11931818181818,28.30397727272728,,
2005-05-16,2005-Q2,112.26,31.892045454545457,28.352272727272727,,
2005-05-17,2005-Q2,111.94,31.801136363636363,28.37215909090909,,
2005-05-18,2005-Q2,111.24,31.602272727272727,28.454545454545453,,
2005-05-19,2005-Q2,110.82,31.482954545454543,28.52840909090909,,
2005-05-20,2005-Q2,109.36,31.068181818181817,28.565340909090907,,
2005-05-23,2005-Q2,109.36,31.068181818181817,28.650568181818187,,
2005-05-24,2005-Q2,111.74,31.74431818181818,28.750000000000004,,
2005-05-25,2005-Q2,112.9,32.07386363636364,28.789772727272727,,
2005-05-26,2005-Q2,114.34,32.48295454545455,28.88068181818182,,
2005-05-27,2005-Q2,114.8,32.61363636363636,29.019886363636363,,
2005-05-30,2005-Q2,115.9,32.92613636363637,29.144886363636363,,
2005-05-31,2005-Q2,115.86,32.91477272727273,29.25284090909091,,
2005-06-01,2005-Q2,116.88,78.44295302013423,29.30681818181818,,
2005-06-02,2005-Q2,115.72,77.66442953020135,29.36931818181818,,
2005-06-03,2005-Q2,116.3,78.05369127516778,29.423295454545453,,
2005-06-04,2005-Q2,115.8,77.71812080536913,29.46590909090909,,
2005-06-06,2005-Q2,115.94,77.81208053691275,29.50284090909091,,
2005-06-07,2005-Q2,115.92,77.79865771812081,29.54829545454546,,
2005-06-08,2005-Q2,118.16,79.30201342281879,29.61647727272728,,
2005-06-09,2005-Q2,117.44,78.81879194630872,29.81818181818182,,
2005-06-10,2005-Q2,116.58,78.24161073825503,30.0,,
2005-06-13,2005-Q2,116.04,77.87919463087249,30.051136363636367,,
2005-06-14,2005-Q2,116.16,77.95973154362416,30.142045454545453,,
2005-06-15,2005-Q2,115.28,77.36912751677852,30.244318181818183,,
2005-06-16,2005-Q2,114.38,76.76510067114094,30.301136363636367,,
2005-06-17,2005-Q2,113.98,76.49664429530202,30.329545454545453,,
2005-06-20,2005-Q2,113.9,76.44295302013423,30.41761363636364,,
2005-06-21,2005-Q2,121.94,81.83892617449665,30.59375,,
2005-06-22,2005-Q2,124.98,83.87919463087249,30.767045454545453,,
2005-06-23,2005-Q2,124.28,83.40939597315436,30.894886363636367,,
2005-06-24,2005-Q2,125.72,84.3758389261745,31.014204545454547,,
2005-06-27,2005-Q2,124.28,83.40939597315436,31.068181818181817,,
2005-06-28,2005-Q2,124.36,83.46308724832215,31.11647727272728,,
2005-06-29,2005-Q2,124.0,83.22147651006712,31.173295454545453,,
2005-06-30,2005-Q2,125.46,84.20134228187919,31.196022727272734,,
2005-07-01,2005-Q3,127.76,85.74496644295303,31.24147727272728,,
2005-07-04,2005-Q3,131.64,88.34899328859059,31.338068181818187,,
2005-07-05,2005-Q3,127.74,85.73154362416108,31.414772727272727,,
2005-07-06,2005-Q3,128.18,86.0268456375839,31.454545454545453,,
2005-07-07,2005-Q3,125.76,84.4026845637584,31.51988636363636,,
2005-07-08,2005-Q3,127.16,85.34228187919463,31.579545454545453,,
2005-07-11,2005-Q3,127.78,85.75838926174497,31.673295454545453,,
2005-07-12,2005-Q3,130.4,87.51677852348993,31.673295454545453,,
2005-07-13,2005-Q3,129.4,86.84563758389262,31.673295454545453,,
2005-07-14,2005-Q3,130.14,87.34228187919462,31.673295454545453,,
2005-07-15,2005-Q3,132.4,88.85906040268456,31.77272727272728,,
2005-07-18,2005-Q3,133.82,89.81208053691275,31.77272727272728,,
2005-07-19,2005-Q3,133.9,89.86577181208054,31.77272727272728,,
2005-07-20,2005-Q3,132.54,88.95302013422818,31.77272727272728,,
2005-07-21,2005-Q3,133.04,89.28859060402684,31.84659090909091,,
2005-07-22,2005-Q3,136.34,91.503355704698,31.982954545454547,,
2005-07-25,2005-Q3,136.88,91.86577181208054,32.09659090909091,,
2005-07-26,2005-Q3,134.42,90.21476510067112,32.30113636363636,,
2005-07-27,2005-Q3,135.38,90.85906040268456,32.54829545454545,,
2005-07-28,2005-Q3,135.38,90.85906040268456,32.76420454545455,,
2005-07-29,2005-Q3,134.78,90.45637583892618,32.92045454545455,,
2005-08-01,2005-Q3,133.54,89.6241610738255,54.68454469188529,,
2005-08-02,2005-Q3,135.24,90.76510067114094,76.46979865771812,,
2005-08-03,2005-Q3,135.34,90.83221476510067,76.63087248322148,,
2005-08-04,2005-Q3,134.88,90.52348993288592,77.06711409395973,,
2005-08-05,2005-Q3,136.26,91.4496644295302,77.51677852348993,,
2005-08-08,2005-Q3,132.88,89.18120805369128,77.69127516778524,,
2005-08-09,2005-Q3,128.56,86.28187919463087,77.75838926174497,,
2005-08-10,2005-Q3,129.08,86.63087248322148,77.80536912751677,,
2005-08-11,2005-Q3,134.38,90.18791946308724,77.84563758389262,,
2005-08-12,2005-Q3,138.06,92.65771812080536,77.91946308724832,,
2005-08-15,2005-Q3,138.06,92.65771812080536,78.00671140939596,,
2005-08-16,2005-Q3,139.02,93.3020134228188,78.14765100671141,,
2005-08-17,2005-Q3,140.86,94.53691275167786,78.34228187919463,,
2005-08-18,2005-Q3,139.82,93.83892617449663,78.63087248322148,,
2005-08-19,2005-Q3,139.4,93.55704697986576,79.06040268456375,,
2005-08-22,2005-Q3,143.64,96.40268456375838,80.57046979865771,,
2005-08-23,2005-Q3,138.46,92.92617449664432,82.53020134228188,,
2005-08-24,2005-Q3,140.3,94.16107382550337,83.31543624161074,,
2005-08-25,2005-Q3,140.4,94.2281879194631,83.40939597315436,,
2005-08-26,2005-Q3,139.98,93.9463087248322,83.43624161073825,,
2005-08-29,2005-Q3,136.68,91.73154362416108,83.67114093959732,,
2005-08-30,2005-Q3,137.7,92.41610738255032,84.04026845637584,,
2005-08-31,2005-Q3,136.74,91.77181208053692,84.28859060402684,,
2005-09-01,2005-Q3,137.72,83.97560975609757,84.28859060402684,,
2005-09-02,2005-Q3,138.94,84.71951219512195,84.38926174496645,,
2005-09-05,2005-Q3,142.04,86.60975609756098,84.56109837944018,,
2005-09-06,2005-Q3,146.02,89.03658536585367,85.0308970371583,,
2005-09-07,2005-Q3,146.02,89.03658536585367,85.53691275167785,,
