Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,289.45,85.13235294117646,,,
2005-01-04,2005-Q1,282.25,83.01470588235294,,,
2005-01-05,2005-Q1,274.35,80.69117647058825,,,
2005-01-06,2005-Q1,270.4,79.52941176470588,,,
2005-01-07,2005-Q1,273.7,80.5,,,
2005-01-10,2005-Q1,279.55,82.22058823529413,,,
2005-01-11,2005-Q1,284.3,83.61764705882354,,,
2005-01-12,2005-Q1,264.25,77.72058823529412,,,
2005-01-13,2005-Q1,273.0,80.29411764705883,,,
2005-01-14,2005-Q1,265.05,77.95588235294119,,,
2005-01-17,2005-Q1,267.5,78.67647058823529,,,
2005-01-18,2005-Q1,268.0,78.82352941176471,,,
2005-01-19,2005-Q1,274.5,80.73529411764706,,,
2005-01-20,2005-Q1,272.05,80.01470588235294,,,
2005-01-21,2005-Q1,272.05,80.01470588235294,,,
2005-01-24,2005-Q1,274.0,80.58823529411765,,,
2005-01-25,2005-Q1,279.35,82.16176470588236,,,
2005-01-26,2005-Q1,279.35,82.16176470588236,,,
2005-01-27,2005-Q1,280.0,82.3529411764706,,,
2005-01-28,2005-Q1,276.0,81.17647058823529,,,
2005-01-31,2005-Q1,279.85,82.30882352941177,,,
2005-02-01,2005-Q1,274.95,80.86764705882352,,,
2005-02-02,2005-Q1,272.15,80.04411764705883,,,
2005-02-03,2005-Q1,268.05,78.83823529411765,,,
2005-02-04,2005-Q1,270.0,79.41176470588235,,,
2005-02-07,2005-Q1,271.2,79.76470588235294,,,
2005-02-08,2005-Q1,272.2,80.05882352941177,,,
2005-02-09,2005-Q1,270.0,79.41176470588235,,,
2005-02-10,2005-Q1,270.1,79.44117647058825,,,
2005-02-11,2005-Q1,269.25,79.19117647058823,,,
2005-02-14,2005-Q1,272.0,80.0,,,
2005-02-15,2005-Q1,270.25,79.48529411764706,,,
2005-02-16,2005-Q1,273.0,80.29411764705883,,,
2005-02-17,2005-Q1,270.05,79.4264705882353,,,
2005-02-18,2005-Q1,270.0,79.41176470588235,,,
2005-02-21,2005-Q1,267.5,78.67647058823529,,,
2005-02-22,2005-Q1,270.15,79.45588235294117,,,
2005-02-23,2005-Q1,268.0,78.82352941176471,,,
2005-02-24,2005-Q1,270.0,79.41176470588235,,,
2005-02-25,2005-Q1,270.0,79.41176470588235,,,
2005-02-28,2005-Q1,270.0,79.41176470588235,,,
2005-03-01,2005-Q1,259.5,72.08333333333333,,,
2005-03-02,2005-Q1,260.8,72.44444444444444,,,
2005-03-03,2005-Q1,259.85,72.18055555555556,,,
2005-03-04,2005-Q1,265.6,73.77777777777779,,,
2005-03-07,2005-Q1,263.15,73.09722222222221,,,
2005-03-08,2005-Q1,273.3,75.91666666666667,,,
2005-03-09,2005-Q1,272.05,75.56944444444444,,,
