Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,18.54,2.361783439490446,,,
2005-01-04,2005-Q1,18.47,2.3528662420382167,,,
2005-01-05,2005-Q1,18.175,2.315286624203822,,,
2005-01-06,2005-Q1,17.685,2.2528662420382166,,,
2005-01-07,2005-Q1,17.215,2.1929936305732487,,,
2005-01-10,2005-Q1,16.985,2.163694267515924,,,
2005-01-11,2005-Q1,16.515,2.103821656050956,,,
2005-01-12,2005-Q1,16.075,2.0477707006369426,,,
2005-01-13,2005-Q1,16.355,2.08343949044586,,,
2005-01-14,2005-Q1,16.39,2.0878980891719747,,,
2005-01-17,2005-Q1,15.925,2.0286624203821657,,,
2005-01-18,2005-Q1,16.405,2.0898089171974523,,,
2005-01-19,2005-Q1,16.245,2.069426751592357,,,
2005-01-20,2005-Q1,16.445,2.094904458598726,,,
2005-01-21,2005-Q1,16.445,2.094904458598726,,,
2005-01-24,2005-Q1,16.995,2.1649681528662423,,,
2005-01-25,2005-Q1,16.855,2.147133757961784,,,
2005-01-26,2005-Q1,16.855,2.147133757961784,,,
2005-01-27,2005-Q1,16.755,2.1343949044585986,,,
2005-01-28,2005-Q1,17.29,2.202547770700637,,,
2005-01-31,2005-Q1,17.92,2.282802547770701,,,
2005-02-01,2005-Q1,18.29,2.329936305732484,,,
2005-02-02,2005-Q1,18.505,2.3573248407643312,,,
2005-02-03,2005-Q1,18.575,2.3662420382165603,,,
2005-02-04,2005-Q1,18.63,2.373248407643312,,,
2005-02-07,2005-Q1,18.99,2.419108280254777,,,
2005-02-08,2005-Q1,19.04,2.4254777070063693,,,
2005-02-09,2005-Q1,19.135,2.437579617834395,,,
2005-02-10,2005-Q1,19.375,2.4681528662420384,,,
2005-02-11,2005-Q1,20.06,2.5554140127388534,,,
2005-02-14,2005-Q1,19.95,2.5414012738853504,,,
2005-02-15,2005-Q1,19.505,2.4847133757961783,,,
2005-02-16,2005-Q1,20.0,2.547770700636943,,,
2005-02-17,2005-Q1,19.675,2.506369426751593,,,
2005-02-18,2005-Q1,20.095,2.559872611464968,,,
2005-02-21,2005-Q1,19.95,2.5414012738853504,,,
2005-02-22,2005-Q1,19.925,2.538216560509554,,,
2005-02-23,2005-Q1,19.99,2.5464968152866243,,,
2005-02-24,2005-Q1,20.305,2.586624203821656,,,
2005-02-25,2005-Q1,19.99,2.5464968152866243,,,
2005-02-28,2005-Q1,20.51,2.612738853503185,,,
2005-03-01,2005-Q1,20.55,26.346153846153847,,,
2005-03-02,2005-Q1,20.89,26.78205128205128,,,
2005-03-03,2005-Q1,20.98,26.89743589743589,,,
2005-03-04,2005-Q1,21.235,27.22435897435897,,,
2005-03-07,2005-Q1,21.035,26.96794871794872,,,
2005-03-08,2005-Q1,20.995,26.916666666666668,,,
2005-03-09,2005-Q1,21.0,26.923076923076923,,,
2005-03-10,2005-Q1,21.01,26.93589743589744,,,
2005-03-11,2005-Q1,21.43,27.47435897435897,,,
2005-03-14,2005-Q1,21.0,26.923076923076923,,,
