Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,48.868362,18.868093436293435,,,
2005-01-04,2005-Q1,50.61366,19.54195366795367,,,
2005-01-05,2005-Q1,49.498608,19.11143166023166,,,
2005-01-06,2005-Q1,49.159245,18.98040347490348,,,
2005-01-07,2005-Q1,53.42553,20.627617760617763,,,
2005-01-10,2005-Q1,52.358959,20.215814285714288,,,
2005-01-11,2005-Q1,50.807582,19.61682702702703,,,
2005-01-12,2005-Q1,48.141154,18.587318146718147,,,
2005-01-13,2005-Q1,49.159245,18.98040347490348,,,
2005-01-14,2005-Q1,49.013803,18.924248262548264,,,
2005-01-17,2005-Q1,47.995712,18.531162934362936,,,
2005-01-18,2005-Q1,48.335076,18.662191505791508,,,
2005-01-19,2005-Q1,48.67444,18.79322007722008,,,
2005-01-20,2005-Q1,48.383556,18.68090965250965,,,
2005-01-21,2005-Q1,48.383556,18.68090965250965,,,
2005-01-24,2005-Q1,48.480518,18.71834671814672,,,
2005-01-25,2005-Q1,47.268505,18.25038803088804,,,
2005-01-26,2005-Q1,47.268505,18.25038803088804,,,
2005-01-27,2005-Q1,49.547089,19.130150193050195,,,
2005-01-28,2005-Q1,50.953024,19.67298223938224,,,
2005-01-31,2005-Q1,51.146946,19.7478555984556,,,
2005-02-01,2005-Q1,52.068076,20.103504247104247,,,
2005-02-02,2005-Q1,51.389349,19.84144749034749,,,
2005-02-03,2005-Q1,54.686024,21.114294980694982,,,
2005-02-04,2005-Q1,54.29818,20.964548262548263,,,
2005-02-07,2005-Q1,55.073868,21.26404169884169,,,
2005-02-08,2005-Q1,54.928426,21.207886486486487,,,
2005-02-09,2005-Q1,54.540582,21.05813976833977,,,
2005-02-10,2005-Q1,55.849556,21.563535135135137,,,
2005-02-11,2005-Q1,59.097751,22.81766447876448,,,
2005-02-14,2005-Q1,56.431322,21.78815521235521,,,
2005-02-15,2005-Q1,54.443621,21.02070308880309,,,
2005-02-16,2005-Q1,53.231608,20.5527444015444,,,
2005-02-17,2005-Q1,55.31627,21.357633204633206,,,
2005-02-18,2005-Q1,54.492102,21.039421621621624,,,
2005-02-21,2005-Q1,53.619452,20.70249111969112,,,
2005-02-22,2005-Q1,53.183128,20.53402625482626,,,
2005-02-23,2005-Q1,52.843764,20.40299768339769,,,
2005-02-24,2005-Q1,53.328569,20.590181081081084,,,
2005-02-25,2005-Q1,54.637543,21.09557644787645,,,
2005-02-28,2005-Q1,53.134647,20.515307722007723,,,
2005-03-01,2005-Q1,53.328569,16.983620700636944,,,
2005-03-02,2005-Q1,53.037686,16.89098280254777,,,
2005-03-03,2005-Q1,53.570972,17.060819108280253,,,
2005-03-04,2005-Q1,52.843764,16.829224203821656,,,
2005-03-07,2005-Q1,53.134647,16.92186210191083,,,
2005-03-08,2005-Q1,52.068076,16.582189808917196,,,
2005-03-09,2005-Q1,51.049985,16.257957006369427,,,
2005-03-10,2005-Q1,51.292388,16.33515541401274,,,
2005-03-11,2005-Q1,50.953024,16.22707770700637,,,
2005-03-14,2005-Q1,49.450128,15.74844840764331,,,
2005-03-15,2005-Q1,49.886453,15.88740541401274,,,
2005-03-16,2005-Q1,48.965323,15.594051910828025,,,
2005-03-17,2005-Q1,52.261998,16.64394840764331,,,
2005-03-18,2005-Q1,55.994998,17.832801910828024,,,
2005-03-21,2005-Q1,63.945803,20.36490541401274,,,
2005-03-22,2005-Q1,64.915413,20.67369840764331,,,
2005-03-23,2005-Q1,59.9704,19.09885350318472,,,
2005-03-24,2005-Q1,59.485595,18.944457006369426,,,
2005-03-25,2005-Q1,59.485595,18.944457006369426,,,
2005-03-28,2005-Q1,60.358244,19.22237070063694,,,
2005-03-29,2005-Q1,56.479803,17.98719840764331,,,
2005-03-30,2005-Q1,58.07966,18.496707006369427,,,
2005-03-31,2005-Q1,60.940011,19.407646815286625,,,
2005-04-01,2005-Q2,62.539868,19.917155414012736,,,
2005-04-04,2005-Q2,61.424816,19.56204331210191,,,
2005-04-05,2005-Q2,63.800361,20.318586305732484,,,
