Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,42.59,21.40201005025126,,,
2005-01-04,2005-Q1,43.6,21.90954773869347,,,
2005-01-05,2005-Q1,43.01,21.61306532663317,,,
2005-01-06,2005-Q1,41.815,21.01256281407035,,,
2005-01-07,2005-Q1,42.475,21.34422110552764,,,
2005-01-10,2005-Q1,42.555,21.38442211055276,,,
2005-01-11,2005-Q1,42.045,21.128140703517587,,,
2005-01-12,2005-Q1,39.455,19.826633165829143,,,
2005-01-13,2005-Q1,40.42,20.311557788944725,,,
2005-01-14,2005-Q1,40.555,20.37939698492462,,,
2005-01-17,2005-Q1,41.51,20.85929648241206,,,
2005-01-18,2005-Q1,41.36,20.78391959798995,,,
2005-01-19,2005-Q1,40.93,20.5678391959799,,,
2005-01-20,2005-Q1,40.79,20.497487437185928,,,
2005-01-21,2005-Q1,40.79,20.497487437185928,,,
2005-01-24,2005-Q1,41.59,20.899497487437188,,,
2005-01-25,2005-Q1,40.78,20.49246231155779,,,
2005-01-26,2005-Q1,40.78,20.49246231155779,,,
2005-01-27,2005-Q1,42.03,21.12060301507538,,,
2005-01-28,2005-Q1,45.9,23.065326633165828,,,
2005-01-31,2005-Q1,47.32,23.77889447236181,,,
2005-02-01,2005-Q1,48.95,24.597989949748744,,,
2005-02-02,2005-Q1,49.405,24.826633165829147,,,
2005-02-03,2005-Q1,50.435,25.34422110552764,,,
2005-02-04,2005-Q1,50.995,25.625628140703515,,,
2005-02-07,2005-Q1,54.72,27.497487437185928,,,
2005-02-08,2005-Q1,54.0,27.1356783919598,,,
2005-02-09,2005-Q1,52.835,26.55025125628141,,,
2005-02-10,2005-Q1,52.355,26.309045226130653,,,
2005-02-11,2005-Q1,53.11,26.688442211055275,,,
2005-02-14,2005-Q1,52.345,26.304020100502512,,,
2005-02-15,2005-Q1,51.885,26.07286432160804,,,
2005-02-16,2005-Q1,49.94,25.09547738693467,,,
2005-02-17,2005-Q1,49.48,24.8643216080402,,,
2005-02-18,2005-Q1,48.51,24.37688442211056,,,
2005-02-21,2005-Q1,48.1,24.170854271356784,,,
2005-02-22,2005-Q1,48.505,24.374371859296485,,,
2005-02-23,2005-Q1,47.795,24.01758793969849,,,
2005-02-24,2005-Q1,50.02,25.1356783919598,,,
2005-02-25,2005-Q1,48.99,24.618090452261303,,,
2005-02-28,2005-Q1,51.46,25.85929648241206,,,
2005-03-01,2005-Q1,51.005,2.4916951636541285,,,
2005-03-02,2005-Q1,51.005,2.4916951636541285,,,
2005-03-03,2005-Q1,52.74,2.576453346360528,,,
2005-03-04,2005-Q1,52.91,2.5847581827064,,,
2005-03-07,2005-Q1,51.765,2.5288226673180265,,,
2005-03-08,2005-Q1,51.985,2.539570102589155,,,
2005-03-09,2005-Q1,51.93,2.536883243771373,,,
2005-03-10,2005-Q1,55.125,2.692965315095261,,,
2005-03-11,2005-Q1,55.68,2.720078163165608,,,
2005-03-14,2005-Q1,55.585,2.715437225207621,,,
2005-03-15,2005-Q1,56.41,2.755740107474353,,,
2005-03-16,2005-Q1,58.44,2.8549096238397658,,,
2005-03-17,2005-Q1,58.235,2.844894968246214,,,
2005-03-18,2005-Q1,56.39,2.7547630679042503,,,
2005-03-21,2005-Q1,54.7,2.6722032242305818,,,
2005-03-22,2005-Q1,53.835,2.6299462628236445,,,
2005-03-23,2005-Q1,51.835,2.532242305813386,,,
2005-03-24,2005-Q1,50.57,2.470444553004397,,,
2005-03-25,2005-Q1,50.57,2.470444553004397,,,
2005-03-28,2005-Q1,51.4,2.5109916951636544,,,
2005-03-29,2005-Q1,49.575,2.4218368343917933,,,
2005-03-30,2005-Q1,51.905,2.5356619443087447,,,
2005-03-31,2005-Q1,53.37,2.60723009281876,,,
2005-04-01,2005-Q2,54.565,2.6656082071323888,,,
2005-04-04,2005-Q2,54.17,2.646311675622863,,,
2005-04-05,2005-Q2,53.735,2.6250610649731314,,,
2005-04-06,2005-Q2,53.6,2.61846604787494,,,
2005-04-07,2005-Q2,53.31,2.604298974108452,,,
2005-04-08,2005-Q2,52.075,2.5439667806546167,,,
2005-04-11,2005-Q2,51.28,2.5051294577430387,,,
2005-04-12,2005-Q2,51.85,2.5329750854909627,,,
2005-04-13,2005-Q2,52.83,2.580850024425989,,,
2005-04-14,2005-Q2,52.83,2.580850024425989,,,
2005-04-15,2005-Q2,50.89,2.4860771861260385,,,
2005-04-18,2005-Q2,50.56,2.4699560332193458,,,
2005-04-19,2005-Q2,50.995,2.4912066438690768,,,
2005-04-20,2005-Q2,51.24,2.5031753786028337,,,
2005-04-21,2005-Q2,51.495,2.515632633121641,,,
2005-04-22,2005-Q2,52.72,2.575476306790425,,,
2005-04-25,2005-Q2,53.235,2.6006350757205667,,,
2005-04-26,2005-Q2,53.07,2.5925744992672204,,,
2005-04-27,2005-Q2,51.815,2.531265266243283,,,
2005-04-28,2005-Q2,52.87,2.5828041035661946,,,
2005-04-29,2005-Q2,52.955,2.5869565217391304,,,
2005-05-02,2005-Q2,53.13,2.5955056179775284,,,
2005-05-03,2005-Q2,55.045,2.689057156814852,,,
2005-05-04,2005-Q2,56.79,2.774303859306302,,,
2005-05-05,2005-Q2,56.415,2.7559843673668785,,,
2005-05-06,2005-Q2,57.28,2.798241328773816,2.76514411333659,,
2005-05-09,2005-Q2,58.78,2.8715192965315097,2.76514411333659,,
2005-05-10,2005-Q2,58.38,2.851978505129458,2.76514411333659,,
2005-05-11,2005-Q2,57.95,2.8309721543722524,2.76514411333659,,
2005-05-12,2005-Q2,59.205,2.892281387396189,2.76514411333659,,
2005-05-13,2005-Q2,59.845,2.9235466536394723,2.76514411333659,,
2005-05-16,2005-Q2,59.195,2.891792867611138,2.76514411333659,,
2005-05-17,2005-Q2,57.96,2.831460674157304,2.76514411333659,,
2005-05-18,2005-Q2,58.275,2.8468490473864194,2.76514411333659,,
2005-05-19,2005-Q2,58.415,2.8536883243771376,2.76514411333659,,
2005-05-20,2005-Q2,59.21,2.8925256472887155,2.76514411333659,,
2005-05-23,2005-Q2,61.155,2.9875427454811923,2.76514411333659,,
2005-05-24,2005-Q2,60.55,2.957987298485589,2.76514411333659,,
2005-05-25,2005-Q2,61.02,2.980947728383,2.76514411333659,,
2005-05-26,2005-Q2,60.49,2.955056179775281,2.76514411333659,,
2005-05-27,2005-Q2,62.575,3.056912554958476,2.76514411333659,,
2005-05-30,2005-Q2,62.5,3.053248656570591,2.76514411333659,,
2005-05-31,2005-Q2,60.975,2.978749389350269,2.76514411333659,,
2005-06-01,2005-Q2,60.525,46.20229007633588,2.76514411333659,,
2005-06-02,2005-Q2,58.025,44.29389312977099,2.76514411333659,,
2005-06-03,2005-Q2,55.15,42.099236641221374,2.76514411333659,,
2005-06-04,2005-Q2,56.125,42.84351145038168,2.76514411333659,,
2005-06-06,2005-Q2,55.975,42.72900763358778,2.76514411333659,,
2005-06-07,2005-Q2,55.8,42.59541984732824,2.76514411333659,,
2005-06-08,2005-Q2,55.9,42.67175572519084,2.76514411333659,,
2005-06-09,2005-Q2,55.225,42.15648854961832,2.76514411333659,,
2005-06-10,2005-Q2,55.975,42.72900763358778,2.76514411333659,,
2005-06-13,2005-Q2,55.7,42.51908396946565,2.76514411333659,,
2005-06-14,2005-Q2,56.35,43.01526717557252,2.76514411333659,,
2005-06-15,2005-Q2,59.525,45.43893129770992,2.76514411333659,,
2005-06-16,2005-Q2,57.775,44.1030534351145,2.76514411333659,,
2005-06-17,2005-Q2,56.325,42.99618320610687,2.76514411333659,,
2005-06-20,2005-Q2,56.125,42.84351145038168,2.76514411333659,,
2005-06-21,2005-Q2,55.625,42.4618320610687,2.76514411333659,,
2005-06-22,2005-Q2,55.85,42.63358778625954,2.76514411333659,,
2005-06-23,2005-Q2,56.4,43.05343511450381,2.76514411333659,,
2005-06-24,2005-Q2,56.6,43.20610687022901,2.76514411333659,,
2005-06-27,2005-Q2,56.0,42.74809160305343,2.76514411333659,,
2005-06-28,2005-Q2,55.75,42.55725190839694,2.76514411333659,,
2005-06-29,2005-Q2,57.275,43.721374045801525,2.76514411333659,,
2005-06-30,2005-Q2,57.825,44.1412213740458,2.76514411333659,,
2005-07-01,2005-Q3,57.475,43.87404580152672,2.76514411333659,,
2005-07-04,2005-Q3,61.3,46.793893129770986,2.7862725940400592,,
2005-07-05,2005-Q3,65.325,49.86641221374046,2.8146067415730345,,
2005-07-06,2005-Q3,65.8,50.22900763358778,2.8312164142647784,,
2005-07-07,2005-Q3,65.625,50.095419847328245,2.838177821201759,,
2005-07-08,2005-Q3,68.375,52.19465648854962,2.8458720078163164,,
2005-07-11,2005-Q3,71.45,54.54198473282442,2.849413776257939,,
2005-07-12,2005-Q3,71.5,54.58015267175572,2.852833414753298,,
2005-07-13,2005-Q3,71.0,54.19847328244275,2.854298974108452,,
2005-07-14,2005-Q3,72.925,55.667938931297705,2.8632144601856377,,
2005-07-15,2005-Q3,75.275,57.46183206106871,2.881656082071324,,
2005-07-18,2005-Q3,74.85,57.13740458015266,2.892037127503664,,
2005-07-19,2005-Q3,73.225,55.89694656488549,2.8924035173424523,,
2005-07-20,2005-Q3,75.15,57.36641221374046,2.9080361504640937,,
2005-07-21,2005-Q3,74.875,57.15648854961832,2.9393014167073765,,
2005-07-22,2005-Q3,76.35,58.2824427480916,2.9565217391304346,,
2005-07-25,2005-Q3,74.9,57.17557251908397,2.9683683439179287,,
2005-07-26,2005-Q3,77.925,59.48473282442748,2.9798485588666344,,
2005-07-27,2005-Q3,77.65,59.27480916030535,2.984245236932096,,
2005-07-28,2005-Q3,77.65,59.27480916030535,3.020395701025892,,
2005-07-29,2005-Q3,80.3,61.29770992366412,3.055080605764534,,
2005-08-01,2005-Q3,82.025,62.61450381679389,22.578074598089927,,
2005-08-02,2005-Q3,81.3,62.06106870229007,42.12786259541984,,
2005-08-03,2005-Q3,83.3,63.58778625954198,42.30916030534351,,
2005-08-04,2005-Q3,83.2,63.51145038167939,42.49045801526717,,
2005-08-05,2005-Q3,84.225,64.29389312977098,42.538167938931295,,
2005-08-08,2005-Q3,81.975,62.57633587786259,42.57633587786259,,
2005-08-09,2005-Q3,80.7,61.6030534351145,42.614503816793885,,
2005-08-10,2005-Q3,83.4,63.66412213740458,42.6526717557252,,
2005-08-11,2005-Q3,85.15,65.0,42.70038167938931,,
2005-08-12,2005-Q3,90.7,69.23664122137404,42.72900763358778,,
2005-08-15,2005-Q3,90.7,69.23664122137404,42.73854961832061,,
2005-08-16,2005-Q3,89.6,68.39694656488548,42.795801526717554,,
2005-08-17,2005-Q3,87.175,66.54580152671755,42.84351145038168,,
2005-08-18,2005-Q3,88.375,67.4618320610687,42.91984732824427,,
2005-08-19,2005-Q3,87.325,66.66030534351145,43.0057251908397,,
2005-08-22,2005-Q3,86.95,66.37404580152672,43.034351145038165,,
2005-08-23,2005-Q3,85.95,65.61068702290076,43.12977099236641,,
2005-08-24,2005-Q3,86.7,66.18320610687023,43.46374045801527,,
2005-08-25,2005-Q3,86.95,66.37404580152672,43.79770992366412,,
2005-08-26,2005-Q3,86.775,66.24045801526718,43.98854961832061,,
2005-08-29,2005-Q3,86.075,65.70610687022901,44.122137404580144,,
2005-08-30,2005-Q3,89.9,68.62595419847328,44.2175572519084,,
2005-08-31,2005-Q3,88.1,67.25190839694656,44.86641221374046,,
2005-09-01,2005-Q3,87.45,27.85031847133758,44.86641221374046,,
2005-09-02,2005-Q3,87.75,27.945859872611464,44.86641221374046,,
2005-09-05,2005-Q3,86.975,27.69904458598726,44.86641221374046,,
2005-09-06,2005-Q3,87.175,27.762738853503183,44.86641221374046,,
2005-09-07,2005-Q3,87.175,27.762738853503183,44.86641221374046,,
