Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,22.12,7.276315789473684,,,
2005-01-04,2005-Q1,22.02,7.243421052631579,,,
2005-01-05,2005-Q1,21.95,7.220394736842105,,,
2005-01-06,2005-Q1,20.86,6.8618421052631575,,,
2005-01-07,2005-Q1,20.64,6.789473684210527,,,
2005-01-10,2005-Q1,21.22,6.980263157894736,,,
2005-01-11,2005-Q1,20.84,6.855263157894736,,,
2005-01-12,2005-Q1,20.17,6.634868421052632,,,
2005-01-13,2005-Q1,20.62,6.782894736842105,,,
2005-01-14,2005-Q1,20.28,6.671052631578948,,,
2005-01-17,2005-Q1,20.06,6.598684210526315,,,
2005-01-18,2005-Q1,20.5,6.743421052631579,,,
2005-01-19,2005-Q1,20.45,6.726973684210526,,,
2005-01-20,2005-Q1,20.79,6.838815789473684,,,
2005-01-21,2005-Q1,20.79,6.838815789473684,,,
2005-01-24,2005-Q1,20.75,6.825657894736842,,,
2005-01-25,2005-Q1,21.21,6.976973684210527,,,
2005-01-26,2005-Q1,21.21,6.976973684210527,,,
2005-01-27,2005-Q1,21.51,7.0756578947368425,,,
2005-01-28,2005-Q1,22.3,7.3355263157894735,,,
2005-01-31,2005-Q1,22.27,7.325657894736842,,,
2005-02-01,2005-Q1,23.04,7.578947368421052,,,
2005-02-02,2005-Q1,23.04,7.578947368421052,,,
2005-02-03,2005-Q1,23.08,7.592105263157894,,,
2005-02-04,2005-Q1,23.34,7.677631578947368,,,
2005-02-07,2005-Q1,23.53,7.740131578947369,,,
2005-02-08,2005-Q1,23.22,7.638157894736842,,,
2005-02-09,2005-Q1,23.37,7.6875,,,
2005-02-10,2005-Q1,23.39,7.694078947368421,,,
2005-02-11,2005-Q1,23.19,7.628289473684211,,,
2005-02-14,2005-Q1,23.15,7.615131578947368,,,
2005-02-15,2005-Q1,23.39,7.694078947368421,,,
2005-02-16,2005-Q1,23.44,7.710526315789474,,,
2005-02-17,2005-Q1,23.05,7.582236842105264,,,
2005-02-18,2005-Q1,23.19,7.628289473684211,,,
2005-02-21,2005-Q1,23.4,7.697368421052631,,,
2005-02-22,2005-Q1,23.18,7.625,,,
2005-02-23,2005-Q1,23.39,7.694078947368421,,,
2005-02-24,2005-Q1,23.83,7.838815789473683,,,
2005-02-25,2005-Q1,23.43,7.707236842105263,,,
2005-02-28,2005-Q1,23.59,7.759868421052632,,,
2005-03-01,2005-Q1,23.8,8.880597014925373,,,
2005-03-02,2005-Q1,24.2,9.029850746268655,,,
2005-03-03,2005-Q1,23.98,8.94776119402985,,,
2005-03-04,2005-Q1,24.08,8.98507462686567,,,
2005-03-07,2005-Q1,27.05,10.093283582089551,,,
2005-03-08,2005-Q1,26.73,9.973880597014926,,,
2005-03-09,2005-Q1,25.78,9.619402985074627,,,
2005-03-10,2005-Q1,26.12,9.746268656716415,,,
2005-03-11,2005-Q1,26.21,9.779850746268655,,,
2005-03-14,2005-Q1,26.26,9.798507462686567,,,
2005-03-15,2005-Q1,25.81,9.630597014925373,,,
2005-03-16,2005-Q1,26.21,9.779850746268655,,,
2005-03-17,2005-Q1,26.04,9.71641791044776,,,
2005-03-18,2005-Q1,26.74,9.977611940298509,,,
2005-03-21,2005-Q1,26.66,9.94776119402985,,,
2005-03-22,2005-Q1,26.22,9.78358208955224,,,
2005-03-23,2005-Q1,25.23,9.414179104477611,,,
2005-03-24,2005-Q1,24.78,9.246268656716415,,,
2005-03-25,2005-Q1,24.78,9.246268656716415,,,
2005-03-28,2005-Q1,25.52,9.522388059701491,,,
2005-03-29,2005-Q1,24.32,9.07462686567164,,,
2005-03-30,2005-Q1,24.61,9.18283582089552,,,
2005-03-31,2005-Q1,25.21,9.406716417910449,,,
2005-04-01,2005-Q2,25.8,9.626865671641792,,,
2005-04-04,2005-Q2,26.82,10.007462686567164,,,
2005-04-05,2005-Q2,26.81,10.00373134328358,,,
2005-04-06,2005-Q2,26.68,9.955223880597014,,,
2005-04-07,2005-Q2,26.4,9.850746268656716,,,
2005-04-08,2005-Q2,27.42,10.23134328358209,,,
2005-04-11,2005-Q2,26.63,9.936567164179104,,,
2005-04-12,2005-Q2,26.48,9.880597014925373,,,
2005-04-13,2005-Q2,26.06,9.723880597014924,,,
2005-04-14,2005-Q2,26.06,9.723880597014924,,,
2005-04-15,2005-Q2,26.44,9.865671641791044,,,
2005-04-18,2005-Q2,25.95,9.68283582089552,,,
2005-04-19,2005-Q2,25.55,9.53358208955224,,,
2005-04-20,2005-Q2,26.19,9.772388059701491,,,
2005-04-21,2005-Q2,26.41,9.8544776119403,,,
2005-04-22,2005-Q2,27.81,10.37686567164179,,,
2005-04-25,2005-Q2,27.45,10.242537313432836,,,
2005-04-26,2005-Q2,27.88,10.402985074626864,,,
2005-04-27,2005-Q2,27.36,10.208955223880595,,,
2005-04-28,2005-Q2,27.04,10.08955223880597,,,
2005-04-29,2005-Q2,25.94,9.67910447761194,,,
2005-05-02,2005-Q2,26.17,9.764925373134329,,,
2005-05-03,2005-Q2,26.04,9.71641791044776,,,
2005-05-04,2005-Q2,26.21,9.779850746268655,,,
2005-05-05,2005-Q2,26.22,9.78358208955224,,,
2005-05-06,2005-Q2,25.72,9.597014925373132,9.052238805970148,,
2005-05-09,2005-Q2,25.79,9.623134328358208,9.12873134328358,,
2005-05-10,2005-Q2,26.2,9.776119402985074,9.214552238805968,,
2005-05-11,2005-Q2,26.25,9.794776119402984,9.246268656716415,,
2005-05-12,2005-Q2,26.75,9.981343283582088,9.326492537313433,,
2005-05-13,2005-Q2,27.48,10.25373134328358,9.41044776119403,,
2005-05-16,2005-Q2,29.08,10.850746268656716,9.468283582089551,,
2005-05-17,2005-Q2,28.74,10.723880597014924,9.527985074626866,,
2005-05-18,2005-Q2,30.07,11.220149253731345,9.565298507462686,,
2005-05-19,2005-Q2,29.88,11.149253731343284,9.60820895522388,,
2005-05-20,2005-Q2,30.52,11.388059701492535,9.621268656716415,,
2005-05-23,2005-Q2,31.6,11.791044776119405,9.625,,
2005-05-24,2005-Q2,31.26,11.664179104477611,9.628731343283585,,
2005-05-25,2005-Q2,30.49,11.37686567164179,9.654850746268655,,
2005-05-26,2005-Q2,30.26,11.291044776119405,9.68097014925373,,
2005-05-27,2005-Q2,30.0,11.194029850746269,9.69962686567164,,
2005-05-30,2005-Q2,28.77,10.735074626865671,9.71641791044776,,
2005-05-31,2005-Q2,28.59,10.667910447761193,9.720149253731345,,
2005-06-01,2005-Q2,28.71,5.5,9.720149253731345,,
2005-06-02,2005-Q2,28.64,5.486590038314176,9.720149253731345,,
2005-06-03,2005-Q2,28.94,5.5440613026819925,9.720149253731345,,
2005-06-04,2005-Q2,29.88,5.724137931034483,9.720149253731345,,
2005-06-06,2005-Q2,30.24,5.793103448275862,9.720149253731345,,
2005-06-07,2005-Q2,30.94,5.9272030651341,9.720149253731345,,
2005-06-08,2005-Q2,32.48,6.222222222222222,9.720149253731345,,
2005-06-09,2005-Q2,32.48,6.222222222222222,9.720149253731345,,
2005-06-10,2005-Q2,31.68,6.06896551724138,9.720149253731345,,
2005-06-13,2005-Q2,31.6,6.053639846743296,9.720149253731345,,
2005-06-14,2005-Q2,31.67,6.067049808429119,9.720149253731345,,
2005-06-15,2005-Q2,32.29,6.185823754789272,9.720149253731345,,
2005-06-16,2005-Q2,31.62,6.057471264367816,9.720149253731345,,
2005-06-17,2005-Q2,31.22,5.980842911877395,9.720149253731345,,
2005-06-20,2005-Q2,30.42,5.8275862068965525,9.720149253731345,,
2005-06-21,2005-Q2,31.25,5.986590038314176,9.720149253731345,,
2005-06-22,2005-Q2,31.02,5.942528735632184,9.720149253731345,,
2005-06-23,2005-Q2,30.2,5.78544061302682,9.720149253731345,,
2005-06-24,2005-Q2,31.31,5.998084291187739,9.720149253731345,,
2005-06-27,2005-Q2,30.97,5.932950191570881,9.720149253731345,,
2005-06-28,2005-Q2,30.34,5.812260536398468,9.720149253731345,,
2005-06-29,2005-Q2,30.24,5.793103448275862,9.720149253731345,,
2005-06-30,2005-Q2,30.28,5.800766283524904,9.720149253731345,,
2005-07-01,2005-Q3,30.63,5.867816091954023,9.720149253731345,,
2005-07-04,2005-Q3,31.1,5.957854406130269,9.720149253731345,,
2005-07-05,2005-Q3,30.65,5.871647509578544,9.720149253731345,,
2005-07-06,2005-Q3,30.06,5.758620689655173,9.720149253731345,,
2005-07-07,2005-Q3,29.8,5.708812260536399,9.720149253731345,,
2005-07-08,2005-Q3,29.71,5.691570881226054,9.71641791044776,,
2005-07-11,2005-Q3,29.82,5.71264367816092,9.69962686567164,,
2005-07-12,2005-Q3,30.06,5.758620689655173,9.69962686567164,,
2005-07-13,2005-Q3,33.04,6.329501915708812,9.68097014925373,,
2005-07-14,2005-Q3,33.18,6.35632183908046,9.654850746268655,,
2005-07-15,2005-Q3,34.9,6.685823754789272,9.628731343283585,,
2005-07-18,2005-Q3,35.71,6.840996168582376,9.625,,
2005-07-19,2005-Q3,35.14,6.731800766283525,9.610074626865671,,
2005-07-20,2005-Q3,36.16,6.9272030651340994,9.565298507462686,,
2005-07-21,2005-Q3,38.08,7.295019157088123,9.527985074626866,,
2005-07-22,2005-Q3,39.12,7.494252873563219,9.468283582089551,,
2005-07-25,2005-Q3,38.97,7.4655172413793105,9.41044776119403,,
2005-07-26,2005-Q3,37.35,7.155172413793104,9.326492537313433,,
2005-07-27,2005-Q3,37.39,7.162835249042146,9.326492537313433,,
2005-07-28,2005-Q3,37.39,7.162835249042146,9.294776119402984,,
2005-07-29,2005-Q3,37.43,7.170498084291188,9.12873134328358,,
2005-08-01,2005-Q3,36.45,6.982758620689656,8.33854434722937,,
2005-08-02,2005-Q3,40.22,7.704980842911877,7.599616858237548,,
2005-08-03,2005-Q3,38.34,7.344827586206898,7.479885057471264,,
2005-08-04,2005-Q3,39.6,7.586206896551725,7.479885057471264,,
2005-08-05,2005-Q3,39.36,7.540229885057472,7.479885057471264,,
2005-08-08,2005-Q3,37.89,7.258620689655173,7.405172413793104,,
2005-08-09,2005-Q3,38.61,7.3965517241379315,7.370689655172415,,
2005-08-10,2005-Q3,40.17,7.695402298850575,7.370689655172415,,
2005-08-11,2005-Q3,39.5,7.567049808429119,7.370689655172415,,
2005-08-12,2005-Q3,42.39,8.120689655172415,7.370689655172415,,
2005-08-15,2005-Q3,42.39,8.120689655172415,7.370689655172415,,
2005-08-16,2005-Q3,43.28,8.291187739463602,7.370689655172415,,
2005-08-17,2005-Q3,43.56,8.344827586206897,7.370689655172415,,
2005-08-18,2005-Q3,42.52,8.145593869731801,7.370689655172415,,
2005-08-19,2005-Q3,43.06,8.24904214559387,7.370689655172415,,
2005-08-22,2005-Q3,43.08,8.25287356321839,7.370689655172415,,
2005-08-23,2005-Q3,40.53,7.764367816091955,7.370689655172415,,
2005-08-24,2005-Q3,40.78,7.812260536398468,7.370689655172415,,
2005-08-25,2005-Q3,40.26,7.712643678160919,7.370689655172415,,
2005-08-26,2005-Q3,42.19,8.082375478927203,7.370689655172415,,
2005-08-29,2005-Q3,42.25,8.093869731800767,7.370689655172415,,
2005-08-30,2005-Q3,42.04,8.053639846743295,7.370689655172415,,
2005-08-31,2005-Q3,42.88,8.21455938697318,7.370689655172415,,
2005-09-01,2005-Q3,42.82,12.44767441860465,7.370689655172415,,
2005-09-02,2005-Q3,42.57,12.375,7.370689655172415,,
2005-09-05,2005-Q3,44.42,12.91279069767442,7.370689655172415,,
2005-09-06,2005-Q3,44.41,12.909883720930232,7.370689655172415,,
2005-09-07,2005-Q3,44.41,12.909883720930232,7.370689655172415,,
2005-09-08,2005-Q3,44.96,13.069767441860463,7.370689655172415,7.708881578947368,
2005-09-09,2005-Q3,46.21,13.433139534883722,7.370689655172415,7.711584996975197,
2005-09-12,2005-Q3,47.78,13.88953488372093,7.370689655172415,7.726387628554145,
2005-09-13,2005-Q3,48.18,14.005813953488373,7.370689655172415,7.75,
2005-09-14,2005-Q3,46.8,13.604651162790695,7.370689655172415,7.762118118572293,
2005-09-15,2005-Q3,46.78,13.598837209302326,7.370689655172415,7.788314176245212,
2005-09-16,2005-Q3,45.57,13.247093023255816,7.370689655172415,7.825538162936075,
2005-09-19,2005-Q3,45.63,13.26453488372093,7.370689655172415,7.946227818108489,
2005-09-20,2005-Q3,46.17,13.421511627906977,7.370689655172415,8.06800766283525,
2005-09-21,2005-Q3,44.22,12.854651162790695,7.370689655172415,8.088122605363985,
2005-09-22,2005-Q3,40.0,11.627906976744184,7.370689655172415,8.107279693486591,
2005-09-23,2005-Q3,42.21,12.270348837209305,7.370689655172415,8.120689655172415,
2005-09-26,2005-Q3,44.65,12.979651162790695,7.370689655172415,8.133141762452109,
2005-09-27,2005-Q3,44.94,13.063953488372093,7.370689655172415,8.180076628352491,
2005-09-28,2005-Q3,45.95,13.357558139534884,7.370689655172415,8.231800766283525,
2005-09-29,2005-Q3,48.23,14.0203488372093,7.370689655172415,8.250957854406131,
2005-09-30,2005-Q3,47.54,13.819767441860463,7.370689655172415,8.272030651340996,
2005-10-03,2005-Q4,47.75,13.880813953488373,7.370689655172415,8.31800766283525,
2005-10-04,2005-Q4,47.71,13.86918604651163,7.431034482758621,8.612712300566134,
2005-10-05,2005-Q4,47.6,13.837209302325585,7.479885057471264,8.914179104477611,
2005-10-06,2005-Q4,47.08,13.686046511627907,7.517241379310345,8.96641791044776,
2005-10-07,2005-Q4,46.35,13.473837209302326,7.553639846743295,9.007462686567164,
2005-10-10,2005-Q4,46.87,13.625,7.576628352490422,9.052238805970148,
2005-10-11,2005-Q4,45.92,13.348837209302326,7.64080459770115,9.12873134328358,
2005-10-12,2005-Q4,45.92,13.348837209302326,7.700191570881226,9.214552238805968,
2005-10-13,2005-Q4,46.44,13.5,7.708812260536398,9.246268656716415,
2005-10-14,2005-Q4,45.76,13.302325581395348,7.738505747126437,9.326492537313433,
2005-10-17,2005-Q4,46.2,13.430232558139537,7.788314176245212,9.41044776119403,
2005-10-18,2005-Q4,46.54,13.52906976744186,7.932950191570882,9.468283582089551,
2005-10-19,2005-Q4,44.73,13.002906976744184,8.06800766283525,9.527985074626866,
2005-10-20,2005-Q4,42.1,12.238372093023257,8.088122605363985,9.565298507462686,
2005-10-21,2005-Q4,42.89,12.468023255813954,8.107279693486591,9.60820895522388,
2005-10-24,2005-Q4,42.68,12.406976744186046,8.120689655172415,9.621268656716415,
2005-10-25,2005-Q4,41.81,12.15406976744186,8.133141762452109,9.625,
2005-10-26,2005-Q4,41.73,12.13081395348837,8.180076628352491,9.628731343283585,
2005-10-27,2005-Q4,41.82,12.156976744186046,8.231800766283525,9.654850746268655,
2005-10-28,2005-Q4,41.62,12.098837209302324,8.250957854406131,9.68097014925373,
