Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,9.0,6.25,,,
2005-01-04,2005-Q1,9.45,6.5625,,,
2005-01-05,2005-Q1,9.2,6.388888888888888,,,
2005-01-06,2005-Q1,8.95,6.215277777777778,,,
2005-01-07,2005-Q1,8.5,5.902777777777778,,,
2005-01-10,2005-Q1,8.15,5.659722222222222,,,
2005-01-11,2005-Q1,7.8,5.416666666666667,,,
2005-01-12,2005-Q1,7.45,5.173611111111112,,,
2005-01-13,2005-Q1,7.2,5.0,,,
2005-01-14,2005-Q1,7.3,5.069444444444445,,,
2005-01-17,2005-Q1,7.0,4.861111111111112,,,
2005-01-18,2005-Q1,6.65,4.618055555555556,,,
2005-01-19,2005-Q1,7.0,4.861111111111112,,,
2005-01-20,2005-Q1,7.0,4.861111111111112,,,
2005-01-21,2005-Q1,7.0,4.861111111111112,,,
2005-01-24,2005-Q1,7.35,5.104166666666667,,,
2005-01-25,2005-Q1,7.2,5.0,,,
2005-01-26,2005-Q1,7.2,5.0,,,
2005-01-27,2005-Q1,7.5,5.208333333333334,,,
2005-01-28,2005-Q1,7.2,5.0,,,
2005-01-31,2005-Q1,7.4,5.138888888888889,,,
2005-02-01,2005-Q1,7.15,4.965277777777779,,,
2005-02-02,2005-Q1,7.1,4.930555555555555,,,
2005-02-03,2005-Q1,7.25,5.034722222222222,,,
2005-02-04,2005-Q1,7.25,5.034722222222222,,,
2005-02-07,2005-Q1,7.6,5.277777777777778,,,
2005-02-08,2005-Q1,7.9,5.486111111111112,,,
2005-02-09,2005-Q1,8.3,5.763888888888889,,,
2005-02-10,2005-Q1,9.15,6.354166666666667,,,
2005-02-11,2005-Q1,9.65,6.701388888888889,,,
2005-02-14,2005-Q1,9.85,6.840277777777778,,,
2005-02-15,2005-Q1,9.9,6.875000000000001,,,
2005-02-16,2005-Q1,10.25,7.118055555555556,,,
2005-02-17,2005-Q1,9.95,6.909722222222222,,,
2005-02-18,2005-Q1,9.7,6.736111111111111,,,
2005-02-21,2005-Q1,9.6,6.666666666666667,,,
2005-02-22,2005-Q1,9.65,6.701388888888889,,,
2005-02-23,2005-Q1,9.55,6.6319444444444455,,,
2005-02-24,2005-Q1,9.4,6.527777777777779,,,
2005-02-25,2005-Q1,9.05,6.284722222222223,,,
2005-02-28,2005-Q1,9.5,6.597222222222222,,,
2005-03-01,2005-Q1,9.75,,,,
2005-03-02,2005-Q1,9.6,,,,
2005-03-03,2005-Q1,10.1,,,,
2005-03-04,2005-Q1,10.65,,,,
2005-03-07,2005-Q1,11.2,,,,
2005-03-08,2005-Q1,11.8,,,,
2005-03-09,2005-Q1,12.4,,,,
2005-03-10,2005-Q1,13.05,,,,
2005-03-11,2005-Q1,13.7,,,,
2005-03-14,2005-Q1,14.4,,,,
2005-03-15,2005-Q1,15.15,,,,
2005-03-16,2005-Q1,15.95,,,,
2005-03-17,2005-Q1,16.65,,,,
2005-03-18,2005-Q1,15.85,,,,
2005-03-21,2005-Q1,15.1,,,,
2005-03-22,2005-Q1,14.35,,,,
2005-03-23,2005-Q1,13.65,,,,
2005-03-24,2005-Q1,13.0,,,,
2005-03-25,2005-Q1,13.0,,,,
2005-03-28,2005-Q1,12.35,,,,
2005-03-29,2005-Q1,11.75,,,,
2005-03-30,2005-Q1,11.3,,,,
2005-03-31,2005-Q1,11.9,,,,
2005-04-01,2005-Q2,12.5,,,,
2005-04-04,2005-Q2,13.15,,,,
2005-04-05,2005-Q2,12.95,,,,
2005-04-06,2005-Q2,13.1,,,,
2005-04-07,2005-Q2,12.6,,,,
2005-04-08,2005-Q2,12.75,,,,
2005-04-11,2005-Q2,11.85,,,,
2005-04-12,2005-Q2,12.6,,,,
2005-04-13,2005-Q2,12.5,,,,
2005-04-14,2005-Q2,12.5,,,,
2005-04-15,2005-Q2,11.75,,,,
2005-04-18,2005-Q2,11.5,,,,
2005-04-19,2005-Q2,11.05,,,,
2005-04-20,2005-Q2,10.75,,,,
2005-04-21,2005-Q2,10.75,,,,
2005-04-22,2005-Q2,11.0,,,,
2005-04-25,2005-Q2,10.4,,,,
2005-04-26,2005-Q2,10.7,,,,
2005-04-27,2005-Q2,10.4,,,,
2005-04-28,2005-Q2,10.25,,,,
2005-04-29,2005-Q2,9.7,,,,
2005-05-02,2005-Q2,9.3,,,,
2005-05-03,2005-Q2,9.85,,,,
2005-05-04,2005-Q2,10.75,,,,
2005-05-05,2005-Q2,10.6,,,,
2005-05-06,2005-Q2,10.55,,,,
2005-05-09,2005-Q2,10.45,,,,
2005-05-10,2005-Q2,10.65,,,,
2005-05-11,2005-Q2,9.95,,,,
2005-05-12,2005-Q2,9.85,,,,
2005-05-13,2005-Q2,9.9,,,,
2005-05-16,2005-Q2,10.0,,,,
2005-05-17,2005-Q2,9.7,,,,
2005-05-18,2005-Q2,9.8,,,,
2005-05-19,2005-Q2,10.2,,,,
2005-05-20,2005-Q2,10.95,,,,
2005-05-23,2005-Q2,11.5,,,,
2005-05-24,2005-Q2,11.25,,,,
2005-05-25,2005-Q2,11.0,,,,
2005-05-26,2005-Q2,10.7,,,,
2005-05-27,2005-Q2,10.3,,,,
2005-05-30,2005-Q2,10.25,,,,
2005-05-31,2005-Q2,10.1,,,,
2005-06-01,2005-Q2,10.1,7.372262773722626,,,
2005-06-02,2005-Q2,10.2,7.445255474452554,,,
2005-06-03,2005-Q2,11.2,8.175182481751824,,,
2005-06-04,2005-Q2,12.25,8.941605839416058,,,
2005-06-06,2005-Q2,13.5,9.854014598540145,,,
2005-06-07,2005-Q2,14.15,10.32846715328467,,,
2005-06-08,2005-Q2,14.9,10.875912408759124,,,
2005-06-09,2005-Q2,15.2,11.094890510948904,,,
2005-06-10,2005-Q2,14.5,10.583941605839415,,,
2005-06-13,2005-Q2,15.25,11.131386861313867,,,
2005-06-14,2005-Q2,16.05,11.715328467153284,,,
2005-06-15,2005-Q2,16.85,12.299270072992702,,,
2005-06-16,2005-Q2,17.7,12.91970802919708,,,
2005-06-17,2005-Q2,17.0,12.40875912408759,,,
2005-06-20,2005-Q2,16.15,11.78832116788321,,,
2005-06-21,2005-Q2,15.35,11.204379562043794,,,
2005-06-22,2005-Q2,14.6,10.656934306569342,,,
2005-06-23,2005-Q2,13.9,10.145985401459852,,,
2005-06-24,2005-Q2,13.4,9.781021897810218,,,
2005-06-27,2005-Q2,12.75,9.306569343065693,,,
2005-06-28,2005-Q2,12.15,8.86861313868613,,,
2005-06-29,2005-Q2,12.5,9.124087591240874,,,
2005-06-30,2005-Q2,12.5,9.124087591240874,,,
2005-07-01,2005-Q3,13.15,9.5985401459854,,,
2005-07-04,2005-Q3,13.7,9.999999999999998,,,
2005-07-05,2005-Q3,13.05,9.525547445255476,,,
2005-07-06,2005-Q3,13.05,9.525547445255476,,,
2005-07-07,2005-Q3,13.1,9.562043795620436,,,
2005-07-08,2005-Q3,13.0,9.48905109489051,,,
2005-07-11,2005-Q3,13.4,9.781021897810218,,,
2005-07-12,2005-Q3,13.45,9.81751824817518,,,
2005-07-13,2005-Q3,13.7,9.999999999999998,,,
2005-07-14,2005-Q3,13.65,9.963503649635037,,,
2005-07-15,2005-Q3,13.4,9.781021897810218,,,
2005-07-18,2005-Q3,13.5,9.854014598540145,,,
2005-07-19,2005-Q3,13.15,9.5985401459854,,,
2005-07-20,2005-Q3,13.65,9.963503649635037,,,
2005-07-21,2005-Q3,13.5,9.854014598540145,,,
2005-07-22,2005-Q3,14.2,10.364963503649632,,,
2005-07-25,2005-Q3,14.95,10.912408759124084,,,
2005-07-26,2005-Q3,15.7,11.45985401459854,,,
2005-07-27,2005-Q3,16.5,12.043795620437956,,,
2005-07-28,2005-Q3,16.5,12.043795620437956,,,
2005-07-29,2005-Q3,16.1,11.751824817518248,,,
2005-08-01,2005-Q3,16.9,12.33576642335766,,,
2005-08-02,2005-Q3,17.75,12.956204379562044,,,
2005-08-03,2005-Q3,18.15,13.24817518248175,,,
2005-08-04,2005-Q3,18.4,13.430656934306567,,,
2005-08-05,2005-Q3,17.5,12.773722627737223,,,
2005-08-08,2005-Q3,17.05,12.445255474452557,,,
2005-08-09,2005-Q3,16.35,11.934306569343066,,,
2005-08-10,2005-Q3,16.35,11.934306569343066,,,
2005-08-11,2005-Q3,17.2,12.554744525547443,,,
2005-08-12,2005-Q3,17.0,12.40875912408759,,,
2005-08-15,2005-Q3,17.0,12.40875912408759,,,
2005-08-16,2005-Q3,18.7,13.649635036496347,,,
2005-08-17,2005-Q3,20.6,15.036496350364963,,,
2005-08-18,2005-Q3,21.65,15.802919708029195,,,
2005-08-19,2005-Q3,20.6,15.036496350364963,,,
2005-08-22,2005-Q3,20.0,14.5985401459854,,,
2005-08-23,2005-Q3,19.0,13.86861313868613,,,
2005-08-24,2005-Q3,18.3,13.357664233576642,,,
2005-08-25,2005-Q3,19.25,14.051094890510948,,,
2005-08-26,2005-Q3,20.25,14.781021897810218,,,
2005-08-29,2005-Q3,19.7,14.37956204379562,,,
2005-08-30,2005-Q3,20.3,14.81751824817518,,,
2005-08-31,2005-Q3,19.85,14.489051094890511,,,
2005-09-01,2005-Q3,19.7,10.824175824175825,,,
2005-09-02,2005-Q3,19.55,10.74175824175824,,,
2005-09-05,2005-Q3,20.3,11.153846153846152,,,
2005-09-06,2005-Q3,20.15,11.07142857142857,,,
2005-09-07,2005-Q3,20.15,11.07142857142857,,,
2005-09-08,2005-Q3,19.8,10.87912087912088,,,
2005-09-09,2005-Q3,19.15,10.52197802197802,,,
2005-09-12,2005-Q3,19.55,10.74175824175824,,,
2005-09-13,2005-Q3,20.0,10.989010989010987,,,
2005-09-14,2005-Q3,19.5,10.714285714285714,,,
2005-09-15,2005-Q3,20.5,11.263736263736265,,,
2005-09-16,2005-Q3,21.5,11.813186813186812,,,
2005-09-19,2005-Q3,22.1,12.142857142857142,,,
2005-09-20,2005-Q3,21.1,11.593406593406591,,,
2005-09-21,2005-Q3,20.35,11.181318681318682,,,
2005-09-22,2005-Q3,19.35,10.631868131868131,,,
2005-09-23,2005-Q3,18.55,10.192307692307692,,,
2005-09-26,2005-Q3,19.1,10.494505494505496,,,
2005-09-27,2005-Q3,18.75,10.3021978021978,,,
2005-09-28,2005-Q3,19.7,10.824175824175825,,,
2005-09-29,2005-Q3,19.45,10.686813186813186,,,
2005-09-30,2005-Q3,18.8,10.32967032967033,,,
2005-10-03,2005-Q4,18.5,10.164835164835164,10.895764819122482,,
2005-10-04,2005-Q4,19.3,10.604395604395604,10.895764819122482,,
2005-10-05,2005-Q4,18.65,10.247252747252746,10.895764819122482,,
2005-10-06,2005-Q4,18.5,10.164835164835164,10.895764819122482,,
2005-10-07,2005-Q4,17.95,9.86263736263736,10.895764819122482,,
2005-10-10,2005-Q4,17.6,9.670329670329672,10.895764819122482,,
2005-10-11,2005-Q4,17.25,9.478021978021978,10.895764819122482,,
2005-10-12,2005-Q4,17.25,9.478021978021978,10.895764819122482,,
2005-10-13,2005-Q4,16.9,9.285714285714285,10.851648351648352,,
2005-10-14,2005-Q4,16.1,8.846153846153847,10.851648351648352,,
2005-10-17,2005-Q4,15.1,8.296703296703296,10.824175824175825,,
2005-10-18,2005-Q4,15.4,8.461538461538462,10.782967032967033,,
2005-10-19,2005-Q4,14.75,8.104395604395604,10.74175824175824,,
2005-10-20,2005-Q4,14.45,7.939560439560439,10.728021978021976,,
2005-10-21,2005-Q4,14.25,7.829670329670329,10.700549450549447,,
2005-10-24,2005-Q4,13.6,7.472527472527472,10.671873746691263,,
2005-10-25,2005-Q4,13.3,7.3076923076923075,10.644401219218736,,
2005-10-26,2005-Q4,14.65,8.04945054945055,10.618131868131869,,
2005-10-27,2005-Q4,13.5,7.417582417582417,10.618131868131869,,
2005-10-28,2005-Q4,13.45,7.39010989010989,10.618131868131869,,
2005-10-31,2005-Q4,13.5,7.417582417582417,10.618131868131869,,
2005-11-01,2005-Q4,14.2,7.802197802197801,10.618131868131869,,
2005-11-02,2005-Q4,13.9,7.637362637362637,10.618131868131869,,
2005-11-03,2005-Q4,13.9,7.637362637362637,10.618131868131869,,
2005-11-04,2005-Q4,13.9,7.637362637362637,10.618131868131869,,
2005-11-07,2005-Q4,15.05,8.26923076923077,10.618131868131869,,
2005-11-08,2005-Q4,15.85,8.708791208791208,10.618131868131869,,
2005-11-09,2005-Q4,14.8,8.131868131868131,10.618131868131869,,
2005-11-10,2005-Q4,14.8,8.131868131868131,10.618131868131869,,
2005-11-11,2005-Q4,15.3,8.406593406593407,10.618131868131869,,
2005-11-14,2005-Q4,14.7,8.076923076923077,10.618131868131869,,
2005-11-15,2005-Q4,14.7,8.076923076923077,10.618131868131869,,
2005-11-16,2005-Q4,15.0,8.241758241758241,10.618131868131869,,
2005-11-17,2005-Q4,15.3,8.406593406593407,10.618131868131869,,
2005-11-18,2005-Q4,15.85,8.708791208791208,10.618131868131869,,
2005-11-21,2005-Q4,15.35,8.434065934065934,10.618131868131869,,
2005-11-22,2005-Q4,15.05,8.26923076923077,10.618131868131869,,
2005-11-23,2005-Q4,16.25,8.928571428571429,10.618131868131869,,
2005-11-24,2005-Q4,16.6,9.120879120879122,10.618131868131869,,
2005-11-25,2005-Q4,15.7,8.626373626373626,10.618131868131869,,
2005-11-26,2005-Q4,15.2,8.35164835164835,10.563186813186812,,
2005-11-28,2005-Q4,15.6,8.571428571428571,10.50824175824176,,
2005-11-29,2005-Q4,15.1,8.296703296703296,10.412087912087912,,
2005-11-30,2005-Q4,15.1,8.296703296703296,10.315934065934066,,
2005-12-01,2005-Q4,15.35,43.85714285714286,10.315934065934066,,
2005-12-02,2005-Q4,15.5,44.28571428571429,10.315934065934066,,
2005-12-05,2005-Q4,15.25,43.57142857142858,10.315934065934066,,
2005-12-06,2005-Q4,15.2,43.42857142857143,10.315934065934066,,
2005-12-07,2005-Q4,15.15,43.28571428571429,10.315934065934066,,
2005-12-08,2005-Q4,14.95,42.71428571428572,10.315934065934066,,
2005-12-09,2005-Q4,14.65,41.85714285714286,10.315934065934066,,
2005-12-12,2005-Q4,17.6,50.28571428571429,10.315934065934066,,
2005-12-13,2005-Q4,20.55,58.71428571428572,10.315934065934066,,
2005-12-14,2005-Q4,21.2,60.57142857142858,10.315934065934066,,
2005-12-15,2005-Q4,19.6,56.00000000000001,10.315934065934066,,
2005-12-16,2005-Q4,18.4,52.57142857142857,10.315934065934066,,
2005-12-19,2005-Q4,20.0,57.142857142857146,10.315934065934066,,
2005-12-20,2005-Q4,19.9,56.85714285714285,10.315934065934066,,
2005-12-21,2005-Q4,19.55,55.85714285714286,10.315934065934066,,
2005-12-22,2005-Q4,19.8,56.57142857142858,10.315934065934066,,
2005-12-23,2005-Q4,19.5,55.71428571428572,10.315934065934066,,
2005-12-26,2005-Q4,18.45,52.71428571428572,10.315934065934066,,
2005-12-27,2005-Q4,18.8,53.71428571428572,10.315934065934066,,
2005-12-28,2005-Q4,18.5,52.85714285714286,10.315934065934066,,
2005-12-29,2005-Q4,18.65,53.285714285714285,10.315934065934066,,
2005-12-30,2005-Q4,21.05,60.142857142857146,10.315934065934066,,
2006-01-02,2006-Q1,20.65,59.0,10.315934065934066,,
2006-01-03,2006-Q1,20.6,58.85714285714287,10.315934065934066,,
2006-01-04,2006-Q1,20.35,58.14285714285715,10.315934065934066,,
2006-01-05,2006-Q1,20.55,58.71428571428572,10.315934065934066,,
2006-01-06,2006-Q1,23.15,66.14285714285714,10.315934065934066,,
2006-01-09,2006-Q1,23.2,66.28571428571429,10.315934065934066,,
2006-01-10,2006-Q1,22.25,63.57142857142858,10.315934065934066,,
2006-01-11,2006-Q1,22.25,63.57142857142858,10.315934065934066,,
2006-01-12,2006-Q1,21.95,62.71428571428572,10.315934065934066,,
2006-01-13,2006-Q1,21.5,61.42857142857143,10.315934065934066,,
2006-01-16,2006-Q1,21.2,60.57142857142858,10.315934065934066,,
2006-01-17,2006-Q1,20.35,58.14285714285715,10.315934065934066,,
2006-01-18,2006-Q1,20.05,57.28571428571429,10.315934065934066,,
2006-01-19,2006-Q1,20.5,58.57142857142858,10.315934065934066,,
2006-01-20,2006-Q1,20.0,57.142857142857146,10.315934065934066,,
2006-01-23,2006-Q1,19.7,56.285714285714285,10.315934065934066,,
2006-01-24,2006-Q1,20.0,57.142857142857146,10.315934065934066,,
2006-01-25,2006-Q1,19.8,56.57142857142858,10.315934065934066,,
2006-01-26,2006-Q1,19.8,56.57142857142858,10.412087912087912,,
2006-01-27,2006-Q1,19.95,57.0,10.467032967032967,,
2006-01-30,2006-Q1,18.95,54.142857142857146,10.645604395604394,,
2006-01-31,2006-Q1,18.3,52.28571428571429,10.645604395604394,,
2006-02-01,2006-Q1,17.9,51.14285714285714,26.23076923076924,,
2006-02-02,2006-Q1,17.85,51.00000000000001,42.28571428571429,,
2006-02-03,2006-Q1,18.1,51.71428571428572,43.00000000000001,11.030219780219776,
2006-02-06,2006-Q1,17.8,50.85714285714286,43.35714285714286,11.07142857142857,
2006-02-07,2006-Q1,20.55,58.71428571428572,43.5,11.083159541188737,
2006-02-08,2006-Q1,20.2,57.71428571428572,43.71428571428572,11.113138686131386,
2006-02-09,2006-Q1,20.2,57.71428571428572,44.07142857142858,11.142616507580009,
2006-02-10,2006-Q1,21.05,60.142857142857146,47.28571428571429,11.167582417582416,
2006-02-13,2006-Q1,20.35,58.14285714285715,50.57142857142858,11.192849121681238,
2006-02-14,2006-Q1,19.4,55.42857142857143,50.92857142857143,11.23405791289003,
2006-02-15,2006-Q1,19.3,55.142857142857146,51.07142857142857,11.361795139167402,
2006-02-16,2006-Q1,19.25,55.0,51.42857142857143,11.526630304002566,
2006-02-17,2006-Q1,18.7,53.42857142857143,52.00000000000001,11.654367530279938,
2006-02-20,2006-Q1,18.65,53.285714285714285,52.42857142857143,11.67261570546242,
2006-02-21,2006-Q1,18.65,53.285714285714285,52.642857142857146,11.67261570546242,
2006-02-22,2006-Q1,18.8,53.71428571428572,52.78571428571429,11.67261570546242,
2006-02-23,2006-Q1,18.3,52.28571428571429,52.78571428571429,11.67261570546242,
2006-02-24,2006-Q1,18.7,53.42857142857143,53.07142857142857,11.67261570546242,
2006-02-27,2006-Q1,18.0,51.42857142857143,53.07142857142857,11.782505815352527,
2006-02-28,2006-Q1,18.75,53.57142857142858,53.285714285714285,11.87374669126494,
2006-03-01,2006-Q1,18.85,27.318840579710148,53.285714285714285,11.934306569343066,
2006-03-02,2006-Q1,19.6,28.40579710144928,53.285714285714285,11.989051094890511,
2006-03-03,2006-Q1,18.45,26.73913043478261,53.285714285714285,12.043795620437956,
2006-03-06,2006-Q1,22.15,32.10144927536232,53.285714285714285,12.09332638164755,
2006-03-07,2006-Q1,26.6,38.55072463768117,53.285714285714285,12.2393117831074,
2006-03-08,2006-Q1,23.5,34.05797101449276,53.285714285714285,12.372262773722625,
2006-03-09,2006-Q1,23.35,33.84057971014493,53.285714285714285,12.40875912408759,
2006-03-10,2006-Q1,25.7,37.2463768115942,53.285714285714285,12.427007299270072,
2006-03-13,2006-Q1,23.85,34.56521739130435,53.285714285714285,12.5,
2006-03-14,2006-Q1,22.65,32.82608695652174,53.285714285714285,12.664233576642332,
