Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,53.35,889.1666666666667,,,
2005-01-04,2005-Q1,50.3,838.3333333333334,,,
2005-01-05,2005-Q1,45.25,754.1666666666667,,,
2005-01-06,2005-Q1,44.4,740.0,,,
2005-01-07,2005-Q1,44.15,735.8333333333334,,,
2005-01-10,2005-Q1,45.75,762.5,,,
2005-01-11,2005-Q1,43.7,728.3333333333334,,,
2005-01-12,2005-Q1,40.15,669.1666666666666,,,
2005-01-13,2005-Q1,41.3,688.3333333333333,,,
2005-01-14,2005-Q1,42.35,705.8333333333334,,,
2005-01-17,2005-Q1,40.6,676.6666666666667,,,
2005-01-18,2005-Q1,43.35,722.5,,,
2005-01-19,2005-Q1,42.8,713.3333333333333,,,
2005-01-20,2005-Q1,43.45,724.1666666666667,,,
2005-01-21,2005-Q1,43.45,724.1666666666667,,,
2005-01-24,2005-Q1,41.1,685.0,,,
2005-01-25,2005-Q1,41.0,683.3333333333334,,,
2005-01-26,2005-Q1,41.0,683.3333333333334,,,
2005-01-27,2005-Q1,41.75,695.8333333333334,,,
2005-01-28,2005-Q1,42.45,707.5000000000001,,,
2005-01-31,2005-Q1,42.2,703.3333333333334,,,
2005-02-01,2005-Q1,43.1,718.3333333333334,,,
2005-02-02,2005-Q1,43.4,723.3333333333334,,,
2005-02-03,2005-Q1,45.2,753.3333333333334,,,
2005-02-04,2005-Q1,43.7,728.3333333333334,,,
2005-02-07,2005-Q1,43.95,732.5000000000001,,,
2005-02-08,2005-Q1,43.6,726.6666666666667,,,
2005-02-09,2005-Q1,47.45,790.8333333333334,,,
2005-02-10,2005-Q1,46.35,772.5,,,
2005-02-11,2005-Q1,45.05,750.8333333333333,,,
2005-02-14,2005-Q1,44.45,740.8333333333334,,,
2005-02-15,2005-Q1,43.85,730.8333333333334,,,
2005-02-16,2005-Q1,43.0,716.6666666666667,,,
2005-02-17,2005-Q1,42.7,711.6666666666667,,,
2005-02-18,2005-Q1,43.25,720.8333333333334,,,
2005-02-21,2005-Q1,42.45,707.5000000000001,,,
2005-02-22,2005-Q1,47.35,789.1666666666667,,,
2005-02-23,2005-Q1,45.85,764.1666666666667,,,
2005-02-24,2005-Q1,45.25,754.1666666666667,,,
2005-02-25,2005-Q1,44.0,733.3333333333334,,,
2005-02-28,2005-Q1,43.65,727.5,,,
2005-03-01,2005-Q1,43.0,716.6666666666667,,,
2005-03-02,2005-Q1,43.1,718.3333333333334,,,
2005-03-03,2005-Q1,43.9,731.6666666666666,,,
2005-03-04,2005-Q1,43.35,722.5,,,
2005-03-07,2005-Q1,43.05,717.5,,,
2005-03-08,2005-Q1,42.85,714.1666666666667,,,
2005-03-09,2005-Q1,42.25,704.1666666666667,,,
2005-03-10,2005-Q1,44.85,747.5,,,
2005-03-11,2005-Q1,43.4,723.3333333333334,,,
2005-03-14,2005-Q1,43.05,717.5,,,
2005-03-15,2005-Q1,42.4,706.6666666666666,,,
2005-03-16,2005-Q1,42.75,712.5,,,
2005-03-17,2005-Q1,42.35,705.8333333333334,,,
2005-03-18,2005-Q1,41.7,695.0000000000001,,,
2005-03-21,2005-Q1,41.3,688.3333333333333,,,
2005-03-22,2005-Q1,39.75,662.5,,,
2005-03-23,2005-Q1,37.9,631.6666666666666,,,
2005-03-24,2005-Q1,35.3,588.3333333333333,,,
2005-03-25,2005-Q1,35.3,588.3333333333333,,,
2005-03-28,2005-Q1,33.8,563.3333333333333,,,
2005-03-29,2005-Q1,31.75,529.1666666666667,,,
2005-03-30,2005-Q1,33.45,557.5000000000001,,,
2005-03-31,2005-Q1,35.85,597.5,,,
2005-04-01,2005-Q2,37.6,626.6666666666667,,,
2005-04-04,2005-Q2,37.95,632.5000000000001,,,
2005-04-05,2005-Q2,36.65,610.8333333333334,,,
2005-04-06,2005-Q2,37.1,618.3333333333334,,,
