Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,,,,,
2005-01-04,2005-Q1,,,,,
2005-01-05,2005-Q1,,,,,
2005-01-06,2005-Q1,,,,,
2005-01-07,2005-Q1,,,,,
2005-01-10,2005-Q1,,,,,
2005-01-11,2005-Q1,,,,,
2005-01-12,2005-Q1,,,,,
2005-01-13,2005-Q1,,,,,
2005-01-14,2005-Q1,,,,,
2005-01-17,2005-Q1,,,,,
2005-01-18,2005-Q1,,,,,
2005-01-19,2005-Q1,,,,,
2005-01-20,2005-Q1,,,,,
2005-01-21,2005-Q1,,,,,
2005-01-24,2005-Q1,,,,,
2005-01-25,2005-Q1,,,,,
2005-01-26,2005-Q1,,,,,
2005-01-27,2005-Q1,,,,,
2005-01-28,2005-Q1,,,,,
2005-01-31,2005-Q1,,,,,
2005-02-01,2005-Q1,,,,,
2005-02-02,2005-Q1,,,,,
2005-02-03,2005-Q1,,,,,
2005-02-04,2005-Q1,,,,,
2005-02-07,2005-Q1,,,,,
2005-02-08,2005-Q1,,,,,
2005-02-09,2005-Q1,,,,,
2005-02-10,2005-Q1,,,,,
2005-02-11,2005-Q1,,,,,
2005-02-14,2005-Q1,,,,,
2005-02-15,2005-Q1,,,,,
2005-02-16,2005-Q1,,,,,
2005-02-17,2005-Q1,,,,,
2005-02-18,2005-Q1,,,,,
2005-02-21,2005-Q1,,,,,
2005-02-22,2005-Q1,,,,,
2005-02-23,2005-Q1,,,,,
2005-02-24,2005-Q1,75.95,3.55072463768116,,,
2005-02-25,2005-Q1,72.9,3.408134642356241,,,
2005-02-28,2005-Q1,78.65,3.676951846657317,,,
2005-03-01,2005-Q1,76.575,3.579943899018233,,,
2005-03-02,2005-Q1,84.075,3.9305750350631135,,,
2005-03-03,2005-Q1,83.35,3.896680691912108,,,
2005-03-04,2005-Q1,84.55,3.952781673679289,,,
2005-03-07,2005-Q1,82.85,3.873305282842449,,,
2005-03-08,2005-Q1,80.175,3.748246844319776,,,
2005-03-09,2005-Q1,84.925,3.970313230481533,,,
2005-03-10,2005-Q1,86.975,4.066152407667134,,,
2005-03-11,2005-Q1,85.075,3.977325853202431,,,
2005-03-14,2005-Q1,83.95,3.924731182795699,,,
2005-03-15,2005-Q1,82.475,3.855773726040205,,,
2005-03-16,2005-Q1,85.275,3.986676016830295,,,
2005-03-17,2005-Q1,81.475,3.809022907900888,,,
2005-03-18,2005-Q1,79.9,3.735390369331464,,,
2005-03-21,2005-Q1,78.075,3.650070126227209,,,
2005-03-22,2005-Q1,78.275,3.6594202898550727,,,
2005-03-23,2005-Q1,75.55,3.5320243104254323,,,
2005-03-24,2005-Q1,72.4,3.384759233286583,,,
2005-03-25,2005-Q1,72.4,3.384759233286583,,,
2005-03-28,2005-Q1,75.525,3.5308555399719497,,,
2005-03-29,2005-Q1,73.0,3.412809724170173,,,
2005-03-30,2005-Q1,73.525,3.4373539036933147,,,
2005-03-31,2005-Q1,78.55,3.6722767648433847,,,
2005-04-01,2005-Q2,77.85,3.6395511921458623,,,
2005-04-04,2005-Q2,78.35,3.662926601215521,,,
2005-04-05,2005-Q2,75.475,3.528517999064983,,,
2005-04-06,2005-Q2,76.65,3.5834502103786816,,,
2005-04-07,2005-Q2,75.6,3.534361851332398,,,
2005-04-08,2005-Q2,74.325,3.4747545582047685,,,
2005-04-11,2005-Q2,75.25,3.517999064983637,,,
2005-04-12,2005-Q2,80.45,3.761103319308088,,,
2005-04-13,2005-Q2,88.3,4.128097241701729,,,
2005-04-14,2005-Q2,88.3,4.128097241701729,,,
2005-04-15,2005-Q2,84.85,3.966806919121084,,,
2005-04-18,2005-Q2,84.175,3.935250116877045,,,
