Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,144.5,95.0657894736842,,,
2005-01-04,2005-Q1,146.3,96.25,,,
2005-01-05,2005-Q1,144.55,95.09868421052632,,,
2005-01-06,2005-Q1,141.85,93.32236842105264,,,
2005-01-07,2005-Q1,141.05,92.79605263157896,,,
2005-01-10,2005-Q1,142.75,93.91447368421052,,,
2005-01-11,2005-Q1,141.15,92.86184210526316,,,
2005-01-12,2005-Q1,139.4,91.71052631578948,,,
2005-01-13,2005-Q1,140.05,92.13815789473684,,,
2005-01-14,2005-Q1,140.15,92.20394736842104,,,
2005-01-17,2005-Q1,140.25,92.26973684210526,,,
2005-01-18,2005-Q1,142.6,93.8157894736842,,,
2005-01-19,2005-Q1,142.05,93.45394736842104,,,
2005-01-20,2005-Q1,142.15,93.51973684210526,,,
2005-01-21,2005-Q1,142.15,93.51973684210526,,,
2005-01-24,2005-Q1,147.55,97.07236842105264,,,
2005-01-25,2005-Q1,149.5,98.35526315789474,,,
2005-01-26,2005-Q1,149.5,98.35526315789474,,,
2005-01-27,2005-Q1,151.6,99.73684210526316,,,
2005-01-28,2005-Q1,153.15,100.75657894736842,,,
2005-01-31,2005-Q1,159.8,105.13157894736842,,,
2005-02-01,2005-Q1,168.4,110.78947368421052,,,
2005-02-02,2005-Q1,164.65,108.32236842105264,,,
2005-02-03,2005-Q1,165.6,108.94736842105264,,,
2005-02-04,2005-Q1,165.9,109.14473684210526,,,
2005-02-07,2005-Q1,162.1,106.64473684210526,,,
2005-02-08,2005-Q1,160.0,105.26315789473684,,,
2005-02-09,2005-Q1,160.45,105.55921052631578,,,
2005-02-10,2005-Q1,154.0,101.3157894736842,,,
2005-02-11,2005-Q1,155.45,102.26973684210526,,,
2005-02-14,2005-Q1,151.8,99.8684210526316,,,
2005-02-15,2005-Q1,152.15,100.09868421052632,,,
2005-02-16,2005-Q1,143.9,94.67105263157896,,,
2005-02-17,2005-Q1,144.95,95.36184210526316,,,
2005-02-18,2005-Q1,144.75,95.23026315789474,,,
2005-02-21,2005-Q1,142.65,93.84868421052632,,,
