Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,593.6,,,,
2005-01-04,2005-Q1,580.25,,,,
2005-01-05,2005-Q1,571.15,,,,
2005-01-06,2005-Q1,570.5,,,,
2005-01-07,2005-Q1,578.0,,,,
2005-01-10,2005-Q1,572.15,,,,
2005-01-11,2005-Q1,563.1,,,,
2005-01-12,2005-Q1,554.95,,,,
2005-01-13,2005-Q1,565.75,,,,
2005-01-14,2005-Q1,569.1,,,,
2005-01-17,2005-Q1,550.2,,,,
2005-01-18,2005-Q1,545.0,,,,
2005-01-19,2005-Q1,554.15,,,,
2005-01-20,2005-Q1,554.1,,,,
2005-01-21,2005-Q1,554.1,,,,
2005-01-24,2005-Q1,548.4,,,,
2005-01-25,2005-Q1,569.7,,,,
2005-01-26,2005-Q1,569.7,,,,
2005-01-27,2005-Q1,562.85,,,,
2005-01-28,2005-Q1,583.05,,,,
2005-01-31,2005-Q1,599.3,,,,
2005-02-01,2005-Q1,618.75,,,,
2005-02-02,2005-Q1,626.9,,,,
2005-02-03,2005-Q1,613.85,,,,
2005-02-04,2005-Q1,644.0,,,,
2005-02-07,2005-Q1,636.05,,,,
2005-02-08,2005-Q1,621.1,,,,
2005-02-09,2005-Q1,606.95,,,,
2005-02-10,2005-Q1,615.15,,,,
2005-02-11,2005-Q1,614.75,,,,
2005-02-14,2005-Q1,611.2,,,,
2005-02-15,2005-Q1,610.0,,,,
2005-02-16,2005-Q1,600.9,,,,
2005-02-17,2005-Q1,610.0,,,,
2005-02-18,2005-Q1,617.65,,,,
2005-02-21,2005-Q1,596.75,,,,
2005-02-22,2005-Q1,594.9,,,,
2005-02-23,2005-Q1,592.75,,,,
2005-02-24,2005-Q1,585.0,,,,
2005-02-25,2005-Q1,565.85,,,,
2005-02-28,2005-Q1,565.5,,,,
2005-03-01,2005-Q1,576.75,54.82414448669202,,,
2005-03-02,2005-Q1,590.0,56.08365019011407,,,
2005-03-03,2005-Q1,609.15,57.903992395437264,,,
2005-03-04,2005-Q1,610.0,57.98479087452472,,,
2005-03-07,2005-Q1,643.15,61.13593155893536,,,
2005-03-08,2005-Q1,657.6,62.50950570342206,,,
2005-03-09,2005-Q1,630.75,59.95722433460076,,,
2005-03-10,2005-Q1,654.55,62.21958174904943,,,
2005-03-11,2005-Q1,712.75,67.75190114068441,,,
2005-03-14,2005-Q1,698.8,66.42585551330798,,,
2005-03-15,2005-Q1,688.85,65.48003802281369,,,
2005-03-16,2005-Q1,678.25,64.47243346007605,,,
2005-03-17,2005-Q1,695.0,66.06463878326997,,,
2005-03-18,2005-Q1,686.25,65.23288973384031,,,
2005-03-21,2005-Q1,673.5,64.02091254752852,,,
2005-03-22,2005-Q1,656.2,62.37642585551332,,,
2005-03-23,2005-Q1,638.3,60.674904942965775,,,
2005-03-24,2005-Q1,601.95,57.21958174904944,,,
2005-03-25,2005-Q1,601.95,57.21958174904944,,,
2005-03-28,2005-Q1,598.4,56.88212927756654,,,
2005-03-29,2005-Q1,591.9,56.26425855513308,,,
2005-03-30,2005-Q1,601.55,57.18155893536122,,,
2005-03-31,2005-Q1,615.7,58.52661596958176,,,
2005-04-01,2005-Q2,662.3,62.95627376425856,,,
2005-04-04,2005-Q2,679.75,64.61501901140684,,,
2005-04-05,2005-Q2,656.05,62.36216730038023,,,
2005-04-06,2005-Q2,657.3,62.48098859315589,,,
2005-04-07,2005-Q2,663.0,63.02281368821293,,,
2005-04-08,2005-Q2,657.8,62.52851711026616,,,
2005-04-11,2005-Q2,652.45,62.01996197718632,,,
2005-04-12,2005-Q2,656.6,62.414448669201526,,,
2005-04-13,2005-Q2,649.75,61.76330798479088,,,
2005-04-14,2005-Q2,649.75,61.76330798479088,,,
2005-04-15,2005-Q2,649.0,61.69201520912548,,,
2005-04-18,2005-Q2,637.8,60.62737642585551,,,
2005-04-19,2005-Q2,646.1,61.416349809885936,,,
2005-04-20,2005-Q2,645.35,61.34505703422054,,,
2005-04-21,2005-Q2,651.55,61.93441064638783,,,
