Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,84.3,122.17391304347828,,,
2005-01-04,2005-Q1,88.55,128.33333333333334,,,
2005-01-05,2005-Q1,85.4,123.768115942029,,,
2005-01-06,2005-Q1,81.2,117.68115942028987,,,
2005-01-07,2005-Q1,80.9,117.24637681159422,,,
2005-01-10,2005-Q1,84.95,123.11594202898551,,,
2005-01-11,2005-Q1,84.3,122.17391304347828,,,
2005-01-12,2005-Q1,80.7,116.95652173913044,,,
2005-01-13,2005-Q1,84.75,122.82608695652176,,,
2005-01-14,2005-Q1,82.4,119.42028985507248,,,
2005-01-17,2005-Q1,81.9,118.69565217391306,,,
2005-01-18,2005-Q1,80.8,117.10144927536231,,,
2005-01-19,2005-Q1,77.6,112.46376811594205,,,
2005-01-20,2005-Q1,73.8,106.95652173913044,,,
2005-01-21,2005-Q1,73.8,106.95652173913044,,,
2005-01-24,2005-Q1,71.0,102.89855072463769,,,
2005-01-25,2005-Q1,68.5,99.2753623188406,,,
2005-01-26,2005-Q1,68.5,99.2753623188406,,,
2005-01-27,2005-Q1,71.75,103.98550724637684,,,
2005-01-28,2005-Q1,74.3,107.68115942028986,,,
2005-01-31,2005-Q1,78.05,113.11594202898551,,,
2005-02-01,2005-Q1,81.95,118.768115942029,,,
2005-02-02,2005-Q1,85.1,123.33333333333331,,,
2005-02-03,2005-Q1,89.4,129.56521739130437,,,
2005-02-04,2005-Q1,93.45,135.43478260869566,,,
2005-02-07,2005-Q1,91.05,131.95652173913044,,,
2005-02-08,2005-Q1,91.05,131.95652173913044,,,
2005-02-09,2005-Q1,95.45,138.33333333333334,,,
2005-02-10,2005-Q1,92.2,133.62318840579712,,,
2005-02-11,2005-Q1,93.5,135.5072463768116,,,
2005-02-14,2005-Q1,101.75,147.46376811594203,,,
2005-02-15,2005-Q1,109.6,158.84057971014494,,,
2005-02-16,2005-Q1,104.2,151.01449275362322,,,
2005-02-17,2005-Q1,101.15,146.59420289855075,,,
2005-02-18,2005-Q1,105.95,153.55072463768118,,,
2005-02-21,2005-Q1,108.75,157.60869565217394,,,
2005-02-22,2005-Q1,112.15,162.536231884058,,,
2005-02-23,2005-Q1,111.45,161.5217391304348,,,
2005-02-24,2005-Q1,114.45,165.8695652173913,,,
2005-02-25,2005-Q1,117.8,170.72463768115944,,,
2005-02-28,2005-Q1,119.0,172.46376811594203,,,
2005-03-01,2005-Q1,117.8,130.88888888888889,,,
2005-03-02,2005-Q1,119.05,132.27777777777777,,,
2005-03-03,2005-Q1,119.6,132.88888888888889,,,
2005-03-04,2005-Q1,115.05,127.83333333333331,,,
2005-03-07,2005-Q1,114.25,126.94444444444444,,,
2005-03-08,2005-Q1,114.85,127.6111111111111,,,
2005-03-09,2005-Q1,109.55,121.7222222222222,,,
2005-03-10,2005-Q1,112.3,124.77777777777776,,,
2005-03-11,2005-Q1,109.6,121.77777777777776,,,
2005-03-14,2005-Q1,106.7,118.55555555555556,,,
2005-03-15,2005-Q1,106.95,118.83333333333331,,,
2005-03-16,2005-Q1,108.55,120.6111111111111,,,
2005-03-17,2005-Q1,108.05,120.05555555555554,,,
2005-03-18,2005-Q1,103.9,115.44444444444444,,,
2005-03-21,2005-Q1,101.45,112.72222222222224,,,
2005-03-22,2005-Q1,100.2,111.33333333333331,,,
2005-03-23,2005-Q1,95.25,105.83333333333331,,,
2005-03-24,2005-Q1,97.95,108.83333333333331,,,
2005-03-25,2005-Q1,97.95,108.83333333333331,,,
2005-03-28,2005-Q1,102.85,114.27777777777776,,,
2005-03-29,2005-Q1,99.45,110.5,,,
2005-03-30,2005-Q1,101.2,112.44444444444444,,,
2005-03-31,2005-Q1,105.5,117.2222222222222,,,
2005-04-01,2005-Q2,110.8,123.1111111111111,,,
2005-04-04,2005-Q2,116.35,129.27777777777777,,,
2005-04-05,2005-Q2,114.55,127.27777777777776,,,
2005-04-06,2005-Q2,113.6,126.2222222222222,,,
2005-04-07,2005-Q2,113.9,126.55555555555556,,,
2005-04-08,2005-Q2,110.95,123.27777777777776,,,
2005-04-11,2005-Q2,110.1,122.33333333333331,,,
2005-04-12,2005-Q2,114.4,127.11111111111111,,,
2005-04-13,2005-Q2,115.45,128.27777777777777,,,
2005-04-14,2005-Q2,115.45,128.27777777777777,,,
2005-04-15,2005-Q2,112.8,125.33333333333331,,,
2005-04-18,2005-Q2,107.95,119.94444444444444,,,
2005-04-19,2005-Q2,110.0,122.2222222222222,,,
2005-04-20,2005-Q2,112.1,124.55555555555554,,,
2005-04-21,2005-Q2,110.8,123.1111111111111,,,
2005-04-22,2005-Q2,109.15,121.2777777777778,,,
2005-04-25,2005-Q2,107.15,119.05555555555556,,,
2005-04-26,2005-Q2,107.45,119.38888888888889,,,
2005-04-27,2005-Q2,105.2,116.88888888888889,,,
2005-04-28,2005-Q2,108.7,120.77777777777776,,,
2005-04-29,2005-Q2,107.25,119.16666666666666,,,
2005-05-02,2005-Q2,109.9,122.11111111111111,,,
2005-05-03,2005-Q2,108.9,121.0,,,
2005-05-04,2005-Q2,110.75,123.05555555555556,,,
2005-05-05,2005-Q2,111.5,123.88888888888889,,,
2005-05-06,2005-Q2,112.0,124.44444444444444,122.57971014492752,,
2005-05-09,2005-Q2,112.6,125.1111111111111,122.94082125603866,,
2005-05-10,2005-Q2,114.75,127.5,122.94082125603866,,
2005-05-11,2005-Q2,113.55,126.16666666666666,122.94082125603866,,
2005-05-12,2005-Q2,117.25,130.27777777777777,123.08333333333331,,
2005-05-13,2005-Q2,115.8,128.66666666666666,123.1111111111111,,
2005-05-16,2005-Q2,119.0,132.22222222222223,123.1111111111111,,
2005-05-17,2005-Q2,118.45,131.61111111111111,123.19444444444444,,
2005-05-18,2005-Q2,118.0,131.11111111111111,123.30555555555554,,
2005-05-19,2005-Q2,115.2,128.0,123.6111111111111,,
2005-05-20,2005-Q2,114.7,127.44444444444444,124.16666666666666,,
2005-05-23,2005-Q2,114.15,126.83333333333334,124.5,,
2005-05-24,2005-Q2,114.55,127.27777777777776,124.66666666666666,,
2005-05-25,2005-Q2,114.0,126.66666666666666,124.94444444444444,,
2005-05-26,2005-Q2,113.3,125.88888888888889,125.2222222222222,,
2005-05-27,2005-Q2,113.1,125.66666666666666,125.5,,
2005-05-30,2005-Q2,113.95,126.61111111111111,125.77777777777776,,
2005-05-31,2005-Q2,122.35,135.94444444444443,126.02777777777776,,
2005-06-01,2005-Q2,131.0,95.62043795620436,126.02777777777776,,
2005-06-02,2005-Q2,134.3,98.02919708029196,126.02777777777776,,
2005-06-03,2005-Q2,129.75,94.70802919708028,126.02777777777776,,
2005-06-04,2005-Q2,131.3,95.83941605839416,126.02777777777776,,
2005-06-06,2005-Q2,127.5,93.06569343065692,126.02777777777776,,
2005-06-07,2005-Q2,126.85,92.5912408759124,126.02777777777776,,
2005-06-08,2005-Q2,138.9,101.3868613138686,125.77777777777776,,
2005-06-09,2005-Q2,138.5,101.0948905109489,125.5,,
2005-06-10,2005-Q2,158.0,115.32846715328466,125.2222222222222,,
2005-06-13,2005-Q2,157.5,114.96350364963504,124.94444444444444,,
2005-06-14,2005-Q2,154.9,113.06569343065694,124.66666666666666,,
2005-06-15,2005-Q2,158.15,115.43795620437956,124.5,,
2005-06-16,2005-Q2,152.2,111.09489051094889,124.16666666666666,,
2005-06-17,2005-Q2,146.45,106.89781021897808,123.58333333333331,,
2005-06-20,2005-Q2,143.5,104.74452554744524,123.19444444444444,,
2005-06-21,2005-Q2,152.4,111.24087591240875,123.1111111111111,,
2005-06-22,2005-Q2,155.1,113.21167883211676,123.08333333333331,,
