Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,170.65,21.82225063938619,,,
2005-01-04,2005-Q1,171.35,21.91176470588235,,,
2005-01-05,2005-Q1,166.95,21.34910485933504,,,
2005-01-06,2005-Q1,161.1,20.60102301790281,,,
2005-01-07,2005-Q1,162.55,20.786445012787723,,,
2005-01-10,2005-Q1,163.4,20.89514066496164,,,
2005-01-11,2005-Q1,159.9,20.44757033248082,,,
2005-01-12,2005-Q1,152.6,19.51406649616368,,,
2005-01-13,2005-Q1,157.05,20.08312020460358,,,
2005-01-14,2005-Q1,155.65,19.90409207161125,,,
2005-01-17,2005-Q1,154.95,19.814578005115088,,,
2005-01-18,2005-Q1,154.95,19.814578005115088,,,
2005-01-19,2005-Q1,153.4,19.616368286445013,,,
2005-01-20,2005-Q1,157.85,20.18542199488491,,,
2005-01-21,2005-Q1,157.85,20.18542199488491,,,
2005-01-24,2005-Q1,155.75,19.91687979539642,,,
2005-01-25,2005-Q1,156.45,20.00639386189258,,,
2005-01-26,2005-Q1,156.45,20.00639386189258,,,
2005-01-27,2005-Q1,159.25,20.36445012787724,,,
2005-01-28,2005-Q1,162.1,20.728900255754475,,,
2005-01-31,2005-Q1,161.65,20.671355498721223,,,
2005-02-01,2005-Q1,159.35,20.377237851662404,,,
2005-02-02,2005-Q1,159.65,20.415601023017903,,,
2005-02-03,2005-Q1,161.95,20.709718670076725,,,
2005-02-04,2005-Q1,169.4,21.66240409207161,,,
2005-02-07,2005-Q1,168.9,21.59846547314578,,,
2005-02-08,2005-Q1,167.5,21.41943734015345,,,
2005-02-09,2005-Q1,173.75,22.21867007672634,,,
2005-02-10,2005-Q1,175.45,22.43606138107417,,,
2005-02-11,2005-Q1,179.6,22.966751918158565,,,
2005-02-14,2005-Q1,176.3,22.54475703324808,,,
2005-02-15,2005-Q1,176.85,22.615089514066494,,,
2005-02-16,2005-Q1,176.75,22.60230179028133,,,
2005-02-17,2005-Q1,174.1,22.263427109974423,,,
2005-02-18,2005-Q1,176.6,22.583120204603578,,,
2005-02-21,2005-Q1,180.15,23.037084398976983,,,
2005-02-22,2005-Q1,177.9,22.74936061381074,,,
2005-02-23,2005-Q1,176.85,22.615089514066494,,,
2005-02-24,2005-Q1,176.4,22.55754475703325,,,
2005-02-25,2005-Q1,177.65,22.717391304347824,,,
2005-02-28,2005-Q1,179.9,23.005115089514067,,,
2005-03-01,2005-Q1,181.55,38.62765957446808,,,
2005-03-02,2005-Q1,181.7,38.659574468085104,,,
2005-03-03,2005-Q1,185.5,39.46808510638298,,,
2005-03-04,2005-Q1,185.65,39.5,,,
2005-03-07,2005-Q1,182.0,38.723404255319146,,,
2005-03-08,2005-Q1,187.25,39.84042553191489,,,
2005-03-09,2005-Q1,179.9,38.27659574468085,,,
2005-03-10,2005-Q1,180.75,38.45744680851064,,,
2005-03-11,2005-Q1,179.85,38.26595744680851,,,
2005-03-14,2005-Q1,178.05,37.88297872340426,,,
2005-03-15,2005-Q1,177.0,37.659574468085104,,,
2005-03-16,2005-Q1,175.15,37.265957446808514,,,
2005-03-17,2005-Q1,171.8,36.5531914893617,,,
2005-03-18,2005-Q1,168.75,35.90425531914894,,,
2005-03-21,2005-Q1,166.5,35.42553191489362,,,
2005-03-22,2005-Q1,161.3,34.319148936170215,,,
2005-03-23,2005-Q1,157.15,33.43617021276596,,,
2005-03-24,2005-Q1,158.4,33.702127659574465,,,
2005-03-25,2005-Q1,158.4,33.702127659574465,,,
2005-03-28,2005-Q1,156.4,33.276595744680854,,,
2005-03-29,2005-Q1,149.55,31.81914893617021,,,
2005-03-30,2005-Q1,153.95,32.75531914893617,,,
2005-03-31,2005-Q1,159.5,33.93617021276596,,,
2005-04-01,2005-Q2,168.75,35.90425531914894,,,
