Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,80.7,27.26351351351352,,,
2005-01-04,2005-Q1,78.95,26.6722972972973,,,
2005-01-05,2005-Q1,76.75,25.929054054054053,,,
2005-01-06,2005-Q1,74.45,25.152027027027028,,,
2005-01-07,2005-Q1,74.0,25.0,,,
2005-01-10,2005-Q1,72.8,24.5945945945946,,,
2005-01-11,2005-Q1,69.1,23.3445945945946,,,
2005-01-12,2005-Q1,64.3,21.72297297297297,,,
2005-01-13,2005-Q1,68.05,22.989864864864863,,,
2005-01-14,2005-Q1,66.4,22.432432432432435,,,
2005-01-17,2005-Q1,65.2,22.027027027027028,,,
2005-01-18,2005-Q1,65.7,22.195945945945947,,,
2005-01-19,2005-Q1,66.0,22.2972972972973,,,
2005-01-20,2005-Q1,63.6,21.486486486486488,,,
2005-01-21,2005-Q1,63.6,21.486486486486488,,,
2005-01-24,2005-Q1,63.45,21.43581081081081,,,
2005-01-25,2005-Q1,67.15,22.68581081081081,,,
2005-01-26,2005-Q1,67.15,22.68581081081081,,,
2005-01-27,2005-Q1,67.7,22.871621621621625,,,
2005-01-28,2005-Q1,70.3,23.75,,,
2005-01-31,2005-Q1,68.65,23.19256756756757,,,
2005-02-01,2005-Q1,68.85,23.260135135135133,,,
2005-02-02,2005-Q1,71.9,24.290540540540544,,,
2005-02-03,2005-Q1,69.7,23.5472972972973,,,
2005-02-04,2005-Q1,70.6,23.85135135135135,,,
2005-02-07,2005-Q1,68.65,23.19256756756757,,,
2005-02-08,2005-Q1,69.65,23.530405405405407,,,
2005-02-09,2005-Q1,68.45,23.125,,,
2005-02-10,2005-Q1,68.25,23.05743243243243,,,
2005-02-11,2005-Q1,67.2,22.702702702702705,,,
2005-02-14,2005-Q1,67.15,22.68581081081081,,,
2005-02-15,2005-Q1,66.35,22.41554054054054,,,
2005-02-16,2005-Q1,65.95,22.280405405405407,,,
2005-02-17,2005-Q1,63.35,21.402027027027028,,,
2005-02-18,2005-Q1,65.6,22.16216216216216,,,
2005-02-21,2005-Q1,64.4,21.75675675675676,,,
2005-02-22,2005-Q1,67.2,22.702702702702705,,,
2005-02-23,2005-Q1,67.85,22.92229729729729,,,
2005-02-24,2005-Q1,66.75,22.55067567567568,,,
2005-02-25,2005-Q1,65.7,22.195945945945947,,,
2005-02-28,2005-Q1,67.9,22.9391891891892,,,
2005-03-01,2005-Q1,67.3,23.36805555555556,,,
2005-03-02,2005-Q1,70.1,24.34027777777777,,,
2005-03-03,2005-Q1,70.5,24.479166666666668,,,
2005-03-04,2005-Q1,76.0,26.38888888888889,,,
2005-03-07,2005-Q1,79.65,27.656250000000004,,,
2005-03-08,2005-Q1,79.65,27.656250000000004,,,
2005-03-09,2005-Q1,81.4,28.263888888888893,,,
2005-03-10,2005-Q1,84.75,29.427083333333336,,,
2005-03-11,2005-Q1,85.1,29.54861111111111,,,
2005-03-14,2005-Q1,83.95,29.14930555555556,,,
2005-03-15,2005-Q1,80.55,27.96875,,,
2005-03-16,2005-Q1,80.2,27.847222222222225,,,
2005-03-17,2005-Q1,78.7,27.32638888888889,,,
2005-03-18,2005-Q1,77.95,27.065972222222225,,,
2005-03-21,2005-Q1,79.5,27.604166666666668,,,
2005-03-22,2005-Q1,77.45,26.892361111111114,,,
2005-03-23,2005-Q1,71.1,24.6875,,,
2005-03-24,2005-Q1,76.65,26.614583333333336,,,
2005-03-25,2005-Q1,76.65,26.614583333333336,,,
2005-03-28,2005-Q1,72.6,25.20833333333333,,,
2005-03-29,2005-Q1,73.6,25.55555555555556,,,
2005-03-30,2005-Q1,73.5,25.520833333333336,,,
2005-03-31,2005-Q1,76.15,26.440972222222225,,,
2005-04-01,2005-Q2,77.1,26.77083333333333,,,
2005-04-04,2005-Q2,77.5,26.909722222222225,,,
2005-04-05,2005-Q2,74.35,25.81597222222222,,,
2005-04-06,2005-Q2,73.1,25.381944444444443,,,
2005-04-07,2005-Q2,74.0,25.694444444444446,,,
2005-04-08,2005-Q2,72.3,25.104166666666668,,,
2005-04-11,2005-Q2,70.9,24.61805555555556,,,
2005-04-12,2005-Q2,71.7,24.895833333333336,,,
2005-04-13,2005-Q2,73.75,25.60763888888889,,,
2005-04-14,2005-Q2,73.75,25.60763888888889,,,
2005-04-15,2005-Q2,70.35,24.42708333333333,,,
2005-04-18,2005-Q2,67.95,23.593750000000004,,,
2005-04-19,2005-Q2,68.9,23.923611111111114,,,
2005-04-20,2005-Q2,71.5,24.82638888888889,,,
2005-04-21,2005-Q2,72.05,25.01736111111111,,,
2005-04-22,2005-Q2,72.8,25.27777777777778,,,
2005-04-25,2005-Q2,73.15,25.39930555555556,,,
2005-04-26,2005-Q2,76.55,26.57986111111111,,,
2005-04-27,2005-Q2,77.3,26.84027777777778,,,
2005-04-28,2005-Q2,73.3,25.45138888888889,,,
2005-04-29,2005-Q2,70.7,24.548611111111114,,,
2005-05-02,2005-Q2,73.15,25.39930555555556,,,
2005-05-03,2005-Q2,72.85,25.29513888888889,,,
2005-05-04,2005-Q2,74.75,25.95486111111111,,,
2005-05-05,2005-Q2,77.75,26.99652777777778,,,
2005-05-06,2005-Q2,79.9,27.74305555555556,24.756944444444443,,
2005-05-09,2005-Q2,79.85,27.725694444444443,24.756944444444443,,
2005-05-10,2005-Q2,78.65,27.309027777777786,24.756944444444443,,
2005-05-11,2005-Q2,77.3,26.84027777777778,24.756944444444443,,
2005-05-12,2005-Q2,75.85,26.33680555555556,24.756944444444443,,
2005-05-13,2005-Q2,75.35,26.163194444444443,24.756944444444443,,
2005-05-16,2005-Q2,76.9,26.701388888888893,24.861111111111114,,
2005-05-17,2005-Q2,75.5,26.21527777777778,24.95659722222222,,
2005-05-18,2005-Q2,75.4,26.18055555555556,25.06076388888889,,
2005-05-19,2005-Q2,75.65,26.267361111111114,25.15625,,
2005-05-20,2005-Q2,74.85,25.98958333333333,25.24305555555556,,
2005-05-23,2005-Q2,74.9,26.006944444444446,25.286458333333336,,
2005-05-24,2005-Q2,75.55,26.23263888888889,25.338541666666664,,
2005-05-25,2005-Q2,76.9,26.701388888888893,25.390625,,
2005-05-26,2005-Q2,75.55,26.23263888888889,25.39930555555556,,
2005-05-27,2005-Q2,77.0,26.73611111111111,25.425347222222225,,
2005-05-30,2005-Q2,75.35,26.163194444444443,25.486111111111114,,
2005-05-31,2005-Q2,77.1,26.77083333333333,25.53819444444445,,
2005-06-01,2005-Q2,75.9,22.589285714285715,25.53819444444445,,
2005-06-02,2005-Q2,75.6,22.5,25.53819444444445,,
2005-06-03,2005-Q2,75.75,22.544642857142858,25.53819444444445,,
2005-06-04,2005-Q2,75.7,22.529761904761905,25.53819444444445,,
2005-06-06,2005-Q2,79.2,23.571428571428573,25.53819444444445,,
2005-06-07,2005-Q2,81.4,24.22619047619048,25.53819444444445,,
2005-06-08,2005-Q2,86.6,25.77380952380952,25.581597222222225,,
2005-06-09,2005-Q2,85.35,25.401785714285715,25.581597222222225,,
2005-06-10,2005-Q2,81.45,24.24107142857143,25.581597222222225,,
2005-06-13,2005-Q2,82.45,24.53869047619048,25.581597222222225,,
2005-06-14,2005-Q2,82.2,24.464285714285715,25.581597222222225,,
2005-06-15,2005-Q2,81.1,24.136904761904763,25.581597222222225,,
2005-06-16,2005-Q2,80.05,23.824404761904763,25.581597222222225,,
2005-06-17,2005-Q2,78.05,23.229166666666668,25.581597222222225,,
2005-06-20,2005-Q2,76.65,22.812500000000004,25.581597222222225,,
2005-06-21,2005-Q2,76.85,22.87202380952381,25.581597222222225,,
2005-06-22,2005-Q2,76.55,22.78273809523809,25.581597222222225,,
2005-06-23,2005-Q2,76.55,22.78273809523809,25.581597222222225,,
2005-06-24,2005-Q2,76.4,22.73809523809524,25.581597222222225,,
2005-06-27,2005-Q2,76.0,22.61904761904762,25.581597222222225,,
2005-06-28,2005-Q2,74.85,22.27678571428571,25.581597222222225,,
2005-06-29,2005-Q2,73.45,21.86011904761905,25.581597222222225,,
2005-06-30,2005-Q2,73.6,21.904761904761905,25.581597222222225,,
2005-07-01,2005-Q3,79.2,23.571428571428573,25.581597222222225,,
2005-07-04,2005-Q3,79.5,23.66071428571429,25.581597222222225,,
2005-07-05,2005-Q3,78.45,23.34821428571429,25.581597222222225,,
2005-07-06,2005-Q3,83.2,24.761904761904763,25.581597222222225,,
2005-07-07,2005-Q3,80.25,23.883928571428573,25.53819444444445,,
2005-07-08,2005-Q3,83.85,24.955357142857142,25.486111111111114,,
2005-07-11,2005-Q3,81.85,24.360119047619047,25.426587301587304,,
2005-07-12,2005-Q3,83.85,24.955357142857142,25.40054563492064,,
2005-07-13,2005-Q3,83.35,24.806547619047617,25.39930555555556,,
2005-07-14,2005-Q3,83.7,24.91071428571429,25.390625,,
2005-07-15,2005-Q3,84.2,25.05952380952381,25.338541666666664,,
2005-07-18,2005-Q3,83.85,24.955357142857142,25.286458333333336,,
2005-07-19,2005-Q3,83.95,24.98511904761905,25.24305555555556,,
2005-07-20,2005-Q3,83.15,24.747023809523814,25.15625,,
2005-07-21,2005-Q3,82.4,24.52380952380953,25.08184523809524,,
