Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,22.63,4.360308285163776,,,
2005-01-04,2005-Q1,22.115,4.261078998073217,,,
2005-01-05,2005-Q1,20.55,3.959537572254335,,,
2005-01-06,2005-Q1,20.08,3.8689788053949896,,,
2005-01-07,2005-Q1,21.24,4.092485549132947,,,
2005-01-10,2005-Q1,21.21,4.086705202312139,,,
2005-01-11,2005-Q1,20.305,3.91233140655106,,,
2005-01-12,2005-Q1,19.26,3.7109826589595376,,,
2005-01-13,2005-Q1,20.785,4.004816955684007,,,
2005-01-14,2005-Q1,20.43,3.936416184971098,,,
2005-01-17,2005-Q1,20.34,3.9190751445086702,,,
2005-01-18,2005-Q1,20.41,3.932562620423892,,,
2005-01-19,2005-Q1,20.45,3.940269749518304,,,
2005-01-20,2005-Q1,20.415,3.933526011560693,,,
2005-01-21,2005-Q1,20.415,3.933526011560693,,,
2005-01-24,2005-Q1,20.475,3.945086705202312,,,
2005-01-25,2005-Q1,20.375,3.925818882466281,,,
2005-01-26,2005-Q1,20.375,3.925818882466281,,,
2005-01-27,2005-Q1,21.325,4.1088631984585735,,,
2005-01-28,2005-Q1,21.36,4.115606936416184,,,
2005-01-31,2005-Q1,22.31,4.298651252408478,,,
2005-02-01,2005-Q1,23.36,4.500963391136801,,,
2005-02-02,2005-Q1,24.04,4.631984585741811,,,
2005-02-03,2005-Q1,24.025,4.629094412331406,,,
2005-02-04,2005-Q1,24.63,4.7456647398843925,,,
2005-02-07,2005-Q1,24.125,4.648362235067437,,,
2005-02-08,2005-Q1,24.205,4.663776493256261,,,
2005-02-09,2005-Q1,23.7,4.566473988439306,,,
2005-02-10,2005-Q1,23.315,4.492292870905588,,,
2005-02-11,2005-Q1,22.955,4.422928709055876,,,
2005-02-14,2005-Q1,22.83,4.398843930635837,,,
2005-02-15,2005-Q1,22.985,4.428709055876685,,,
2005-02-16,2005-Q1,23.005,4.432562620423892,,,
2005-02-17,2005-Q1,22.605,4.355491329479769,,,
2005-02-18,2005-Q1,22.96,4.423892100192678,,,
2005-02-21,2005-Q1,22.545,4.34393063583815,,,
2005-02-22,2005-Q1,22.325,4.301541425818882,,,
2005-02-23,2005-Q1,22.785,4.390173410404624,,,
2005-02-24,2005-Q1,22.325,4.301541425818882,,,
2005-02-25,2005-Q1,21.43,4.129094412331407,,,
2005-02-28,2005-Q1,23.765,4.5789980732177264,,,
2005-03-01,2005-Q1,22.435,16.99621212121212,,,
2005-03-02,2005-Q1,22.145,16.77651515151515,,,
2005-03-03,2005-Q1,22.27,16.87121212121212,,,
2005-03-04,2005-Q1,22.34,16.924242424242422,,,
2005-03-07,2005-Q1,22.25,16.856060606060606,,,
2005-03-08,2005-Q1,22.225,16.83712121212121,,,
2005-03-09,2005-Q1,22.145,16.77651515151515,,,
2005-03-10,2005-Q1,22.355,16.93560606060606,,,
2005-03-11,2005-Q1,22.44,17.0,,,
2005-03-14,2005-Q1,22.22,16.833333333333332,,,
2005-03-15,2005-Q1,22.495,17.041666666666668,,,
2005-03-16,2005-Q1,22.275,16.874999999999996,,,
2005-03-17,2005-Q1,21.41,16.21969696969697,,,
2005-03-18,2005-Q1,21.05,15.946969696969695,,,
2005-03-21,2005-Q1,21.11,15.99242424242424,,,
2005-03-22,2005-Q1,20.095,15.223484848484848,,,
2005-03-23,2005-Q1,19.75,14.962121212121213,,,
2005-03-24,2005-Q1,18.57,14.068181818181818,,,
2005-03-25,2005-Q1,18.57,14.068181818181818,,,
2005-03-28,2005-Q1,19.575,14.829545454545451,,,
2005-03-29,2005-Q1,18.27,13.84090909090909,,,
2005-03-30,2005-Q1,18.585,14.079545454545457,,,
2005-03-31,2005-Q1,19.39,14.68939393939394,,,
2005-04-01,2005-Q2,21.95,16.62878787878788,,,
2005-04-04,2005-Q2,21.145,16.018939393939394,,,
2005-04-05,2005-Q2,20.815,15.768939393939394,,,
2005-04-06,2005-Q2,20.615,15.61742424242424,,,
2005-04-07,2005-Q2,21.07,15.962121212121213,,,
2005-04-08,2005-Q2,20.125,15.24621212121212,,,
2005-04-11,2005-Q2,18.94,14.34848484848485,,,
