Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,70.2,3510.0,,,
2005-01-04,2005-Q1,73.7,3685.0,,,
2005-01-05,2005-Q1,70.9,3545.0,,,
2005-01-06,2005-Q1,67.35,3367.4999999999995,,,
2005-01-07,2005-Q1,70.45,3522.5,,,
2005-01-10,2005-Q1,70.45,3522.5,,,
2005-01-11,2005-Q1,67.2,3360.0,,,
2005-01-12,2005-Q1,62.15,3107.5,,,
2005-01-13,2005-Q1,64.2,3210.0,,,
2005-01-14,2005-Q1,64.7,3235.0,,,
2005-01-17,2005-Q1,62.25,3112.5,,,
2005-01-18,2005-Q1,62.6,3130.0,,,
2005-01-19,2005-Q1,61.45,3072.5,,,
2005-01-20,2005-Q1,60.6,3030.0,,,
2005-01-21,2005-Q1,60.6,3030.0,,,
2005-01-24,2005-Q1,55.6,2780.0,,,
2005-01-25,2005-Q1,62.9,3145.0,,,
2005-01-26,2005-Q1,62.9,3145.0,,,
2005-01-27,2005-Q1,62.5,3125.0,,,
2005-01-28,2005-Q1,63.0,3150.0,,,
2005-01-31,2005-Q1,62.2,3110.0,,,
2005-02-01,2005-Q1,62.75,3137.5,,,
2005-02-02,2005-Q1,62.9,3145.0,,,
2005-02-03,2005-Q1,65.0,3250.0,,,
2005-02-04,2005-Q1,64.1,3204.9999999999995,,,
2005-02-07,2005-Q1,62.9,3145.0,,,
2005-02-08,2005-Q1,66.7,3335.0,,,
2005-02-09,2005-Q1,68.2,3410.0,,,
2005-02-10,2005-Q1,68.3,3415.0,,,
2005-02-11,2005-Q1,69.95,3497.5,,,
2005-02-14,2005-Q1,68.05,3402.5,,,
2005-02-15,2005-Q1,66.55,3327.5,,,
2005-02-16,2005-Q1,65.25,3262.5,,,
2005-02-17,2005-Q1,64.45,3222.5,,,
2005-02-18,2005-Q1,65.1,3254.9999999999995,,,
2005-02-21,2005-Q1,64.05,3202.5,,,
2005-02-22,2005-Q1,63.1,3155.0,,,
2005-02-23,2005-Q1,64.35,3217.4999999999995,,,
2005-02-24,2005-Q1,64.65,3232.5,,,
2005-02-25,2005-Q1,62.35,3117.5,,,
2005-02-28,2005-Q1,62.15,3107.5,,,
2005-03-01,2005-Q1,61.05,1220.9999999999998,,,
2005-03-02,2005-Q1,61.7,1234.0,,,
2005-03-03,2005-Q1,63.55,1270.9999999999998,,,
2005-03-04,2005-Q1,62.6,1252.0,,,
2005-03-07,2005-Q1,62.75,1255.0,,,
2005-03-08,2005-Q1,63.35,1267.0,,,
2005-03-09,2005-Q1,63.55,1270.9999999999998,,,
2005-03-10,2005-Q1,67.15,1343.0,,,
2005-03-11,2005-Q1,68.95,1379.0,,,
2005-03-14,2005-Q1,66.6,1331.9999999999998,,,
2005-03-15,2005-Q1,66.1,1321.9999999999998,,,
2005-03-16,2005-Q1,65.65,1313.0,,,
2005-03-17,2005-Q1,64.2,1284.0,,,
2005-03-18,2005-Q1,62.7,1254.0,,,
2005-03-21,2005-Q1,63.0,1260.0,,,
2005-03-22,2005-Q1,60.65,1213.0,,,
2005-03-23,2005-Q1,59.45,1189.0,,,
2005-03-24,2005-Q1,58.7,1174.0,,,
2005-03-25,2005-Q1,58.7,1174.0,,,
2005-03-28,2005-Q1,58.15,1163.0,,,
2005-03-29,2005-Q1,53.35,1067.0,,,
2005-03-30,2005-Q1,53.7,1074.0,,,
2005-03-31,2005-Q1,57.55,1150.9999999999998,,,
2005-04-01,2005-Q2,60.5,1210.0,,,
2005-04-04,2005-Q2,62.65,1253.0,,,
2005-04-05,2005-Q2,61.9,1238.0,,,
2005-04-06,2005-Q2,62.7,1254.0,,,
2005-04-07,2005-Q2,61.55,1230.9999999999998,,,
2005-04-08,2005-Q2,60.6,1212.0,,,
2005-04-11,2005-Q2,59.45,1189.0,,,
2005-04-12,2005-Q2,59.6,1192.0,,,
2005-04-13,2005-Q2,59.35,1187.0,,,
