Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,357.05,47.73395721925134,,,
2005-01-04,2005-Q1,364.4,48.71657754010695,,,
2005-01-05,2005-Q1,355.0,47.459893048128336,,,
2005-01-06,2005-Q1,357.0,47.72727272727273,,,
2005-01-07,2005-Q1,352.75,47.15909090909091,,,
2005-01-10,2005-Q1,361.4,48.31550802139037,,,
2005-01-11,2005-Q1,362.65,48.48262032085561,,,
2005-01-12,2005-Q1,349.95,46.78475935828877,,,
2005-01-13,2005-Q1,345.3,46.16310160427808,,,
2005-01-14,2005-Q1,346.15,46.27673796791444,,,
2005-01-17,2005-Q1,385.1,51.48395721925134,,,
2005-01-18,2005-Q1,380.45,50.86229946524064,,,
2005-01-19,2005-Q1,383.0,51.20320855614973,,,
2005-01-20,2005-Q1,379.15,50.68850267379678,,,
2005-01-21,2005-Q1,379.15,50.68850267379678,,,
2005-01-24,2005-Q1,380.55,50.87566844919786,,,
2005-01-25,2005-Q1,383.45,51.263368983957214,,,
2005-01-26,2005-Q1,383.45,51.263368983957214,,,
2005-01-27,2005-Q1,385.5,51.53743315508021,,,
2005-01-28,2005-Q1,397.05,53.08155080213904,,,
2005-01-31,2005-Q1,411.5,55.013368983957214,,,
2005-02-01,2005-Q1,405.0,54.144385026737964,,,
2005-02-02,2005-Q1,402.8,53.850267379679146,,,
2005-02-03,2005-Q1,399.75,53.44251336898395,,,
2005-02-04,2005-Q1,399.55,53.41577540106952,,,
2005-02-07,2005-Q1,402.1,53.75668449197861,,,
2005-02-08,2005-Q1,401.15,53.62967914438502,,,
2005-02-09,2005-Q1,400.6,53.55614973262032,,,
2005-02-10,2005-Q1,395.2,52.83422459893048,,,
2005-02-11,2005-Q1,394.0,52.67379679144385,,,
2005-02-14,2005-Q1,397.0,53.07486631016042,,,
2005-02-15,2005-Q1,389.05,52.01203208556149,,,
2005-02-16,2005-Q1,383.85,51.3168449197861,,,
2005-02-17,2005-Q1,389.55,52.07887700534759,,,
2005-02-18,2005-Q1,400.1,53.48930481283423,,,
2005-02-21,2005-Q1,400.0,53.475935828877,,,
2005-02-22,2005-Q1,406.5,54.344919786096256,,,
2005-02-23,2005-Q1,402.55,53.81684491978609,,,
2005-02-24,2005-Q1,394.55,52.74732620320855,,,
2005-02-25,2005-Q1,394.05,52.68048128342246,,,
2005-02-28,2005-Q1,394.5,52.74064171122994,,,
2005-03-01,2005-Q1,399.8,54.1001353179973,,,
2005-03-02,2005-Q1,395.35,53.4979702300406,,,
2005-03-03,2005-Q1,400.05,54.13396481732071,,,
2005-03-04,2005-Q1,412.6,55.832205683355895,,,
2005-03-07,2005-Q1,433.55,58.66711772665765,,,
2005-03-08,2005-Q1,421.8,57.07713125845738,,,
2005-03-09,2005-Q1,420.65,56.92151556156969,,,
2005-03-10,2005-Q1,422.4,57.15832205683356,,,
2005-03-11,2005-Q1,420.05,56.84032476319351,,,
2005-03-14,2005-Q1,423.25,57.27334235453316,,,
2005-03-15,2005-Q1,423.9,57.361299052774015,,,
2005-03-16,2005-Q1,421.4,57.02300405953992,,,
2005-03-17,2005-Q1,420.25,56.86738836265224,,,
2005-03-18,2005-Q1,409.6,55.426251691474974,,,
2005-03-21,2005-Q1,445.95,60.34506089309878,,,
2005-03-22,2005-Q1,434.5,58.79566982408661,,,
2005-03-23,2005-Q1,423.25,57.27334235453316,,,
2005-03-24,2005-Q1,426.1,57.65899864682003,,,
2005-03-25,2005-Q1,426.1,57.65899864682003,,,
2005-03-28,2005-Q1,426.5,57.71312584573749,,,
2005-03-29,2005-Q1,420.25,56.86738836265224,,,
2005-03-30,2005-Q1,407.9,55.19621109607578,,,
2005-03-31,2005-Q1,408.15,55.23004059539919,,,
2005-04-01,2005-Q2,405.15,54.82408660351827,,,
2005-04-04,2005-Q2,400.95,54.25575101488498,,,
2005-04-05,2005-Q2,391.05,52.91610284167795,,,
2005-04-06,2005-Q2,401.6,54.34370771312585,,,
2005-04-07,2005-Q2,412.55,55.825439783491206,,,
2005-04-08,2005-Q2,403.9,54.65493910690122,,,
2005-04-11,2005-Q2,402.6,54.47902571041949,,,
2005-04-12,2005-Q2,402.3,54.4384303112314,,,
2005-04-13,2005-Q2,414.55,56.096075778078486,,,
2005-04-14,2005-Q2,414.55,56.096075778078486,,,
2005-04-15,2005-Q2,406.8,55.04736129905278,,,
2005-04-18,2005-Q2,400.3,54.16779431664412,,,
2005-04-19,2005-Q2,396.45,53.6468200270636,,,
2005-04-20,2005-Q2,399.35,54.03924221921516,,,
2005-04-21,2005-Q2,402.65,54.48579161028417,,,
2005-04-22,2005-Q2,397.2,53.74830852503383,,,
2005-04-25,2005-Q2,399.75,54.09336941813262,,,
2005-04-26,2005-Q2,402.6,54.47902571041949,,,
2005-04-27,2005-Q2,401.15,54.28281461434371,,,
2005-04-28,2005-Q2,401.5,54.33017591339648,,,
2005-04-29,2005-Q2,395.05,53.45737483085251,,,
