Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,166.6,55.16556291390728,,,
2005-01-04,2005-Q1,166.0,54.966887417218544,,,
2005-01-05,2005-Q1,157.45,52.13576158940397,,,
2005-01-06,2005-Q1,145.65,48.22847682119205,,,
2005-01-07,2005-Q1,143.05,47.367549668874176,,,
2005-01-10,2005-Q1,143.45,47.49999999999999,,,
2005-01-11,2005-Q1,139.9,46.32450331125828,,,
2005-01-12,2005-Q1,135.0,44.70198675496689,,,
2005-01-13,2005-Q1,142.05,47.03642384105961,,,
2005-01-14,2005-Q1,138.65,45.91059602649007,,,
2005-01-17,2005-Q1,139.35,46.14238410596026,,,
2005-01-18,2005-Q1,134.55,44.55298013245034,,,
2005-01-19,2005-Q1,135.05,44.71854304635762,,,
2005-01-20,2005-Q1,138.95,46.00993377483443,,,
2005-01-21,2005-Q1,138.95,46.00993377483443,,,
2005-01-24,2005-Q1,140.9,46.65562913907285,,,
2005-01-25,2005-Q1,142.2,47.086092715231786,,,
2005-01-26,2005-Q1,142.2,47.086092715231786,,,
2005-01-27,2005-Q1,143.6,47.54966887417218,,,
2005-01-28,2005-Q1,148.7,49.23841059602648,,,
2005-01-31,2005-Q1,142.05,47.03642384105961,,,
2005-02-01,2005-Q1,139.0,46.026490066225165,,,
2005-02-02,2005-Q1,139.85,46.30794701986755,,,
2005-02-03,2005-Q1,139.85,46.30794701986755,,,
2005-02-04,2005-Q1,139.05,46.0430463576159,,,
2005-02-07,2005-Q1,137.1,45.39735099337748,,,
2005-02-08,2005-Q1,137.9,45.66225165562914,,,
2005-02-09,2005-Q1,139.9,46.32450331125828,,,
2005-02-10,2005-Q1,139.35,46.14238410596026,,,
2005-02-11,2005-Q1,140.5,46.52317880794702,,,
2005-02-14,2005-Q1,141.8,46.95364238410596,,,
2005-02-15,2005-Q1,139.9,46.32450331125828,,,
2005-02-16,2005-Q1,138.05,45.711920529801326,,,
2005-02-17,2005-Q1,137.55,45.546357615894046,,,
2005-02-18,2005-Q1,136.7,45.26490066225165,,,
2005-02-21,2005-Q1,134.65,44.58609271523179,,,
2005-02-22,2005-Q1,135.45,44.85099337748344,,,
2005-02-23,2005-Q1,135.95,45.01655629139072,,,
2005-02-24,2005-Q1,132.55,43.8907284768212,,,
2005-02-25,2005-Q1,133.1,44.0728476821192,,,
2005-02-28,2005-Q1,134.5,44.5364238410596,,,
2005-03-01,2005-Q1,133.6,26.04288499025341,,,
2005-03-02,2005-Q1,132.2,25.76998050682261,,,
2005-03-03,2005-Q1,135.65,26.44249512670565,,,
2005-03-04,2005-Q1,135.2,26.35477582846004,,,
2005-03-07,2005-Q1,134.05,26.13060428849903,,,
2005-03-08,2005-Q1,134.3,26.17933723196881,,,
2005-03-09,2005-Q1,136.4,26.58869395711501,,,
2005-03-10,2005-Q1,141.45,27.57309941520468,,,
2005-03-11,2005-Q1,139.7,27.23196881091618,,,
2005-03-14,2005-Q1,136.7,26.64717348927875,,,
2005-03-15,2005-Q1,134.65,26.24756335282651,,,
2005-03-16,2005-Q1,133.5,26.023391812865498,,,
2005-03-17,2005-Q1,131.4,25.6140350877193,,,
2005-03-18,2005-Q1,128.05,24.96101364522417,,,
2005-03-21,2005-Q1,129.75,25.292397660818715,,,
2005-03-22,2005-Q1,130.0,25.34113060428849,,,
2005-03-23,2005-Q1,124.85,24.337231968810915,,,
2005-03-24,2005-Q1,121.55,23.693957115009745,,,
2005-03-25,2005-Q1,121.55,23.693957115009745,,,
2005-03-28,2005-Q1,117.2,22.84600389863548,,,
2005-03-29,2005-Q1,111.5,21.73489278752437,,,
2005-03-30,2005-Q1,112.45,21.92007797270956,,,
2005-03-31,2005-Q1,113.85,22.19298245614035,,,
2005-04-01,2005-Q2,120.3,23.450292397660817,,,
2005-04-04,2005-Q2,118.75,23.14814814814815,,,
2005-04-05,2005-Q2,117.25,22.85575048732944,,,
2005-04-06,2005-Q2,118.15,23.031189083820664,,,
2005-04-07,2005-Q2,117.65,22.933723196881093,,,
2005-04-08,2005-Q2,116.65,22.73879142300196,,,
2005-04-11,2005-Q2,116.2,22.651072124756336,,,
2005-04-12,2005-Q2,117.6,22.92397660818713,,,
2005-04-13,2005-Q2,118.15,23.031189083820664,,,
2005-04-14,2005-Q2,118.15,23.031189083820664,,,
2005-04-15,2005-Q2,114.65,22.348927875243668,,,
2005-04-18,2005-Q2,115.4,22.49512670565302,,,
2005-04-19,2005-Q2,115.8,22.57309941520468,,,
2005-04-20,2005-Q2,119.35,23.26510721247564,,,
2005-04-21,2005-Q2,117.35,22.87524366471735,,,
2005-04-22,2005-Q2,116.65,22.73879142300196,,,
2005-04-25,2005-Q2,122.5,23.87914230019493,,,
2005-04-26,2005-Q2,121.15,23.615984405458093,,,
2005-04-27,2005-Q2,116.55,22.71929824561404,,,
2005-04-28,2005-Q2,116.25,22.660818713450293,,,
2005-04-29,2005-Q2,116.7,22.748538011695903,,,
2005-05-02,2005-Q2,114.6,22.339181286549707,,,
2005-05-03,2005-Q2,117.1,22.82651072124756,,,
2005-05-04,2005-Q2,118.15,23.031189083820664,,,
2005-05-05,2005-Q2,117.65,22.933723196881093,,,
2005-05-06,2005-Q2,116.55,22.71929824561404,26.51559454191033,,
2005-05-09,2005-Q2,117.0,22.80701754385965,26.398635477582843,,
2005-05-10,2005-Q2,117.9,22.98245614035088,26.30116959064328,,
2005-05-11,2005-Q2,116.95,22.797270955165693,26.21345029239766,,
2005-05-12,2005-Q2,115.65,22.54385964912281,26.15497076023392,,
2005-05-13,2005-Q2,115.6,22.53411306042885,26.08674463937622,,
2005-05-16,2005-Q2,117.85,22.97270955165692,26.03313840155945,,
2005-05-17,2005-Q2,117.0,22.80701754385965,25.89668615984405,,
2005-05-18,2005-Q2,116.25,22.660818713450293,25.69200779727096,,
2005-05-19,2005-Q2,117.2,22.84600389863548,25.47758284600389,,
2005-05-20,2005-Q2,116.9,22.787524366471736,25.3167641325536,,
2005-05-23,2005-Q2,116.1,22.63157894736842,25.126705653021443,,
2005-05-24,2005-Q2,116.65,22.73879142300196,24.64912280701754,,
2005-05-25,2005-Q2,116.5,22.70955165692008,24.10818713450292,,
2005-05-26,2005-Q2,116.1,22.63157894736842,23.786549707602337,,
2005-05-27,2005-Q2,119.3,23.25536062378168,23.693957115009745,,
2005-05-30,2005-Q2,118.55,23.10916179337232,23.65497076023392,,
2005-05-31,2005-Q2,120.9,23.567251461988302,23.5916179337232,,
2005-06-01,2005-Q2,122.25,48.70517928286853,23.5916179337232,,
2005-06-02,2005-Q2,121.4,48.36653386454184,23.5916179337232,,
2005-06-03,2005-Q2,124.75,49.70119521912351,23.5916179337232,,
2005-06-04,2005-Q2,124.5,49.60159362549801,23.5916179337232,,
2005-06-06,2005-Q2,123.95,49.38247011952192,23.5916179337232,,
2005-06-07,2005-Q2,125.8,50.1195219123506,23.5916179337232,,
2005-06-08,2005-Q2,125.95,50.1792828685259,23.5916179337232,,
2005-06-09,2005-Q2,125.0,49.800796812749006,23.5916179337232,,
2005-06-10,2005-Q2,124.4,49.56175298804781,23.5916179337232,,
2005-06-13,2005-Q2,122.95,48.98406374501992,23.5916179337232,,
2005-06-14,2005-Q2,123.95,49.38247011952192,23.5916179337232,,
2005-06-15,2005-Q2,124.7,49.681274900398414,23.5916179337232,,
2005-06-16,2005-Q2,120.25,47.90836653386455,23.5916179337232,,
2005-06-17,2005-Q2,120.7,48.08764940239044,23.5916179337232,,
2005-06-20,2005-Q2,120.6,48.04780876494024,23.5916179337232,,
2005-06-21,2005-Q2,119.85,47.74900398406375,23.5916179337232,,
2005-06-22,2005-Q2,117.45,46.79282868525897,23.5916179337232,,
2005-06-23,2005-Q2,117.95,46.99203187250996,23.5916179337232,,
2005-06-24,2005-Q2,119.2,47.49003984063746,23.5916179337232,,
2005-06-27,2005-Q2,118.15,47.07171314741037,23.5916179337232,,
2005-06-28,2005-Q2,116.6,46.45418326693228,23.5916179337232,,
2005-06-29,2005-Q2,116.75,46.51394422310757,23.5916179337232,,
2005-06-30,2005-Q2,115.4,45.976095617529886,23.5916179337232,,
2005-07-01,2005-Q3,118.8,47.330677290836654,23.5916179337232,,
2005-07-04,2005-Q3,121.85,48.54581673306773,23.5916179337232,,
2005-07-05,2005-Q3,124.0,49.40239043824702,23.5916179337232,,
2005-07-06,2005-Q3,130.1,51.832669322709165,23.5916179337232,,
2005-07-07,2005-Q3,126.8,50.5179282868526,23.5916179337232,,
2005-07-08,2005-Q3,127.2,50.67729083665339,23.5916179337232,,
2005-07-11,2005-Q3,132.35,52.72908366533865,23.5916179337232,,
2005-07-12,2005-Q3,135.55,54.00398406374503,23.5916179337232,,
2005-07-13,2005-Q3,137.8,54.900398406374514,23.5916179337232,,
2005-07-14,2005-Q3,130.65,52.05179282868527,23.5916179337232,,
2005-07-15,2005-Q3,132.05,52.60956175298806,23.5916179337232,,
2005-07-18,2005-Q3,134.3,53.50597609561754,23.5916179337232,,
2005-07-19,2005-Q3,137.2,54.66135458167331,23.5916179337232,,
2005-07-20,2005-Q3,140.1,55.81673306772909,23.5916179337232,,
2005-07-21,2005-Q3,138.85,55.31872509960159,23.5916179337232,,
2005-07-22,2005-Q3,136.65,54.442231075697215,23.5916179337232,,
2005-07-25,2005-Q3,137.2,54.66135458167331,23.5916179337232,,
2005-07-26,2005-Q3,135.7,54.06374501992032,23.5916179337232,,
2005-07-27,2005-Q3,135.35,53.92430278884462,23.5916179337232,,
2005-07-28,2005-Q3,135.35,53.92430278884462,23.5916179337232,,
2005-07-29,2005-Q3,133.3,53.107569721115546,23.74756335282651,,
2005-08-01,2005-Q3,130.2,51.87250996015936,34.92761895886241,,
2005-08-02,2005-Q3,131.4,52.35059760956176,46.21513944223109,,
2005-08-03,2005-Q3,130.65,52.05179282868527,46.48406374501992,,
2005-08-04,2005-Q3,131.75,52.49003984063746,46.65338645418327,,
2005-08-05,2005-Q3,130.9,52.151394422310766,46.89243027888446,,
2005-08-08,2005-Q3,130.15,51.85258964143427,47.031872509960166,,
2005-08-09,2005-Q3,126.75,50.498007968127496,47.20119521912351,,
2005-08-10,2005-Q3,129.05,51.41434262948208,47.410358565737056,,
2005-08-11,2005-Q3,131.9,52.549800796812754,47.619521912350606,,
2005-08-12,2005-Q3,129.45,51.57370517928287,47.82868525896415,,
2005-08-15,2005-Q3,129.45,51.57370517928287,47.9780876494024,,
2005-08-16,2005-Q3,129.15,51.45418326693228,48.06772908366534,,
2005-08-17,2005-Q3,128.95,51.374501992031874,48.22709163346615,,
2005-08-18,2005-Q3,129.8,51.71314741035857,48.45617529880479,,
2005-08-19,2005-Q3,128.65,51.25498007968128,48.62549800796813,,
2005-08-22,2005-Q3,127.25,50.69721115537849,48.84462151394422,,
2005-08-23,2005-Q3,125.25,49.90039840637451,49.18326693227092,,
2005-08-24,2005-Q3,122.15,48.66533864541833,49.18326693227092,,
2005-08-25,2005-Q3,122.95,48.98406374501992,49.18326693227092,,
2005-08-26,2005-Q3,125.0,49.800796812749006,49.38247011952192,,
2005-08-29,2005-Q3,125.45,49.98007968127491,49.39243027888447,,
2005-08-30,2005-Q3,125.2,49.88047808764941,49.48207171314741,,
2005-08-31,2005-Q3,127.2,50.67729083665339,49.58167330677291,,
2005-09-01,2005-Q3,126.5,49.03100775193799,49.58167330677291,,
2005-09-02,2005-Q3,128.2,49.68992248062015,49.64143426294821,,
2005-09-05,2005-Q3,129.05,50.01937984496124,49.68559869050928,,
2005-09-06,2005-Q3,131.3,50.89147286821706,49.69555884987183,,
2005-09-07,2005-Q3,131.3,50.89147286821706,49.75099601593626,,
2005-09-08,2005-Q3,136.0,52.713178294573645,49.800796812749006,46.31622516556291,
2005-09-09,2005-Q3,135.05,52.34496124031008,49.84063745019921,46.31622516556291,
2005-09-12,2005-Q3,137.45,53.27519379844961,49.89043824701196,46.31622516556291,
2005-09-13,2005-Q3,137.0,53.10077519379845,49.940239043824704,46.31622516556291,
2005-09-14,2005-Q3,130.9,50.736434108527135,49.99972976311808,46.31622516556291,
2005-09-15,2005-Q3,133.05,51.56976744186047,50.06945087865592,46.31622516556291,
2005-09-16,2005-Q3,135.7,52.596899224806194,50.149402390438254,46.31622516556291,
2005-09-19,2005-Q3,135.4,52.48062015503876,50.3386454183267,46.31622516556291,
2005-09-20,2005-Q3,132.1,51.201550387596896,50.507968127490045,46.32450331125828,
2005-09-21,2005-Q3,131.25,50.872093023255815,50.597609561753,46.32450331125828,
2005-09-22,2005-Q3,126.95,49.20542635658915,50.597609561753,46.38934328909528,
2005-09-23,2005-Q3,127.35,49.360465116279066,50.597609561753,46.48406374501992,
2005-09-26,2005-Q3,130.05,50.406976744186046,50.597609561753,46.518561515527296,
2005-09-27,2005-Q3,130.55,50.600775193798455,50.63903301522592,46.58940397350993,
2005-09-28,2005-Q3,131.45,50.94961240310077,50.67729083665339,46.72422891216591,
2005-09-29,2005-Q3,129.15,50.05813953488372,50.67729083665339,46.87323553468247,
2005-09-30,2005-Q3,127.45,49.39922480620155,50.67729083665339,46.97283712830796,
2005-10-03,2005-Q4,129.25,50.0968992248062,50.67729083665339,46.97283712830796,
2005-10-04,2005-Q4,135.4,52.48062015503876,50.68725099601594,46.97283712830796,
2005-10-05,2005-Q4,140.6,54.49612403100775,50.71682263195281,46.97283712830796,
2005-10-06,2005-Q4,136.8,53.02325581395349,50.80426356589148,46.97283712830796,
2005-10-07,2005-Q4,133.9,51.89922480620155,50.88178294573643,46.97283712830796,
2005-10-10,2005-Q4,132.65,51.41472868217054,50.89147286821706,47.031872509960166,
2005-10-11,2005-Q4,131.2,50.85271317829456,50.89147286821706,47.20119521912351,
2005-10-12,2005-Q4,131.2,50.85271317829456,50.89147286821706,47.410358565737056,
2005-10-13,2005-Q4,127.95,49.593023255813954,50.89147286821706,47.619521912350606,
2005-10-14,2005-Q4,126.5,49.03100775193799,50.89147286821706,47.82868525896415,
2005-10-17,2005-Q4,125.4,48.604651162790695,50.89147286821706,47.9780876494024,
2005-10-18,2005-Q4,123.4,47.82945736434109,50.89147286821706,47.9780876494024,
2005-10-19,2005-Q4,119.95,46.49224806201551,50.89147286821706,47.9780876494024,
2005-10-20,2005-Q4,119.65,46.37596899224806,50.89147286821706,47.9780876494024,
2005-10-21,2005-Q4,120.6,46.74418604651162,50.89147286821706,47.9780876494024,
2005-10-24,2005-Q4,117.15,45.406976744186046,50.89147286821706,47.9780876494024,
2005-10-25,2005-Q4,117.8,45.65891472868217,50.89147286821706,47.9780876494024,
2005-10-26,2005-Q4,116.4,45.11627906976744,50.89147286821706,47.9780876494024,
2005-10-27,2005-Q4,116.55,45.17441860465116,50.89147286821706,47.9780876494024,
2005-10-28,2005-Q4,111.8,43.33333333333333,50.89147286821706,47.9780876494024,
2005-10-31,2005-Q4,109.85,42.57751937984496,50.89147286821706,47.9780876494024,
2005-11-01,2005-Q4,112.45,43.58527131782946,50.89147286821706,47.9780876494024,
2005-11-02,2005-Q4,119.25,46.22093023255814,50.89147286821706,47.9780876494024,
2005-11-03,2005-Q4,119.25,46.22093023255814,50.89147286821706,47.9780876494024,
2005-11-04,2005-Q4,119.25,46.22093023255814,50.89147286821706,47.9780876494024,
2005-11-07,2005-Q4,120.45,46.68604651162791,50.89147286821706,47.9780876494024,
2005-11-08,2005-Q4,119.5,46.31782945736434,50.89147286821706,47.9780876494024,
2005-11-09,2005-Q4,122.4,47.44186046511628,50.88178294573643,47.9780876494024,
2005-11-10,2005-Q4,122.95,47.65503875968992,50.88178294573643,47.9780876494024,
2005-11-11,2005-Q4,124.85,48.39147286821705,50.88178294573643,48.06772908366534,
2005-11-14,2005-Q4,123.0,47.67441860465116,50.86240310077518,48.06772908366534,
2005-11-15,2005-Q4,123.0,47.67441860465116,50.85271317829456,48.06772908366534,
2005-11-16,2005-Q4,122.5,47.48062015503876,50.79457364341084,48.06772908366534,
2005-11-17,2005-Q4,125.25,48.54651162790697,50.71682263195281,48.22709163346615,
2005-11-18,2005-Q4,127.25,49.32170542635659,50.68725099601594,48.37900336637945,
2005-11-21,2005-Q4,125.0,48.44961240310077,50.63903301522592,48.42054263565891,
2005-11-22,2005-Q4,125.05,48.468992248062015,50.549391580962975,48.45930232558139,
2005-11-23,2005-Q4,120.5,46.70542635658914,50.45249235615677,48.45930232558139,
2005-11-24,2005-Q4,120.35,46.64728682170542,50.25193798449613,48.45930232558139,
2005-11-25,2005-Q4,122.05,47.30620155038759,50.07751937984496,48.45930232558139,
2005-11-26,2005-Q4,124.15,48.12015503875969,50.038759689922486,48.45930232558139,
2005-11-28,2005-Q4,121.95,47.26744186046512,49.99972976311808,48.45930232558139,
