Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,16.859927,18.94373820224719,,,
2005-01-04,2005-Q1,16.735384,18.80380224719101,,,
2005-01-05,2005-Q1,16.486299,18.52393146067416,,,
2005-01-06,2005-Q1,16.003698,17.981683146067414,,,
2005-01-07,2005-Q1,16.081537,18.06914269662921,,,
2005-01-10,2005-Q1,15.692342,17.631844943820223,,,
2005-01-11,2005-Q1,15.007358,16.8622,,,
2005-01-12,2005-Q1,14.275672,16.040080898876404,,,
2005-01-13,2005-Q1,15.007358,16.8622,,,
2005-01-14,2005-Q1,15.645638,17.57936853932584,,,
2005-01-17,2005-Q1,15.583367,17.509401123595506,,,
2005-01-18,2005-Q1,16.76652,18.838786516853933,,,
2005-01-19,2005-Q1,15.925859,17.89422359550562,,,
2005-01-20,2005-Q1,15.412121,17.31698988764045,,,
2005-01-21,2005-Q1,15.412121,17.31698988764045,,,
2005-01-24,2005-Q1,15.334282,17.22953033707865,,,
2005-01-25,2005-Q1,15.567799,17.491908988764045,,,
2005-01-26,2005-Q1,15.567799,17.491908988764045,,,
2005-01-27,2005-Q1,15.614503,17.544385393258427,,,
2005-01-28,2005-Q1,15.832452,17.789271910112358,,,
2005-01-31,2005-Q1,16.595274,18.64637528089888,,,
2005-02-01,2005-Q1,16.097104,18.08663370786517,,,
2005-02-02,2005-Q1,16.237215,18.244061797752806,,,
2005-02-03,2005-Q1,17.04674,19.153640449438203,,,
2005-02-04,2005-Q1,19.615427,22.039805617977528,,,
2005-02-07,2005-Q1,19.724402,22.16224943820225,,,
2005-02-08,2005-Q1,20.580631,23.124304494382024,,,
2005-02-09,2005-Q1,22.075139,24.803526966292136,,,
2005-02-10,2005-Q1,26.496394,29.771229213483146,,,
2005-02-11,2005-Q1,29.158488,32.76234606741573,,,
2005-02-14,2005-Q1,32.085234,36.05082471910112,,,
2005-02-15,2005-Q1,35.307769,39.67165056179776,,,
2005-02-16,2005-Q1,38.841659,43.64231348314607,,,
2005-02-17,2005-Q1,42.219871,47.43805730337078,,,
2005-02-18,2005-Q1,43.916762,49.34467640449438,,,
2005-02-21,2005-Q1,41.73727,46.895808988764045,,,
2005-02-22,2005-Q1,39.651185,44.551893258426965,,,
2005-02-23,2005-Q1,41.114558,46.19613258426966,,,
2005-02-24,2005-Q1,43.169507,48.50506404494382,,,
2005-02-25,2005-Q1,42.624634,47.89284719101124,,,
2005-02-28,2005-Q1,44.757423,50.2892393258427,,,
2005-03-01,2005-Q1,43.340753,49.81695747126437,,,
2005-03-02,2005-Q1,41.908515,48.17070689655173,,,
2005-03-03,2005-Q1,42.484524,48.83278620689655,,,
2005-03-04,2005-Q1,42.375549,48.70752758620689,,,
2005-03-07,2005-Q1,44.508338,51.1590091954023,,,
2005-03-08,2005-Q1,42.873719,49.2801367816092,,,
2005-03-09,2005-Q1,41.348075,47.52652298850575,,,
2005-03-10,2005-Q1,40.865473,46.97180804597701,,,
2005-03-11,2005-Q1,40.616388,46.68550344827586,,,
2005-03-14,2005-Q1,39.215286,45.07504137931034,,,
2005-03-15,2005-Q1,40.740931,46.82865632183909,,,
2005-03-16,2005-Q1,42.780312,49.17277241379311,,,
2005-03-17,2005-Q1,41.752837,47.99176666666666,,,
2005-03-18,2005-Q1,42.998261,49.42328850574712,,,
2005-03-21,2005-Q1,41.285803,47.4549459770115,,,
2005-03-22,2005-Q1,39.355396,45.23608735632184,,,
2005-03-23,2005-Q1,37.767481,43.41089770114942,,,
2005-03-24,2005-Q1,36.631032,42.10463448275862,,,
2005-03-25,2005-Q1,36.631032,42.10463448275862,,,
2005-03-28,2005-Q1,37.424989,43.01722873563218,,,
2005-03-29,2005-Q1,36.740006,42.22989195402299,,,
2005-03-30,2005-Q1,37.674074,43.30353333333333,,,
2005-03-31,2005-Q1,38.234515,43.9477183908046,,,
2005-04-01,2005-Q2,40.149354,46.14868275862069,,,
2005-04-04,2005-Q2,40.865473,46.97180804597701,,,
2005-04-05,2005-Q2,38.888362,44.69926666666667,,,
2005-04-06,2005-Q2,38.966201,44.7887367816092,,,
2005-04-07,2005-Q2,38.935066,44.75294942528736,,,
2005-04-08,2005-Q2,38.966201,44.7887367816092,,,
2005-04-11,2005-Q2,38.872795,44.68137356321839,,,
2005-04-12,2005-Q2,38.950634,44.77084367816092,,,
2005-04-13,2005-Q2,39.666752,45.593967816091954,,,
2005-04-14,2005-Q2,39.666752,45.593967816091954,,,
2005-04-15,2005-Q2,37.238176,42.80250114942529,,,
2005-04-18,2005-Q2,37.829752,43.48247356321839,,,
2005-04-19,2005-Q2,37.84532,43.50036781609195,,,
2005-04-20,2005-Q2,37.751913,43.39300344827586,,,
2005-04-21,2005-Q2,37.129201,42.67724252873563,,,
2005-04-22,2005-Q2,38.359057,44.090870114942526,,,
2005-04-25,2005-Q2,40.04038,46.02342528735632,,,
2005-04-26,2005-Q2,39.324261,45.2003,,,
2005-04-27,2005-Q2,39.837998,45.79080229885057,,,
2005-04-28,2005-Q2,38.826091,44.6276908045977,,,
2005-04-29,2005-Q2,39.184151,45.03925402298851,,,
2005-05-02,2005-Q2,39.246422,45.11082988505748,,,
2005-05-03,2005-Q2,39.495507,45.397134482758624,,,
