Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,,,,,
2005-01-04,2005-Q1,,,,,
2005-01-05,2005-Q1,,,,,
2005-01-06,2005-Q1,,,,,
2005-01-07,2005-Q1,,,,,
2005-01-10,2005-Q1,,,,,
2005-01-11,2005-Q1,,,,,
2005-01-12,2005-Q1,,,,,
2005-01-13,2005-Q1,,,,,
2005-01-14,2005-Q1,,,,,
2005-01-17,2005-Q1,,,,,
2005-01-18,2005-Q1,,,,,
2005-01-19,2005-Q1,,,,,
2005-01-20,2005-Q1,,,,,
2005-01-21,2005-Q1,,,,,
2005-01-24,2005-Q1,,,,,
2005-01-25,2005-Q1,,,,,
2005-01-26,2005-Q1,,,,,
2005-01-27,2005-Q1,,,,,
2005-01-28,2005-Q1,,,,,
2005-01-31,2005-Q1,,,,,
2005-02-01,2005-Q1,,,,,
2005-02-02,2005-Q1,,,,,
2005-02-03,2005-Q1,3.3,36.66666666666666,,,
2005-02-04,2005-Q1,3.475,38.61111111111112,,,
2005-02-07,2005-Q1,3.475,38.61111111111112,,,
2005-02-08,2005-Q1,3.475,38.61111111111112,,,
2005-02-09,2005-Q1,3.65,40.55555555555556,,,
2005-02-10,2005-Q1,3.85,42.77777777777778,,,
2005-02-11,2005-Q1,4.05,45.0,,,
2005-02-14,2005-Q1,4.25,47.22222222222222,,,
2005-02-15,2005-Q1,4.475,49.72222222222222,,,
2005-02-16,2005-Q1,4.7,52.22222222222223,,,
2005-02-17,2005-Q1,4.95,55.00000000000001,,,
2005-02-18,2005-Q1,5.2,57.77777777777778,,,
2005-02-21,2005-Q1,5.475,60.83333333333333,,,
2005-02-22,2005-Q1,5.75,63.88888888888889,,,
2005-02-23,2005-Q1,6.05,67.22222222222223,,,
2005-02-24,2005-Q1,6.375,70.83333333333334,,,
2005-02-25,2005-Q1,6.675,74.16666666666667,,,
2005-02-28,2005-Q1,3.475,38.61111111111112,,,
2005-03-01,2005-Q1,7.0,28.0,,,
2005-03-02,2005-Q1,7.05,28.2,,,
2005-03-03,2005-Q1,7.425,29.7,,,
2005-03-04,2005-Q1,7.8,31.2,,,
2005-03-07,2005-Q1,7.75,31.0,,,
2005-03-08,2005-Q1,8.075,32.3,,,
2005-03-09,2005-Q1,7.7,30.8,,,
2005-03-10,2005-Q1,7.325,29.3,,,
2005-03-11,2005-Q1,6.975,27.9,,,
2005-03-14,2005-Q1,6.625,26.5,,,
2005-03-15,2005-Q1,6.325,25.3,,,
2005-03-16,2005-Q1,6.25,25.0,,,
2005-03-17,2005-Q1,6.275,25.1,,,
2005-03-18,2005-Q1,6.125,24.5,,,
2005-03-21,2005-Q1,5.85,23.4,,,
2005-03-22,2005-Q1,5.575,22.3,,,
2005-03-23,2005-Q1,5.525,22.1,,,
2005-03-24,2005-Q1,5.375,21.5,,,
2005-03-25,2005-Q1,5.375,21.5,,,
2005-03-28,2005-Q1,5.125,20.5,,,
2005-03-29,2005-Q1,4.875,19.5,,,
2005-03-30,2005-Q1,4.8,19.2,,,
2005-03-31,2005-Q1,4.875,19.5,,,
2005-04-01,2005-Q2,5.1,20.4,,,
2005-04-04,2005-Q2,5.1,20.4,,,
2005-04-05,2005-Q2,5.15,20.6,,,
2005-04-06,2005-Q2,5.025,20.1,,,
2005-04-07,2005-Q2,4.975,19.9,,,
2005-04-08,2005-Q2,4.85,19.4,,,
2005-04-11,2005-Q2,4.75,19.0,,,
2005-04-12,2005-Q2,4.6,18.4,,,
2005-04-13,2005-Q2,4.65,18.6,,,
2005-04-14,2005-Q2,4.65,18.6,,,
2005-04-15,2005-Q2,4.6,18.4,,,
2005-04-18,2005-Q2,4.5,18.0,,,
