Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,76.15,101.53333333333336,,,
2005-01-04,2005-Q1,75.65,100.86666666666667,,,
2005-01-05,2005-Q1,69.8,93.06666666666666,,,
2005-01-06,2005-Q1,71.2,94.93333333333334,,,
2005-01-07,2005-Q1,71.8,95.73333333333332,,,
2005-01-10,2005-Q1,74.75,99.66666666666669,,,
2005-01-11,2005-Q1,72.25,96.33333333333331,,,
2005-01-12,2005-Q1,68.75,91.66666666666669,,,
2005-01-13,2005-Q1,70.6,94.13333333333333,,,
2005-01-14,2005-Q1,70.5,94.0,,,
2005-01-17,2005-Q1,74.0,98.66666666666669,,,
2005-01-18,2005-Q1,70.95,94.6,,,
2005-01-19,2005-Q1,69.15,92.2,,,
2005-01-20,2005-Q1,66.5,88.66666666666667,,,
2005-01-21,2005-Q1,66.5,88.66666666666667,,,
2005-01-24,2005-Q1,56.0,74.66666666666667,,,
2005-01-25,2005-Q1,56.7,75.60000000000001,,,
2005-01-26,2005-Q1,56.7,75.60000000000001,,,
2005-01-27,2005-Q1,56.95,75.93333333333334,,,
2005-01-28,2005-Q1,53.15,70.86666666666666,,,
2005-01-31,2005-Q1,53.95,71.93333333333334,,,
2005-02-01,2005-Q1,54.25,72.33333333333333,,,
2005-02-02,2005-Q1,53.9,71.86666666666666,,,
2005-02-03,2005-Q1,54.05,72.06666666666666,,,
2005-02-04,2005-Q1,53.75,71.66666666666667,,,
2005-02-07,2005-Q1,53.75,71.66666666666667,,,
2005-02-08,2005-Q1,52.8,70.39999999999999,,,
2005-02-09,2005-Q1,53.2,70.93333333333334,,,
2005-02-10,2005-Q1,54.1,72.13333333333334,,,
2005-02-11,2005-Q1,51.65,68.86666666666666,,,
2005-02-14,2005-Q1,51.15,68.2,,,
2005-02-15,2005-Q1,49.9,66.53333333333333,,,
2005-02-16,2005-Q1,49.2,65.60000000000001,,,
2005-02-17,2005-Q1,48.5,64.66666666666667,,,
2005-02-18,2005-Q1,48.9,65.2,,,
2005-02-21,2005-Q1,47.5,63.333333333333336,,,
2005-02-22,2005-Q1,47.5,63.333333333333336,,,
2005-02-23,2005-Q1,49.7,66.26666666666667,,,
2005-02-24,2005-Q1,50.75,67.66666666666667,,,
2005-02-25,2005-Q1,49.25,65.66666666666667,,,
2005-02-28,2005-Q1,48.95,65.26666666666667,,,
2005-03-01,2005-Q1,49.15,,,,
2005-03-02,2005-Q1,49.05,,,,
2005-03-03,2005-Q1,51.1,,,,
2005-03-04,2005-Q1,49.8,,,,
2005-03-07,2005-Q1,49.3,,,,
2005-03-08,2005-Q1,50.4,,,,
2005-03-09,2005-Q1,48.9,,,,
2005-03-10,2005-Q1,48.95,,,,
2005-03-11,2005-Q1,48.55,,,,
2005-03-14,2005-Q1,47.6,,,,
2005-03-15,2005-Q1,47.35,,,,
2005-03-16,2005-Q1,47.35,,,,
2005-03-17,2005-Q1,46.1,,,,
2005-03-18,2005-Q1,45.8,,,,
2005-03-21,2005-Q1,45.3,,,,
2005-03-22,2005-Q1,43.5,,,,
2005-03-23,2005-Q1,42.35,,,,
2005-03-24,2005-Q1,41.2,,,,
2005-03-25,2005-Q1,41.2,,,,
2005-03-28,2005-Q1,43.5,,,,
2005-03-29,2005-Q1,41.65,,,,
2005-03-30,2005-Q1,41.65,,,,
2005-03-31,2005-Q1,43.35,,,,
2005-04-01,2005-Q2,44.1,,,,
2005-04-04,2005-Q2,44.95,,,,
2005-04-05,2005-Q2,44.35,,,,
2005-04-06,2005-Q2,45.05,,,,
2005-04-07,2005-Q2,45.75,,,,
2005-04-08,2005-Q2,45.0,,,,
2005-04-11,2005-Q2,43.8,,,,
2005-04-12,2005-Q2,44.0,,,,
2005-04-13,2005-Q2,43.05,,,,
2005-04-14,2005-Q2,43.05,,,,
2005-04-15,2005-Q2,41.6,,,,
2005-04-18,2005-Q2,42.7,,,,
2005-04-19,2005-Q2,42.0,,,,
2005-04-20,2005-Q2,41.6,,,,
2005-04-21,2005-Q2,41.75,,,,
2005-04-22,2005-Q2,42.65,,,,
2005-04-25,2005-Q2,41.6,,,,
2005-04-26,2005-Q2,42.2,,,,
2005-04-27,2005-Q2,42.0,,,,
2005-04-28,2005-Q2,41.1,,,,
2005-04-29,2005-Q2,40.5,,,,
2005-05-02,2005-Q2,41.35,,,,
2005-05-03,2005-Q2,42.6,,,,
2005-05-04,2005-Q2,41.7,,,,
2005-05-05,2005-Q2,41.8,,,,
2005-05-06,2005-Q2,42.65,,,,
2005-05-09,2005-Q2,43.4,,,,
2005-05-10,2005-Q2,45.5,,,,
2005-05-11,2005-Q2,45.65,,,,
2005-05-12,2005-Q2,46.8,,,,
2005-05-13,2005-Q2,45.6,,,,
2005-05-16,2005-Q2,45.2,,,,
2005-05-17,2005-Q2,45.1,,,,
2005-05-18,2005-Q2,44.75,,,,
2005-05-19,2005-Q2,47.1,,,,
2005-05-20,2005-Q2,46.25,,,,
2005-05-23,2005-Q2,48.0,,,,
2005-05-24,2005-Q2,46.7,,,,
2005-05-25,2005-Q2,46.75,,,,
2005-05-26,2005-Q2,46.6,,,,
2005-05-27,2005-Q2,46.2,,,,
2005-05-30,2005-Q2,45.1,,,,
2005-05-31,2005-Q2,46.6,,,,
2005-06-01,2005-Q2,45.55,,,,
2005-06-02,2005-Q2,44.75,,,,
2005-06-03,2005-Q2,45.3,,,,
2005-06-04,2005-Q2,45.85,,,,
2005-06-06,2005-Q2,45.6,,,,
2005-06-07,2005-Q2,45.05,,,,
2005-06-08,2005-Q2,45.35,,,,
2005-06-09,2005-Q2,44.95,,,,
2005-06-10,2005-Q2,45.0,,,,
2005-06-13,2005-Q2,48.1,,,,
2005-06-14,2005-Q2,49.6,,,,
