Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,24.2,31.428571428571427,,,
2005-01-04,2005-Q1,23.15,30.064935064935064,,,
2005-01-05,2005-Q1,21.8,28.31168831168831,,,
2005-01-06,2005-Q1,21.45,27.85714285714285,,,
2005-01-07,2005-Q1,21.45,27.85714285714285,,,
2005-01-10,2005-Q1,21.55,27.98701298701299,,,
2005-01-11,2005-Q1,21.1,27.402597402597404,,,
2005-01-12,2005-Q1,19.8,25.714285714285715,,,
2005-01-13,2005-Q1,20.65,26.818181818181817,,,
2005-01-14,2005-Q1,20.95,27.20779220779221,,,
2005-01-17,2005-Q1,20.6,26.75324675324676,,,
2005-01-18,2005-Q1,20.8,27.01298701298701,,,
2005-01-19,2005-Q1,20.55,26.68831168831169,,,
2005-01-20,2005-Q1,20.15,26.168831168831165,,,
2005-01-21,2005-Q1,20.15,26.168831168831165,,,
2005-01-24,2005-Q1,20.1,26.103896103896105,,,
2005-01-25,2005-Q1,20.1,26.103896103896105,,,
2005-01-26,2005-Q1,20.1,26.103896103896105,,,
2005-01-27,2005-Q1,20.45,26.55844155844156,,,
2005-01-28,2005-Q1,20.75,26.948051948051948,,,
2005-01-31,2005-Q1,20.85,27.07792207792208,,,
2005-02-01,2005-Q1,20.75,26.948051948051948,,,
2005-02-02,2005-Q1,20.8,27.01298701298701,,,
2005-02-03,2005-Q1,21.05,27.337662337662337,,,
2005-02-04,2005-Q1,20.9,27.14285714285714,,,
2005-02-07,2005-Q1,20.85,27.07792207792208,,,
2005-02-08,2005-Q1,22.25,28.89610389610389,,,
2005-02-09,2005-Q1,22.15,28.766233766233764,,,
2005-02-10,2005-Q1,23.7,30.77922077922078,,,
2005-02-11,2005-Q1,25.1,32.5974025974026,,,
2005-02-14,2005-Q1,26.65,34.61038961038961,,,
2005-02-15,2005-Q1,25.15,32.66233766233766,,,
2005-02-16,2005-Q1,24.9,32.33766233766234,,,
2005-02-17,2005-Q1,24.5,31.818181818181817,,,
2005-02-18,2005-Q1,24.6,31.948051948051948,,,
2005-02-21,2005-Q1,25.65,33.31168831168831,,,
2005-02-22,2005-Q1,25.05,32.532467532467535,,,
2005-02-23,2005-Q1,24.6,31.948051948051948,,,
2005-02-24,2005-Q1,24.0,31.16883116883117,,,
2005-02-25,2005-Q1,23.2,30.129870129870127,,,
2005-02-28,2005-Q1,23.75,30.844155844155843,,,
2005-03-01,2005-Q1,23.3,36.98412698412699,,,
2005-03-02,2005-Q1,23.8,37.77777777777778,,,
2005-03-03,2005-Q1,24.05,38.17460317460318,,,
2005-03-04,2005-Q1,23.75,37.698412698412696,,,
2005-03-07,2005-Q1,23.95,38.01587301587301,,,
2005-03-08,2005-Q1,24.6,39.04761904761905,,,
2005-03-09,2005-Q1,23.7,37.61904761904762,,,
2005-03-10,2005-Q1,23.4,37.14285714285714,,,
2005-03-11,2005-Q1,23.1,36.66666666666667,,,
2005-03-14,2005-Q1,22.6,35.87301587301587,,,
2005-03-15,2005-Q1,22.1,35.07936507936508,,,
2005-03-16,2005-Q1,23.6,37.46031746031746,,,
2005-03-17,2005-Q1,23.25,36.90476190476191,,,
2005-03-18,2005-Q1,22.45,35.63492063492063,,,
2005-03-21,2005-Q1,22.55,35.7936507936508,,,
2005-03-22,2005-Q1,21.95,34.84126984126984,,,
2005-03-23,2005-Q1,21.35,33.88888888888889,,,
2005-03-24,2005-Q1,20.65,32.77777777777778,,,
2005-03-25,2005-Q1,20.65,32.77777777777778,,,
2005-03-28,2005-Q1,20.7,32.857142857142854,,,
2005-03-29,2005-Q1,19.3,30.63492063492064,,,
2005-03-30,2005-Q1,20.3,32.22222222222222,,,
2005-03-31,2005-Q1,21.3,33.80952380952381,,,
2005-04-01,2005-Q2,21.75,34.523809523809526,,,
2005-04-04,2005-Q2,21.4,33.96825396825397,,,
2005-04-05,2005-Q2,21.0,33.333333333333336,,,
2005-04-06,2005-Q2,22.2,35.238095238095234,,,
2005-04-07,2005-Q2,21.75,34.523809523809526,,,
2005-04-08,2005-Q2,21.45,34.047619047619044,,,
2005-04-11,2005-Q2,21.15,33.57142857142857,,,
2005-04-12,2005-Q2,21.1,33.492063492063494,,,
2005-04-13,2005-Q2,21.05,33.41269841269841,,,
2005-04-14,2005-Q2,21.05,33.41269841269841,,,
2005-04-15,2005-Q2,20.4,32.38095238095238,,,
2005-04-18,2005-Q2,20.15,31.98412698412698,,,
2005-04-19,2005-Q2,19.7,31.26984126984127,,,
2005-04-20,2005-Q2,19.95,31.666666666666664,,,
2005-04-21,2005-Q2,20.2,32.06349206349206,,,
2005-04-22,2005-Q2,20.8,33.01587301587302,,,
2005-04-25,2005-Q2,21.2,33.65079365079365,,,
2005-04-26,2005-Q2,22.05,35.0,,,
2005-04-27,2005-Q2,21.75,34.523809523809526,,,
2005-04-28,2005-Q2,21.05,33.41269841269841,,,
2005-04-29,2005-Q2,21.5,34.12698412698413,,,
2005-05-02,2005-Q2,21.15,33.57142857142857,,,
2005-05-03,2005-Q2,21.05,33.41269841269841,,,
2005-05-04,2005-Q2,20.95,33.25396825396825,,,
2005-05-05,2005-Q2,21.15,33.57142857142857,,,
2005-05-06,2005-Q2,21.45,34.047619047619044,32.62987012987013,,
2005-05-09,2005-Q2,21.5,34.12698412698413,32.720057720057724,,
2005-05-10,2005-Q2,21.1,33.492063492063494,32.77777777777778,,
2005-05-11,2005-Q2,21.25,33.73015873015873,32.81746031746032,,
2005-05-12,2005-Q2,21.2,33.65079365079365,32.93650793650794,,
2005-05-13,2005-Q2,21.55,34.20634920634921,33.13492063492063,,
2005-05-16,2005-Q2,22.55,35.7936507936508,33.28282828282828,,
2005-05-17,2005-Q2,21.7,34.44444444444444,33.32251082251082,,
2005-05-18,2005-Q2,22.3,35.3968253968254,33.37301587301587,,
2005-05-19,2005-Q2,22.05,35.0,33.41269841269841,,
2005-05-20,2005-Q2,21.9,34.76190476190476,33.41269841269841,,
2005-05-23,2005-Q2,22.05,35.0,33.41269841269841,,
2005-05-24,2005-Q2,21.9,34.76190476190476,33.45238095238095,,
2005-05-25,2005-Q2,23.65,37.53968253968254,33.492063492063494,,
2005-05-26,2005-Q2,23.6,37.46031746031746,33.53174603174603,,
2005-05-27,2005-Q2,22.6,35.87301587301587,33.57142857142857,,
2005-05-30,2005-Q2,22.9,36.34920634920635,33.57142857142857,,
2005-05-31,2005-Q2,23.6,37.46031746031746,33.611111111111114,,
2005-06-01,2005-Q2,25.1,32.17948717948718,33.611111111111114,,
2005-06-02,2005-Q2,24.25,31.089743589743588,33.611111111111114,,
2005-06-03,2005-Q2,24.7,31.666666666666664,33.611111111111114,,
2005-06-04,2005-Q2,25.2,32.30769230769231,33.611111111111114,,
2005-06-06,2005-Q2,26.85,34.42307692307693,33.65079365079365,,
2005-06-07,2005-Q2,26.95,34.55128205128205,33.69047619047619,,
2005-06-08,2005-Q2,26.55,34.03846153846154,33.769841269841265,,
2005-06-09,2005-Q2,27.25,34.93589743589744,33.849206349206355,,
2005-06-10,2005-Q2,25.7,32.94871794871795,33.849206349206355,,
2005-06-13,2005-Q2,26.15,33.52564102564102,33.849206349206355,,
2005-06-14,2005-Q2,26.25,33.65384615384615,33.849206349206355,,
2005-06-15,2005-Q2,26.55,34.03846153846154,33.92857142857143,,
2005-06-16,2005-Q2,25.6,32.820512820512825,33.92857142857143,,
2005-06-17,2005-Q2,25.05,32.11538461538461,33.849206349206355,,
2005-06-20,2005-Q2,25.3,32.43589743589744,33.849206349206355,,
2005-06-21,2005-Q2,25.0,32.05128205128205,33.849206349206355,,
2005-06-22,2005-Q2,24.25,31.089743589743588,33.849206349206355,,
2005-06-23,2005-Q2,24.15,30.96153846153846,33.849206349206355,,
2005-06-24,2005-Q2,24.3,31.15384615384616,33.849206349206355,,
2005-06-27,2005-Q2,25.35,32.5,33.849206349206355,,
2005-06-28,2005-Q2,24.5,31.41025641025641,33.849206349206355,,
2005-06-29,2005-Q2,25.05,32.11538461538461,33.849206349206355,,
2005-06-30,2005-Q2,24.3,31.15384615384616,33.849206349206355,,
2005-07-01,2005-Q3,24.85,31.85897435897436,33.849206349206355,,
2005-07-04,2005-Q3,26.05,33.3974358974359,33.769841269841265,,
2005-07-05,2005-Q3,26.15,33.52564102564102,33.69200244200244,,
2005-07-06,2005-Q3,26.45,33.91025641025641,33.69200244200244,,
2005-07-07,2005-Q3,25.5,32.69230769230769,33.6523199023199,,
2005-07-08,2005-Q3,25.9,33.205128205128204,33.65079365079365,,
2005-07-11,2005-Q3,25.75,33.01282051282051,33.611111111111114,,
2005-07-12,2005-Q3,26.1,33.46153846153846,33.57142857142857,,
2005-07-13,2005-Q3,25.85,33.14102564102564,33.57142857142857,,
2005-07-14,2005-Q3,25.6,32.820512820512825,33.5485347985348,,
2005-07-15,2005-Q3,25.9,33.205128205128204,33.52564102564102,,
2005-07-18,2005-Q3,26.1,33.46153846153846,33.50885225885226,,
2005-07-19,2005-Q3,31.35,40.19230769230769,33.50885225885226,,
2005-07-20,2005-Q3,33.9,43.46153846153846,33.50885225885226,,
2005-07-21,2005-Q3,31.05,39.80769230769231,33.50885225885226,,
2005-07-22,2005-Q3,31.7,40.64102564102564,33.50885225885226,,
2005-07-25,2005-Q3,31.6,40.51282051282051,33.50885225885226,,
2005-07-26,2005-Q3,30.25,38.78205128205128,33.50885225885226,,
2005-07-27,2005-Q3,30.3,38.84615384615385,33.52564102564102,,
2005-07-28,2005-Q3,30.3,38.84615384615385,33.5485347985348,,
2005-07-29,2005-Q3,29.2,37.43589743589743,33.57142857142857,,
2005-08-01,2005-Q3,29.0,37.179487179487175,33.57142857142857,,
2005-08-02,2005-Q3,32.15,41.21794871794872,33.611111111111114,,
2005-08-03,2005-Q3,31.65,40.57692307692307,33.611111111111114,,
2005-08-04,2005-Q3,31.9,40.89743589743589,33.611111111111114,,
2005-08-05,2005-Q3,31.65,40.57692307692307,33.611111111111114,,
2005-08-08,2005-Q3,30.8,39.48717948717949,33.65079365079365,,
2005-08-09,2005-Q3,30.4,38.97435897435897,33.65079365079365,,
2005-08-10,2005-Q3,32.2,41.282051282051285,33.65079365079365,,
2005-08-11,2005-Q3,31.8,40.76923076923077,33.65079365079365,,
2005-08-12,2005-Q3,31.5,40.38461538461538,33.6523199023199,,
2005-08-15,2005-Q3,31.5,40.38461538461538,33.69200244200244,,
2005-08-16,2005-Q3,31.6,40.51282051282051,33.82020757020757,,
2005-08-17,2005-Q3,32.05,41.089743589743584,33.97435897435898,,
2005-08-18,2005-Q3,31.4,40.256410256410255,34.03846153846154,,
2005-08-19,2005-Q3,31.6,40.51282051282051,34.04304029304029,,
2005-08-22,2005-Q3,31.9,40.89743589743589,34.08730158730158,,
2005-08-23,2005-Q3,32.8,42.05128205128205,34.12698412698413,,
2005-08-24,2005-Q3,32.0,41.02564102564102,34.16666666666667,,
2005-08-25,2005-Q3,32.0,41.02564102564102,34.31471306471307,,
2005-08-26,2005-Q3,32.4,41.53846153846153,34.43376068376068,,
2005-08-29,2005-Q3,32.95,42.24358974358975,34.43376068376068,,
2005-08-30,2005-Q3,32.7,41.92307692307693,34.43376068376068,,
2005-08-31,2005-Q3,32.4,41.53846153846153,34.49786324786325,,
2005-09-01,2005-Q3,32.45,18.12849162011173,34.49786324786325,,
2005-09-02,2005-Q3,34.55,19.30167597765363,34.49786324786325,,
2005-09-05,2005-Q3,34.45,19.245810055865924,34.49786324786325,,
2005-09-06,2005-Q3,33.7,18.8268156424581,34.49786324786325,,
2005-09-07,2005-Q3,33.7,18.8268156424581,34.49786324786325,,
2005-09-08,2005-Q3,35.15,19.636871508379887,34.49786324786325,33.492063492063494,
2005-09-09,2005-Q3,33.85,18.910614525139664,34.49786324786325,33.492063492063494,
2005-09-12,2005-Q3,33.9,18.93854748603352,34.49786324786325,33.492063492063494,
2005-09-13,2005-Q3,33.7,18.8268156424581,34.49786324786325,33.492063492063494,
2005-09-14,2005-Q3,35.2,19.664804469273744,34.49786324786325,33.492063492063494,
2005-09-15,2005-Q3,38.8,21.67597765363128,34.49786324786325,33.492063492063494,
2005-09-16,2005-Q3,38.5,21.50837988826816,34.43376068376068,33.492063492063494,
