Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,7.5,41.66666666666667,,,
2005-01-04,2005-Q1,8.1,45.0,,,
2005-01-05,2005-Q1,7.8,43.333333333333336,,,
2005-01-06,2005-Q1,7.75,43.05555555555556,,,
2005-01-07,2005-Q1,8.0,44.44444444444444,,,
2005-01-10,2005-Q1,8.2,45.55555555555555,,,
2005-01-11,2005-Q1,7.55,41.94444444444444,,,
2005-01-12,2005-Q1,7.1,39.44444444444444,,,
2005-01-13,2005-Q1,7.4,41.11111111111112,,,
2005-01-14,2005-Q1,7.2,40.0,,,
2005-01-17,2005-Q1,7.1,39.44444444444444,,,
2005-01-18,2005-Q1,7.1,39.44444444444444,,,
2005-01-19,2005-Q1,7.05,39.16666666666666,,,
2005-01-20,2005-Q1,6.8,37.77777777777778,,,
2005-01-21,2005-Q1,6.8,37.77777777777778,,,
2005-01-24,2005-Q1,6.85,38.05555555555556,,,
2005-01-25,2005-Q1,6.8,37.77777777777778,,,
2005-01-26,2005-Q1,6.8,37.77777777777778,,,
2005-01-27,2005-Q1,6.95,38.61111111111112,,,
2005-01-28,2005-Q1,6.9,38.333333333333336,,,
2005-01-31,2005-Q1,6.95,38.61111111111112,,,
2005-02-01,2005-Q1,7.4,41.11111111111112,,,
2005-02-02,2005-Q1,7.75,43.05555555555556,,,
2005-02-03,2005-Q1,8.25,45.833333333333336,,,
2005-02-04,2005-Q1,8.4,46.66666666666667,,,
2005-02-07,2005-Q1,8.8,48.88888888888889,,,
2005-02-08,2005-Q1,9.85,54.72222222222222,,,
2005-02-09,2005-Q1,10.5,58.333333333333336,,,
2005-02-10,2005-Q1,9.55,53.05555555555557,,,
2005-02-11,2005-Q1,9.55,53.05555555555557,,,
2005-02-14,2005-Q1,10.1,56.11111111111112,,,
2005-02-15,2005-Q1,9.85,54.72222222222222,,,
2005-02-16,2005-Q1,9.75,54.16666666666667,,,
2005-02-17,2005-Q1,9.65,53.61111111111112,,,
2005-02-18,2005-Q1,9.5,52.77777777777778,,,
2005-02-21,2005-Q1,9.5,52.77777777777778,,,
2005-02-22,2005-Q1,9.2,51.11111111111111,,,
2005-02-23,2005-Q1,9.1,50.55555555555556,,,
2005-02-24,2005-Q1,9.0,50.0,,,
2005-02-25,2005-Q1,8.9,49.44444444444445,,,
2005-02-28,2005-Q1,9.0,50.0,,,
2005-03-01,2005-Q1,8.8,44.0,,,
2005-03-02,2005-Q1,10.6,52.99999999999999,,,
2005-03-03,2005-Q1,12.75,63.75,,,
2005-03-04,2005-Q1,15.3,76.5,,,
2005-03-07,2005-Q1,16.85,84.25,,,
2005-03-08,2005-Q1,18.55,92.75,,,
2005-03-09,2005-Q1,19.05,95.25,,,
2005-03-10,2005-Q1,19.25,96.25,,,
2005-03-11,2005-Q1,21.2,106.0,,,
2005-03-14,2005-Q1,20.15,100.75,,,
2005-03-15,2005-Q1,19.15,95.75,,,
2005-03-16,2005-Q1,18.2,91.0,,,
2005-03-17,2005-Q1,18.45,92.25,,,
2005-03-18,2005-Q1,18.3,91.5,,,
2005-03-21,2005-Q1,18.25,91.25,,,
2005-03-22,2005-Q1,17.4,86.99999999999999,,,
2005-03-23,2005-Q1,16.55,82.75,,,
2005-03-24,2005-Q1,15.8,79.0,,,
2005-03-25,2005-Q1,15.8,79.0,,,
2005-03-28,2005-Q1,15.7,78.49999999999999,,,
2005-03-29,2005-Q1,14.95,74.74999999999999,,,
2005-03-30,2005-Q1,14.55,72.75,,,
2005-03-31,2005-Q1,15.05,75.25,,,
2005-04-01,2005-Q2,15.65,78.25,,,
2005-04-04,2005-Q2,16.45,82.24999999999999,,,
2005-04-05,2005-Q2,16.95,84.74999999999999,,,
2005-04-06,2005-Q2,16.7,83.49999999999999,,,
2005-04-07,2005-Q2,16.55,82.75,,,
2005-04-08,2005-Q2,15.85,79.25,,,
2005-04-11,2005-Q2,15.1,75.5,,,
2005-04-12,2005-Q2,15.05,75.25,,,
2005-04-13,2005-Q2,14.9,74.5,,,
2005-04-14,2005-Q2,14.9,74.5,,,
2005-04-15,2005-Q2,15.0,75.0,,,
2005-04-18,2005-Q2,14.8,74.0,,,
2005-04-19,2005-Q2,14.85,74.25,,,
2005-04-20,2005-Q2,15.15,75.75,,,
2005-04-21,2005-Q2,15.95,79.74999999999999,,,
2005-04-22,2005-Q2,16.0,80.0,,,
2005-04-25,2005-Q2,16.25,81.25,,,
2005-04-26,2005-Q2,15.7,78.49999999999999,,,
2005-04-27,2005-Q2,15.35,76.75,,,
2005-04-28,2005-Q2,15.15,75.75,,,
2005-04-29,2005-Q2,14.5,72.5,,,
2005-05-02,2005-Q2,13.85,69.25,,,
2005-05-03,2005-Q2,13.85,69.25,,,
2005-05-04,2005-Q2,14.0,70.0,,,
2005-05-05,2005-Q2,13.95,69.74999999999999,,,
2005-05-06,2005-Q2,13.55,67.75,68.5,,
2005-05-09,2005-Q2,13.8,69.0,69.125,,
2005-05-10,2005-Q2,14.0,70.0,69.25,,
2005-05-11,2005-Q2,14.0,70.0,69.5,,
2005-05-12,2005-Q2,13.9,69.5,69.625,,
2005-05-13,2005-Q2,13.9,69.5,69.625,,
2005-05-16,2005-Q2,14.6,73.0,69.875,,
2005-05-17,2005-Q2,15.0,75.0,70.0,,
2005-05-18,2005-Q2,14.55,72.75,70.0,,
2005-05-19,2005-Q2,13.95,69.74999999999999,70.0,,
2005-05-20,2005-Q2,13.85,69.25,70.0,,
2005-05-23,2005-Q2,14.55,72.75,71.25,,
2005-05-24,2005-Q2,15.3,76.5,72.625,,
2005-05-25,2005-Q2,15.85,79.25,72.75,,
2005-05-26,2005-Q2,15.25,76.25,72.75,,
2005-05-27,2005-Q2,14.65,73.25,72.875,,
2005-05-30,2005-Q2,14.05,70.25,72.875,,
2005-05-31,2005-Q2,14.75,73.75,73.125,,
2005-06-01,2005-Q2,15.25,80.26315789473684,73.5,,
2005-06-02,2005-Q2,15.65,82.36842105263158,73.875,,
2005-06-03,2005-Q2,16.45,86.57894736842105,74.125,,
2005-06-04,2005-Q2,17.25,90.78947368421052,74.375,,
2005-06-06,2005-Q2,18.0,94.73684210526316,74.5,,
2005-06-07,2005-Q2,17.75,93.42105263157896,74.625,,
2005-06-08,2005-Q2,17.0,89.47368421052632,74.875,,
2005-06-09,2005-Q2,16.8,88.42105263157895,75.0,,
2005-06-10,2005-Q2,16.45,86.57894736842105,75.125,,
2005-06-13,2005-Q2,16.55,87.10526315789474,75.25,,
2005-06-14,2005-Q2,16.2,85.26315789473684,75.375,,
2005-06-15,2005-Q2,16.0,84.21052631578948,75.625,,
2005-06-16,2005-Q2,15.15,79.73684210526316,75.75,,
2005-06-17,2005-Q2,14.8,77.89473684210526,76.0,,
2005-06-20,2005-Q2,14.45,76.05263157894737,76.15131578947368,,
2005-06-21,2005-Q2,14.8,77.89473684210526,76.375,,
2005-06-22,2005-Q2,14.15,74.47368421052632,76.375,,
2005-06-23,2005-Q2,14.3,75.26315789473685,76.375,,
2005-06-24,2005-Q2,14.15,74.47368421052632,76.375,,
2005-06-27,2005-Q2,14.35,75.52631578947368,76.375,,
2005-06-28,2005-Q2,13.95,73.42105263157895,76.375,,
2005-06-29,2005-Q2,13.95,73.42105263157895,76.375,,
2005-06-30,2005-Q2,15.35,80.78947368421052,76.5,,
2005-07-01,2005-Q3,16.35,86.05263157894737,76.625,,
2005-07-04,2005-Q3,17.15,90.26315789473684,77.32236842105263,,
2005-07-05,2005-Q3,15.7,82.63157894736841,77.89473684210526,,
2005-07-06,2005-Q3,16.0,84.21052631578948,78.07236842105263,,
2005-07-07,2005-Q3,15.45,81.3157894736842,78.375,,
2005-07-08,2005-Q3,15.8,83.15789473684211,78.375,,
2005-07-11,2005-Q3,16.35,86.05263157894737,78.375,,
2005-07-12,2005-Q3,15.6,82.10526315789474,78.375,,
2005-07-13,2005-Q3,15.2,80.0,78.375,,
2005-07-14,2005-Q3,16.1,84.73684210526316,78.375,,
2005-07-15,2005-Q3,17.75,93.42105263157896,78.375,,
2005-07-18,2005-Q3,18.15,95.52631578947368,78.375,,
2005-07-19,2005-Q3,17.5,92.10526315789474,78.375,,
2005-07-20,2005-Q3,17.25,90.78947368421052,78.375,,
2005-07-21,2005-Q3,16.65,87.63157894736841,78.375,,
2005-07-22,2005-Q3,16.6,87.36842105263159,78.375,,
2005-07-25,2005-Q3,17.45,91.84210526315788,78.375,,
2005-07-26,2005-Q3,16.4,86.3157894736842,78.375,,
2005-07-27,2005-Q3,16.5,86.84210526315789,78.375,,
2005-07-28,2005-Q3,16.5,86.84210526315789,78.375,,
2005-07-29,2005-Q3,16.0,84.21052631578948,78.375,,
2005-08-01,2005-Q3,16.1,84.73684210526316,78.875,,
2005-08-02,2005-Q3,16.0,84.21052631578948,79.25,,
2005-08-03,2005-Q3,16.0,84.21052631578948,79.49342105263159,,
2005-08-04,2005-Q3,15.7,82.63157894736841,79.74342105263158,,
2005-08-05,2005-Q3,15.6,82.10526315789474,79.74342105263158,,
2005-08-08,2005-Q3,15.05,79.21052631578948,79.49342105263159,,
2005-08-09,2005-Q3,15.45,81.3157894736842,79.49342105263159,,
2005-08-10,2005-Q3,15.5,81.57894736842105,79.49342105263159,,
2005-08-11,2005-Q3,16.15,84.99999999999999,79.74342105263158,,
2005-08-12,2005-Q3,16.75,88.15789473684211,79.875,,
2005-08-15,2005-Q3,16.75,88.15789473684211,80.0,,
2005-08-16,2005-Q3,16.95,89.21052631578947,80.13157894736841,,
2005-08-17,2005-Q3,16.9,88.94736842105263,80.52631578947367,,
2005-08-18,2005-Q3,16.55,87.10526315789474,81.01973684210526,,
2005-08-19,2005-Q3,16.6,87.36842105263159,81.28289473684211,,
2005-08-22,2005-Q3,17.05,89.73684210526316,81.3157894736842,,
2005-08-23,2005-Q3,16.15,84.99999999999999,81.44736842105263,,
2005-08-24,2005-Q3,15.45,81.3157894736842,81.44736842105263,,
2005-08-25,2005-Q3,16.55,87.10526315789474,81.84210526315789,,
2005-08-26,2005-Q3,17.75,93.42105263157896,82.10526315789474,,
2005-08-29,2005-Q3,17.55,92.36842105263158,82.23684210526315,,
2005-08-30,2005-Q3,17.65,92.89473684210526,82.5,,
2005-08-31,2005-Q3,20.2,106.3157894736842,82.63157894736841,,
2005-09-01,2005-Q3,20.6,93.63636363636364,82.89473684210526,,
2005-09-02,2005-Q3,19.75,89.77272727272727,83.6842105263158,,
2005-09-05,2005-Q3,19.75,89.77272727272727,84.21052631578948,,
2005-09-06,2005-Q3,19.1,86.81818181818183,84.21052631578948,,
2005-09-07,2005-Q3,19.1,86.81818181818183,84.21052631578948,,
2005-09-08,2005-Q3,18.75,85.22727272727273,84.21052631578948,78.375,
2005-09-09,2005-Q3,18.3,83.18181818181819,84.21052631578948,78.49999999999999,
2005-09-12,2005-Q3,18.25,82.95454545454545,84.21052631578948,78.75,
2005-09-13,2005-Q3,19.2,87.27272727272727,84.47368421052633,79.0,
2005-09-14,2005-Q3,19.2,87.27272727272727,84.73684210526316,79.10526315789474,
2005-09-15,2005-Q3,20.25,92.04545454545456,84.86842105263158,79.23026315789474,
2005-09-16,2005-Q3,20.4,92.72727272727272,84.99999999999999,79.25,
2005-09-19,2005-Q3,21.4,97.27272727272728,85.11363636363636,79.49342105263159,
2005-09-20,2005-Q3,20.4,92.72727272727272,85.24521531100478,79.74342105263158,
2005-09-21,2005-Q3,18.0,81.81818181818181,85.24521531100478,79.875,
2005-09-22,2005-Q3,15.5,70.45454545454545,85.24521531100478,79.875,
2005-09-23,2005-Q3,16.3,74.0909090909091,85.24521531100478,79.875,
2005-09-26,2005-Q3,17.1,77.72727272727273,85.24521531100478,79.875,
2005-09-27,2005-Q3,17.85,81.13636363636364,85.24521531100478,80.0,
2005-09-28,2005-Q3,17.95,81.5909090909091,85.24521531100478,80.13157894736841,
2005-09-29,2005-Q3,17.1,77.72727272727273,85.24521531100478,80.13157894736841,
2005-09-30,2005-Q3,16.25,73.86363636363636,85.24521531100478,80.13157894736841,
2005-10-03,2005-Q4,16.35,74.31818181818183,85.24521531100478,80.13157894736841,
2005-10-04,2005-Q4,16.8,76.36363636363636,85.24521531100478,80.13157894736841,
2005-10-05,2005-Q4,16.55,75.22727272727273,85.24521531100478,80.13157894736841,
2005-10-06,2005-Q4,16.0,72.72727272727273,85.11363636363636,80.13157894736841,
2005-10-07,2005-Q4,15.75,71.5909090909091,84.99999999999999,80.13157894736841,
2005-10-10,2005-Q4,15.35,69.77272727272727,84.86842105263158,80.13157894736841,
2005-10-11,2005-Q4,14.65,66.5909090909091,84.73684210526316,80.13157894736841,
2005-10-12,2005-Q4,14.65,66.5909090909091,84.47368421052633,80.13157894736841,
2005-10-13,2005-Q4,14.65,66.5909090909091,84.21052631578948,80.13157894736841,
2005-10-14,2005-Q4,13.95,63.40909090909091,84.21052631578948,80.13157894736841,
2005-10-17,2005-Q4,13.25,60.22727272727273,84.21052631578948,80.13157894736841,
2005-10-18,2005-Q4,13.85,62.95454545454545,84.21052631578948,80.13157894736841,
2005-10-19,2005-Q4,13.2,60.0,83.69617224880383,80.13157894736841,
2005-10-20,2005-Q4,12.55,57.04545454545455,83.69617224880383,80.13157894736841,
2005-10-21,2005-Q4,11.95,54.31818181818181,83.69617224880383,80.13157894736841,
2005-10-24,2005-Q4,12.45,56.590909090909086,83.69617224880383,80.13157894736841,
2005-10-25,2005-Q4,12.15,55.22727272727273,83.69617224880383,80.13157894736841,
2005-10-26,2005-Q4,11.8,53.63636363636364,83.69617224880383,80.13157894736841,
2005-10-27,2005-Q4,11.95,54.31818181818181,83.69617224880383,80.13157894736841,
2005-10-28,2005-Q4,11.35,51.590909090909086,83.69617224880383,80.13157894736841,
2005-10-31,2005-Q4,11.75,53.40909090909091,83.69617224880383,80.13157894736841,
2005-11-01,2005-Q4,12.35,56.13636363636363,83.69617224880383,80.13157894736841,
2005-11-02,2005-Q4,12.95,58.86363636363636,83.69617224880383,80.13157894736841,
2005-11-03,2005-Q4,12.95,58.86363636363636,83.69617224880383,80.13157894736841,
2005-11-04,2005-Q4,12.95,58.86363636363636,83.16985645933015,80.13157894736841,
2005-11-07,2005-Q4,13.5,61.36363636363637,83.05622009569379,80.13157894736841,
2005-11-08,2005-Q4,13.95,63.40909090909091,83.05622009569379,80.13157894736841,
2005-11-09,2005-Q4,14.1,64.0909090909091,82.79306220095694,80.13157894736841,
2005-11-10,2005-Q4,13.55,61.59090909090909,82.79306220095694,80.13157894736841,
2005-11-11,2005-Q4,13.45,61.13636363636363,82.36842105263158,80.0,
2005-11-14,2005-Q4,13.45,61.13636363636363,82.10526315789474,79.875,
2005-11-15,2005-Q4,13.45,61.13636363636363,81.96172248803828,79.74342105263158,
2005-11-16,2005-Q4,13.7,62.27272727272727,81.96172248803828,79.49342105263159,
2005-11-17,2005-Q4,13.45,61.13636363636363,81.70454545454545,79.25,
2005-11-18,2005-Q4,13.35,60.68181818181818,81.58492822966508,79.23026315789474,
2005-11-21,2005-Q4,13.1,59.54545454545455,81.44736842105263,79.10526315789474,
2005-11-22,2005-Q4,13.55,61.59090909090909,81.3157894736842,79.0,
2005-11-23,2005-Q4,13.7,62.27272727272727,81.22607655502392,78.75,
2005-11-24,2005-Q4,13.85,62.95454545454545,80.17344497607655,78.49999999999999,
2005-11-25,2005-Q4,13.85,62.95454545454545,78.46889952153111,78.375,
2005-11-26,2005-Q4,13.6,61.81818181818181,77.72727272727273,78.07236842105263,
2005-11-28,2005-Q4,13.5,61.36363636363637,77.04545454545455,77.89473684210526,
2005-11-29,2005-Q4,13.2,60.0,75.79545454545455,77.811004784689,
2005-11-30,2005-Q4,13.05,59.31818181818182,74.77272727272728,77.72727272727273,
2005-12-01,2005-Q4,12.9,53.75,74.20454545454547,77.23863636363637,
2005-12-02,2005-Q4,12.8,53.333333333333336,73.97727272727272,77.23863636363637,
2005-12-05,2005-Q4,12.85,53.54166666666666,73.29545454545455,77.23863636363637,
2005-12-06,2005-Q4,12.95,53.958333333333336,72.1590909090909,77.23863636363637,
2005-12-07,2005-Q4,12.95,53.958333333333336,71.02272727272728,76.625,
2005-12-08,2005-Q4,12.95,53.958333333333336,70.11363636363636,76.43181818181819,
2005-12-09,2005-Q4,12.55,52.29166666666667,68.18181818181819,76.30681818181819,
2005-12-12,2005-Q4,12.3,51.25000000000001,66.5909090909091,76.15131578947368,
2005-12-13,2005-Q4,12.35,51.458333333333336,66.5909090909091,75.90131578947368,
2005-12-14,2005-Q4,11.7,48.75,65.3409090909091,75.75,
2005-12-15,2005-Q4,11.6,48.333333333333336,63.75,75.75,
2005-12-16,2005-Q4,11.2,46.66666666666666,63.40909090909091,75.75,
2005-12-19,2005-Q4,11.0,45.833333333333336,63.18181818181818,75.75,
2005-12-20,2005-Q4,11.2,46.66666666666666,62.95454545454545,75.75,
2005-12-21,2005-Q4,11.2,46.66666666666666,62.95454545454545,75.75,
2005-12-22,2005-Q4,11.2,46.66666666666666,62.61363636363636,75.75,
2005-12-23,2005-Q4,10.75,44.79166666666667,62.27272727272727,75.75,
2005-12-26,2005-Q4,10.6,44.16666666666666,62.04545454545455,75.63815789473685,
2005-12-27,2005-Q4,11.7,48.75,61.70454545454545,75.39473684210526,
2005-12-28,2005-Q4,12.9,53.75,61.59090909090909,75.24521531100478,
2005-12-29,2005-Q4,14.2,59.16666666666666,61.477272727272734,75.11363636363637,
2005-12-30,2005-Q4,14.95,62.29166666666666,61.477272727272734,74.73684210526315,
2006-01-02,2006-Q1,15.7,65.41666666666667,61.477272727272734,74.47368421052632,
2006-01-03,2006-Q1,16.5,68.75,61.477272727272734,74.39593301435407,
2006-01-04,2006-Q1,16.3,67.91666666666667,61.477272727272734,74.39593301435407,
2006-01-05,2006-Q1,15.5,64.58333333333334,61.477272727272734,74.39593301435407,
2006-01-06,2006-Q1,16.3,67.91666666666667,61.477272727272734,74.39593301435407,
2006-01-09,2006-Q1,16.8,70.0,61.477272727272734,74.39593301435407,
2006-01-10,2006-Q1,16.3,67.91666666666667,61.477272727272734,74.39593301435407,
2006-01-11,2006-Q1,16.3,67.91666666666667,61.477272727272734,74.39593301435407,
2006-01-12,2006-Q1,16.25,67.70833333333334,61.477272727272734,74.39593301435407,
2006-01-13,2006-Q1,15.7,65.41666666666667,61.477272727272734,74.39593301435407,
2006-01-16,2006-Q1,15.35,63.958333333333336,61.477272727272734,74.39593301435407,
2006-01-17,2006-Q1,15.05,62.708333333333336,61.477272727272734,74.39593301435407,
2006-01-18,2006-Q1,15.8,65.83333333333334,61.477272727272734,74.39593301435407,
2006-01-19,2006-Q1,16.0,66.66666666666667,61.477272727272734,74.39593301435407,
2006-01-20,2006-Q1,15.85,66.04166666666667,61.477272727272734,74.20454545454547,
2006-01-23,2006-Q1,15.8,65.83333333333334,61.477272727272734,74.20454545454547,
2006-01-24,2006-Q1,15.65,65.20833333333334,61.477272727272734,74.20454545454547,
2006-01-25,2006-Q1,14.95,62.29166666666666,61.477272727272734,74.20454545454547,
2006-01-26,2006-Q1,14.95,62.29166666666666,61.477272727272734,74.20454545454547,
2006-01-27,2006-Q1,14.85,61.875,61.477272727272734,73.97727272727272,
2006-01-30,2006-Q1,14.45,60.208333333333336,61.36363636363637,73.80681818181819,
2006-01-31,2006-Q1,13.9,57.91666666666667,61.25,73.58552631578948,
2006-02-01,2006-Q1,13.35,55.625,61.13636363636363,73.58552631578948,
2006-02-02,2006-Q1,12.95,53.958333333333336,61.13636363636363,73.58552631578948,
2006-02-03,2006-Q1,13.0,54.16666666666667,61.13636363636363,73.42105263157895,
2006-02-06,2006-Q1,13.55,56.458333333333336,60.90909090909091,73.07416267942584,
2006-02-07,2006-Q1,14.2,59.16666666666666,60.45454545454545,72.1590909090909,
2006-02-08,2006-Q1,14.95,62.29166666666666,60.45454545454545,71.02272727272728,
2006-02-09,2006-Q1,14.95,62.29166666666666,60.45454545454545,70.22727272727272,
2006-02-10,2006-Q1,15.2,63.333333333333336,60.45454545454545,69.88636363636363,
2006-02-13,2006-Q1,15.35,63.958333333333336,60.45454545454545,69.26136363636363,
2006-02-14,2006-Q1,14.45,60.208333333333336,60.21780303030303,68.33333333333334,
2006-02-15,2006-Q1,14.2,59.16666666666666,60.208333333333336,67.91666666666667,
2006-02-16,2006-Q1,14.4,60.00000000000001,60.10416666666667,67.91666666666667,
2006-02-17,2006-Q1,13.75,57.29166666666667,60.0,67.91666666666667,
2006-02-20,2006-Q1,13.8,57.50000000000001,60.0,67.8125,
2006-02-21,2006-Q1,13.75,57.29166666666667,59.77272727272727,67.1875,
2006-02-22,2006-Q1,13.8,57.50000000000001,59.77272727272727,66.62878787878788,
2006-02-23,2006-Q1,13.5,56.25,59.77272727272727,66.5909090909091,
2006-02-24,2006-Q1,13.05,54.37500000000001,59.77272727272727,66.5909090909091,
2006-02-27,2006-Q1,13.9,57.91666666666667,59.77272727272727,66.31628787878788,
2006-02-28,2006-Q1,13.7,57.083333333333336,59.77272727272727,65.9375,
2006-03-01,2006-Q1,13.85,6.128318584070797,59.77272727272727,65.83333333333334,
2006-03-02,2006-Q1,13.4,5.92920353982301,59.77272727272727,65.625,
2006-03-03,2006-Q1,13.05,5.774336283185842,59.77272727272727,65.41666666666667,
