Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,112.05,42.76717557251908,,,
2005-01-04,2005-Q1,111.5,42.55725190839694,,,
2005-01-05,2005-Q1,105.85,40.40076335877862,,,
2005-01-06,2005-Q1,106.2,40.534351145038165,,,
2005-01-07,2005-Q1,107.4,40.99236641221374,,,
2005-01-10,2005-Q1,105.6,40.30534351145038,,,
2005-01-11,2005-Q1,101.8,38.854961832061065,,,
2005-01-12,2005-Q1,98.5,37.595419847328245,,,
2005-01-13,2005-Q1,102.35,39.0648854961832,,,
2005-01-14,2005-Q1,100.55,38.37786259541984,,,
2005-01-17,2005-Q1,98.35,37.538167938931295,,,
2005-01-18,2005-Q1,99.8,38.09160305343512,,,
2005-01-19,2005-Q1,99.65,38.034351145038165,,,
2005-01-20,2005-Q1,96.6,36.87022900763358,,,
2005-01-21,2005-Q1,96.6,36.87022900763358,,,
2005-01-24,2005-Q1,94.6,36.10687022900763,,,
2005-01-25,2005-Q1,91.7,35.0,,,
2005-01-26,2005-Q1,91.7,35.0,,,
2005-01-27,2005-Q1,91.25,34.82824427480916,,,
2005-01-28,2005-Q1,88.55,33.79770992366412,,,
2005-01-31,2005-Q1,95.25,36.354961832061065,,,
2005-02-01,2005-Q1,98.7,37.67175572519084,,,
2005-02-02,2005-Q1,97.6,37.25190839694656,,,
2005-02-03,2005-Q1,99.05,37.80534351145038,,,
2005-02-04,2005-Q1,98.6,37.63358778625954,,,
2005-02-07,2005-Q1,100.15,38.225190839694655,,,
2005-02-08,2005-Q1,100.2,38.2442748091603,,,
2005-02-09,2005-Q1,103.5,39.50381679389313,,,
2005-02-10,2005-Q1,103.2,39.38931297709924,,,
2005-02-11,2005-Q1,101.8,38.854961832061065,,,
2005-02-14,2005-Q1,100.1,38.20610687022901,,,
2005-02-15,2005-Q1,99.9,38.12977099236641,,,
2005-02-16,2005-Q1,98.85,37.72900763358778,,,
2005-02-17,2005-Q1,95.55,36.46946564885496,,,
2005-02-18,2005-Q1,97.15,37.08015267175573,,,
2005-02-21,2005-Q1,96.55,36.851145038167935,,,
2005-02-22,2005-Q1,94.5,36.06870229007633,,,
2005-02-23,2005-Q1,95.4,36.412213740458014,,,
2005-02-24,2005-Q1,96.4,36.79389312977099,,,
2005-02-25,2005-Q1,94.2,35.95419847328244,,,
2005-02-28,2005-Q1,93.3,35.61068702290076,,,
2005-03-01,2005-Q1,95.55,38.52822580645161,,,
2005-03-02,2005-Q1,97.85,39.45564516129032,,,
2005-03-03,2005-Q1,101.95,41.108870967741936,,,
2005-03-04,2005-Q1,106.55,42.96370967741935,,,
2005-03-07,2005-Q1,106.65,43.00403225806452,,,
2005-03-08,2005-Q1,110.0,44.354838709677416,,,
2005-03-09,2005-Q1,105.9,42.70161290322581,,,
2005-03-10,2005-Q1,107.8,43.46774193548387,,,
2005-03-11,2005-Q1,109.65,44.21370967741936,,,
2005-03-14,2005-Q1,108.3,43.66935483870968,,,
2005-03-15,2005-Q1,107.5,43.346774193548384,,,
2005-03-16,2005-Q1,107.9,43.50806451612903,,,
2005-03-17,2005-Q1,105.0,42.33870967741935,,,
2005-03-18,2005-Q1,103.1,41.57258064516129,,,
2005-03-21,2005-Q1,104.15,41.99596774193549,,,
2005-03-22,2005-Q1,101.15,40.78629032258065,,,
2005-03-23,2005-Q1,99.65,40.18145161290323,,,
2005-03-24,2005-Q1,96.65,38.97177419354839,,,
2005-03-25,2005-Q1,96.65,38.97177419354839,,,
2005-03-28,2005-Q1,96.85,39.05241935483871,,,
2005-03-29,2005-Q1,94.15,37.96370967741936,,,
2005-03-30,2005-Q1,98.05,39.53629032258065,,,
2005-03-31,2005-Q1,100.85,40.66532258064516,,,
