Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,26.5,176.66666666666669,,,
2005-01-04,2005-Q1,26.4,176.0,,,
2005-01-05,2005-Q1,24.35,162.33333333333334,,,
2005-01-06,2005-Q1,22.85,152.33333333333334,,,
2005-01-07,2005-Q1,23.25,155.0,,,
2005-01-10,2005-Q1,23.55,157.0,,,
2005-01-11,2005-Q1,22.6,150.66666666666669,,,
2005-01-12,2005-Q1,20.6,137.33333333333334,,,
2005-01-13,2005-Q1,21.55,143.66666666666669,,,
2005-01-14,2005-Q1,21.75,145.0,,,
2005-01-17,2005-Q1,20.65,137.66666666666666,,,
2005-01-18,2005-Q1,21.0,140.0,,,
2005-01-19,2005-Q1,20.65,137.66666666666666,,,
2005-01-20,2005-Q1,20.45,136.33333333333334,,,
2005-01-21,2005-Q1,20.45,136.33333333333334,,,
2005-01-24,2005-Q1,19.95,133.0,,,
2005-01-25,2005-Q1,20.3,135.33333333333334,,,
2005-01-26,2005-Q1,20.3,135.33333333333334,,,
2005-01-27,2005-Q1,21.6,144.00000000000003,,,
2005-01-28,2005-Q1,21.55,143.66666666666669,,,
2005-01-31,2005-Q1,21.0,140.0,,,
2005-02-01,2005-Q1,20.9,139.33333333333334,,,
2005-02-02,2005-Q1,21.3,142.0,,,
2005-02-03,2005-Q1,21.85,145.66666666666669,,,
2005-02-04,2005-Q1,23.15,154.33333333333334,,,
2005-02-07,2005-Q1,24.2,161.33333333333334,,,
2005-02-08,2005-Q1,23.75,158.33333333333334,,,
2005-02-09,2005-Q1,24.0,160.0,,,
2005-02-10,2005-Q1,23.5,156.66666666666669,,,
2005-02-11,2005-Q1,22.95,153.0,,,
2005-02-14,2005-Q1,23.3,155.33333333333334,,,
2005-02-15,2005-Q1,22.45,149.66666666666666,,,
2005-02-16,2005-Q1,22.1,147.33333333333334,,,
2005-02-17,2005-Q1,21.9,146.0,,,
2005-02-18,2005-Q1,22.2,148.0,,,
2005-02-21,2005-Q1,21.9,146.0,,,
2005-02-22,2005-Q1,21.8,145.33333333333334,,,
2005-02-23,2005-Q1,22.05,147.0,,,
2005-02-24,2005-Q1,22.1,147.33333333333334,,,
2005-02-25,2005-Q1,22.85,152.33333333333334,,,
2005-02-28,2005-Q1,22.25,148.33333333333334,,,
2005-03-01,2005-Q1,22.2,42.692307692307686,,,
2005-03-02,2005-Q1,22.25,42.78846153846154,,,
2005-03-03,2005-Q1,22.7,43.65384615384615,,,
2005-03-04,2005-Q1,22.3,42.88461538461539,,,
2005-03-07,2005-Q1,22.1,42.5,,,
2005-03-08,2005-Q1,22.0,42.30769230769231,,,
2005-03-09,2005-Q1,21.3,40.96153846153846,,,
2005-03-10,2005-Q1,21.55,41.44230769230769,,,
2005-03-11,2005-Q1,21.25,40.86538461538461,,,
2005-03-14,2005-Q1,20.6,39.61538461538462,,,
2005-03-15,2005-Q1,20.65,39.71153846153846,,,
2005-03-16,2005-Q1,20.3,39.03846153846154,,,
2005-03-17,2005-Q1,20.4,39.230769230769226,,,
2005-03-18,2005-Q1,19.95,38.36538461538461,,,
2005-03-21,2005-Q1,19.8,38.07692307692308,,,
2005-03-22,2005-Q1,19.2,36.92307692307692,,,
2005-03-23,2005-Q1,18.65,35.86538461538461,,,
2005-03-24,2005-Q1,18.3,35.19230769230769,,,
2005-03-25,2005-Q1,18.3,35.19230769230769,,,
2005-03-28,2005-Q1,18.55,35.67307692307692,,,
2005-03-29,2005-Q1,17.6,33.84615384615385,,,
2005-03-30,2005-Q1,17.95,34.51923076923077,,,
2005-03-31,2005-Q1,19.05,36.63461538461539,,,
2005-04-01,2005-Q2,20.3,39.03846153846154,,,
2005-04-04,2005-Q2,20.2,38.84615384615385,,,
2005-04-05,2005-Q2,20.05,38.55769230769231,,,
2005-04-06,2005-Q2,20.05,38.55769230769231,,,
2005-04-07,2005-Q2,20.9,40.192307692307686,,,
2005-04-08,2005-Q2,20.1,38.65384615384615,,,
2005-04-11,2005-Q2,19.6,37.69230769230769,,,
2005-04-12,2005-Q2,19.6,37.69230769230769,,,
2005-04-13,2005-Q2,19.6,37.69230769230769,,,
2005-04-14,2005-Q2,19.6,37.69230769230769,,,
2005-04-15,2005-Q2,19.15,36.82692307692307,,,
2005-04-18,2005-Q2,18.8,36.15384615384615,,,
2005-04-19,2005-Q2,18.7,35.96153846153846,,,
2005-04-20,2005-Q2,18.55,35.67307692307692,,,
2005-04-21,2005-Q2,19.65,37.78846153846153,,,
2005-04-22,2005-Q2,19.8,38.07692307692308,,,
2005-04-25,2005-Q2,20.25,38.94230769230769,,,
2005-04-26,2005-Q2,19.85,38.17307692307693,,,
2005-04-27,2005-Q2,19.4,37.30769230769231,,,
2005-04-28,2005-Q2,19.05,36.63461538461539,,,
2005-04-29,2005-Q2,18.95,36.442307692307686,,,
2005-05-02,2005-Q2,18.0,34.61538461538461,,,
2005-05-03,2005-Q2,17.95,34.51923076923077,,,
2005-05-04,2005-Q2,18.3,35.19230769230769,,,
2005-05-05,2005-Q2,18.5,35.57692307692307,,,
2005-05-06,2005-Q2,18.55,35.67307692307692,42.59615384615384,,
2005-05-09,2005-Q2,19.85,38.17307692307693,42.40384615384615,,
2005-05-10,2005-Q2,20.9,40.192307692307686,41.875,,
2005-05-11,2005-Q2,21.15,40.67307692307692,41.20192307692308,,
2005-05-12,2005-Q2,21.8,41.92307692307692,41.20192307692308,,
2005-05-13,2005-Q2,21.9,42.11538461538461,41.20192307692308,,
2005-05-16,2005-Q2,22.2,42.692307692307686,41.20192307692308,,
2005-05-17,2005-Q2,21.35,41.05769230769231,41.00961538461539,,
2005-05-18,2005-Q2,21.15,40.67307692307692,40.91346153846153,,
2005-05-19,2005-Q2,21.55,41.44230769230769,40.91346153846153,,
2005-05-20,2005-Q2,22.45,43.17307692307692,40.91346153846153,,
2005-05-23,2005-Q2,23.55,45.28846153846154,40.91346153846153,,
2005-05-24,2005-Q2,23.1,44.42307692307693,40.91346153846153,,
2005-05-25,2005-Q2,22.65,43.55769230769231,40.91346153846153,,
2005-05-26,2005-Q2,21.9,42.11538461538461,40.91346153846153,,
2005-05-27,2005-Q2,21.2,40.76923076923077,40.81730769230769,,
2005-05-30,2005-Q2,20.85,40.09615384615385,40.72115384615384,,
2005-05-31,2005-Q2,20.9,40.192307692307686,40.67307692307692,,
2005-06-01,2005-Q2,21.15,78.33333333333333,40.67307692307692,,
2005-06-02,2005-Q2,22.35,82.77777777777777,40.67307692307692,,
2005-06-03,2005-Q2,24.2,89.62962962962962,40.67307692307692,,
2005-06-04,2005-Q2,24.45,90.55555555555554,40.67307692307692,,
2005-06-06,2005-Q2,23.45,86.85185185185185,40.67307692307692,,
2005-06-07,2005-Q2,23.75,87.96296296296296,40.67307692307692,,
2005-06-08,2005-Q2,23.5,87.03703703703704,40.67307692307692,,
2005-06-09,2005-Q2,23.35,86.48148148148148,40.67307692307692,,
2005-06-10,2005-Q2,22.7,84.07407407407406,40.67307692307692,,
2005-06-13,2005-Q2,22.75,84.25925925925925,40.67307692307692,,
2005-06-14,2005-Q2,24.35,90.1851851851852,40.67307692307692,,
2005-06-15,2005-Q2,23.8,88.14814814814814,40.67307692307692,,
2005-06-16,2005-Q2,23.75,87.96296296296296,40.67307692307692,,
2005-06-17,2005-Q2,23.0,85.18518518518518,40.67307692307692,,
2005-06-20,2005-Q2,23.3,86.29629629629629,40.67307692307692,,
2005-06-21,2005-Q2,23.75,87.96296296296296,40.67307692307692,,
2005-06-22,2005-Q2,22.8,84.44444444444444,40.67307692307692,,
2005-06-23,2005-Q2,25.35,93.88888888888889,40.67307692307692,,
2005-06-24,2005-Q2,26.0,96.29629629629628,40.67307692307692,,
2005-06-27,2005-Q2,24.1,89.25925925925925,40.67307692307692,,
2005-06-28,2005-Q2,24.0,88.88888888888889,40.67307692307692,,
2005-06-29,2005-Q2,24.75,91.66666666666666,40.67307692307692,,
2005-06-30,2005-Q2,24.5,90.74074074074072,40.67307692307692,,
2005-07-01,2005-Q3,24.05,89.07407407407408,40.67307692307692,,
2005-07-04,2005-Q3,24.85,92.03703703703704,40.67307692307692,,
2005-07-05,2005-Q3,26.3,97.4074074074074,40.67307692307692,,
2005-07-06,2005-Q3,26.15,96.85185185185183,40.67307692307692,,
2005-07-07,2005-Q3,25.45,94.25925925925924,40.67307692307692,,
2005-07-08,2005-Q3,25.6,94.8148148148148,40.67307692307692,,
2005-07-11,2005-Q3,26.65,98.7037037037037,40.67307692307692,,
2005-07-12,2005-Q3,26.65,98.7037037037037,40.67307692307692,,
2005-07-13,2005-Q3,26.0,96.29629629629628,40.67307692307692,,
2005-07-14,2005-Q3,25.55,94.62962962962962,40.67307692307692,,
2005-07-15,2005-Q3,25.55,94.62962962962962,40.72115384615384,,
2005-07-18,2005-Q3,25.6,94.8148148148148,40.91346153846153,,
2005-07-19,2005-Q3,25.55,94.62962962962962,41.25,,
2005-07-20,2005-Q3,26.65,98.7037037037037,41.68269230769231,,
2005-07-21,2005-Q3,25.7,95.18518518518518,42.01923076923077,,
2005-07-22,2005-Q3,26.25,97.2222222222222,42.11538461538461,,
2005-07-25,2005-Q3,26.7,98.88888888888889,42.40384615384615,,
2005-07-26,2005-Q3,27.05,100.18518518518518,42.93269230769231,,
