Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,113.9,35.93059936908518,,,
2005-01-04,2005-Q1,111.3,35.110410094637224,,,
2005-01-05,2005-Q1,106.05,33.45425867507886,,,
2005-01-06,2005-Q1,101.2,31.92429022082019,,,
2005-01-07,2005-Q1,100.2,31.60883280757098,,,
2005-01-10,2005-Q1,103.35,32.602523659305994,,,
2005-01-11,2005-Q1,99.75,31.46687697160884,,,
2005-01-12,2005-Q1,95.3,30.06309148264984,,,
2005-01-13,2005-Q1,98.65,31.1198738170347,,,
2005-01-14,2005-Q1,95.65,30.17350157728707,,,
2005-01-17,2005-Q1,91.45,28.84858044164038,,,
2005-01-18,2005-Q1,92.15,29.069400630914828,,,
2005-01-19,2005-Q1,91.25,28.785488958990538,,,
2005-01-20,2005-Q1,86.85,27.39747634069401,,,
2005-01-21,2005-Q1,86.85,27.39747634069401,,,
2005-01-24,2005-Q1,84.05,26.514195583596216,,,
2005-01-25,2005-Q1,86.05,27.14511041009464,,,
2005-01-26,2005-Q1,86.05,27.14511041009464,,,
2005-01-27,2005-Q1,90.35,28.501577287066244,,,
2005-01-28,2005-Q1,90.5,28.54889589905363,,,
2005-01-31,2005-Q1,93.75,29.574132492113566,,,
2005-02-01,2005-Q1,98.45,31.05678233438486,,,
2005-02-02,2005-Q1,103.4,32.618296529968454,,,
2005-02-03,2005-Q1,108.6,34.25867507886435,,,
2005-02-04,2005-Q1,110.3,34.79495268138801,,,
2005-02-07,2005-Q1,115.85,36.54574132492113,,,
2005-02-08,2005-Q1,119.1,37.57097791798107,,,
2005-02-09,2005-Q1,114.8,36.214511041009466,,,
2005-02-10,2005-Q1,113.85,35.91482649842271,,,
2005-02-11,2005-Q1,113.2,35.709779179810724,,,
2005-02-14,2005-Q1,112.5,35.488958990536275,,,
2005-02-15,2005-Q1,109.0,34.38485804416404,,,
2005-02-16,2005-Q1,106.85,33.70662460567823,,,
2005-02-17,2005-Q1,105.35,33.23343848580441,,,
2005-02-18,2005-Q1,105.75,33.359621451104104,,,
2005-02-21,2005-Q1,102.95,32.47634069400631,,,
2005-02-22,2005-Q1,104.1,32.8391167192429,,,
2005-02-23,2005-Q1,105.2,33.186119873817034,,,
2005-02-24,2005-Q1,110.5,34.85804416403786,,,
2005-02-25,2005-Q1,112.8,35.58359621451104,,,
2005-02-28,2005-Q1,114.85,36.230283911671926,,,
2005-03-01,2005-Q1,110.5,29.07894736842105,,,
2005-03-02,2005-Q1,113.85,29.96052631578948,,,
2005-03-03,2005-Q1,114.75,30.19736842105264,,,
2005-03-04,2005-Q1,113.3,29.81578947368421,,,
2005-03-07,2005-Q1,113.5,29.86842105263158,,,
2005-03-08,2005-Q1,119.2,31.368421052631582,,,
2005-03-09,2005-Q1,119.45,31.43421052631579,,,
2005-03-10,2005-Q1,125.45,33.01315789473684,,,
2005-03-11,2005-Q1,131.75,34.67105263157895,,,
2005-03-14,2005-Q1,132.7,34.921052631578945,,,
2005-03-15,2005-Q1,132.0,34.73684210526316,,,
2005-03-16,2005-Q1,135.45,35.64473684210526,,,
2005-03-17,2005-Q1,134.95,35.51315789473684,,,
2005-03-18,2005-Q1,131.45,34.59210526315789,,,
2005-03-21,2005-Q1,130.65,34.381578947368425,,,
2005-03-22,2005-Q1,124.2,32.684210526315795,,,
2005-03-23,2005-Q1,118.6,31.21052631578948,,,
2005-03-24,2005-Q1,112.7,29.657894736842103,,,
2005-03-25,2005-Q1,112.7,29.657894736842103,,,
2005-03-28,2005-Q1,118.35,31.144736842105264,,,
2005-03-29,2005-Q1,113.7,29.92105263157895,,,
2005-03-30,2005-Q1,119.4,31.42105263157895,,,
2005-03-31,2005-Q1,125.4,33.0,,,
2005-04-01,2005-Q2,128.2,33.73684210526316,,,
2005-04-04,2005-Q2,133.0,35.0,,,
2005-04-05,2005-Q2,133.45,35.118421052631575,,,
2005-04-06,2005-Q2,135.9,35.76315789473684,,,
2005-04-07,2005-Q2,134.35,35.35526315789474,,,
2005-04-08,2005-Q2,129.2,34.0,,,
2005-04-11,2005-Q2,125.65,33.06578947368421,,,
2005-04-12,2005-Q2,127.45,33.53947368421053,,,
2005-04-13,2005-Q2,126.5,33.28947368421053,,,
2005-04-14,2005-Q2,126.5,33.28947368421053,,,
2005-04-15,2005-Q2,125.75,33.0921052631579,,,
2005-04-18,2005-Q2,120.2,31.631578947368425,,,
2005-04-19,2005-Q2,121.25,31.907894736842103,,,
2005-04-20,2005-Q2,124.45,32.75,,,
2005-04-21,2005-Q2,130.15,34.25,,,
2005-04-22,2005-Q2,136.7,35.973684210526315,,,
2005-04-25,2005-Q2,143.55,37.77631578947369,,,
2005-04-26,2005-Q2,150.3,39.55263157894737,,,
2005-04-27,2005-Q2,143.8,37.8421052631579,,,
2005-04-28,2005-Q2,150.65,39.64473684210527,,,
2005-04-29,2005-Q2,146.85,38.64473684210526,,,
2005-05-02,2005-Q2,139.6,36.73684210526316,,,
2005-05-03,2005-Q2,135.9,35.76315789473684,,,
2005-05-04,2005-Q2,142.7,37.55263157894737,,,
2005-05-05,2005-Q2,142.5,37.5,,,
2005-05-06,2005-Q2,145.1,38.18421052631579,33.26145608500747,,
2005-05-09,2005-Q2,147.6,38.8421052631579,33.26145608500747,,
2005-05-10,2005-Q2,149.85,39.43421052631579,33.26145608500747,,
2005-05-11,2005-Q2,148.05,38.96052631578948,33.26145608500747,,
2005-05-12,2005-Q2,155.45,40.9078947368421,33.28947368421053,,
2005-05-13,2005-Q2,163.25,42.96052631578947,33.32454756765732,,
2005-05-16,2005-Q2,159.8,42.05263157894737,33.44954756765732,,
2005-05-17,2005-Q2,159.85,42.06578947368421,33.623049144944375,,
2005-05-18,2005-Q2,167.85,44.17105263157895,33.72173335547069,,
2005-05-19,2005-Q2,176.25,46.381578947368425,33.868421052631575,,
2005-05-20,2005-Q2,185.1,48.71052631578947,34.125,,
2005-05-23,2005-Q2,194.4,51.15789473684211,34.25433753943217,,
2005-05-24,2005-Q2,204.15,53.72368421052632,34.32012701311639,,
2005-05-25,2005-Q2,198.85,52.328947368421055,34.38321849576623,,
2005-05-26,2005-Q2,190.4,50.10526315789474,34.48848165366097,,
2005-05-27,2005-Q2,199.7,52.55263157894737,34.631578947368425,,
2005-05-30,2005-Q2,191.9,50.50000000000001,34.703947368421055,,
2005-05-31,2005-Q2,197.05,51.85526315789474,34.76589739332559,,
2005-06-01,2005-Q2,195.9,36.68539325842697,34.82649842271293,,
2005-06-02,2005-Q2,193.05,36.15168539325843,34.8895483978084,,
2005-06-03,2005-Q2,202.45,37.91198501872659,34.96052631578947,,
2005-06-04,2005-Q2,207.75,38.90449438202247,35.05921052631579,,
2005-06-06,2005-Q2,211.3,39.56928838951311,35.23684210526316,,
2005-06-07,2005-Q2,209.85,39.29775280898876,35.42211107421551,,
2005-06-08,2005-Q2,207.3,38.82022471910113,35.50105844263656,,
2005-06-09,2005-Q2,217.7,40.76779026217229,35.54837705462394,,
2005-06-10,2005-Q2,220.85,41.35767790262173,35.54837705462394,,
2005-06-13,2005-Q2,215.05,40.27153558052435,35.54837705462394,,
2005-06-14,2005-Q2,211.6,39.62546816479401,35.54837705462394,,
2005-06-15,2005-Q2,216.15,40.47752808988764,35.54837705462394,,
2005-06-16,2005-Q2,226.55,42.425093632958806,35.54837705462394,,
2005-06-17,2005-Q2,215.5,40.355805243445694,35.61416652830815,,
2005-06-20,2005-Q2,204.75,38.342696629213485,35.703947368421055,,
2005-06-21,2005-Q2,195.9,36.68539325842697,35.76315789473684,,
2005-06-22,2005-Q2,190.4,35.65543071161049,35.76315789473684,,
2005-06-23,2005-Q2,189.9,35.56179775280899,35.76315789473684,,
2005-06-24,2005-Q2,196.8,36.853932584269664,35.868421052631575,,
2005-06-27,2005-Q2,194.1,36.348314606741575,36.06268480189237,,
2005-06-28,2005-Q2,187.0,35.0187265917603,36.06268480189237,,
