Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,204.95,284.65277777777777,,,
2005-01-04,2005-Q1,201.75,280.20833333333337,,,
2005-01-05,2005-Q1,192.0,266.6666666666667,,,
2005-01-06,2005-Q1,190.65,264.7916666666667,,,
2005-01-07,2005-Q1,193.85,269.2361111111111,,,
2005-01-10,2005-Q1,192.8,267.7777777777778,,,
2005-01-11,2005-Q1,181.4,251.94444444444449,,,
2005-01-12,2005-Q1,165.2,229.44444444444443,,,
2005-01-13,2005-Q1,175.85,244.23611111111111,,,
2005-01-14,2005-Q1,174.2,241.94444444444443,,,
2005-01-17,2005-Q1,173.1,240.41666666666663,,,
2005-01-18,2005-Q1,180.2,250.27777777777777,,,
2005-01-19,2005-Q1,188.8,262.22222222222223,,,
2005-01-20,2005-Q1,187.9,260.97222222222223,,,
2005-01-21,2005-Q1,187.9,260.97222222222223,,,
2005-01-24,2005-Q1,184.25,255.9027777777778,,,
2005-01-25,2005-Q1,184.0,255.5555555555556,,,
2005-01-26,2005-Q1,184.0,255.5555555555556,,,
2005-01-27,2005-Q1,185.25,257.2916666666667,,,
2005-01-28,2005-Q1,190.0,263.8888888888889,,,
2005-01-31,2005-Q1,184.15,255.7638888888889,,,
2005-02-01,2005-Q1,178.85,248.40277777777777,,,
2005-02-02,2005-Q1,178.7,248.19444444444443,,,
2005-02-03,2005-Q1,191.55,266.0416666666667,,,
2005-02-04,2005-Q1,200.55,278.5416666666667,,,
2005-02-07,2005-Q1,199.8,277.5,,,
2005-02-08,2005-Q1,200.0,277.77777777777777,,,
2005-02-09,2005-Q1,198.05,275.06944444444446,,,
2005-02-10,2005-Q1,202.05,280.625,,,
2005-02-11,2005-Q1,197.75,274.65277777777777,,,
2005-02-14,2005-Q1,199.6,277.22222222222223,,,
2005-02-15,2005-Q1,200.2,278.05555555555554,,,
2005-02-16,2005-Q1,195.95,272.15277777777777,,,
2005-02-17,2005-Q1,195.75,271.875,,,
2005-02-18,2005-Q1,198.85,276.18055555555554,,,
2005-02-21,2005-Q1,195.8,271.94444444444446,,,
2005-02-22,2005-Q1,206.2,286.38888888888886,,,
2005-02-23,2005-Q1,228.45,317.2916666666667,,,
2005-02-24,2005-Q1,232.45,322.84722222222223,,,
2005-02-25,2005-Q1,230.1,319.5833333333333,,,
2005-02-28,2005-Q1,230.75,320.48611111111114,,,
2005-03-01,2005-Q1,224.95,43.25961538461538,,,
2005-03-02,2005-Q1,233.65,44.93269230769231,,,
2005-03-03,2005-Q1,237.85,45.74038461538461,,,
2005-03-04,2005-Q1,243.85,46.89423076923077,,,
2005-03-07,2005-Q1,240.45,46.24038461538461,,,
2005-03-08,2005-Q1,238.4,45.84615384615385,,,
2005-03-09,2005-Q1,236.05,45.39423076923077,,,
2005-03-10,2005-Q1,246.5,47.40384615384615,,,
2005-03-11,2005-Q1,246.3,47.36538461538461,,,
2005-03-14,2005-Q1,243.15,46.75961538461539,,,
2005-03-15,2005-Q1,235.85,45.355769230769226,,,
2005-03-16,2005-Q1,232.8,44.76923076923077,,,
2005-03-17,2005-Q1,225.55,43.375,,,
2005-03-18,2005-Q1,226.85,43.625,,,
2005-03-21,2005-Q1,227.3,43.71153846153846,,,
2005-03-22,2005-Q1,224.15,43.10576923076923,,,
2005-03-23,2005-Q1,223.95,43.067307692307686,,,
2005-03-24,2005-Q1,222.5,42.78846153846154,,,
