Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,36.95,,,,
2005-01-04,2005-Q1,36.9,,,,
2005-01-05,2005-Q1,34.85,,,,
2005-01-06,2005-Q1,33.9,,,,
2005-01-07,2005-Q1,35.2,,,,
2005-01-10,2005-Q1,34.65,,,,
2005-01-11,2005-Q1,33.7,,,,
2005-01-12,2005-Q1,31.6,,,,
2005-01-13,2005-Q1,32.2,,,,
2005-01-14,2005-Q1,31.95,,,,
2005-01-17,2005-Q1,31.9,,,,
2005-01-18,2005-Q1,32.0,,,,
2005-01-19,2005-Q1,31.55,,,,
2005-01-20,2005-Q1,30.85,,,,
2005-01-21,2005-Q1,30.85,,,,
2005-01-24,2005-Q1,30.65,,,,
2005-01-25,2005-Q1,31.2,,,,
2005-01-26,2005-Q1,31.2,,,,
2005-01-27,2005-Q1,31.0,,,,
2005-01-28,2005-Q1,31.6,,,,
2005-01-31,2005-Q1,31.4,,,,
2005-02-01,2005-Q1,31.35,,,,
2005-02-02,2005-Q1,31.3,,,,
2005-02-03,2005-Q1,31.85,,,,
2005-02-04,2005-Q1,32.1,,,,
2005-02-07,2005-Q1,31.95,,,,
2005-02-08,2005-Q1,32.4,,,,
2005-02-09,2005-Q1,32.7,,,,
2005-02-10,2005-Q1,33.05,,,,
2005-02-11,2005-Q1,33.2,,,,
2005-02-14,2005-Q1,32.2,,,,
2005-02-15,2005-Q1,31.5,,,,
2005-02-16,2005-Q1,31.1,,,,
2005-02-17,2005-Q1,31.25,,,,
2005-02-18,2005-Q1,31.25,,,,
2005-02-21,2005-Q1,31.0,,,,
2005-02-22,2005-Q1,30.8,,,,
2005-02-23,2005-Q1,30.35,,,,
2005-02-24,2005-Q1,31.1,,,,
2005-02-25,2005-Q1,31.2,,,,
2005-02-28,2005-Q1,32.6,,,,
2005-03-01,2005-Q1,31.8,,,,
2005-03-02,2005-Q1,31.35,,,,
2005-03-03,2005-Q1,31.5,,,,
2005-03-04,2005-Q1,31.3,,,,
2005-03-07,2005-Q1,30.75,,,,
2005-03-08,2005-Q1,30.3,,,,
2005-03-09,2005-Q1,29.7,,,,
2005-03-10,2005-Q1,30.05,,,,
2005-03-11,2005-Q1,30.05,,,,
2005-03-14,2005-Q1,30.05,,,,
2005-03-15,2005-Q1,29.8,,,,
2005-03-16,2005-Q1,31.8,,,,
2005-03-17,2005-Q1,31.05,,,,
2005-03-18,2005-Q1,30.05,,,,
2005-03-21,2005-Q1,29.95,,,,
2005-03-22,2005-Q1,29.1,,,,
2005-03-23,2005-Q1,28.0,,,,
2005-03-24,2005-Q1,27.6,,,,
2005-03-25,2005-Q1,27.6,,,,
2005-03-28,2005-Q1,27.3,,,,
2005-03-29,2005-Q1,26.85,,,,
2005-03-30,2005-Q1,27.1,,,,
2005-03-31,2005-Q1,27.2,,,,
2005-04-01,2005-Q2,27.9,,,,
2005-04-04,2005-Q2,27.7,,,,
2005-04-05,2005-Q2,28.0,,,,
2005-04-06,2005-Q2,28.1,,,,
2005-04-07,2005-Q2,28.8,,,,
2005-04-08,2005-Q2,29.95,,,,
2005-04-11,2005-Q2,30.45,,,,
2005-04-12,2005-Q2,30.55,,,,
2005-04-13,2005-Q2,30.1,,,,
2005-04-14,2005-Q2,30.1,,,,
2005-04-15,2005-Q2,29.25,,,,
2005-04-18,2005-Q2,28.6,,,,
2005-04-19,2005-Q2,28.4,,,,
2005-04-20,2005-Q2,28.1,,,,
2005-04-21,2005-Q2,28.8,,,,
2005-04-22,2005-Q2,29.6,,,,
2005-04-25,2005-Q2,29.7,,,,
2005-04-26,2005-Q2,29.65,,,,
2005-04-27,2005-Q2,29.1,,,,
2005-04-28,2005-Q2,28.5,,,,
2005-04-29,2005-Q2,28.3,,,,
2005-05-02,2005-Q2,27.0,,,,
2005-05-03,2005-Q2,26.5,,,,
2005-05-04,2005-Q2,26.75,,,,
2005-05-05,2005-Q2,27.0,,,,
2005-05-06,2005-Q2,26.9,,,,
2005-05-09,2005-Q2,26.8,,,,
2005-05-10,2005-Q2,26.35,,,,
2005-05-11,2005-Q2,25.85,,,,
2005-05-12,2005-Q2,25.0,,,,
2005-05-13,2005-Q2,26.0,,,,
2005-05-16,2005-Q2,26.0,,,,
2005-05-17,2005-Q2,25.95,,,,
2005-05-18,2005-Q2,26.0,,,,
2005-05-19,2005-Q2,27.7,,,,
2005-05-20,2005-Q2,29.1,,,,
2005-05-23,2005-Q2,29.9,,,,
2005-05-24,2005-Q2,29.2,,,,
2005-05-25,2005-Q2,30.3,,,,
2005-05-26,2005-Q2,29.95,,,,
2005-05-27,2005-Q2,28.25,,,,
2005-05-30,2005-Q2,28.6,,,,
2005-05-31,2005-Q2,28.85,,,,
2005-06-01,2005-Q2,28.6,,,,
2005-06-02,2005-Q2,28.55,,,,
2005-06-03,2005-Q2,28.95,,,,
2005-06-04,2005-Q2,29.8,,,,
2005-06-06,2005-Q2,29.75,,,,
2005-06-07,2005-Q2,29.0,,,,
2005-06-08,2005-Q2,30.0,,,,
2005-06-09,2005-Q2,29.95,,,,
2005-06-10,2005-Q2,29.1,,,,
2005-06-13,2005-Q2,28.95,,,,
2005-06-14,2005-Q2,28.9,,,,
2005-06-15,2005-Q2,29.8,,,,
2005-06-16,2005-Q2,29.15,,,,
2005-06-17,2005-Q2,28.0,,,,
2005-06-20,2005-Q2,27.2,,,,
2005-06-21,2005-Q2,28.0,,,,
2005-06-22,2005-Q2,27.6,,,,
2005-06-23,2005-Q2,27.1,,,,
2005-06-24,2005-Q2,28.0,,,,
2005-06-27,2005-Q2,28.5,,,,
2005-06-28,2005-Q2,27.95,,,,
2005-06-29,2005-Q2,27.95,,,,
2005-06-30,2005-Q2,27.9,,,,
2005-07-01,2005-Q3,27.15,,,,
2005-07-04,2005-Q3,27.4,,,,
2005-07-05,2005-Q3,27.9,,,,
2005-07-06,2005-Q3,27.25,,,,
2005-07-07,2005-Q3,27.75,,,,
2005-07-08,2005-Q3,28.0,,,,
2005-07-11,2005-Q3,28.5,,,,
2005-07-12,2005-Q3,29.35,,,,
2005-07-13,2005-Q3,32.75,,,,
2005-07-14,2005-Q3,37.2,,,,
2005-07-15,2005-Q3,36.65,,,,
2005-07-18,2005-Q3,36.35,,,,
2005-07-19,2005-Q3,34.85,,,,
2005-07-20,2005-Q3,34.45,,,,
2005-07-21,2005-Q3,34.15,,,,
2005-07-22,2005-Q3,34.3,,,,
2005-07-25,2005-Q3,33.05,,,,
2005-07-26,2005-Q3,32.45,,,,
2005-07-27,2005-Q3,33.3,,,,
2005-07-28,2005-Q3,33.3,,,,
2005-07-29,2005-Q3,31.2,,,,
2005-08-01,2005-Q3,30.6,,,,
2005-08-02,2005-Q3,31.65,,,,
2005-08-03,2005-Q3,31.05,,,,
2005-08-04,2005-Q3,31.3,,,,
2005-08-05,2005-Q3,30.6,,,,
2005-08-08,2005-Q3,29.8,,,,
2005-08-09,2005-Q3,30.45,,,,
2005-08-10,2005-Q3,30.85,,,,
2005-08-11,2005-Q3,31.85,,,,
2005-08-12,2005-Q3,31.4,,,,
2005-08-15,2005-Q3,31.4,,,,
2005-08-16,2005-Q3,31.1,,,,
2005-08-17,2005-Q3,32.65,,,,
2005-08-18,2005-Q3,32.4,,,,
2005-08-19,2005-Q3,33.5,,,,
2005-08-22,2005-Q3,33.45,,,,
2005-08-23,2005-Q3,32.6,,,,
2005-08-24,2005-Q3,31.6,,,,
2005-08-25,2005-Q3,32.05,,,,
2005-08-26,2005-Q3,32.15,,,,
2005-08-29,2005-Q3,32.7,,,,
