Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,40.75,48.511904761904766,,,
2005-01-04,2005-Q1,39.65,47.20238095238095,,,
2005-01-05,2005-Q1,37.1,44.16666666666667,,,
2005-01-06,2005-Q1,36.3,43.21428571428572,,,
2005-01-07,2005-Q1,37.55,44.70238095238095,,,
2005-01-10,2005-Q1,41.3,49.16666666666666,,,
2005-01-11,2005-Q1,39.5,47.023809523809526,,,
2005-01-12,2005-Q1,36.65,43.63095238095238,,,
2005-01-13,2005-Q1,38.65,46.01190476190476,,,
2005-01-14,2005-Q1,38.15,45.41666666666666,,,
2005-01-17,2005-Q1,37.35,44.46428571428572,,,
2005-01-18,2005-Q1,38.2,45.47619047619048,,,
2005-01-19,2005-Q1,37.6,44.761904761904766,,,
2005-01-20,2005-Q1,37.05,44.10714285714285,,,
2005-01-21,2005-Q1,37.05,44.10714285714285,,,
2005-01-24,2005-Q1,38.0,45.23809523809524,,,
2005-01-25,2005-Q1,39.1,46.54761904761905,,,
2005-01-26,2005-Q1,39.1,46.54761904761905,,,
2005-01-27,2005-Q1,39.45,46.96428571428572,,,
2005-01-28,2005-Q1,38.95,46.36904761904763,,,
2005-01-31,2005-Q1,39.65,47.20238095238095,,,
2005-02-01,2005-Q1,40.9,48.69047619047619,,,
2005-02-02,2005-Q1,41.05,48.86904761904762,,,
2005-02-03,2005-Q1,41.6,49.523809523809526,,,
2005-02-04,2005-Q1,40.55,48.273809523809526,,,
2005-02-07,2005-Q1,41.1,48.92857142857143,,,
2005-02-08,2005-Q1,40.6,48.333333333333336,,,
2005-02-09,2005-Q1,40.85,48.63095238095239,,,
2005-02-10,2005-Q1,40.55,48.273809523809526,,,
2005-02-11,2005-Q1,40.6,48.333333333333336,,,
2005-02-14,2005-Q1,40.6,48.333333333333336,,,
2005-02-15,2005-Q1,41.45,49.3452380952381,,,
2005-02-16,2005-Q1,39.85,47.4404761904762,,,
2005-02-17,2005-Q1,39.95,47.55952380952382,,,
2005-02-18,2005-Q1,40.05,47.67857142857142,,,
2005-02-21,2005-Q1,40.95,48.75000000000001,,,
2005-02-22,2005-Q1,40.15,47.79761904761905,,,
2005-02-23,2005-Q1,39.7,47.261904761904766,,,
2005-02-24,2005-Q1,39.5,47.023809523809526,,,
2005-02-25,2005-Q1,39.25,46.72619047619048,,,
2005-02-28,2005-Q1,39.55,47.08333333333333,,,
2005-03-01,2005-Q1,40.0,75.47169811320754,,,
2005-03-02,2005-Q1,40.1,75.66037735849056,,,
2005-03-03,2005-Q1,40.3,76.03773584905659,,,
2005-03-04,2005-Q1,39.9,75.28301886792453,,,
2005-03-07,2005-Q1,39.65,74.81132075471697,,,
2005-03-08,2005-Q1,39.55,74.62264150943395,,,
2005-03-09,2005-Q1,39.05,73.67924528301886,,,
2005-03-10,2005-Q1,38.55,72.73584905660377,,,
2005-03-11,2005-Q1,38.75,73.11320754716981,,,
2005-03-14,2005-Q1,38.3,72.26415094339622,,,
2005-03-15,2005-Q1,38.0,71.69811320754717,,,
2005-03-16,2005-Q1,38.35,72.35849056603773,,,
2005-03-17,2005-Q1,39.65,74.81132075471697,,,
2005-03-18,2005-Q1,38.5,72.64150943396226,,,
2005-03-21,2005-Q1,37.15,70.0943396226415,,,
2005-03-22,2005-Q1,36.9,69.62264150943396,,,
2005-03-23,2005-Q1,36.35,68.58490566037736,,,
2005-03-24,2005-Q1,35.25,66.50943396226415,,,
2005-03-25,2005-Q1,35.25,66.50943396226415,,,
2005-03-28,2005-Q1,37.05,69.90566037735849,,,
2005-03-29,2005-Q1,37.5,70.75471698113208,,,
2005-03-30,2005-Q1,37.75,71.22641509433961,,,
2005-03-31,2005-Q1,37.9,71.50943396226414,,,
2005-04-01,2005-Q2,38.65,72.92452830188678,,,
2005-04-04,2005-Q2,39.45,74.43396226415095,,,
2005-04-05,2005-Q2,38.45,72.54716981132076,,,
2005-04-06,2005-Q2,38.35,72.35849056603773,,,
2005-04-07,2005-Q2,40.55,76.50943396226414,,,
2005-04-08,2005-Q2,39.05,73.67924528301886,,,
2005-04-11,2005-Q2,39.35,74.24528301886792,,,
2005-04-12,2005-Q2,39.55,74.62264150943395,,,
2005-04-13,2005-Q2,39.0,73.58490566037736,,,
2005-04-14,2005-Q2,39.0,73.58490566037736,,,
2005-04-15,2005-Q2,39.55,74.62264150943395,,,
2005-04-18,2005-Q2,40.1,75.66037735849056,,,
2005-04-19,2005-Q2,39.1,73.77358490566037,,,
2005-04-20,2005-Q2,39.3,74.15094339622641,,,
2005-04-21,2005-Q2,39.75,75.0,,,
2005-04-22,2005-Q2,39.95,75.37735849056604,,,
2005-04-25,2005-Q2,41.15,77.64150943396226,,,
2005-04-26,2005-Q2,41.1,77.54716981132076,,,
2005-04-27,2005-Q2,42.75,80.66037735849056,,,
2005-04-28,2005-Q2,44.0,83.0188679245283,,,
