Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,12.192586,,,,
2005-01-04,2005-Q1,11.755576,,,,
2005-01-05,2005-Q1,11.10006,,,,
2005-01-06,2005-Q1,10.575648,,,,
2005-01-07,2005-Q1,10.968957,,,,
2005-01-10,2005-Q1,11.362266,,,,
2005-01-11,2005-Q1,10.837854,,,,
2005-01-12,2005-Q1,9.439421,,,,
2005-01-13,2005-Q1,10.094937,,,,
2005-01-14,2005-Q1,10.094937,,,,
2005-01-17,2005-Q1,9.657926,,,,
2005-01-18,2005-Q1,9.657926,,,,
2005-01-19,2005-Q1,9.264617,,,,
2005-01-20,2005-Q1,9.089813,,,,
2005-01-21,2005-Q1,9.089813,,,,
2005-01-24,2005-Q1,9.133514,,,,
2005-01-25,2005-Q1,9.308318,,,,
2005-01-26,2005-Q1,9.308318,,,,
2005-01-27,2005-Q1,11.10006,,,,
2005-01-28,2005-Q1,10.968957,,,,
2005-01-31,2005-Q1,10.750452,,,,
2005-02-01,2005-Q1,10.357143,,,,
2005-02-02,2005-Q1,10.094937,,,,
2005-02-03,2005-Q1,10.269741,,,,
2005-02-04,2005-Q1,10.444545,,,,
2005-02-07,2005-Q1,10.794153,,,,
2005-02-08,2005-Q1,11.362266,,,,
2005-02-09,2005-Q1,11.187462,,,,
2005-02-10,2005-Q1,11.318565,,,,
2005-02-11,2005-Q1,11.799277,,,,
2005-02-14,2005-Q1,11.449668,,,,
2005-02-15,2005-Q1,11.493369,,,,
2005-02-16,2005-Q1,11.711875,,,,
2005-02-17,2005-Q1,12.105184,,,,
2005-02-18,2005-Q1,12.323689,,,,
2005-02-21,2005-Q1,11.974081,,,,
2005-02-22,2005-Q1,11.842978,,,,
2005-02-23,2005-Q1,12.192586,,,,
2005-02-24,2005-Q1,13.809524,,,,
2005-02-25,2005-Q1,13.285112,,,,
2005-02-28,2005-Q1,13.984328,,,,
2005-03-01,2005-Q1,13.984328,,,,
2005-03-02,2005-Q1,14.07173,,,,
2005-03-03,2005-Q1,14.94575,,,,
2005-03-04,2005-Q1,14.902049,,,,
2005-03-07,2005-Q1,14.858348,,,,
2005-03-08,2005-Q1,16.824895,,,,
