Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,8.45625,21.140625,,,
2005-01-04,2005-Q1,8.7,21.75,,,
2005-01-05,2005-Q1,8.025,20.0625,,,
2005-01-06,2005-Q1,7.81875,19.546875,,,
2005-01-07,2005-Q1,8.08125,20.203125,,,
2005-01-10,2005-Q1,8.3625,20.90625,,,
2005-01-11,2005-Q1,8.26875,20.671875,,,
2005-01-12,2005-Q1,7.6125,19.03125,,,
2005-01-13,2005-Q1,8.025,20.0625,,,
2005-01-14,2005-Q1,7.81875,19.546875,,,
2005-01-17,2005-Q1,7.6125,19.03125,,,
2005-01-18,2005-Q1,7.63125,19.078125,,,
2005-01-19,2005-Q1,8.53125,21.328125,,,
2005-01-20,2005-Q1,8.2875,20.71875,,,
2005-01-21,2005-Q1,8.2875,20.71875,,,
2005-01-24,2005-Q1,7.96875,19.921875,,,
2005-01-25,2005-Q1,7.93125,19.828125,,,
2005-01-26,2005-Q1,7.93125,19.828125,,,
2005-01-27,2005-Q1,8.1375,20.34375,,,
2005-01-28,2005-Q1,8.26875,20.671875,,,
2005-01-31,2005-Q1,8.23125,20.578125,,,
2005-02-01,2005-Q1,8.2875,20.71875,,,
2005-02-02,2005-Q1,8.5125,21.28125,,,
2005-02-03,2005-Q1,8.4,21.0,,,
2005-02-04,2005-Q1,8.325,20.8125,,,
2005-02-07,2005-Q1,8.26875,20.671875,,,
2005-02-08,2005-Q1,8.5125,21.28125,,,
2005-02-09,2005-Q1,8.56875,21.421875,,,
2005-02-10,2005-Q1,9.05625,22.640625,,,
2005-02-11,2005-Q1,8.925,22.3125,,,
2005-02-14,2005-Q1,9.01875,22.546875,,,
2005-02-15,2005-Q1,8.7375,21.84375,,,
2005-02-16,2005-Q1,8.4,21.0,,,
2005-02-17,2005-Q1,8.56875,21.421875,,,
2005-02-18,2005-Q1,8.4375,21.09375,,,
2005-02-21,2005-Q1,8.26875,20.671875,,,
2005-02-22,2005-Q1,8.8125,22.03125,,,
2005-02-23,2005-Q1,8.53125,21.328125,,,
2005-02-24,2005-Q1,8.5125,21.28125,,,
2005-02-25,2005-Q1,8.30625,20.765625,,,
2005-02-28,2005-Q1,8.4375,21.09375,,,
2005-03-01,2005-Q1,8.25,19.186046511627907,,,
2005-03-02,2005-Q1,8.19375,19.055232558139533,,,
2005-03-03,2005-Q1,8.475,19.7093023255814,,,
2005-03-04,2005-Q1,8.41875,19.578488372093023,,,
2005-03-07,2005-Q1,8.45625,19.66569767441861,,,
2005-03-08,2005-Q1,8.325,19.36046511627907,,,
2005-03-09,2005-Q1,8.19375,19.055232558139533,,,
2005-03-10,2005-Q1,8.175,19.011627906976745,,,
2005-03-11,2005-Q1,8.15625,18.96802325581396,,,
2005-03-14,2005-Q1,7.89375,18.357558139534884,,,
2005-03-15,2005-Q1,7.89375,18.357558139534884,,,
2005-03-16,2005-Q1,7.8375,18.22674418604652,,,
2005-03-17,2005-Q1,7.74375,18.00872093023256,,,
2005-03-18,2005-Q1,7.74375,18.00872093023256,,,
2005-03-21,2005-Q1,7.5,17.441860465116278,,,
2005-03-22,2005-Q1,7.36875,17.136627906976745,,,
2005-03-23,2005-Q1,7.125,16.569767441860467,,,
2005-03-24,2005-Q1,7.63125,17.747093023255815,,,
2005-03-25,2005-Q1,7.63125,17.747093023255815,,,
2005-03-28,2005-Q1,8.15625,18.96802325581396,,,
2005-03-29,2005-Q1,8.25,19.186046511627907,,,
2005-03-30,2005-Q1,8.83125,20.53779069767442,,,
2005-03-31,2005-Q1,9.1125,21.19186046511628,,,
2005-04-01,2005-Q2,9.05625,21.061046511627907,,,
2005-04-04,2005-Q2,10.875,25.29069767441861,,,
2005-04-05,2005-Q2,11.7,27.2093023255814,,,
2005-04-06,2005-Q2,11.4375,26.598837209302324,,,
2005-04-07,2005-Q2,11.45625,26.64244186046512,,,
2005-04-08,2005-Q2,11.60625,26.99127906976744,,,
2005-04-11,2005-Q2,11.11875,25.857558139534884,,,
2005-04-12,2005-Q2,11.08125,25.770348837209305,,,
2005-04-13,2005-Q2,11.38125,26.46802325581396,,,
2005-04-14,2005-Q2,11.38125,26.46802325581396,,,
2005-04-15,2005-Q2,10.59375,24.636627906976745,,,
2005-04-18,2005-Q2,10.10625,23.502906976744185,,,
2005-04-19,2005-Q2,9.75,22.67441860465116,,,
2005-04-20,2005-Q2,10.0125,23.28488372093023,,,
2005-04-21,2005-Q2,10.575,24.59302325581396,,,
2005-04-22,2005-Q2,10.81875,25.15988372093023,,,
2005-04-25,2005-Q2,10.29375,23.938953488372093,,,
2005-04-26,2005-Q2,10.2,23.72093023255814,,,
2005-04-27,2005-Q2,9.975,23.19767441860465,,,
2005-04-28,2005-Q2,9.975,23.19767441860465,,,
2005-04-29,2005-Q2,9.88125,22.9796511627907,,,
2005-05-02,2005-Q2,9.80625,22.805232558139537,,,
2005-05-03,2005-Q2,9.76875,22.71802325581396,,,
2005-05-04,2005-Q2,9.95625,23.15406976744186,,,
2005-05-05,2005-Q2,9.975,23.19767441860465,,,
2005-05-06,2005-Q2,10.59375,24.636627906976745,20.953125,,
2005-05-09,2005-Q2,10.55625,24.54941860465117,20.953125,,
2005-05-10,2005-Q2,10.35,24.069767441860463,20.953125,,
2005-05-11,2005-Q2,10.125,23.546511627906977,21.0,,
2005-05-12,2005-Q2,10.18125,23.67732558139535,21.03052325581396,,
2005-05-13,2005-Q2,10.36875,24.11337209302326,21.07739825581396,,
2005-05-16,2005-Q2,10.36875,24.11337209302326,21.09375,,
2005-05-17,2005-Q2,10.25625,23.85174418604651,21.14280523255814,,
2005-05-18,2005-Q2,10.125,23.546511627906977,21.23655523255814,,
2005-05-19,2005-Q2,10.14375,23.59011627906977,21.28125,,
2005-05-20,2005-Q2,10.51875,24.462209302325583,21.28125,,
2005-05-23,2005-Q2,11.04375,25.68313953488372,21.3046875,,
2005-05-24,2005-Q2,10.8,25.116279069767444,21.328125,,
2005-05-25,2005-Q2,10.7625,25.02906976744186,21.375,,
2005-05-26,2005-Q2,10.51875,24.462209302325583,21.421875,,
2005-05-27,2005-Q2,10.425,24.24418604651163,21.6328125,,
2005-05-30,2005-Q2,10.33125,24.02616279069768,21.9375,,
2005-05-31,2005-Q2,10.275,23.895348837209305,22.171875,,
2005-06-01,2005-Q2,10.5,21.42857142857143,22.171875,,
2005-06-02,2005-Q2,10.3125,21.04591836734694,22.171875,,
2005-06-03,2005-Q2,10.3875,21.19897959183673,22.171875,,
2005-06-04,2005-Q2,10.9875,22.423469387755105,22.36798469387756,,
2005-06-06,2005-Q2,10.78125,22.002551020408163,22.36798469387756,,
2005-06-07,2005-Q2,10.74375,21.926020408163268,22.36798469387756,,
2005-06-08,2005-Q2,10.9125,22.270408163265305,22.36798469387756,,
2005-06-09,2005-Q2,11.04375,22.538265306122447,22.480867346938776,,
2005-06-10,2005-Q2,11.15625,22.767857142857142,22.542570153061224,,
2005-06-13,2005-Q2,10.9875,22.423469387755105,22.542570153061224,,
2005-06-14,2005-Q2,10.93125,22.30867346938776,22.542570153061224,,
2005-06-15,2005-Q2,10.96875,22.38520408163265,22.480867346938776,,
2005-06-16,2005-Q2,10.59375,21.619897959183675,22.480867346938776,,
