Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,15.84,13.655172413793103,,,
2005-01-04,2005-Q1,17.09,14.732758620689657,,,
2005-01-05,2005-Q1,16.0,13.793103448275865,,,
2005-01-06,2005-Q1,17.28,14.896551724137932,,,
2005-01-07,2005-Q1,17.69,15.250000000000002,,,
2005-01-10,2005-Q1,17.83,15.370689655172413,,,
2005-01-11,2005-Q1,17.06,14.706896551724135,,,
2005-01-12,2005-Q1,15.74,13.56896551724138,,,
2005-01-13,2005-Q1,16.18,13.948275862068966,,,
2005-01-14,2005-Q1,15.59,13.439655172413794,,,
2005-01-17,2005-Q1,15.02,12.948275862068966,,,
2005-01-18,2005-Q1,15.06,12.982758620689657,,,
2005-01-19,2005-Q1,14.92,12.862068965517242,,,
2005-01-20,2005-Q1,14.57,12.560344827586208,,,
2005-01-21,2005-Q1,14.57,12.560344827586208,,,
2005-01-24,2005-Q1,14.86,12.810344827586206,,,
2005-01-25,2005-Q1,14.98,12.913793103448278,,,
2005-01-26,2005-Q1,14.98,12.913793103448278,,,
2005-01-27,2005-Q1,15.39,13.267241379310349,,,
2005-01-28,2005-Q1,15.38,13.258620689655174,,,
2005-01-31,2005-Q1,15.56,13.413793103448278,,,
2005-02-01,2005-Q1,15.42,13.293103448275865,,,
2005-02-02,2005-Q1,16.07,13.85344827586207,,,
2005-02-03,2005-Q1,16.15,13.922413793103448,,,
2005-02-04,2005-Q1,15.81,13.629310344827587,,,
2005-02-07,2005-Q1,15.95,13.75,,,
2005-02-08,2005-Q1,15.86,13.672413793103448,,,
2005-02-09,2005-Q1,16.02,13.810344827586208,,,
2005-02-10,2005-Q1,16.22,13.982758620689657,,,
2005-02-11,2005-Q1,16.04,13.827586206896552,,,
2005-02-14,2005-Q1,15.87,13.68103448275862,,,
2005-02-15,2005-Q1,15.52,13.379310344827587,,,
2005-02-16,2005-Q1,15.27,13.163793103448276,,,
2005-02-17,2005-Q1,15.02,12.948275862068966,,,
2005-02-18,2005-Q1,15.57,13.42241379310345,,,
2005-02-21,2005-Q1,15.22,13.120689655172416,,,
2005-02-22,2005-Q1,15.2,13.10344827586207,,,
2005-02-23,2005-Q1,15.06,12.982758620689657,,,
2005-02-24,2005-Q1,15.0,12.93103448275862,,,
2005-02-25,2005-Q1,14.71,12.681034482758625,,,
2005-02-28,2005-Q1,14.95,12.887931034482758,,,
2005-03-01,2005-Q1,14.82,29.058823529411764,,,
2005-03-02,2005-Q1,14.91,29.23529411764705,,,
2005-03-03,2005-Q1,15.38,30.15686274509804,,,
2005-03-04,2005-Q1,15.79,30.960784313725487,,,
2005-03-07,2005-Q1,15.87,31.11764705882353,,,
2005-03-08,2005-Q1,15.48,30.352941176470587,,,
2005-03-09,2005-Q1,15.1,29.6078431372549,,,
2005-03-10,2005-Q1,15.11,29.627450980392155,,,
2005-03-11,2005-Q1,15.09,29.588235294117645,,,
2005-03-14,2005-Q1,14.87,29.15686274509804,,,
2005-03-15,2005-Q1,14.72,28.862745098039216,,,
2005-03-16,2005-Q1,14.72,28.862745098039216,,,
2005-03-17,2005-Q1,14.57,28.5686274509804,,,
2005-03-18,2005-Q1,14.36,28.15686274509804,,,
2005-03-21,2005-Q1,14.23,27.90196078431373,,,
2005-03-22,2005-Q1,13.67,26.80392156862745,,,
2005-03-23,2005-Q1,13.29,26.05882352941176,,,
2005-03-24,2005-Q1,12.92,25.33333333333333,,,
2005-03-25,2005-Q1,12.92,25.33333333333333,,,
2005-03-28,2005-Q1,13.04,25.56862745098039,,,
2005-03-29,2005-Q1,12.34,24.19607843137255,,,
2005-03-30,2005-Q1,12.49,24.49019607843137,,,
2005-03-31,2005-Q1,12.7,24.90196078431372,,,
2005-04-01,2005-Q2,12.92,25.33333333333333,,,
2005-04-04,2005-Q2,13.3,26.07843137254902,,,
2005-04-05,2005-Q2,13.53,26.52941176470588,,,
2005-04-06,2005-Q2,13.76,26.980392156862745,,,
2005-04-07,2005-Q2,13.5,26.47058823529412,,,
2005-04-08,2005-Q2,13.36,26.19607843137255,,,
2005-04-11,2005-Q2,12.97,25.43137254901961,,,
2005-04-12,2005-Q2,13.15,25.7843137254902,,,
2005-04-13,2005-Q2,13.06,25.607843137254903,,,
2005-04-14,2005-Q2,13.06,25.607843137254903,,,
2005-04-15,2005-Q2,12.83,25.15686274509804,,,
2005-04-18,2005-Q2,12.7,24.90196078431372,,,
2005-04-19,2005-Q2,12.71,24.92156862745098,,,
2005-04-20,2005-Q2,12.63,24.764705882352946,,,
2005-04-21,2005-Q2,12.74,24.980392156862745,,,
2005-04-22,2005-Q2,13.53,26.52941176470588,,,
2005-04-25,2005-Q2,13.99,27.431372549019606,,,
2005-04-26,2005-Q2,14.66,28.745098039215687,,,
2005-04-27,2005-Q2,13.8,27.058823529411764,,,
2005-04-28,2005-Q2,13.51,26.49019607843137,,,
2005-04-29,2005-Q2,13.14,25.764705882352946,,,
2005-05-02,2005-Q2,13.0,25.49019607843137,,,
2005-05-03,2005-Q2,13.22,25.92156862745098,,,
2005-05-04,2005-Q2,13.27,26.01960784313725,,,
2005-05-05,2005-Q2,13.36,26.19607843137255,,,
2005-05-06,2005-Q2,13.32,26.11764705882353,24.90196078431372,,
2005-05-09,2005-Q2,13.5,26.47058823529412,24.911764705882348,,
2005-05-10,2005-Q2,13.28,26.03921568627451,24.950980392156865,,
2005-05-11,2005-Q2,13.43,26.33333333333333,25.0686274509804,,
2005-05-12,2005-Q2,13.56,26.58823529411765,25.245098039215684,,
2005-05-13,2005-Q2,14.39,28.215686274509803,25.33333333333333,,
2005-05-16,2005-Q2,14.6,28.627450980392155,25.33333333333333,,
2005-05-17,2005-Q2,14.16,27.764705882352946,25.38235294117647,,
2005-05-18,2005-Q2,14.16,27.764705882352946,25.46078431372549,,
2005-05-19,2005-Q2,14.39,28.215686274509803,25.52941176470588,,
2005-05-20,2005-Q2,14.2,27.84313725490196,25.588235294117645,,
2005-05-23,2005-Q2,13.95,27.352941176470587,25.607843137254903,,
2005-05-24,2005-Q2,14.37,28.176470588235293,25.686274509803923,,
2005-05-25,2005-Q2,14.32,28.07843137254902,25.77450980392157,,
2005-05-26,2005-Q2,14.23,27.90196078431373,25.85294117647059,,
2005-05-27,2005-Q2,13.98,27.411764705882355,25.97058823529412,,
2005-05-30,2005-Q2,13.82,27.09803921568628,26.02941176470588,,
2005-05-31,2005-Q2,14.12,27.68627450980392,26.04901960784313,,
2005-06-01,2005-Q2,14.14,38.21621621621622,26.06862745098039,,
2005-06-02,2005-Q2,14.74,39.83783783783784,26.09803921568628,,
2005-06-03,2005-Q2,15.16,40.972972972972975,26.15686274509804,,
2005-06-04,2005-Q2,14.99,40.51351351351352,26.19607843137255,,
2005-06-06,2005-Q2,15.28,41.2972972972973,26.26470588235294,,
2005-06-07,2005-Q2,15.15,40.94594594594595,26.40196078431372,,
2005-06-08,2005-Q2,14.94,40.37837837837838,26.47058823529412,,
2005-06-09,2005-Q2,15.08,40.75675675675676,26.480392156862745,,
2005-06-10,2005-Q2,15.06,40.7027027027027,26.509803921568626,,
2005-06-13,2005-Q2,14.92,40.32432432432432,26.52941176470588,,
2005-06-14,2005-Q2,15.96,43.13513513513514,26.558823529411764,,
2005-06-15,2005-Q2,15.88,42.91891891891892,26.69607843137255,,
2005-06-16,2005-Q2,15.25,41.21621621621622,26.892156862745097,,
2005-06-17,2005-Q2,14.96,40.43243243243244,27.01960784313725,,
2005-06-20,2005-Q2,14.66,39.62162162162162,27.078431372549023,,
2005-06-21,2005-Q2,14.69,39.7027027027027,27.225490196078432,,
2005-06-22,2005-Q2,14.52,39.24324324324324,27.38235294117647,,
2005-06-23,2005-Q2,14.51,39.21621621621622,27.42156862745098,,
2005-06-24,2005-Q2,14.7,39.729729729729726,27.55882352941176,,
2005-06-27,2005-Q2,14.51,39.21621621621622,27.725490196078432,,
2005-06-28,2005-Q2,14.22,38.43243243243244,27.764705882352946,,
2005-06-29,2005-Q2,14.3,38.64864864864865,27.80392156862745,,
2005-06-30,2005-Q2,13.79,37.27027027027027,27.872549019607845,,
2005-07-01,2005-Q3,14.03,37.91891891891892,27.90196078431373,,
2005-07-04,2005-Q3,14.06,38.0,27.90196078431373,,
2005-07-05,2005-Q3,14.02,37.89189189189189,27.90196078431373,,
2005-07-06,2005-Q3,14.0,37.83783783783784,27.90196078431373,,
2005-07-07,2005-Q3,14.01,37.86486486486486,27.90196078431373,,
2005-07-08,2005-Q3,14.02,37.89189189189189,27.90196078431373,,
2005-07-11,2005-Q3,14.14,38.21621621621622,27.90196078431373,,
2005-07-12,2005-Q3,14.06,38.0,27.90196078431373,,
2005-07-13,2005-Q3,14.04,37.94594594594594,27.90196078431373,,
2005-07-14,2005-Q3,14.31,38.67567567567568,27.90196078431373,,
2005-07-15,2005-Q3,14.48,39.13513513513514,27.90196078431373,,
2005-07-18,2005-Q3,14.77,39.91891891891892,27.90196078431373,,
2005-07-19,2005-Q3,15.18,41.02702702702703,27.90196078431373,,
2005-07-20,2005-Q3,15.03,40.62162162162162,27.90196078431373,,
2005-07-21,2005-Q3,14.76,39.891891891891895,27.90196078431373,,
2005-07-22,2005-Q3,15.23,41.16216216216216,27.99019607843137,,
2005-07-25,2005-Q3,15.03,40.62162162162162,28.127450980392155,,
2005-07-26,2005-Q3,15.02,40.5945945945946,28.19607843137255,,
2005-07-27,2005-Q3,14.91,40.2972972972973,28.215686274509803,,
2005-07-28,2005-Q3,14.91,40.2972972972973,28.42156862745098,,
2005-07-29,2005-Q3,14.53,39.27027027027027,28.686274509803923,,
2005-08-01,2005-Q3,14.46,39.08108108108108,33.007684154742975,,
2005-08-02,2005-Q3,14.82,40.054054054054056,37.55405405405405,,
