Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,218.8,210.3846153846154,,,
2005-01-04,2005-Q1,214.75,206.4903846153846,,,
2005-01-05,2005-Q1,201.45,193.70192307692307,,,
2005-01-06,2005-Q1,195.55,188.02884615384616,,,
2005-01-07,2005-Q1,203.6,195.7692307692308,,,
2005-01-10,2005-Q1,202.6,194.8076923076923,,,
2005-01-11,2005-Q1,195.6,188.07692307692307,,,
2005-01-12,2005-Q1,186.4,179.23076923076923,,,
2005-01-13,2005-Q1,189.65,182.35576923076923,,,
2005-01-14,2005-Q1,190.15,182.83653846153845,,,
2005-01-17,2005-Q1,188.25,181.0096153846154,,,
2005-01-18,2005-Q1,190.65,183.31730769230768,,,
2005-01-19,2005-Q1,190.2,182.88461538461536,,,
2005-01-20,2005-Q1,187.95,180.72115384615384,,,
2005-01-21,2005-Q1,187.95,180.72115384615384,,,
2005-01-24,2005-Q1,187.2,179.99999999999997,,,
2005-01-25,2005-Q1,187.85,180.625,,,
2005-01-26,2005-Q1,187.85,180.625,,,
2005-01-27,2005-Q1,191.9,184.5192307692308,,,
2005-01-28,2005-Q1,197.4,189.80769230769232,,,
2005-01-31,2005-Q1,200.7,192.98076923076923,,,
2005-02-01,2005-Q1,213.3,205.09615384615384,,,
2005-02-02,2005-Q1,218.25,209.85576923076923,,,
2005-02-03,2005-Q1,215.9,207.59615384615384,,,
2005-02-04,2005-Q1,211.8,203.65384615384616,,,
2005-02-07,2005-Q1,216.8,208.46153846153845,,,
2005-02-08,2005-Q1,217.05,208.7019230769231,,,
2005-02-09,2005-Q1,217.95,209.56730769230768,,,
2005-02-10,2005-Q1,227.4,218.65384615384616,,,
2005-02-11,2005-Q1,229.8,220.96153846153845,,,
2005-02-14,2005-Q1,221.25,212.7403846153846,,,
2005-02-15,2005-Q1,216.75,208.41346153846152,,,
2005-02-16,2005-Q1,212.85,204.66346153846152,,,
2005-02-17,2005-Q1,214.35,206.10576923076923,,,
2005-02-18,2005-Q1,213.95,205.72115384615384,,,
2005-02-21,2005-Q1,205.3,197.40384615384616,,,
2005-02-22,2005-Q1,210.2,202.11538461538456,,,
2005-02-23,2005-Q1,211.0,202.8846153846154,,,
2005-02-24,2005-Q1,208.8,200.7692307692308,,,
2005-02-25,2005-Q1,204.05,196.2019230769231,,,
2005-02-28,2005-Q1,205.3,197.40384615384616,,,
2005-03-01,2005-Q1,202.4,100.69651741293534,,,
2005-03-02,2005-Q1,210.4,104.6766169154229,,,
2005-03-03,2005-Q1,210.95,104.95024875621893,,,
2005-03-04,2005-Q1,208.1,103.53233830845772,,,
2005-03-07,2005-Q1,206.25,102.61194029850748,,,
2005-03-08,2005-Q1,206.05,102.51243781094529,,,
2005-03-09,2005-Q1,215.8,107.363184079602,,,
2005-03-10,2005-Q1,217.95,108.43283582089552,,,
2005-03-11,2005-Q1,212.35,105.64676616915423,,,
2005-03-14,2005-Q1,207.65,103.3084577114428,,,
2005-03-15,2005-Q1,207.25,103.10945273631842,,,
2005-03-16,2005-Q1,209.85,104.40298507462688,,,
2005-03-17,2005-Q1,207.3,103.13432835820898,,,
2005-03-18,2005-Q1,213.1,106.01990049751244,,,
2005-03-21,2005-Q1,209.7,104.32835820895522,,,
2005-03-22,2005-Q1,204.25,101.61691542288558,,,
2005-03-23,2005-Q1,193.45,96.24378109452736,,,
2005-03-24,2005-Q1,186.3,92.68656716417912,,,
2005-03-25,2005-Q1,186.3,92.68656716417912,,,
2005-03-28,2005-Q1,193.75,96.39303482587066,,,
2005-03-29,2005-Q1,187.25,93.1592039800995,,,
2005-03-30,2005-Q1,202.3,100.64676616915423,,,
2005-03-31,2005-Q1,211.1,105.02487562189056,,,
2005-04-01,2005-Q2,209.55,104.2537313432836,,,
2005-04-04,2005-Q2,216.3,107.61194029850748,,,
2005-04-05,2005-Q2,210.9,104.92537313432835,,,
2005-04-06,2005-Q2,211.1,105.02487562189056,,,
2005-04-07,2005-Q2,208.9,103.93034825870647,,,
2005-04-08,2005-Q2,222.55,110.7213930348259,,,
2005-04-11,2005-Q2,214.05,106.49253731343283,,,
2005-04-12,2005-Q2,212.8,105.87064676616916,,,
2005-04-13,2005-Q2,210.4,104.6766169154229,,,
2005-04-14,2005-Q2,210.4,104.6766169154229,,,
2005-04-15,2005-Q2,204.25,101.61691542288558,,,
2005-04-18,2005-Q2,209.75,104.35323383084578,,,
2005-04-19,2005-Q2,206.25,102.61194029850748,,,
2005-04-20,2005-Q2,207.2,103.08457711442789,,,
2005-04-21,2005-Q2,210.35,104.65174129353235,,,
2005-04-22,2005-Q2,220.65,109.77611940298507,,,
2005-04-25,2005-Q2,219.85,109.37810945273633,,,
2005-04-26,2005-Q2,216.5,107.71144278606968,,,
