Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,65.05,,,,
2005-01-04,2005-Q1,65.45,,,,
2005-01-05,2005-Q1,62.55,,,,
2005-01-06,2005-Q1,61.15,,,,
2005-01-07,2005-Q1,61.85,,,,
2005-01-10,2005-Q1,60.1,,,,
2005-01-11,2005-Q1,57.7,,,,
2005-01-12,2005-Q1,51.45,,,,
2005-01-13,2005-Q1,56.3,,,,
2005-01-14,2005-Q1,55.15,,,,
2005-01-17,2005-Q1,56.25,,,,
2005-01-18,2005-Q1,55.75,,,,
2005-01-19,2005-Q1,54.65,,,,
2005-01-20,2005-Q1,52.65,,,,
2005-01-21,2005-Q1,52.65,,,,
2005-01-24,2005-Q1,48.55,,,,
2005-01-25,2005-Q1,49.7,,,,
2005-01-26,2005-Q1,49.7,,,,
2005-01-27,2005-Q1,48.45,,,,
2005-01-28,2005-Q1,52.5,,,,
2005-01-31,2005-Q1,53.4,,,,
2005-02-01,2005-Q1,53.6,,,,
2005-02-02,2005-Q1,54.4,,,,
2005-02-03,2005-Q1,57.65,,,,
2005-02-04,2005-Q1,58.0,,,,
2005-02-07,2005-Q1,56.6,,,,
2005-02-08,2005-Q1,56.3,,,,
2005-02-09,2005-Q1,57.5,,,,
2005-02-10,2005-Q1,57.2,,,,
2005-02-11,2005-Q1,57.3,,,,
2005-02-14,2005-Q1,56.9,,,,
2005-02-15,2005-Q1,56.05,,,,
2005-02-16,2005-Q1,55.35,,,,
2005-02-17,2005-Q1,54.75,,,,
2005-02-18,2005-Q1,54.25,,,,
2005-02-21,2005-Q1,54.05,,,,
2005-02-22,2005-Q1,57.65,,,,
2005-02-23,2005-Q1,56.85,,,,
2005-02-24,2005-Q1,55.7,,,,
2005-02-25,2005-Q1,55.3,,,,
2005-02-28,2005-Q1,58.05,,,,
2005-03-01,2005-Q1,57.9,9.747474747474747,,,
2005-03-02,2005-Q1,60.05,10.109427609427607,,,
2005-03-03,2005-Q1,62.55,10.53030303030303,,,
2005-03-04,2005-Q1,61.8,10.404040404040405,,,
2005-03-07,2005-Q1,63.5,10.69023569023569,,,
2005-03-08,2005-Q1,63.85,10.74915824915825,,,
2005-03-09,2005-Q1,62.45,10.513468013468014,,,
2005-03-10,2005-Q1,62.85,10.58080808080808,,,
2005-03-11,2005-Q1,62.9,10.589225589225588,,,
2005-03-14,2005-Q1,62.15,10.462962962962962,,,
