Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,3.308333,2.2816089655172416,,,
2005-01-04,2005-Q1,3.345833,2.3074710344827585,,,
2005-01-05,2005-Q1,3.15,2.1724137931034484,,,
2005-01-06,2005-Q1,3.075,2.120689655172414,,,
2005-01-07,2005-Q1,3.05,2.103448275862069,,,
2005-01-10,2005-Q1,3.070833,2.1178158620689653,,,
2005-01-11,2005-Q1,2.9875,2.060344827586207,,,
2005-01-12,2005-Q1,2.645833,1.824712413793104,,,
2005-01-13,2005-Q1,2.766667,1.908046206896552,,,
2005-01-14,2005-Q1,2.9375,2.0258620689655173,,,
2005-01-17,2005-Q1,2.879167,1.985632413793104,,,
2005-01-18,2005-Q1,2.891667,1.994253103448276,,,
2005-01-19,2005-Q1,2.845833,1.962643448275862,,,
2005-01-20,2005-Q1,2.854167,1.9683910344827589,,,
2005-01-21,2005-Q1,2.854167,1.9683910344827589,,,
2005-01-24,2005-Q1,2.65,1.827586206896552,,,
2005-01-25,2005-Q1,2.741667,1.890804827586207,,,
2005-01-26,2005-Q1,2.741667,1.890804827586207,,,
2005-01-27,2005-Q1,2.85,1.9655172413793105,,,
2005-01-28,2005-Q1,2.970833,2.0488503448275863,,,
2005-01-31,2005-Q1,3.025,2.086206896551724,,,
2005-02-01,2005-Q1,3.008333,2.074712413793104,,,
2005-02-02,2005-Q1,2.9375,2.0258620689655173,,,
2005-02-03,2005-Q1,3.05,2.103448275862069,,,
2005-02-04,2005-Q1,3.070833,2.1178158620689653,,,
2005-02-07,2005-Q1,3.083333,2.126436551724138,,,
2005-02-08,2005-Q1,3.133333,2.1609193103448274,,,
2005-02-09,2005-Q1,3.145833,2.16954,,,
2005-02-10,2005-Q1,2.995833,2.066091724137931,,,
2005-02-11,2005-Q1,2.970833,2.0488503448275863,,,
2005-02-14,2005-Q1,3.070833,2.1178158620689653,,,
2005-02-15,2005-Q1,3.025,2.086206896551724,,,
2005-02-16,2005-Q1,3.0,2.0689655172413794,,,
2005-02-17,2005-Q1,2.8875,1.991379310344828,,,
