Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,69.6,136.47058823529412,,,
2005-01-04,2005-Q1,69.4,136.07843137254903,,,
2005-01-05,2005-Q1,66.45,130.29411764705884,,,
2005-01-06,2005-Q1,64.5,126.47058823529412,,,
2005-01-07,2005-Q1,65.15,127.74509803921568,,,
2005-01-10,2005-Q1,64.6,126.66666666666666,,,
2005-01-11,2005-Q1,63.55,124.60784313725487,,,
2005-01-12,2005-Q1,60.55,118.72549019607844,,,
2005-01-13,2005-Q1,63.15,123.8235294117647,,,
2005-01-14,2005-Q1,62.05,121.66666666666666,,,
2005-01-17,2005-Q1,61.85,121.27450980392156,,,
2005-01-18,2005-Q1,57.6,112.94117647058825,,,
2005-01-19,2005-Q1,56.9,111.5686274509804,,,
2005-01-20,2005-Q1,55.45,108.72549019607844,,,
2005-01-21,2005-Q1,55.45,108.72549019607844,,,
2005-01-24,2005-Q1,55.65,109.11764705882352,,,
2005-01-25,2005-Q1,54.95,107.74509803921568,,,
2005-01-26,2005-Q1,54.95,107.74509803921568,,,
2005-01-27,2005-Q1,55.4,108.62745098039215,,,
2005-01-28,2005-Q1,56.85,111.47058823529412,,,
2005-01-31,2005-Q1,57.9,113.52941176470588,,,
2005-02-01,2005-Q1,58.95,115.58823529411764,,,
2005-02-02,2005-Q1,59.75,117.15686274509804,,,
2005-02-03,2005-Q1,59.65,116.96078431372548,,,
2005-02-04,2005-Q1,58.65,115.0,,,
2005-02-07,2005-Q1,59.35,116.37254901960785,,,
2005-02-08,2005-Q1,59.9,117.45098039215686,,,
2005-02-09,2005-Q1,63.95,125.3921568627451,,,
2005-02-10,2005-Q1,64.85,127.15686274509802,,,
2005-02-11,2005-Q1,65.45,128.33333333333334,,,
2005-02-14,2005-Q1,65.2,127.84313725490196,,,
2005-02-15,2005-Q1,65.2,127.84313725490196,,,
2005-02-16,2005-Q1,64.75,126.96078431372548,,,
2005-02-17,2005-Q1,65.9,129.2156862745098,,,
2005-02-18,2005-Q1,68.7,134.7058823529412,,,
2005-02-21,2005-Q1,65.85,129.1176470588235,,,
2005-02-22,2005-Q1,65.95,129.31372549019608,,,
2005-02-23,2005-Q1,66.1,129.6078431372549,,,
2005-02-24,2005-Q1,65.1,127.6470588235294,,,
2005-02-25,2005-Q1,63.6,124.70588235294116,,,
2005-02-28,2005-Q1,62.85,123.23529411764706,,,
2005-03-01,2005-Q1,62.0,17.97101449275362,,,
2005-03-02,2005-Q1,68.3,19.79710144927536,,,
2005-03-03,2005-Q1,66.2,19.18840579710145,,,
2005-03-04,2005-Q1,69.9,20.26086956521739,,,
2005-03-07,2005-Q1,70.2,20.347826086956523,,,
2005-03-08,2005-Q1,68.65,19.898550724637683,,,
2005-03-09,2005-Q1,66.2,19.18840579710145,,,
2005-03-10,2005-Q1,65.05,18.85507246376812,,,
2005-03-11,2005-Q1,63.95,18.536231884057973,,,
2005-03-14,2005-Q1,64.0,18.55072463768116,,,
2005-03-15,2005-Q1,63.45,18.39130434782609,,,
2005-03-16,2005-Q1,63.4,18.3768115942029,,,
2005-03-17,2005-Q1,61.4,17.79710144927536,,,
2005-03-18,2005-Q1,60.0,17.391304347826086,,,
2005-03-21,2005-Q1,58.95,17.08695652173913,,,
2005-03-22,2005-Q1,58.35,16.913043478260867,,,
2005-03-23,2005-Q1,55.05,15.956521739130434,,,
2005-03-24,2005-Q1,54.25,15.72463768115942,,,
2005-03-25,2005-Q1,54.25,15.72463768115942,,,
2005-03-28,2005-Q1,56.95,16.507246376811594,,,
2005-03-29,2005-Q1,55.35,16.043478260869566,,,
2005-03-30,2005-Q1,56.4,16.34782608695652,,,
2005-03-31,2005-Q1,58.7,17.014492753623188,,,
2005-04-01,2005-Q2,58.95,17.08695652173913,,,
2005-04-04,2005-Q2,58.9,17.07246376811594,,,
2005-04-05,2005-Q2,58.3,16.89855072463768,,,
2005-04-06,2005-Q2,60.25,17.463768115942027,,,
2005-04-07,2005-Q2,61.1,17.71014492753623,,,
2005-04-08,2005-Q2,59.85,17.34782608695652,,,
2005-04-11,2005-Q2,61.4,17.79710144927536,,,
2005-04-12,2005-Q2,61.25,17.753623188405797,,,
2005-04-13,2005-Q2,61.45,17.81159420289855,,,
2005-04-14,2005-Q2,61.45,17.81159420289855,,,
2005-04-15,2005-Q2,60.6,17.565217391304348,,,
2005-04-18,2005-Q2,61.55,17.840579710144926,,,
2005-04-19,2005-Q2,61.4,17.79710144927536,,,
2005-04-20,2005-Q2,60.45,17.52173913043478,,,
2005-04-21,2005-Q2,61.25,17.753623188405797,,,
2005-04-22,2005-Q2,60.4,17.507246376811594,,,
2005-04-25,2005-Q2,60.75,17.60869565217391,,,
2005-04-26,2005-Q2,62.7,18.17391304347826,,,
2005-04-27,2005-Q2,61.95,17.956521739130434,,,
2005-04-28,2005-Q2,61.1,17.71014492753623,,,
2005-04-29,2005-Q2,61.0,17.681159420289855,,,
2005-05-02,2005-Q2,61.0,17.681159420289855,,,
2005-05-03,2005-Q2,61.05,17.695652173913043,,,
2005-05-04,2005-Q2,61.0,17.681159420289855,,,
2005-05-05,2005-Q2,61.0,17.681159420289855,,,
2005-05-06,2005-Q2,60.8,17.623188405797098,19.49275362318841,,
2005-05-09,2005-Q2,61.2,17.73913043478261,19.18840579710145,,
2005-05-10,2005-Q2,62.4,18.08695652173913,19.021739130434785,,
2005-05-11,2005-Q2,66.55,19.28985507246377,19.021739130434785,,
2005-05-12,2005-Q2,66.5,19.27536231884058,19.021739130434785,,
2005-05-13,2005-Q2,69.1,20.02898550724637,19.021739130434785,,
2005-05-16,2005-Q2,74.0,21.44927536231884,19.021739130434785,,
2005-05-17,2005-Q2,72.0,20.869565217391305,19.021739130434785,,
2005-05-18,2005-Q2,72.55,21.02898550724637,19.021739130434785,,
2005-05-19,2005-Q2,74.7,21.65217391304348,19.021739130434785,,
2005-05-20,2005-Q2,76.0,22.02898550724637,19.021739130434785,,
2005-05-23,2005-Q2,77.65,22.5072463768116,19.021739130434785,,
2005-05-24,2005-Q2,80.3,23.27536231884058,19.021739130434785,,
2005-05-25,2005-Q2,78.05,22.62318840579709,19.021739130434785,,
2005-05-26,2005-Q2,76.0,22.02898550724637,19.021739130434785,,
2005-05-27,2005-Q2,75.25,21.81159420289855,19.021739130434785,,
2005-05-30,2005-Q2,73.55,21.318840579710145,19.021739130434785,,
2005-05-31,2005-Q2,76.05,22.043478260869563,19.021739130434785,,
2005-06-01,2005-Q2,76.2,40.31746031746032,19.021739130434785,,
2005-06-02,2005-Q2,76.0,40.211640211640216,19.021739130434785,,
2005-06-03,2005-Q2,81.1,42.91005291005291,19.021739130434785,,
2005-06-04,2005-Q2,81.6,43.17460317460317,19.021739130434785,,
2005-06-06,2005-Q2,79.4,42.01058201058201,19.021739130434785,,
2005-06-07,2005-Q2,82.95,43.88888888888889,19.021739130434785,,
2005-06-08,2005-Q2,82.75,43.78306878306879,19.021739130434785,,
2005-06-09,2005-Q2,82.0,43.386243386243386,19.021739130434785,,
2005-06-10,2005-Q2,80.9,42.80423280423281,19.021739130434785,,
2005-06-13,2005-Q2,82.65,43.730158730158735,19.021739130434785,,
2005-06-14,2005-Q2,86.75,45.8994708994709,19.021739130434785,,
2005-06-15,2005-Q2,86.1,45.55555555555556,19.021739130434785,,
2005-06-16,2005-Q2,83.8,44.33862433862434,19.021739130434785,,
2005-06-17,2005-Q2,81.3,43.01587301587302,19.021739130434785,,
2005-06-20,2005-Q2,79.25,41.93121693121693,19.021739130434785,,
2005-06-21,2005-Q2,78.95,41.77248677248678,19.021739130434785,,
2005-06-22,2005-Q2,80.85,42.77777777777778,19.021739130434785,,
2005-06-23,2005-Q2,79.45,42.03703703703704,19.021739130434785,,
2005-06-24,2005-Q2,79.0,41.79894179894181,19.021739130434785,,
2005-06-27,2005-Q2,80.15,42.40740740740741,19.021739130434785,,
2005-06-28,2005-Q2,78.65,41.61375661375662,19.021739130434785,,
2005-06-29,2005-Q2,77.9,41.21693121693122,19.021739130434785,,
2005-06-30,2005-Q2,81.95,43.35978835978836,19.021739130434785,,
2005-07-01,2005-Q3,82.9,43.86243386243387,19.021739130434785,,
2005-07-04,2005-Q3,80.95,42.83068783068784,19.18840579710145,,
2005-07-05,2005-Q3,79.6,42.116402116402114,19.18840579710145,,
2005-07-06,2005-Q3,82.0,43.386243386243386,19.231884057971016,,
2005-07-07,2005-Q3,79.6,42.116402116402114,19.231884057971016,,
2005-07-08,2005-Q3,80.7,42.6984126984127,19.231884057971016,,
2005-07-11,2005-Q3,82.3,43.54497354497354,19.231884057971016,,
2005-07-12,2005-Q3,80.4,42.53968253968255,19.28260869565217,,
2005-07-13,2005-Q3,81.2,42.96296296296297,19.65942028985507,,
2005-07-14,2005-Q3,83.05,43.94179894179894,20.44927536231884,,
2005-07-15,2005-Q3,82.9,43.86243386243387,20.94927536231884,,
2005-07-18,2005-Q3,84.05,44.47089947089948,21.17391304347825,,
2005-07-19,2005-Q3,85.7,45.34391534391535,21.38405797101449,,
2005-07-20,2005-Q3,84.15,44.52380952380953,21.55072463768116,,
2005-07-21,2005-Q3,83.9,44.3915343915344,21.731884057971016,,
2005-07-22,2005-Q3,83.75,44.31216931216932,21.92028985507246,,
2005-07-25,2005-Q3,85.25,45.10582010582011,22.02898550724637,,
2005-07-26,2005-Q3,83.4,44.12698412698413,22.03623188405797,,
2005-07-27,2005-Q3,82.75,43.78306878306879,22.275362318840585,,
2005-07-28,2005-Q3,82.75,43.78306878306879,22.565217391304344,,
2005-07-29,2005-Q3,85.9,45.449735449735456,22.94927536231884,,
2005-08-01,2005-Q3,87.1,46.08465608465608,31.7435012652404,,
2005-08-02,2005-Q3,87.5,46.2962962962963,40.264550264550266,,
2005-08-03,2005-Q3,86.5,45.76719576719577,40.76719576719577,,
2005-08-04,2005-Q3,85.1,45.02645502645503,41.415343915343925,,
2005-08-05,2005-Q3,85.95,45.47619047619048,41.6931216931217,,
2005-08-08,2005-Q3,83.6,44.23280423280424,41.78571428571429,,
2005-08-09,2005-Q3,81.55,43.14814814814815,41.86507936507937,,
2005-08-10,2005-Q3,80.9,42.80423280423281,41.97089947089947,,
2005-08-11,2005-Q3,85.4,45.18518518518519,42.023809523809526,,
2005-08-12,2005-Q3,85.75,45.37037037037037,42.076719576719576,,
2005-08-15,2005-Q3,85.75,45.37037037037037,42.116402116402114,,
2005-08-16,2005-Q3,87.35,46.216931216931215,42.26190476190476,,
2005-08-17,2005-Q3,90.25,47.75132275132275,42.47354497354498,,
2005-08-18,2005-Q3,92.4,48.88888888888889,42.61904761904763,,
2005-08-19,2005-Q3,92.75,49.07407407407408,42.73809523809524,,
2005-08-22,2005-Q3,92.75,49.07407407407408,42.79100529100529,,
2005-08-23,2005-Q3,89.2,47.1957671957672,42.80423280423281,,
2005-08-24,2005-Q3,86.65,45.846560846560855,42.81746031746033,,
2005-08-25,2005-Q3,86.9,45.97883597883598,42.87037037037038,,
2005-08-26,2005-Q3,87.95,46.53439153439154,42.93650793650794,,
2005-08-29,2005-Q3,86.2,45.608465608465615,42.989417989418,,
2005-08-30,2005-Q3,89.9,47.56613756613757,43.08201058201058,,
2005-08-31,2005-Q3,93.35,49.39153439153439,43.16137566137566,,
2005-09-01,2005-Q3,95.3,36.37404580152671,43.16137566137566,,
2005-09-02,2005-Q3,94.1,35.916030534351144,43.16137566137566,,
2005-09-05,2005-Q3,92.2,35.19083969465649,43.16137566137566,,
2005-09-06,2005-Q3,90.5,34.541984732824424,43.16137566137566,,
2005-09-07,2005-Q3,90.5,34.541984732824424,43.16137566137566,,
2005-09-08,2005-Q3,94.45,36.04961832061068,43.16137566137566,42.87037037037038,
2005-09-09,2005-Q3,91.5,34.9236641221374,43.16137566137566,42.81746031746033,
2005-09-12,2005-Q3,96.8,36.94656488549618,43.16137566137566,42.80423280423281,
2005-09-13,2005-Q3,97.45,37.19465648854962,43.16137566137566,42.79100529100529,
2005-09-14,2005-Q3,96.9,36.98473282442748,43.16137566137566,42.73809523809524,
2005-09-15,2005-Q3,96.9,36.98473282442748,43.16137566137566,42.61904761904763,
2005-09-16,2005-Q3,101.75,38.83587786259542,43.16137566137566,42.47354497354498,
2005-09-19,2005-Q3,100.7,38.43511450381679,43.16137566137566,42.26190476190476,
2005-09-20,2005-Q3,98.6,37.63358778625954,43.16137566137566,42.116402116402114,
2005-09-21,2005-Q3,90.45,34.52290076335878,43.16137566137566,42.076719576719576,
2005-09-22,2005-Q3,83.65,31.927480916030536,43.16137566137566,42.023809523809526,
2005-09-23,2005-Q3,85.45,32.61450381679389,43.16137566137566,41.97089947089947,
2005-09-26,2005-Q3,90.25,34.44656488549618,43.16137566137566,41.86507936507937,
2005-09-27,2005-Q3,88.25,33.68320610687023,43.16137566137566,41.78571428571429,
2005-09-28,2005-Q3,90.15,34.408396946564885,43.16137566137566,41.6931216931217,
2005-09-29,2005-Q3,90.45,34.52290076335878,43.16137566137566,41.415343915343925,
2005-09-30,2005-Q3,89.75,34.25572519083969,43.16137566137566,40.76719576719577,
2005-10-03,2005-Q4,89.75,34.25572519083969,43.16137566137566,40.264550264550266,
2005-10-04,2005-Q4,90.8,34.65648854961832,43.16137566137566,39.52375903711781,
2005-10-05,2005-Q4,93.55,35.70610687022901,43.16137566137566,38.6354961832061,
2005-10-06,2005-Q4,93.95,35.8587786259542,43.16137566137566,38.034351145038165,
2005-10-07,2005-Q4,93.4,35.648854961832065,43.08201058201058,37.414122137404576,
2005-10-10,2005-Q4,90.65,34.599236641221374,43.08201058201058,37.08969465648855,
2005-10-11,2005-Q4,89.55,34.179389312977094,42.989417989418,36.98473282442748,
2005-10-12,2005-Q4,89.55,34.179389312977094,42.896825396825406,36.96564885496183,
2005-10-13,2005-Q4,88.25,33.68320610687023,42.81746031746033,36.660305343511446,
2005-10-14,2005-Q4,83.75,31.96564885496183,42.81746031746033,36.2118320610687,
2005-10-17,2005-Q4,85.2,32.51908396946565,42.79100529100529,35.982824427480914,
2005-10-18,2005-Q4,87.1,33.2442748091603,42.73809523809524,35.88740458015268,
2005-10-19,2005-Q4,86.15,32.88167938931298,42.61904761904763,35.782442748091604,
2005-10-20,2005-Q4,83.75,31.96564885496183,42.47354497354498,35.67748091603053,
2005-10-21,2005-Q4,84.8,32.36641221374045,42.26190476190476,35.41984732824427,
2005-10-24,2005-Q4,84.95,32.4236641221374,42.26190476190476,35.05725190839695,
2005-10-25,2005-Q4,84.7,32.32824427480916,42.26190476190476,34.790076335877856,
2005-10-26,2005-Q4,86.55,33.034351145038165,42.116402116402114,34.62786259541984,
2005-10-27,2005-Q4,85.75,32.729007633587784,42.116402116402114,34.5706106870229,
2005-10-28,2005-Q4,81.8,31.221374045801525,42.116402116402114,34.541984732824424,
2005-10-31,2005-Q4,79.8,30.45801526717557,41.86507936507937,34.5324427480916,
2005-11-01,2005-Q4,82.5,31.488549618320608,41.66666666666667,34.52290076335878,
2005-11-02,2005-Q4,82.85,31.622137404580148,40.47613998949876,34.48473282442748,
2005-11-03,2005-Q4,82.85,31.622137404580148,38.6354961832061,34.42748091603053,
2005-11-04,2005-Q4,82.85,31.622137404580148,38.034351145038165,34.33206106870229,
2005-11-07,2005-Q4,83.5,31.870229007633583,37.414122137404576,34.33206106870229,
2005-11-08,2005-Q4,88.4,33.74045801526718,37.08969465648855,34.33206106870229,
2005-11-09,2005-Q4,88.15,33.645038167938935,36.98473282442748,34.33206106870229,
2005-11-10,2005-Q4,86.85,33.14885496183206,36.96564885496183,34.33206106870229,
2005-11-11,2005-Q4,87.4,33.3587786259542,36.660305343511446,34.33206106870229,
2005-11-14,2005-Q4,87.0,33.20610687022901,36.2118320610687,34.33206106870229,
2005-11-15,2005-Q4,87.0,33.20610687022901,35.982824427480914,34.33206106870229,
2005-11-16,2005-Q4,87.2,33.282442748091604,35.88740458015268,34.33206106870229,
2005-11-17,2005-Q4,86.75,33.11068702290076,35.782442748091604,34.33206106870229,
2005-11-18,2005-Q4,89.35,34.103053435114504,35.67748091603053,34.33206106870229,
2005-11-21,2005-Q4,87.15,33.26335877862596,35.41984732824427,34.33206106870229,
2005-11-22,2005-Q4,86.35,32.95801526717557,35.05725190839695,34.33206106870229,
2005-11-23,2005-Q4,85.9,32.786259541984734,34.790076335877856,34.33206106870229,
2005-11-24,2005-Q4,86.4,32.97709923664122,34.62786259541984,34.33206106870229,
2005-11-25,2005-Q4,86.55,33.034351145038165,34.5706106870229,34.33206106870229,
2005-11-26,2005-Q4,86.15,32.88167938931298,34.541984732824424,34.33206106870229,
2005-11-28,2005-Q4,85.95,32.80534351145038,34.5324427480916,34.33206106870229,
2005-11-29,2005-Q4,85.15,32.5,34.52290076335878,34.33206106870229,
2005-11-30,2005-Q4,84.3,32.175572519083964,34.48473282442748,34.33206106870229,
2005-12-01,2005-Q4,83.7,39.66824644549764,34.48473282442748,34.42748091603053,
2005-12-02,2005-Q4,84.65,40.11848341232228,34.48473282442748,34.48473282442748,
2005-12-05,2005-Q4,84.85,40.21327014218009,34.48473282442748,34.52290076335878,
2005-12-06,2005-Q4,83.8,39.71563981042654,34.48473282442748,34.5324427480916,
2005-12-07,2005-Q4,82.9,39.28909952606636,34.48473282442748,34.541984732824424,
2005-12-08,2005-Q4,83.8,39.71563981042654,34.48473282442748,34.5706106870229,
2005-12-09,2005-Q4,86.15,40.82938388625593,34.48473282442748,34.62786259541984,
2005-12-12,2005-Q4,90.6,42.93838862559242,34.48473282442748,34.790076335877856,
2005-12-13,2005-Q4,89.95,42.63033175355451,34.48473282442748,35.05725190839695,
2005-12-14,2005-Q4,88.05,41.72985781990521,34.48473282442748,35.41984732824427,
2005-12-15,2005-Q4,87.55,41.492890995260666,34.48473282442748,35.67748091603053,
2005-12-16,2005-Q4,86.8,41.13744075829384,34.48473282442748,35.782442748091604,
