Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,78.8,32.295081967213115,,,
2005-01-04,2005-Q1,86.7,35.532786885245905,,,
2005-01-05,2005-Q1,80.375,32.9405737704918,,,
2005-01-06,2005-Q1,79.2,32.459016393442624,,,
2005-01-07,2005-Q1,81.1,33.23770491803278,,,
2005-01-10,2005-Q1,80.575,33.02254098360656,,,
2005-01-11,2005-Q1,78.45,32.1516393442623,,,
2005-01-12,2005-Q1,72.525,29.723360655737707,,,
2005-01-13,2005-Q1,75.925,31.11680327868853,,,
2005-01-14,2005-Q1,74.8,30.65573770491803,,,
2005-01-17,2005-Q1,74.05,30.348360655737704,,,
2005-01-18,2005-Q1,74.45,30.512295081967213,,,
2005-01-19,2005-Q1,74.25,30.43032786885246,,,
2005-01-20,2005-Q1,73.0,29.918032786885245,,,
2005-01-21,2005-Q1,73.0,29.918032786885245,,,
2005-01-24,2005-Q1,73.45,30.102459016393443,,,
2005-01-25,2005-Q1,76.625,31.40368852459017,,,
2005-01-26,2005-Q1,76.625,31.40368852459017,,,
2005-01-27,2005-Q1,80.55,33.01229508196721,,,
2005-01-28,2005-Q1,81.125,33.247950819672134,,,
2005-01-31,2005-Q1,81.625,33.45286885245902,,,
2005-02-01,2005-Q1,82.975,34.006147540983605,,,
2005-02-02,2005-Q1,81.45,33.381147540983605,,,
2005-02-03,2005-Q1,81.55,33.42213114754098,,,
2005-02-04,2005-Q1,84.025,34.43647540983607,,,
2005-02-07,2005-Q1,82.575,33.8422131147541,,,
2005-02-08,2005-Q1,83.65,34.282786885245905,,,
2005-02-09,2005-Q1,85.475,35.03073770491803,,,
2005-02-10,2005-Q1,85.225,34.928278688524586,,,
2005-02-11,2005-Q1,84.05,34.44672131147541,,,
2005-02-14,2005-Q1,90.1,36.92622950819672,,,
2005-02-15,2005-Q1,88.85,36.41393442622951,,,
2005-02-16,2005-Q1,87.925,36.03483606557377,,,
2005-02-17,2005-Q1,87.35,35.799180327868854,,,
2005-02-18,2005-Q1,86.0,35.24590163934426,,,
2005-02-21,2005-Q1,85.875,35.19467213114754,,,
2005-02-22,2005-Q1,84.5,34.631147540983605,,,
2005-02-23,2005-Q1,83.375,34.170081967213115,,,
2005-02-24,2005-Q1,82.625,33.86270491803279,,,
2005-02-25,2005-Q1,81.125,33.247950819672134,,,
2005-02-28,2005-Q1,84.375,34.579918032786885,,,
2005-03-01,2005-Q1,83.925,31.9106463878327,,,
2005-03-02,2005-Q1,83.475,31.73954372623574,,,
2005-03-03,2005-Q1,86.55,32.90874524714829,,,
2005-03-04,2005-Q1,91.55,34.80988593155894,,,
2005-03-07,2005-Q1,93.275,35.46577946768061,,,
2005-03-08,2005-Q1,91.175,34.667300380228134,,,
2005-03-09,2005-Q1,92.1,35.01901140684411,,,
2005-03-10,2005-Q1,89.775,34.13498098859316,,,
2005-03-11,2005-Q1,90.925,34.5722433460076,,,
2005-03-14,2005-Q1,88.4,33.61216730038023,,,
2005-03-15,2005-Q1,87.825,33.39353612167301,,,
2005-03-16,2005-Q1,84.85,32.262357414448665,,,
2005-03-17,2005-Q1,89.7,34.106463878327,,,
2005-03-18,2005-Q1,91.425,34.76235741444867,,,
2005-03-21,2005-Q1,89.625,34.07794676806084,,,
2005-03-22,2005-Q1,87.275,33.18441064638784,,,
2005-03-23,2005-Q1,87.125,33.12737642585552,,,
2005-03-24,2005-Q1,87.575,33.29847908745247,,,
2005-03-25,2005-Q1,87.575,33.29847908745247,,,
2005-03-28,2005-Q1,88.8,33.76425855513308,,,
2005-03-29,2005-Q1,87.775,33.3745247148289,,,
2005-03-30,2005-Q1,89.85,34.163498098859314,,,
2005-03-31,2005-Q1,91.9,34.942965779467684,,,
2005-04-01,2005-Q2,95.975,36.49239543726236,,,
2005-04-04,2005-Q2,95.9,36.4638783269962,,,
2005-04-05,2005-Q2,96.6,36.73003802281369,,,
2005-04-06,2005-Q2,99.55,37.85171102661597,,,
2005-04-07,2005-Q2,97.175,36.948669201520914,,,
2005-04-08,2005-Q2,95.425,36.28326996197719,,,
2005-04-11,2005-Q2,93.625,35.59885931558936,,,
2005-04-12,2005-Q2,94.625,35.97908745247148,,,
2005-04-13,2005-Q2,93.425,35.52281368821293,,,
2005-04-14,2005-Q2,93.425,35.52281368821293,,,
2005-04-15,2005-Q2,89.5,34.030418250950575,,,
2005-04-18,2005-Q2,89.75,34.125475285171106,,,
2005-04-19,2005-Q2,85.375,32.46197718631179,,,
2005-04-20,2005-Q2,88.525,33.6596958174905,,,
2005-04-21,2005-Q2,85.975,32.69011406844106,,,
2005-04-22,2005-Q2,85.875,32.652091254752854,,,
2005-04-25,2005-Q2,89.2,33.916349809885936,,,
2005-04-26,2005-Q2,91.025,34.61026615969582,,,
2005-04-27,2005-Q2,88.95,33.8212927756654,,,
2005-04-28,2005-Q2,88.025,33.46958174904943,,,
2005-04-29,2005-Q2,86.5,32.88973384030418,,,
2005-05-02,2005-Q2,85.45,32.49049429657795,,,
2005-05-03,2005-Q2,87.525,33.27946768060837,,,
2005-05-04,2005-Q2,87.65,33.32699619771864,,,
2005-05-05,2005-Q2,87.6,33.30798479087452,,,
2005-05-06,2005-Q2,89.0,33.840304182509506,33.79277566539924,,
2005-05-09,2005-Q2,91.1,34.638783269961976,33.83079847908745,,
2005-05-10,2005-Q2,90.075,34.249049429657795,33.83079847908745,,
2005-05-11,2005-Q2,88.45,33.631178707224336,33.83079847908745,,
2005-05-12,2005-Q2,91.075,34.629277566539926,33.84125864863181,,
2005-05-13,2005-Q2,90.6,34.448669201520914,33.852459016393446,,
2005-05-16,2005-Q2,90.1,34.258555133079845,33.88952736395936,,
2005-05-17,2005-Q2,88.55,33.669201520912544,33.88952736395936,,
2005-05-18,2005-Q2,87.425,33.241444866920155,33.88952736395936,,
2005-05-19,2005-Q2,87.425,33.241444866920155,33.88952736395936,,
2005-05-20,2005-Q2,87.275,33.18441064638784,33.88952736395936,,
2005-05-23,2005-Q2,87.7,33.34600760456274,33.88952736395936,,
2005-05-24,2005-Q2,87.825,33.39353612167301,33.88952736395936,,
2005-05-25,2005-Q2,90.475,34.40114068441065,33.961248675434774,,
2005-05-26,2005-Q2,91.7,34.866920152091254,34.01828289596709,,
2005-05-27,2005-Q2,91.175,34.667300380228134,34.05418250950571,,
2005-05-30,2005-Q2,91.35,34.73384030418251,34.09220532319392,,
2005-05-31,2005-Q2,92.175,35.047528517110266,34.115969581749056,,
2005-06-01,2005-Q2,91.85,43.325471698113205,34.13022813688214,,
2005-06-02,2005-Q2,90.45,42.66509433962264,34.14923954372624,,
2005-06-03,2005-Q2,92.275,43.52594339622642,34.166790033036214,,
2005-06-04,2005-Q2,98.85,46.62735849056603,34.209565698435455,,
2005-06-06,2005-Q2,96.75,45.636792452830186,34.25380228136882,,
2005-06-07,2005-Q2,96.175,45.365566037735846,34.270671009162875,,
2005-06-08,2005-Q2,96.8,45.66037735849056,34.34196378482828,,
2005-06-09,2005-Q2,97.825,46.1438679245283,34.34196378482828,,
2005-06-10,2005-Q2,96.375,45.45990566037736,34.42393099794303,,
2005-06-13,2005-Q2,95.2,44.90566037735849,34.447695256498164,,
2005-06-14,2005-Q2,95.0,44.81132075471698,34.447695256498164,,
2005-06-15,2005-Q2,97.2,45.84905660377358,34.447695256498164,,
2005-06-16,2005-Q2,94.65,44.64622641509434,34.51045627376426,,
2005-06-17,2005-Q2,93.675,44.18632075471698,34.51045627376426,,
2005-06-20,2005-Q2,95.3,44.95283018867924,34.51045627376426,,
2005-06-21,2005-Q2,95.05,44.83490566037735,34.51045627376426,,
2005-06-22,2005-Q2,94.85,44.740566037735846,34.51045627376426,,
2005-06-23,2005-Q2,94.375,44.51650943396226,34.51045627376426,,
2005-06-24,2005-Q2,94.775,44.70518867924528,34.51045627376426,,
2005-06-27,2005-Q2,92.775,43.76179245283019,34.51045627376426,,
2005-06-28,2005-Q2,92.25,43.514150943396224,34.576080689397244,,
2005-06-29,2005-Q2,93.15,43.93867924528302,34.59509209624135,,
2005-06-30,2005-Q2,93.45,44.08018867924528,34.61977186311788,,
2005-07-01,2005-Q3,94.0,44.33962264150943,34.63403041825095,,
2005-07-04,2005-Q3,95.825,45.200471698113205,34.65304182509506,,
2005-07-05,2005-Q3,97.4,45.943396226415096,34.667300380228134,,
2005-07-06,2005-Q3,100.625,47.46462264150943,34.700570342205324,,
2005-07-07,2005-Q3,101.575,47.9127358490566,34.700570342205324,,
2005-07-08,2005-Q3,101.9,48.06603773584906,34.700570342205324,,
2005-07-11,2005-Q3,99.825,47.0872641509434,34.74809885931559,,
2005-07-12,2005-Q3,99.225,46.80424528301887,34.74809885931559,,
2005-07-13,2005-Q3,106.9,50.4245283018868,34.81463878326996,,
2005-07-14,2005-Q3,103.3,48.72641509433962,34.90494296577947,,
2005-07-15,2005-Q3,104.575,49.32783018867924,34.995247148288975,,
2005-07-18,2005-Q3,106.025,50.011792452830186,35.28517110266159,,
